comparison,metric,preferred_direction,unit,n_pairs,candidate_mean,baseline_mean,mean_delta_candidate_minus_baseline,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_resamples,bootstrap_seed,favorable_pairs,unfavorable_pairs,ties,leave_one_out_delta_min,leave_one_out_delta_max
FT0-C0,e_hull,lower,eV/atom,32,0.14449189827958087,0.11099297854129528,0.03349891973828559,0.050273872735520975,-0.010271727201026688,0.07532474402152499,20000,20260910,11,21,0,0.025847905653610215,0.044524406986012614
FT0-C0,stable,higher,percentage_points,32,21.875,59.375,-37.5,0.0,-56.25,-15.625,20000,20260910,2,14,16,-41.935483870967744,-35.483870967741936
FT0-C0,nus,higher,percentage_points,32,9.375,28.125,-18.75,0.0,-37.5,0.0,20000,20260910,2,8,22,-22.580645161290324,-16.129032258064516
FT0-C0,novel,higher,percentage_points,32,84.375,68.75,15.625,0.0,0.0,34.375,20000,20260910,7,2,23,12.903225806451612,19.35483870967742
FT0-C0,unique,higher,percentage_points,32,96.875,100.0,-3.125,0.0,-9.375,0.0,20000,20260910,0,1,31,-3.225806451612903,0.0
FT0-C0,rmsd,lower,angstrom,32,0.11745682848984307,0.050350107430167344,0.06710672105967573,0.020703247902131128,-0.009540878698019643,0.16569860521921392,20000,20260910,11,21,0,0.02995680459060499,0.08089967348315635
FT0-C0,atomic_force_mean,lower,eV/angstrom,32,0.29345078323014845,0.14936010932817037,0.1440906739019781,0.15426518117585752,0.08029434965664409,0.20694589321568851,20000,20260910,7,25,0,0.13325888225612753,0.15681313331974006
FT0-C0,structure_max_force,lower,eV/angstrom,32,0.5822106680293992,0.3271009013654647,0.2551097666639346,0.28878267720580275,0.0939350689155595,0.40840031883293204,20000,20260910,7,25,0,0.22923949230535112,0.29896681360116917
FT0-C0,relaxation_steps,lower,steps,32,75.09375,47.125,27.96875,17.5,-4.4375,67.31328124999993,20000,20260910,7,25,0,13.483870967741936,36.483870967741936
TCL-C0,e_hull,lower,eV/atom,32,0.12669519801429077,0.11099297854129528,0.015702219472995493,0.019202424356421943,-0.03294564085185904,0.0639265900197655,20000,20260910,12,20,0,0.005232869105437686,0.028321657686269357
TCL-C0,stable,higher,percentage_points,32,50.0,59.375,-9.375,0.0,-31.25,12.5,20000,20260910,6,9,17,-12.903225806451612,-6.451612903225806
TCL-C0,nus,higher,percentage_points,32,31.25,28.125,3.125,0.0,-18.75,21.875,20000,20260910,6,5,21,0.0,6.451612903225806
TCL-C0,novel,higher,percentage_points,32,75.0,68.75,6.25,0.0,-15.625,28.125,20000,20260910,8,6,18,3.225806451612903,9.67741935483871
TCL-C0,unique,higher,percentage_points,32,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260910,0,0,32,0.0,0.0
TCL-C0,rmsd,lower,angstrom,32,0.09105252915864517,0.050350107430167344,0.04070242172847782,0.01125477439767472,-0.027703380540349033,0.1272802778944525,20000,20260910,11,21,0,0.00795700572914116,0.05537706982773182
TCL-C0,atomic_force_mean,lower,eV/angstrom,32,0.20056870685635286,0.14936010932817037,0.051208597528182506,0.03882098621504296,-0.029624006781060194,0.1373811723606344,20000,20260910,10,22,0,0.02958104247695978,0.06798564374821801
TCL-C0,structure_max_force,lower,eV/angstrom,32,0.43098928065915487,0.3271009013654647,0.10388837929369019,0.0671787021210463,-0.08776950024947679,0.3091819989877832,20000,20260910,10,22,0,0.04141357899433717,0.14597333401181503
TCL-C0,relaxation_steps,lower,steps,32,52.9375,47.125,5.8125,9.5,-19.0,28.469531249999932,20000,20260910,10,21,1,1.1290322580645162,13.258064516129032
TCL-FT0,e_hull,lower,eV/atom,32,0.12669519801429077,0.14449189827958087,-0.017796700265290094,-0.02297023121566788,-0.05705948088275445,0.02197733231591441,20000,20260910,18,14,0,-0.027353888634854617,-0.011489364811409665
TCL-FT0,stable,higher,percentage_points,32,50.0,21.875,28.125,0.0,9.375,46.875,20000,20260910,11,2,19,25.806451612903224,32.25806451612903
TCL-FT0,nus,higher,percentage_points,32,31.25,9.375,21.875,0.0,6.25,37.5,20000,20260910,8,1,23,19.35483870967742,25.806451612903224
TCL-FT0,novel,higher,percentage_points,32,75.0,84.375,-9.375,0.0,-25.0,6.25,20000,20260910,2,5,25,-12.903225806451612,-6.451612903225806
TCL-FT0,unique,higher,percentage_points,32,100.0,96.875,3.125,0.0,0.0,9.375,20000,20260910,1,0,31,0.0,3.225806451612903
TCL-FT0,rmsd,lower,angstrom,32,0.09105252915864517,0.11745682848984307,-0.026404299331197912,-0.005435292886585414,-0.1287752230178757,0.06975441614536546,20000,20260910,19,13,0,-0.05786229303852236,0.009661278814422011
TCL-FT0,atomic_force_mean,lower,eV/angstrom,32,0.20056870685635286,0.29345078323014845,-0.09288207637379563,-0.1253726683246622,-0.17335111436979694,-0.0068030500049368605,20000,20260910,24,8,0,-0.11116172123401459,-0.07957484873306678
TCL-FT0,structure_max_force,lower,eV/angstrom,32,0.43098928065915487,0.5822106680293992,-0.15122138737024443,-0.16474518621420334,-0.3639514950914378,0.08248280634600451,20000,20260910,24,8,0,-0.21736925931929776,-0.10238306489279518
TCL-FT0,relaxation_steps,lower,steps,32,52.9375,75.09375,-22.15625,-4.0,-59.03203125,5.46875,20000,20260910,18,12,2,-26.903225806451612,-8.193548387096774
