method,seed,formula,e_hull_ev_per_atom,stable,nus,rmsd_a,atomic_force_mean_ev_per_a,structure_max_force_ev_per_a,relaxation_steps,outlier_flags,dft_verified
C0,81005,Eu2ZnFeO7,0.4591276571431093,0.0,0.0,0.4360623788808141,0.66461141602175,1.272563764607724,285,max_force_gt_1;steps_gt_200,False
C0,81013,Eu3NiH5O7,0.13759448462646517,0.0,0.0,0.10300831492232727,0.44939012205887474,1.2617958581611883,96,max_force_gt_1,False
C0,81022,Eu3C3O10,-0.07402255014729775,1.0,1.0,0.15473211629494077,0.5366675631099649,1.12493887905304,221,max_force_gt_1;steps_gt_200,False
C0,81026,Eu2Fe(PO3)2,0.44816075730646254,0.0,0.0,0.4414834586058685,0.6481345375291034,1.8006957310999954,134,max_force_gt_1,False
FT0,81000,Mn3HC,0.23335641757322634,0.0,0.0,0.0728146155572553,0.49153838634899083,1.060451663555692,53,max_force_gt_1,False
FT0,81006,Mn5As4,0.09819722833752387,1.0,1.0,1.223280765128862,0.16639635592528984,0.26623197510566043,163,rmsd_gt_0.5,False
FT0,81011,Mn3C,0.17283658998556284,0.0,0.0,0.17531977152053818,0.626216311461555,1.5493756015842974,165,max_force_gt_1,False
FT0,81022,Mn5GaC2,0.19665780621592432,0.0,0.0,0.2995372637586235,0.5731938610534371,1.8098775325217011,274,max_force_gt_1;steps_gt_200,False
FT0,81029,Mn8AlC3,0.22491602667112431,0.0,0.0,0.2793979813755898,0.46428413398660173,1.0467615776871142,202,max_force_gt_1;steps_gt_200,False
FT0,81031,Mn2C,0.22045669014287483,0.0,0.0,0.5882443659583687,0.5045783163732751,1.194890060461908,502,rmsd_gt_0.5;max_force_gt_1;steps_gt_200;steps_gt_400,False
TCL,81002,Mn7Co2,0.04901203012511779,1.0,1.0,1.1112833253683838,0.31615446241280254,0.6313161226325207,111,rmsd_gt_0.5,False
TCL,81003,Li2Mn5FeO4,0.40352915806943646,0.0,0.0,0.08115928285407323,0.7455869535241021,1.2120538511671382,51,max_force_gt_1,False
TCL,81013,Mn10GaNiPC3,0.2656046135369259,0.0,0.0,0.09990891811399967,0.722417138857949,2.378615400919436,62,max_force_gt_1,False
TCL,81030,NdReO4,0.22333973737576507,0.0,0.0,0.09793553888623893,0.8635165179371875,2.3371915293942447,118,max_force_gt_1,False
