comparison,metric,preferred_direction,unit,n_pairs,candidate_mean,baseline_mean,mean_delta_candidate_minus_baseline,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_resamples,bootstrap_seed,favorable_pairs,unfavorable_pairs,ties
FT0-C0,e_hull,lower,eV/atom,64,0.14666827489235967,0.10417920807234046,0.042489066820019225,0.03960929783927325,-0.011659916055179168,0.08893054368361673,20000,20260911,20,44,0
FT0-C0,stable,higher,percentage_points,64,42.1875,62.5,-20.3125,0.0,-37.5,-3.125,20000,20260911,10,23,31
FT0-C0,nus,higher,percentage_points,64,9.375,35.9375,-26.5625,0.0,-40.625,-12.5,20000,20260911,4,21,39
FT0-C0,novel,higher,percentage_points,64,64.0625,70.3125,-6.25,0.0,-21.875,7.8125,20000,20260911,10,14,40
FT0-C0,unique,higher,percentage_points,64,93.75,100.0,-6.25,0.0,-12.5,-1.5625,20000,20260911,0,4,60
FT0-C0,rmsd,lower,angstrom,64,0.0915253816571501,0.044623728692377504,0.04690165296477258,0.0075345717252869576,0.00788051756582834,0.09609555529147513,20000,20260911,22,42,0
FT0-C0,atomic_force_mean,lower,eV/angstrom,64,0.31515897011588573,0.14291492689055701,0.17224404322532874,0.09978619912409055,0.0750517838822794,0.28969681029410893,20000,20260911,17,47,0
FT0-C0,structure_max_force,lower,eV/angstrom,64,0.6998444903397225,0.30556912312824874,0.3942753672114738,0.14631561879549268,0.12085717635156483,0.7535213620824813,20000,20260911,17,47,0
FT0-C0,force_gt1,lower,percentage_points,64,14.0625,10.9375,3.125,0.0,-7.8125,14.0625,20000,20260911,6,8,50
FT0-C0,force_gt2,lower,percentage_points,64,4.6875,1.5625,3.125,0.0,-3.125,9.375,20000,20260911,1,3,60
FT0-C0,relaxation_steps,lower,steps,64,69.625,44.1875,25.4375,13.5,0.796875,52.23515624999993,20000,20260911,16,46,2
TCL-C0,e_hull,lower,eV/atom,64,0.10845122834382294,0.10417920807234046,0.004272020271482477,0.00795950054491179,-0.042326894487067286,0.042500973223686164,20000,20260911,29,35,0
TCL-C0,stable,higher,percentage_points,64,56.25,62.5,-6.25,0.0,-21.875,9.375,20000,20260911,10,14,40
TCL-C0,nus,higher,percentage_points,64,32.8125,35.9375,-3.125,0.0,-18.75,12.5,20000,20260911,12,14,38
TCL-C0,novel,higher,percentage_points,64,75.0,70.3125,4.6875,0.0,-10.9375,20.3125,20000,20260911,14,11,39
TCL-C0,unique,higher,percentage_points,64,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260911,0,0,64
TCL-C0,rmsd,lower,angstrom,64,0.04354524749085335,0.044623728692377504,-0.0010784812015241403,0.0010123562429991385,-0.02987901855553081,0.02591508008130083,20000,20260911,29,35,0
TCL-C0,atomic_force_mean,lower,eV/angstrom,64,0.16202899811887056,0.14291492689055701,0.01911407122831353,-0.0008166458228497375,-0.039230616844647424,0.08748715015064248,20000,20260911,33,31,0
TCL-C0,structure_max_force,lower,eV/angstrom,64,0.3037838091017443,0.30556912312824874,-0.0017853140265044892,0.001336639358731934,-0.12351676764484386,0.11987575343784258,20000,20260911,31,33,0
TCL-C0,force_gt1,lower,percentage_points,64,4.6875,10.9375,-6.25,0.0,-15.625,1.5625,20000,20260911,6,2,56
TCL-C0,force_gt2,lower,percentage_points,64,1.5625,1.5625,0.0,0.0,-4.6875,4.6875,20000,20260911,1,1,62
TCL-C0,relaxation_steps,lower,steps,64,46.25,44.1875,2.0625,0.0,-23.17265625,28.438281249999932,20000,20260911,30,31,3
TCL-FT0,e_hull,lower,eV/atom,64,0.10845122834382294,0.14666827489235967,-0.03821704654853675,-0.009375959530372402,-0.07480828212353095,-0.0034712782985146574,20000,20260911,35,29,0
TCL-FT0,stable,higher,percentage_points,64,56.25,42.1875,14.0625,0.0,-3.125,31.25,20000,20260911,21,12,31
TCL-FT0,nus,higher,percentage_points,64,32.8125,9.375,23.4375,0.0,9.375,37.5,20000,20260911,20,5,39
TCL-FT0,novel,higher,percentage_points,64,75.0,64.0625,10.9375,0.0,-4.6875,26.5625,20000,20260911,17,10,37
TCL-FT0,unique,higher,percentage_points,64,100.0,93.75,6.25,0.0,1.5625,12.5,20000,20260911,4,0,60
TCL-FT0,rmsd,lower,angstrom,64,0.04354524749085335,0.0915253816571501,-0.04798013416629672,-0.0017173297200922496,-0.0963493178973409,-0.008923987629502398,20000,20260911,37,27,0
TCL-FT0,atomic_force_mean,lower,eV/angstrom,64,0.16202899811887056,0.31515897011588573,-0.15312997199701517,-0.05792242047439879,-0.282441802426737,-0.04105242972365716,20000,20260911,47,17,0
TCL-FT0,structure_max_force,lower,eV/angstrom,64,0.3037838091017443,0.6998444903397225,-0.3960606812379783,-0.058654656313637574,-0.7709434162302284,-0.10454145862277528,20000,20260911,45,19,0
TCL-FT0,force_gt1,lower,percentage_points,64,4.6875,14.0625,-9.375,0.0,-18.75,0.0,20000,20260911,8,2,54
TCL-FT0,force_gt2,lower,percentage_points,64,1.5625,4.6875,-3.125,0.0,-9.375,3.125,20000,20260911,3,1,60
TCL-FT0,relaxation_steps,lower,steps,64,46.25,69.625,-23.375,-6.0,-50.39140625,3.891015624999966,20000,20260911,39,24,1
