method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
A0_E3G,0,0,20000,-68.97468566894531,-8.621835708618164,0.029199620708823204,0.15435388881818735,True,0.768282947014086,25,Eu2InN,Eu-In-N,2.48757951592198,False,False,0.06417670654107432,0.024431522570626002,True,True,True,True,True,True,True,True,True,True,True,0.06417670654107432,0.06417670654107432
A0_E3G,1,1,20001,-106.71725463867188,-8.893104553222656,0.03558843582868576,0.21947784277259685,True,1.2380833530332893,38,Eu7Au3N2,Au-Eu-N,2.353738153908854,False,False,0.1584488180387389,0.03475986739970727,False,False,False,False,True,True,True,True,True,True,True,0.1584488180387389,0.1584488180387389
A0_E3G,2,2,20002,-24.12936782836914,-6.032341957092285,0.03318486735224724,0.039494630424590844,True,0.3961989440722391,3,Eu2MgZn,Eu-Mg-Zn,3.2606462128987785,False,False,0.011124454104247228,0.001761336648967739,False,True,True,True,True,False,False,True,True,False,True,0.011124454104247228,0.011124454104247228
A0_E3G,3,3,20003,-57.96380615234375,-6.440422905815972,0.02792808972299099,0.2395420854504195,True,2.5216461509699,75,Fe3Ni2Ge3Pt,Fe-Ge-Ni-Pt,2.3539546657418926,False,False,0.1496510417475685,0.100934813234891,False,False,True,True,True,True,True,True,True,True,False,0.1496510417475685,0.1496510417475685
A0_E3G,4,4,20004,-28.96510887145996,-7.24127721786499,0.033944856375455856,0.13987009443813728,True,1.617096550995484,42,FeCo2Pt,Co-Fe-Pt,2.350238714059517,False,False,0.07823865028809251,1.1708509388233512,False,True,True,True,True,False,False,True,True,False,True,0.07823865028809251,0.07823865028809251
A0_E3G,5,5,20005,-61.89351272583008,-6.8770569695366754,0.031366728246212006,0.07512006053480938,True,0.6554386159405112,21,EuGaPd,Eu-Ga-Pd,2.747919465844824,False,False,0.035924876566696184,0.010939966834481132,False,True,True,True,True,False,False,True,True,False,True,0.035924876566696184,0.0
A0_E3G,6,6,20006,-95.9123306274414,-6.8508807591029575,0.04684467986226082,0.055765125400532765,True,0.30569704598747194,6,Mg2Mn4NiO7,Mg-Mn-Ni-O,2.13696396628346,False,False,0.1771744495867864,0.00047700181144623124,False,False,True,True,True,True,True,True,True,True,True,0.1771744495867864,0.1771744495867864
A0_E3G,7,7,20007,-101.42262268066406,-8.451885223388672,0.04804438725113869,0.2974162196230696,True,1.8935449119890109,50,EuGd2F9,Eu-F-Gd,2.1912729852036144,False,False,0.08565109411202165,0.034368993203360544,True,True,True,True,True,True,True,True,True,True,False,0.08565109411202165,0.0856510941120181
A0_E3G,8,8,20008,-26.37723159790039,-6.594307899475098,0.01889250986278057,0.03246334007350092,True,0.5153198130428791,15,Eu2HgAu,Au-Eu-Hg,3.094320416183657,False,False,0.15600615820659147,0.0014312369310948163,False,False,True,True,True,True,True,True,True,True,True,0.15600615820659147,0.15600615820659147
A0_E3G,9,9,20009,-34.025428771972656,-8.506357192993164,0.004828226752579212,0.02480895206478764,True,0.5885269419522956,12,Eu3Tl,Eu-Tl,3.3564732945247098,False,False,0.046054687023575624,0.004520958715027839,True,True,True,True,True,True,True,True,True,True,True,0.046054687023575624,0.016787511876328765
A0_E3G,10,10,20010,-72.75274658203125,-7.275274658203125,0.04698503389954567,0.36317359609514127,True,1.5160988939460367,67,EuO4,Eu-O,1.3600790424177303,False,False,0.192117321225604,0.05994905326807011,False,False,True,True,True,True,True,True,True,True,True,0.192117321225604,0.0
A0_E3G,11,11,20011,-42.57560348510742,-8.515120697021484,0.006240977440029383,0.006471362466072556,True,0.21870373201090842,3,Eu3HgN,Eu-Hg-N,2.5518080203471225,False,False,0.09888380138019137,0.0014671588070994672,False,True,False,False,True,False,False,True,True,False,True,0.09888380138019137,0.09888380138019137
A0_E3G,12,12,20012,-63.132110595703125,-7.891513824462891,0.04887968301773071,0.1143168690775167,True,0.9140983980614692,30,Eu5MgAu2,Au-Eu-Mg,2.8805068943100443,False,False,0.032556555148033794,0.061903748448715094,True,True,True,True,True,True,True,True,True,True,True,0.032556555148033794,0.032556555148033794
A0_E3G,13,13,20013,-32.84022903442383,-8.210057258605957,0.007497290149331093,0.01006378392853132,True,0.35457006411161274,8,Mn2PtRh,Mn-Pt-Rh,2.6613185163116806,False,False,0.012618744854600905,0.0005614305055360196,False,True,True,True,True,False,False,True,True,False,True,0.012618744854600905,0.0
A0_E3G,14,14,20014,-117.89408111572266,-6.549671173095703,0.04118409752845764,0.13029530602074887,True,1.2097537859808654,27,Mn2OF3,F-Mn-O,1.8677776863288853,False,False,0.16488261562746054,0.012282766510694505,False,False,True,True,True,True,True,True,True,True,True,0.16488261562746054,0.16488261562746054
A0_E3G,15,15,20015,-179.27259826660156,-8.963629913330077,0.03696729242801666,0.17898654542260978,True,1.5117071450222284,37,Gd2MgSbO6,Gd-Mg-O-Sb,2.109608472460823,False,False,0.22384309776886901,0.007872121943242615,False,False,True,True,True,True,True,True,True,True,False,0.22384309776886901,0.22384309776886901
A0_E3G,16,16,20016,-59.7423210144043,-7.467790126800537,0.0462893508374691,0.0680526321062358,True,0.48333334003109485,12,BeFe5Si2,Be-Fe-Si,2.319244759135515,False,False,0.00809658540000413,0.002352817698586703,True,True,False,False,True,True,True,True,True,True,True,0.00809658540000413,0.0
A0_E3G,17,17,20017,-116.28648376464844,-6.460360209147136,0.04802565649151802,0.35284833132710175,True,3.0159829809563234,89,Mn5FeO5F7,F-Fe-Mn-O,1.872032390085824,False,False,0.27361125725559,0.048227000024140244,False,False,True,True,True,True,True,True,True,True,False,0.27361125725559,0.27361125725559
A0_E3G,18,18,20018,-114.39219665527344,-7.14951229095459,0.049358002841472626,0.5838458752646329,True,1.7651411469560117,68,LiMn3O4,Li-Mn-O,1.9930089418900216,False,False,0.21475937636981612,0.040279122693049896,False,False,True,True,True,True,True,True,True,True,True,0.21475937636981612,0.17203025142606343
A0_E3G,19,19,20019,-90.22134399414062,-7.518445332845052,0.03861561045050621,0.18009785505520212,True,2.0344863899517804,62,FeCo2,Co-Fe,2.4206134246442237,False,False,0.09867403930768326,0.0783088930797914,False,True,True,True,True,False,False,True,True,False,True,0.09867403930768326,0.07681979489408874
A0_E3G,20,20,20020,-102.29351806640625,-6.393344879150391,0.04370354488492012,0.11568363667906013,True,1.1106923759216443,28,CaMn2FeS4,Ca-Fe-Mn-S,2.507883289263376,False,False,0.2643647606838675,0.005850600518011371,False,False,True,True,True,True,True,True,True,True,False,0.2643647606838675,0.2643647606838675
A0_E3G,21,21,20021,-83.72383117675781,-8.372383117675781,0.04019859805703163,0.6759954933436004,True,1.2488322400022298,43,Mn7HN2,H-Mn-N,1.8844891911639317,False,False,0.28419670595912194,0.03592644206076531,False,False,True,True,True,True,True,True,True,True,True,0.28419670595912194,0.28419670595912194
A0_E3G,22,22,20022,-70.6782455444336,-8.8347806930542,0.011102689430117607,0.01796457709027494,True,0.3014518159907311,6,PrEu3,Eu-Pr,3.843828272861112,False,False,0.09432459892594736,0.004843102861834108,False,True,True,True,True,False,False,True,True,False,True,0.09432459892594736,0.09432459892594736
A0_E3G,23,23,20023,-105.69358825683594,-7.0462392171223955,0.04911031574010849,0.446535766382177,True,2.331775591010228,74,V2Fe4O9,Fe-O-V,1.6798901841025122,False,False,0.2833738412647264,0.05288089651219519,False,False,True,True,True,True,True,True,True,True,True,0.2833738412647264,0.28337384126473
A0_E3G,24,24,20024,-29.158573150634766,-7.289643287658691,0.03601336106657982,0.16442652186908463,True,0.6108435249188915,18,Fe2NiPt,Fe-Ni-Pt,2.5698559646772066,False,False,0.08605600809416991,0.04614177460507344,False,True,True,True,True,False,False,True,True,False,True,0.08605600809416991,0.06424932990416998
A0_E3G,25,25,20025,-158.4576873779297,-7.922884368896485,0.1583128720521927,0.4950814901289159,False,13.841656610020436,500,Fe7SiB2,B-Fe-Si,1.992454455850755,False,False,0.21835590047469644,0.2454947121681223,False,False,True,True,True,True,True,True,True,True,True,0.21835590047469644,0.21835590047469644
A0_E3G,26,26,20026,-90.4863510131836,-6.463310786655971,0.04718559980392456,0.8028762705133115,True,7.203086222987622,252,Li3Fe2Si2O7,Fe-Li-O-Si,1.6166456954828776,False,False,0.36524979344804454,0.23903186294419054,False,False,True,True,True,True,True,True,True,True,True,0.36524979344804454,0.35170805843804054
A0_E3G,27,27,20027,-57.14186477661133,-6.349096086290148,0.0495709553360939,0.0695570153513996,True,0.9445503669558093,27,CaEuSi,Ca-Eu-Si,2.9906535887667633,False,False,0.002628926889963523,0.0031988637159376123,True,True,True,True,True,True,True,True,True,True,True,0.002628926889963523,0.002628926889963523
A0_E3G,28,28,20028,-177.68844604492188,-8.884422302246094,0.049894921481609344,0.31562077523554205,True,1.4255928300553933,55,Gd2FeCuO6,Cu-Fe-Gd-O,1.8402633572995999,False,False,0.21909574155982803,0.025976863334932012,False,False,True,True,True,True,True,True,True,True,True,0.21909574155982803,0.21909574155982803
A0_E3G,29,29,20029,-45.16565704345703,-9.033131408691407,0.028698083013296127,0.031559278059553504,True,0.30090378411114216,2,Eu3PtRh,Eu-Pt-Rh,2.7185480926628407,False,False,0.4982898777899205,0.00271563618629995,False,False,True,True,True,True,True,True,True,True,False,0.4982898777899205,0.4982898777899205
