metric,type,paired_count,baseline_mean,selected_mean,baseline_median,selected_median,mean_difference,median_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,test,p_value,wins,ties,losses
pre_relax_max_force_ev_ang,continuous,192,0.3596983237764997,0.26144614303452746,0.19918049253404613,0.16683745999573374,-0.09825218074197223,-0.00018242646602044323,-0.1427977680870793,-0.06144327966245493,Wilcoxon signed-rank,1.0295118726216634e-10,96,65,31
relaxation_steps,continuous,192,66.625,66.53645833333333,31.0,30.0,-0.08854166666666667,0.0,-1.4791666666666667,1.265625,Wilcoxon signed-rank,0.3686074227790228,52,98,42
relaxation_rmsd,continuous,192,0.07870125674399416,0.07165625020612044,0.0247917937835204,0.022211550674350503,-0.007045006537873727,-1.5722900694944975e-07,-0.019290450384709962,-0.000467253139374986,Wilcoxon signed-rank,1.0405826220201565e-05,117,0,75
energy_above_hull_per_atom_common_coverage,continuous,192,0.14227716465242798,0.14463017176653192,0.11702462380022724,0.11857942443797939,0.0023530071141039167,0.0,-0.00011220678470428784,0.007199008429769751,Wilcoxon signed-rank,0.8196132746066633,78,40,74
force_converged,binary,192,0.9791666666666666,0.9791666666666666,,,0.0,0.0,0.0,0.0,McNemar exact / paired discordant binomial,1.0,0,192,0
stable,binary,192,0.4479166666666667,0.4427083333333333,,,-0.005208333333333333,0.0,-0.015625,0.0,McNemar exact / paired discordant binomial,1.0,0,191,1
nus,binary,192,0.265625,0.265625,,,0.0,0.0,0.0,0.0,McNemar exact / paired discordant binomial,1.0,0,192,0
composition_validity,binary,192,0.8333333333333334,0.8333333333333334,,,0.0,0.0,0.0,0.0,McNemar exact / paired discordant binomial,1.0,0,192,0
structure_validity,binary,192,1.0,1.0,,,0.0,0.0,0.0,0.0,McNemar exact / paired discordant binomial,1.0,0,192,0
novel,binary,192,0.8020833333333334,0.8020833333333334,,,0.0,0.0,0.0,0.0,McNemar exact / paired discordant binomial,1.0,0,192,0
unique,binary,192,0.9739583333333334,0.9739583333333334,,,0.0,0.0,0.0,0.0,McNemar exact / paired discordant binomial,1.0,0,192,0
