method,seed,split,input_path,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_validity,novel,novel_unique,unique,converged,num_atoms,volume_ang3,volume_per_atom,mass_density_amu_ang3,minimum_distance_angstrom,atomic_number_mean,atomic_number_std,atomic_number_min,atomic_number_max,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,cell_condition,chgnet_energy_per_atom_ev,chgnet_force_rms_ev_ang,chgnet_max_force_ev_ang,chgnet_force_mean_ev_ang,chgnet_stress_rms_gpa,chgnet_stress_max_abs_gpa,chgnet_mag_density,chgnet_magmom_abs_mean,chgnet_magmom_abs_max,element_fraction_z001,element_fraction_z002,element_fraction_z003,element_fraction_z004,element_fraction_z005,element_fraction_z006,element_fraction_z007,element_fraction_z008,element_fraction_z009,element_fraction_z010,element_fraction_z011,element_fraction_z012,element_fraction_z013,element_fraction_z014,element_fraction_z015,element_fraction_z016,element_fraction_z017,element_fraction_z018,element_fraction_z019,element_fraction_z020,element_fraction_z021,element_fraction_z022,element_fraction_z023,element_fraction_z024,element_fraction_z025,element_fraction_z026,element_fraction_z027,element_fraction_z028,element_fraction_z029,element_fraction_z030,element_fraction_z031,element_fraction_z032,element_fraction_z033,element_fraction_z034,element_fraction_z035,element_fraction_z036,element_fraction_z037,element_fraction_z038,element_fraction_z039,element_fraction_z040,element_fraction_z041,element_fraction_z042,element_fraction_z043,element_fraction_z044,element_fraction_z045,element_fraction_z046,element_fraction_z047,element_fraction_z048,element_fraction_z049,element_fraction_z050,element_fraction_z051,element_fraction_z052,element_fraction_z053,element_fraction_z054,element_fraction_z055,element_fraction_z056,element_fraction_z057,element_fraction_z058,element_fraction_z059,element_fraction_z060,element_fraction_z061,element_fraction_z062,element_fraction_z063,element_fraction_z064,element_fraction_z065,element_fraction_z066,element_fraction_z067,element_fraction_z068,element_fraction_z069,element_fraction_z070,element_fraction_z071,element_fraction_z072,element_fraction_z073,element_fraction_z074,element_fraction_z075,element_fraction_z076,element_fraction_z077,element_fraction_z078,element_fraction_z079,element_fraction_z080,element_fraction_z081,element_fraction_z082,element_fraction_z083,element_fraction_z084,element_fraction_z085,element_fraction_z086,element_fraction_z087,element_fraction_z088,element_fraction_z089,element_fraction_z090,element_fraction_z091,element_fraction_z092,element_fraction_z093,element_fraction_z094
A0,20000,train,/data/dxl/results/formal_256/generation/A0/20000/generated_crystals.extxyz,0.0641999533062112,0.0302130227891821,True,True,True,True,True,True,True,True,8.0,188.93106729494525,23.616383411868156,4.581067647539597,2.493478825720934,45.5,22.951034835057,7.0,63.0,3.6168581256586485,5.1565810719923055,10.289234161376953,89.94322997022343,100.09251544923086,90.02105314690601,2.901960414002826,-8.710586547851562,0.09566280174190742,0.2675237968771197,0.1267743261971494,0.36581155411016875,0.9274695515632629,0.1436770737723733,3.3931328617036343,6.788817405700684,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,20000,train,/data/dxl/results/formal_256/generation/C0/20000/generated_crystals.extxyz,0.0902261836684381,1.1868150562564423,True,True,True,True,True,True,True,True,8.0,95.97216775645357,11.996520969556697,4.939261611792905,2.467543261106673,27.625,1.996089927833914,25.0,32.0,4.073441199539243,4.0746379906008015,7.0766801834106445,73.31436236751252,73.28822346627403,60.01470935103016,2.5664490160950733,-6.782261848449707,0.0726759945244293,0.1862567745278617,0.09472133797452845,1.587350765281432,2.7846901416778564,0.10565602892704987,1.2675047665834427,3.5930471420288086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3,20000,train,/data/dxl/results/formal_256/generation/G3/20000/generated_crystals.extxyz,0.358818151482744,1.2817329841964058,False,False,False,True,True,True,True,True,8.0,180.12145994202098,22.515182492752622,5.696367330857022,2.6532597551933725,52.75,27.11434122378783,7.0,78.0,3.9492791276831456,5.643625329125685,8.081465721130371,89.99099348534597,89.91496664997584,89.94541563215644,2.0463196502159593,-9.342355728149414,0.04707806733679131,0.1813688215346969,0.06089731446912342,1.4199932938848379,3.647479772567749,0.15191205846996575,3.4203277193009853,6.832121849060059,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,20001,train,/data/dxl/results/formal_256/generation/A0/20001/generated_crystals.extxyz,0.1584389557747414,0.0405218533907063,False,False,False,True,True,True,True,True,12.0,328.2728840419052,27.356073670158764,5.125801699738325,2.371011476099727,57.666666666666664,23.626726862225798,7.0,79.0,5.638720721413525,8.883861925106597,7.131783485412598,113.16732169694752,89.66308977126032,91.82254979301625,1.7182329912284484,-8.965983390808105,0.12194234421357526,0.325894625422243,0.18716183507874676,1.1467700425166645,2.289210557937622,0.1457807883916664,3.987989986936251,6.8653435707092285,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,20001,train,/data/dxl/results/formal_256/generation/C0/20001/generated_crystals.extxyz,0.0897128441543548,0.0806870655228773,True,True,True,True,True,True,True,True,12.0,91.19498426447169,7.599582022039307,2.9706906600733256,1.6365472334309905,10.166666666666666,18.229249999809525,1.0,63.0,4.666670355132741,4.568942981704109,4.80017614364624,85.97639253199226,90.4185018723293,63.38951636580555,1.6324510352966854,-5.026265621185303,0.1773338572758672,0.4149394649496022,0.29327823040045814,3.4361701221241656,6.2609710693359375,0.12322291353935066,0.9364426384369532,6.772953987121582,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3,20001,train,/data/dxl/results/formal_256/generation/G3/20001/generated_crystals.extxyz,0.172914716698294,1.498427274517825,False,False,False,True,True,True,True,True,12.0,309.82881124027307,25.81906760335609,4.130371203624388,2.358805702229062,44.666666666666664,25.927248643506744,8.0,63.0,6.3509699329234115,7.004103705283434,6.978888511657715,93.51197660258235,90.6621073689845,89.53931991871627,1.1349781676977726,-10.358314514160156,0.12702673415823298,0.36147849925400394,0.2073302791662619,0.32131035001678687,0.650445282459259,0.17552611845909347,4.531920718650023,6.939023971557617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,20002,train,/data/dxl/results/formal_256/generation/A0/20002/generated_crystals.extxyz,0.0111244541042472,0.0017613425766861,False,True,True,True,False,False,True,True,4.0,118.43141281718864,29.60785320429716,3.323552346771233,3.2606462128987785,42.0,21.94310825749169,12.0,63.0,3.840965199668082,3.845116447289075,8.018948554992676,90.01096495809355,90.05954808764345,89.95338646763132,2.0880289977748214,-6.004004001617432,0.0147059900407144,0.037162388466302716,0.018671372076737767,0.2038416970390642,0.447828471660614,0.11659365945470482,3.452087953686714,6.902955532073975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,20002,train,/data/dxl/results/formal_256/generation/C0/20002/generated_crystals.extxyz,0.1431204313383203,0.0017415208903415,False,False,True,True,True,True,True,True,4.0,140.42736354066275,35.10684088516569,3.3645508118023457,3.5685806193087144,49.5,21.68524844220144,12.0,63.0,4.016568991379132,5.917521580698769,5.908224582672119,90.01073956182826,90.06048382786932,89.96414401178525,1.473288259839214,-6.692331790924072,0.0020830478270032343,0.005152224484821985,0.003072392725988463,0.2559439015137538,0.6255204081535339,0.09881092197599213,3.4689393155276775,6.934173107147217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G3,20002,train,/data/dxl/results/formal_256/generation/G3/20002/generated_crystals.extxyz,0.0736636923191689,0.0018701084958816,False,True,True,True,False,False,True,True,4.0,180.6456165994156,45.1614041498539,2.294756867526123,3.8906495305777464,43.75,21.48691462262556,11.0,63.0,3.9781229610669393,3.984078646102389,13.228438377380371,82.0783763330411,81.90409002076484,60.819276640501926,4.651211220284635,-5.819030284881592,0.010432122068798122,0.028615518030307083,0.015640069264687126,0.17846273389317704,0.3945620059967041,0.07817656542599591,3.5305634662508965,7.052884101867676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0,20003,train,/data/dxl/results/formal_256/generation/A0/20003/generated_crystals.extxyz,0.1496501024843315,0.100934627364461,False,False,True,True,True,True,True,True,9.0,117.67316483550748,13.074796092834164,5.930798249333838,2.3539546657418926,34.22222222222222,15.67572630093191,26.0,78.0,3.1566515093817777,6.525609866600504,6.57043981552124,119.60737626989057,90.00509782567384,90.01824594049828,2.5355642786595136,-6.465799331665039,0.10773744383263698,0.360190164842049,0.16355871725751667,0.5244558498431507,1.447705864906311,0.048286800200112785,0.6313400665918986,2.4219725131988525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
