trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
0,baseline_first,0.16118185180968048,0.05101545496398782,0.5,0.125,0.875,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Q1_UQ_PQR,0.09707109660632647,0.017623336191314374,0.75,0.5,1.0,1.0,0.625,0.875,1.0,-0.064110755203354,-0.6545490733395436,0.25,0.375,0.125,0.0,0.125,-0.125
0,Q2_RFR,0.08189763627208475,0.013206078750910325,0.75,0.5,1.0,1.0,0.625,0.625,1.0,-0.07928421553759572,-0.7411357252379187,0.25,0.375,0.125,0.0,0.125,-0.375
0,Q4_CPRC,0.09707109660632647,0.017623336191314374,0.75,0.5,1.0,1.0,0.625,0.875,1.0,-0.064110755203354,-0.6545490733395436,0.25,0.375,0.125,0.0,0.125,-0.125
0,Q6_NS_SETRANK_PROXY,0.10470260370407687,0.017754021817081522,0.75,0.625,1.0,1.0,0.75,0.875,1.0,-0.056479248105603605,-0.6519873863790058,0.25,0.5,0.125,0.0,0.25,-0.125
1,baseline_first,0.13485729157323317,0.05908731519030028,0.5,0.375,1.0,1.0,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Q1_UQ_PQR,0.09010249236255294,0.014827024534619038,0.875,0.375,0.875,1.0,0.5,1.0,1.0,-0.044754799210680235,-0.7490658614820085,0.375,0.0,-0.125,0.0,-0.125,0.0
1,Q2_RFR,0.08995979864702418,0.013139681099782925,0.875,0.25,0.875,1.0,0.375,0.875,1.0,-0.044897492926208996,-0.7776226410446226,0.375,-0.125,-0.125,0.0,-0.25,-0.125
1,Q4_CPRC,0.09010249236255294,0.014827024534619038,0.875,0.375,0.875,1.0,0.5,1.0,1.0,-0.044754799210680235,-0.7490658614820085,0.375,0.0,-0.125,0.0,-0.125,0.0
1,Q6_NS_SETRANK_PROXY,0.09825854158084087,0.0168449429249133,0.75,0.625,0.875,1.0,0.75,0.875,1.0,-0.03659874999239231,-0.714914396251354,0.25,0.25,-0.125,0.0,0.125,-0.125
2,baseline_first,0.11955647564916333,0.037974986730660125,0.5,0.0,0.875,1.0,0.375,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Q1_UQ_PQR,0.07999704250776382,0.013245739351964273,0.875,0.375,0.875,1.0,0.375,0.875,1.0,-0.03955943314139951,-0.6511983151986207,0.375,0.375,0.0,0.0,0.0,0.125
2,Q2_RFR,0.06224018749889679,0.011220556280310762,0.875,0.25,1.0,1.0,0.25,0.75,1.0,-0.05731628815026654,-0.7045277103085452,0.375,0.25,0.125,0.0,-0.125,0.0
2,Q4_CPRC,0.07452671861566015,0.011830101561558375,0.75,0.25,0.875,1.0,0.25,0.875,1.0,-0.045029757033503176,-0.6884764793872324,0.25,0.25,0.0,0.0,-0.125,0.125
2,Q6_NS_SETRANK_PROXY,0.08168978492966736,0.0116901822315479,0.875,0.5,0.875,1.0,0.5,0.875,1.0,-0.03786669071949597,-0.6921609923273648,0.375,0.5,0.0,0.0,0.125,0.125
3,baseline_first,0.12615097727060104,0.05387698768218686,0.5,0.125,1.0,1.0,0.5,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
