trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change_vs_first,rmsd_relative_change_vs_first,stable_change_vs_first,nus_change_vs_first
0,baseline_first,0.13694945637766007,0.04961599203339115,0.40625,0.28125,0.890625,1.0,0.765625,0.984375,1.0,0.0,0.0,0.0,0.0
0,oracle_min_ehull,0.060056683613414645,0.022353614672779958,0.84375,0.4375,1.0,1.0,0.578125,0.921875,1.0,-0.07689277276424542,-0.5494675455095978,0.4375,0.15625
0,oracle_min_rmsd,0.09598025891258562,0.005744701753932514,0.609375,0.203125,1.0,1.0,0.53125,0.96875,1.0,-0.04096919746507445,-0.8842167309671773,0.203125,-0.078125
0,oracle_stable_quality,0.060056683613414645,0.022353614672779958,0.84375,0.4375,1.0,1.0,0.578125,0.921875,1.0,-0.07689277276424542,-0.5494675455095978,0.4375,0.15625
0,oracle_nus_quality,0.06834630619450348,0.019099146730040328,0.84375,0.625,1.0,1.0,0.78125,0.953125,1.0,-0.06860315018315659,-0.6150606700116615,0.4375,0.34375
1,baseline_first,0.1480020879830134,0.07785674869337054,0.328125,0.15625,0.84375,1.0,0.765625,0.96875,1.0,0.0,0.0,0.0,0.0
1,oracle_min_ehull,0.059681713811477556,0.026265795621290527,0.828125,0.40625,1.0,1.0,0.515625,0.921875,1.0,-0.08832037417153585,-0.6626394492180092,0.5,0.25
1,oracle_min_rmsd,0.10090293936771805,0.007479766466853959,0.578125,0.25,1.0,1.0,0.59375,0.921875,1.0,-0.04709914861529535,-0.9039291186392573,0.25,0.09375
1,oracle_stable_quality,0.059681713811477556,0.026265795621290527,0.828125,0.40625,1.0,1.0,0.515625,0.921875,1.0,-0.08832037417153585,-0.6626394492180092,0.5,0.25
1,oracle_nus_quality,0.07073682996840874,0.05436610095898613,0.828125,0.625,1.0,1.0,0.8125,0.96875,1.0,-0.07726525801460465,-0.3017162690276153,0.5,0.46875
2,baseline_first,0.15101151674684926,0.0599144175352878,0.359375,0.234375,0.828125,1.0,0.8125,0.953125,1.0,0.0,0.0,0.0,0.0
2,oracle_min_ehull,0.056522016146149996,0.04357416498463007,0.90625,0.4375,1.0,1.0,0.546875,0.9375,1.0,-0.09448950060069927,-0.2727265526871526,0.546875,0.203125
2,oracle_min_rmsd,0.11707099594220333,0.005610825927351689,0.53125,0.1875,1.0,1.0,0.578125,0.921875,1.0,-0.033940520804645935,-0.9063526583723012,0.171875,-0.046875
2,oracle_stable_quality,0.056522016146149996,0.04357416498463007,0.90625,0.4375,1.0,1.0,0.546875,0.9375,1.0,-0.09448950060069927,-0.2727265526871526,0.546875,0.203125
2,oracle_nus_quality,0.06345269970937766,0.04702884679680996,0.90625,0.671875,1.0,1.0,0.78125,0.96875,1.0,-0.0875588170374716,-0.2150662773428219,0.546875,0.4375
3,baseline_first,0.138833389242723,0.0419878052294847,0.453125,0.234375,0.796875,1.0,0.734375,0.9375,1.0,0.0,0.0,0.0,0.0
3,oracle_min_ehull,0.05419158489124416,0.04287441594445039,0.890625,0.484375,0.984375,1.0,0.609375,0.9375,1.0,-0.08464180435147885,0.02111590996766588,0.4375,0.25
3,oracle_min_rmsd,0.09348798223895365,0.0052946478359921,0.65625,0.234375,0.984375,1.0,0.5,0.921875,1.0,-0.045345407003769364,-0.8739003430387905,0.203125,0.0
3,oracle_stable_quality,0.05419158489124416,0.04287441594445039,0.890625,0.484375,0.984375,1.0,0.609375,0.9375,1.0,-0.08464180435147885,0.02111590996766588,0.4375,0.25
3,oracle_nus_quality,0.061448567477536756,0.044578650831193334,0.890625,0.671875,0.984375,1.0,0.796875,0.96875,1.0,-0.07738482176518625,0.061704716108602176,0.4375,0.4375
4,baseline_first,0.12860696805921842,0.029394318425092505,0.515625,0.28125,0.84375,1.0,0.6875,0.96875,1.0,0.0,0.0,0.0,0.0
4,oracle_min_ehull,0.05808711106223849,0.021917527080345584,0.84375,0.40625,1.0,1.0,0.515625,0.921875,1.0,-0.07051985699697993,-0.2543617864044212,0.328125,0.125
4,oracle_min_rmsd,0.0984424869802559,0.007571138190458281,0.609375,0.25,1.0,1.0,0.53125,0.890625,1.0,-0.030164481078962524,-0.7424285169342397,0.09375,-0.03125
