pool_id,seed,input_path,output_path,gate_probability,gate_applied,accepted_steps,fallback_count,backtracking_count,maximum_wrapped_displacement_angstrom,minimum_distance_angstrom,input_hash,output_hash,atomic_numbers_unchanged
0,33000,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33000/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/00/refined_structure.extxyz,0.1865726473799237,False,0,0,0,0.0,2.4183437402441315,da8a2a9a05563f1859585ee2d5df0505c454cddfded344c46d9e3b7991b5a334,da8a2a9a05563f1859585ee2d5df0505c454cddfded344c46d9e3b7991b5a334,True
1,33004,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33004/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/01/refined_structure.extxyz,0.8097072704699697,True,5,0,0,0.007810050831800199,1.9096947677874065,941046dbde7f1094b0809fb8918462ac07a3957fb1d04bb38e008a4207809fa4,73d328ecfe8f2590d9ab6842bb09637e07e2c6763a43cc1b9b37bd4d7105b412,True
2,33008,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33008/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/02/refined_structure.extxyz,0.31988960180276266,False,0,0,0,0.0,2.391532709744521,38f5c42d820277a4be4757d7758ce643cc373b8802545325ed64cbc91c9802c0,38f5c42d820277a4be4757d7758ce643cc373b8802545325ed64cbc91c9802c0,True
3,33012,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33012/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/03/refined_structure.extxyz,0.6894108238033386,True,5,0,0,0.01789925611071716,2.275909248794984,67dadbbb6da7cfbd8f33fc16c429408604402e1cbe128819fec8cd1660ab1a55,5f7ad6f31e490e3d14aaaf708efc91bc5f867dcec6b85824320f8ea23d4257d8,True
4,33016,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33016/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/04/refined_structure.extxyz,0.869866387732314,True,5,0,0,0.009452356202656989,1.8127091569302036,1965855e68441027ab5aad13f954bfac65d3cc8e5daa0966f7a4c0d4d89e512b,cb91ddc9dd588eef6d41bc5d18a029971adae953c0290e5cbe0aad08ea54de63,True
5,33020,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33020/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/05/refined_structure.extxyz,0.9704095932599551,True,5,0,0,0.007340622812071075,1.97521353976607,2f66e7816732c659cb29bf8036c658b2d89b42b89a2799a4edddd58b8d65f336,6f8b0bc72ad387a5a633dea2b4bbc8e340f8c8a09fda3ff2256324b7d3bfa175,True
6,33024,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33024/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/06/refined_structure.extxyz,0.043370024981661134,False,0,0,0,0.0,2.527136206809335,96b697dfa2d48b8263f9d9ce4a3c4130372edb48231aa221c77d90345dc6977e,96b697dfa2d48b8263f9d9ce4a3c4130372edb48231aa221c77d90345dc6977e,True
7,33028,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33028/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/07/refined_structure.extxyz,0.7257228385610469,True,5,0,0,0.005982342023555783,1.8918550493822164,608b7b37e4e57cd7640d5142d2882b8c425a48c52716dd82677c0662e9ac6693,bca6de4d17715184b96b6d5517a82e8337cdfda00e3131d568f8b3cc05da10b9,True
8,33032,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33032/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/08/refined_structure.extxyz,0.9973557612873187,True,5,0,0,0.013225615433351287,1.2884896825825265,ef24f18eba02b93ab8b4a8b1619f611deb38785c5eb61e7f386ddd9e2246f2fb,8dd0dba19e1db548eadc680a0e32deef81179741867b5133acc177579213902b,True
9,33036,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33036/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/09/refined_structure.extxyz,0.3681392798440944,False,0,0,0,0.0,3.106011964314598,1afeaf11a55e26a3fdec86567418d630754259bea7aee5e54b3768f3df276f0c,1afeaf11a55e26a3fdec86567418d630754259bea7aee5e54b3768f3df276f0c,True
10,33040,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33040/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/10/refined_structure.extxyz,0.5706430538136976,True,5,0,0,0.012978602736970485,1.9168138764935843,f4840a2ebb20d48cc384dc79ef5440ef218897414af0cd6e088f596b8dfe0766,7b6d5e0772624e3f47346fdb9ac93c8431fd1e3bcce4aba22f1c5fa8e3064599,True
11,33044,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33044/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/11/refined_structure.extxyz,0.9576827166664669,True,5,0,0,0.008173899862060718,1.9934582710711193,39f3442552760599497dd794256a08682caf863add79eb723de839310f22f61a,039fd5e64d0e37d24260e6180f123a4bacf36346582d3c1f0291e67944a3f3e5,True
12,33048,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33048/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/12/refined_structure.extxyz,0.007586791330047012,False,0,0,0,0.0,3.1545821238250524,77b11bced5a1187b42b2a40d765466ccdc2ff6ed02823942e48d379c5ab51a75,77b11bced5a1187b42b2a40d765466ccdc2ff6ed02823942e48d379c5ab51a75,True
13,33052,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33052/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/13/refined_structure.extxyz,0.9970094720753525,True,5,0,0,0.010649475630555797,1.8180259901531168,b24a9a12fc461baa2c0390376858a7d91d9113e05a18096e5d9f0cbb993f8da9,3d37fc9444995ab3533af8679b8d0d6544d56a4ea4456fd48e9b01099a2f8ce4,True
14,33056,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33056/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/14/refined_structure.extxyz,0.8474092394393987,True,5,0,0,0.01703475026559741,1.8710190574037562,48f3ce91582be964e1dc70951b70d7535b3808588f3ce126b1d357a9fbc7ad19,ae5de4c7e2e755cac80c8df08aef9fad0df7f633ffa95f7b28eb2dadaf3c055c,True
15,33060,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33060/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/15/refined_structure.extxyz,0.9819950579129718,True,5,0,0,0.04078983015312698,1.8369538828322063,2b404e0d494bd311fc14531a8119f3d81e6cb785b40c9bc4d4cd64c3d4b0b62a,e99097e68ae4bd8b7a4f9916fd30153335d7368f2046bfd22bd952550a03f7d5,True
16,33064,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33064/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/16/refined_structure.extxyz,0.964988495105644,True,5,0,0,0.011119410531219636,2.476821978776545,b1446853c3756cf5c300719610db897ac75e5fb14537c95270d76c65ecad02c1,ae33d2b685e1eea8e5498ac135231b969757c0a6c43e2c377d9577f67e5329f4,True
17,33068,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33068/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/17/refined_structure.extxyz,0.033681289870987896,False,0,0,0,0.0,2.955142713757437,11545b5cd34177bba84865940b949098bc156e68cbb0f3372f4e84c96ceec58e,11545b5cd34177bba84865940b949098bc156e68cbb0f3372f4e84c96ceec58e,True
18,33072,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33072/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/18/refined_structure.extxyz,0.7670725907167142,True,5,0,0,0.01321114811957294,2.2159948762797033,20fa5e5f33249146d161780db2f3005019d961fb0c1df0859961b3dea71afa27,d568737620c48633de365bdf9b3a4cf85e998dc11d48bc2fcadaef0cc9e6417e,True
19,33076,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33076/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/19/refined_structure.extxyz,0.17284295214905052,False,0,0,0,0.0,2.536170739244414,7dbef2ed97dba3cb436383289b9f625779a9a0308e31b2c4975f4f0a0a56385a,7dbef2ed97dba3cb436383289b9f625779a9a0308e31b2c4975f4f0a0a56385a,True
20,33080,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33080/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/20/refined_structure.extxyz,0.02196540172961282,False,0,0,0,0.0,2.9982158941809938,5ff714801f953bcf9c3c0d9b98f33188e6dc7e0ccd55f483a5261eca81ea6acf,5ff714801f953bcf9c3c0d9b98f33188e6dc7e0ccd55f483a5261eca81ea6acf,True
21,33084,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33084/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/21/refined_structure.extxyz,0.13310117459459211,False,0,0,0,0.0,3.7463260583796107,08b35865f666d92443589b2e7615fe6427668ac177b9a5dd4acc171435553cef,08b35865f666d92443589b2e7615fe6427668ac177b9a5dd4acc171435553cef,True
22,33088,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33088/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/22/refined_structure.extxyz,0.19655209518594155,False,0,0,0,0.0,2.818862684314707,00ecba44a735d56d02a0949c15d2ee798d46b0e28a27ee3fe8be6462064b8219,00ecba44a735d56d02a0949c15d2ee798d46b0e28a27ee3fe8be6462064b8219,True
23,33092,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33092/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/23/refined_structure.extxyz,0.4810931245268408,False,0,0,0,0.0,2.305198279067868,7d72d3b6861e7bcef422f31c381f9ebff48cee6d4081f5dc85ddcdfc3593a633,7d72d3b6861e7bcef422f31c381f9ebff48cee6d4081f5dc85ddcdfc3593a633,True
24,33096,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33096/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/24/refined_structure.extxyz,0.4861255167796935,False,0,0,0,0.0,1.9925920923032838,235cd51a2ad77b1a50577339c705baf08b444ad748dbf782f38ddc12c8ff5ccf,235cd51a2ad77b1a50577339c705baf08b444ad748dbf782f38ddc12c8ff5ccf,True
25,33100,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33100/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/25/refined_structure.extxyz,0.7538036728872314,True,5,0,0,0.006910408607318508,1.9012097049407426,2530725c085ded0f91d82d98bde58318329bd9285dd5d71fa1b17a63284f7a32,24bced3e789d978d9f6553bb08d308d25797d5b3a493fc295ee7cd2873f6111f,True
26,33104,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33104/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/26/refined_structure.extxyz,0.9012184777896852,True,5,0,0,0.022404299319927313,0.97959545978041,953c3803195a9300f0778bbcac0786c68aa7c19f804cdcbe4e7d821dfe8f5c7c,e01159d8d0a2b62bb2b3826bfa42543965ab6a993d27d028cfeab0c51bdf89be,True
27,33108,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33108/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/27/refined_structure.extxyz,0.970982348664301,True,5,0,0,0.01068696258010664,2.6446383000965494,bf253ee8fe5ca1ba9c6d3adb1d42ade1639a24e52737886ca40c1fc0ead4f81f,63c11472278352bd918857b1eb078004c927935412b21ae5f0706d3f0b9ce620,True
28,33112,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33112/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/28/refined_structure.extxyz,0.9965276186195972,True,5,0,0,0.015008087797137509,1.6816549790463697,610ffaf711a944d02bcffba4930b6c2950bdbf385d258807ba16792bf979abc9,a4f1212e55ab3ca490e0060763015f6ce27be432209504db448ea3c4e242c3c1,True
29,33116,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33116/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/29/refined_structure.extxyz,0.9414165777518824,True,5,0,0,0.00011085364901494972,3.5933351537063127,accae62ea8672a1b9ab5b58284804c5cbc57e0f5d31c36b2ea37da118802ead7,0bdaf2e20b89ca37d5a360a83f8ac41d6669c24740361f61b50c04342707a851,True
30,33120,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33120/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/30/refined_structure.extxyz,0.9274687408622322,True,5,0,0,0.012710061730353236,2.477648838621987,a50531601a58370517c225f137a549984c091c910a5ad4cc13a9ba6e6f91ce69,1d400c2970dd630471f9964d2a7dda1af53c495dc8dd73acfad303e1b08b298a,True
31,33124,/data/dxl/results/postgen_fastgate/new_eval/generation/C0/33124/generated_crystals.extxyz,/data/dxl/results/postgen_fastgate/q3_refiner/refined/31/refined_structure.extxyz,0.9816169466574622,True,5,0,0,0.00751307468203979,2.8835956791408446,2326fee1e6d60e94aeed5112c0a0fc8f638a68b644e14e260853cf83c65a4182,a87e8e73f9cd7d9f5980f13a75db9a0984054882d909563dfeaf3ade9087d0c0,True
