trial,baseline_energy_above_hull_per_atom,baseline_rmsd_from_relaxation,baseline_stable,baseline_novel_unique_stable,baseline_comp_validity,baseline_structure_validity,baseline_novel,baseline_unique,baseline_converged,selected_energy_above_hull_per_atom,selected_rmsd_from_relaxation,selected_stable,selected_novel_unique_stable,selected_comp_validity,selected_structure_validity,selected_novel,selected_unique,selected_converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
0,0.16118185180968048,0.05101545496398782,0.5,0.125,0.875,1.0,0.5,1.0,1.0,0.1160232545024827,0.023451755690774026,0.625,0.625,1.0,1.0,0.75,0.75,1.0,-0.045158597307197776,-0.5403009596341188,0.125,0.5,0.125,0.0,0.25,-0.25
1,0.13485729157323317,0.05908731519030028,0.5,0.375,1.0,1.0,0.625,1.0,1.0,0.12322340815442574,0.051668794041092175,0.5,0.5,1.0,1.0,0.75,0.875,1.0,-0.01163388341880743,-0.12555184010841502,0.0,0.125,0.0,0.0,0.125,-0.125
2,0.11955647564916333,0.037974986730660125,0.5,0.0,0.875,1.0,0.375,0.75,1.0,0.11127535823045204,0.04788596619780971,0.625,0.5,1.0,1.0,0.75,0.75,1.0,-0.008281117418711292,0.26098704227189873,0.125,0.5,0.125,0.0,0.375,0.0
3,0.12615097727060104,0.05387698768218686,0.5,0.125,1.0,1.0,0.5,0.625,1.0,0.09645287032557677,0.017896545392238086,0.75,0.5,1.0,1.0,0.625,1.0,1.0,-0.02969810694502427,-0.6678257979490723,0.25,0.375,0.0,0.0,0.125,0.375
4,0.15378359353523413,0.04880628554953319,0.375,0.0,0.75,1.0,0.375,0.875,1.0,0.11822872100453558,0.0371347138371174,0.75,0.5,0.875,1.0,0.625,0.875,1.0,-0.035554872530698556,-0.23914074961861997,0.375,0.5,0.125,0.0,0.25,0.0
5,0.16943452388494212,0.11163167582587157,0.125,0.0,0.75,1.0,0.625,1.0,1.0,0.09770271637127444,0.048287199602998654,0.75,0.5,0.875,1.0,0.625,0.875,1.0,-0.07173180751366769,-0.5674417745164075,0.625,0.5,0.125,0.0,0.0,-0.125
6,0.19154995931735752,0.03880780265282924,0.125,0.0,0.75,1.0,0.625,0.875,1.0,0.09765584024424387,0.03963945949750527,0.625,0.375,1.0,1.0,0.5,0.875,1.0,-0.09389411907311365,0.0214301451725043,0.5,0.375,0.25,0.0,-0.125,0.0
7,0.11151607194514199,0.08590091058682607,0.625,0.25,0.875,1.0,0.625,1.0,1.0,0.12913683972720708,0.05959413939768934,0.625,0.5,1.0,1.0,0.75,0.875,1.0,0.01762076778206509,-0.30624554512197677,0.0,0.25,0.125,0.0,0.125,-0.125
8,0.17747910114220009,0.06827434111556113,0.375,0.125,0.75,1.0,0.625,1.0,1.0,0.08881519014744338,0.048601869242839726,0.875,0.5,0.75,1.0,0.625,1.0,1.0,-0.0886639109947567,-0.28813858253752733,0.5,0.375,0.0,0.0,0.0,0.0
9,0.19066754023423313,0.045596031420550145,0.25,0.0,0.75,1.0,0.5,0.75,1.0,0.13913239142809025,0.058528413020184425,0.5,0.5,1.0,1.0,0.75,0.875,1.0,-0.05153514880614288,0.28362954399153373,0.25,0.5,0.25,0.0,0.25,0.125
10,0.11263451391439956,0.05974300753786465,0.5,0.25,0.875,1.0,0.5,1.0,1.0,0.12196338325285346,0.05057940456473268,0.5,0.375,0.875,1.0,0.625,0.875,1.0,0.009328869338453893,-0.15338369042308675,0.0,0.125,0.0,0.0,0.125,-0.125
11,0.18567766794539795,0.07299914876548495,0.25,0.125,0.75,1.0,0.75,0.875,1.0,0.11799576301766154,0.045524964091069875,0.625,0.5,0.875,1.0,0.75,0.875,1.0,-0.0676819049277364,-0.37636308284467646,0.375,0.375,0.125,0.0,0.0,0.0
12,0.14815493800868235,0.033681108273854336,0.625,0.125,0.875,1.0,0.5,1.0,1.0,0.10217250041101383,0.05601492080391374,0.625,0.5,0.75,1.0,0.75,0.875,1.0,-0.04598243759766851,0.6630961293930013,0.0,0.375,-0.125,0.0,0.25,-0.125
13,0.1611515060582772,0.024046834684660626,0.5,0.125,0.875,1.0,0.5,0.875,1.0,0.10258860945456112,0.022963709698653214,0.75,0.5,0.875,1.0,0.5,0.75,1.0,-0.058562896603716066,-0.045042310150630094,0.25,0.375,0.0,0.0,0.0,-0.125
14,0.17808797106424845,0.057911731025030715,0.5,0.125,1.0,1.0,0.625,1.0,1.0,0.14701286682325673,0.0552092349143099,0.5,0.5,1.0,1.0,0.875,1.0,1.0,-0.03107510424099172,-0.046665780194909634,0.0,0.375,0.0,0.0,0.25,0.0
15,0.15987496391721606,0.035914914806847095,0.25,0.0,0.875,1.0,0.25,0.75,1.0,0.09981684224227924,0.015342789469090625,0.625,0.5,0.875,1.0,0.625,0.875,1.0,-0.06005812167493682,-0.5728017301000097,0.375,0.5,0.0,0.0,0.375,0.125
16,0.1767074505936464,0.0636676299612472,0.25,0.25,0.875,1.0,0.875,0.875,1.0,0.146428061376694,0.060840658797184415,0.5,0.375,1.0,1.0,0.625,0.875,1.0,-0.03027938921695239,-0.0444020166257717,0.25,0.125,0.125,0.0,-0.25,0.0
17,0.13819049791219878,0.07922533584688186,0.375,0.0,0.875,1.0,0.375,0.875,1.0,0.0795132579874793,0.013465544888294287,1.0,0.625,0.875,1.0,0.625,1.0,1.0,-0.05867723992471949,-0.8300348651810194,0.625,0.625,0.0,0.0,0.25,0.125
18,0.1652310128091866,0.06985646869730211,0.375,0.0,0.625,1.0,0.5,0.875,1.0,0.1107392045892873,0.025261410187505724,0.625,0.5,1.0,1.0,0.5,0.875,1.0,-0.054491808219899296,-0.6383812314222901,0.25,0.5,0.375,0.0,0.0,0.0
19,0.11708283655017176,0.02655480096746466,0.5,0.25,0.75,1.0,0.625,1.0,1.0,0.11482259256736133,0.013563109426170675,0.75,0.5,0.875,1.0,0.75,0.875,1.0,-0.0022602439828104393,-0.4892407801215155,0.25,0.25,0.125,0.0,0.125,-0.125
20,0.10297183141932029,0.02182214376855265,0.625,0.125,0.875,1.0,0.375,0.875,1.0,0.10427877461350363,0.017189584655554223,0.75,0.625,0.875,1.0,0.75,0.875,1.0,0.001306943194183341,-0.2122870769311993,0.125,0.5,0.0,0.0,0.375,0.0
21,0.13014584857114558,0.08766557354242538,0.5,0.375,0.75,1.0,0.75,1.0,1.0,0.09275749544827303,0.015544052060215748,0.875,0.5,0.875,1.0,0.625,1.0,1.0,-0.03738835312287256,-0.8226892104607828,0.375,0.125,0.125,0.0,-0.125,0.0
22,0.13835881640653067,0.0239829003420672,0.75,0.25,0.75,1.0,0.5,1.0,1.0,0.11761488772839408,0.01844383552053014,0.75,0.625,1.0,1.0,0.875,0.875,1.0,-0.020743928678136583,-0.23095892250451733,0.0,0.375,0.25,0.0,0.375,-0.125
23,0.19429735454704095,0.060549539169211894,0.125,0.0,0.875,1.0,0.625,0.875,1.0,0.12035611496325743,0.05232810541157418,0.625,0.5,0.875,1.0,0.75,1.0,1.0,-0.07394123958378351,-0.13578028619940574,0.5,0.5,0.0,0.0,0.125,0.125
24,0.12663273173385176,0.06313178484901082,0.375,0.125,0.75,1.0,0.375,0.875,1.0,0.09263205568591511,0.0467624661807403,0.75,0.5,0.875,1.0,0.625,0.875,1.0,-0.03400067604793665,-0.25928807030278345,0.375,0.375,0.125,0.0,0.25,0.0
25,0.12576902174675902,0.0297795045740189,0.5,0.25,0.75,1.0,0.625,1.0,1.0,0.09340309601392444,0.012034535480850601,0.875,0.5,0.75,1.0,0.625,1.0,1.0,-0.03236592573283459,-0.5958785865312843,0.375,0.25,0.0,0.0,0.0,0.0
26,0.14152860465572753,0.11344872665462316,0.25,0.0,0.75,1.0,0.625,0.875,1.0,0.13279162335900213,0.054515900577148696,0.625,0.5,1.0,1.0,0.875,0.875,1.0,-0.008736981296725399,-0.519466615582969,0.375,0.5,0.25,0.0,0.25,0.0
27,0.14227139531651042,0.12724967076667937,0.25,0.125,0.75,1.0,0.625,0.875,1.0,0.08233158355048995,0.013052780908831113,0.875,0.625,1.0,1.0,0.625,1.0,1.0,-0.05993981176602048,-0.89742385319987,0.625,0.5,0.25,0.0,0.0,0.125
28,0.18145851211790348,0.06230204138531696,0.25,0.0,0.875,1.0,0.625,0.875,1.0,0.09087979422969733,0.05618913531437614,0.75,0.375,0.625,1.0,0.625,1.0,1.0,-0.09057871788820615,-0.0981172676692017,0.5,0.375,-0.25,0.0,0.0,0.125
29,0.14850163130460367,0.0773960565253524,0.375,0.0,0.625,1.0,0.5,0.875,1.0,0.13189847289257622,0.04727499109955437,0.625,0.375,0.875,1.0,0.75,0.875,1.0,-0.016603158412027447,-0.3891808805004344,0.25,0.375,0.25,0.0,0.25,0.0
30,0.18693330722856302,0.05109885347932034,0.0,0.0,0.75,1.0,0.625,0.875,1.0,0.11014968997907866,0.017892264618009187,0.625,0.5,1.0,1.0,0.625,1.0,1.0,-0.07678361724948436,-0.6498499790166492,0.625,0.5,0.25,0.0,0.0,0.125
31,0.12523612397291037,0.024233999017868612,0.5,0.5,0.875,1.0,0.75,0.875,1.0,0.07813426895855265,0.014964035313313626,0.75,0.5,0.625,1.0,0.625,1.0,1.0,-0.04710185501435772,-0.3825189436427683,0.25,0.0,-0.25,0.0,-0.125,0.125
32,0.1625983065474626,0.029735824210576387,0.5,0.125,0.875,1.0,0.625,0.875,1.0,0.08156665863697218,0.04679531578194656,0.875,0.5,0.875,1.0,0.625,1.0,1.0,-0.08103164791049042,0.5737016553017718,0.375,0.375,0.0,0.0,0.0,0.125
33,0.14577516549690983,0.04286865898016653,0.375,0.25,0.875,1.0,0.5,0.75,1.0,0.071535581721859,0.0067079466827449,0.875,0.5,0.875,1.0,0.5,0.875,1.0,-0.07423958377505083,-0.8435232908533861,0.5,0.25,0.0,0.0,0.0,0.125
