method,seed,evaluation_index,split,input_path,input_hash,num_atoms,volume_ang3,volume_per_atom,mass_density_amu_ang3,minimum_distance_angstrom,atomic_number_mean,atomic_number_std,atomic_number_min,atomic_number_max,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,cell_condition,chgnet_energy_per_atom_ev,chgnet_force_rms_ev_ang,chgnet_max_force_ev_ang,chgnet_force_mean_ev_ang,chgnet_stress_rms_gpa,chgnet_stress_max_abs_gpa,chgnet_mag_density,chgnet_magmom_abs_mean,chgnet_magmom_abs_max,element_fraction_z001,element_fraction_z002,element_fraction_z003,element_fraction_z004,element_fraction_z005,element_fraction_z006,element_fraction_z007,element_fraction_z008,element_fraction_z009,element_fraction_z010,element_fraction_z011,element_fraction_z012,element_fraction_z013,element_fraction_z014,element_fraction_z015,element_fraction_z016,element_fraction_z017,element_fraction_z018,element_fraction_z019,element_fraction_z020,element_fraction_z021,element_fraction_z022,element_fraction_z023,element_fraction_z024,element_fraction_z025,element_fraction_z026,element_fraction_z027,element_fraction_z028,element_fraction_z029,element_fraction_z030,element_fraction_z031,element_fraction_z032,element_fraction_z033,element_fraction_z034,element_fraction_z035,element_fraction_z036,element_fraction_z037,element_fraction_z038,element_fraction_z039,element_fraction_z040,element_fraction_z041,element_fraction_z042,element_fraction_z043,element_fraction_z044,element_fraction_z045,element_fraction_z046,element_fraction_z047,element_fraction_z048,element_fraction_z049,element_fraction_z050,element_fraction_z051,element_fraction_z052,element_fraction_z053,element_fraction_z054,element_fraction_z055,element_fraction_z056,element_fraction_z057,element_fraction_z058,element_fraction_z059,element_fraction_z060,element_fraction_z061,element_fraction_z062,element_fraction_z063,element_fraction_z064,element_fraction_z065,element_fraction_z066,element_fraction_z067,element_fraction_z068,element_fraction_z069,element_fraction_z070,element_fraction_z071,element_fraction_z072,element_fraction_z073,element_fraction_z074,element_fraction_z075,element_fraction_z076,element_fraction_z077,element_fraction_z078,element_fraction_z079,element_fraction_z080,element_fraction_z081,element_fraction_z082,element_fraction_z083,element_fraction_z084,element_fraction_z085,element_fraction_z086,element_fraction_z087,element_fraction_z088,element_fraction_z089,element_fraction_z090,element_fraction_z091,element_fraction_z092,element_fraction_z093,element_fraction_z094
C0,40000,0,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40000/generated_crystals.extxyz,2830b2e216236792653f5ec35f20c07c685a0308072dcdcf4f3c72edba6f2794,4.0,98.52603450358284,24.631508625895712,4.003566574940716,3.0963663578861755,42.0,21.748563170931547,13.0,63.0,3.576445069110103,3.5735418931807037,7.709318161010742,90.25380551480936,90.29576337764784,90.283216312564,2.161953999226716,-7.188466548919678,0.0273633758222424,0.0695195289194902,0.0359983522428546,0.9737168822298754,2.2402238845825195,0.1391393265880969,3.4272115230560303,6.85245418548584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,40001,1,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40001/generated_crystals.extxyz,5a92f8893f7803a12ef6e0d22cf7de6bd68dd89894d3d2e06f9c4cf1bbcd5d38,18.0,228.2544116213416,12.68080064563009,2.4949911063394885,2.0360403443749795,14.666666666666666,8.34665601703261,3.0,25.0,3.158085661264684,6.156754456904735,11.74867343902588,87.72409472573365,90.15949425698624,90.12888818207924,3.721325956166185,-7.773241519927978,0.090145747866999,0.289271208002997,0.1383525992305978,0.8425014552078348,1.7013362646102903,0.1438984164268271,1.824747131930457,4.791672229766846,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,40002,2,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40002/generated_crystals.extxyz,f32204ab4b07b78b201ba7d705d5fd168b2d230b0f2415ce318f517ab91b2763,4.0,130.7321271922059,32.68303179805147,4.7488122723441215,3.5777818170073448,64.0,1.7320508075688772,63.0,67.0,5.0703751252355,5.084801944966216,5.07071590423584,90.08796851201129,90.05173435701802,89.92261645487707,1.003648106228762,-8.67921257019043,0.0107953101707974,0.0249545708770637,0.0181336803362048,2.6568233270242816,4.6025004386901855,0.1581813795064711,5.169847056269646,6.886327266693115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,40003,3,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40003/generated_crystals.extxyz,5a802559b3fcbd531bde4d3e025b04f2e4b80e00a7000694e29779e5a95999f8,15.0,201.84522524922613,13.456348349948408,5.331838861539412,2.3359403846409696,32.0,14.51895313030523,26.0,69.0,4.914504429312832,6.287073063781787,7.343132495880127,77.5362524938114,83.67307519777185,65.69450708536274,1.9077191667352933,-7.594308853149414,0.0956461516248225,0.2703792826577604,0.1527934380950238,0.5474628090796791,1.1574913263320925,0.1335202971140788,1.796695629755656,2.5931289196014404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,40004,4,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40004/generated_crystals.extxyz,8063e6a09ef6ce1a915449575e3a9e512a851c2aa51e2b1b2372030aad921931,9.0,303.3379945618725,33.70422161798584,5.02683088612883,3.107214967442534,69.11111111111111,8.748897637790902,63.0,83.0,4.585367842398805,8.741713856713957,8.733358383178711,119.94409216850453,90.0152679789616,89.93960997109417,2.333128515542222,-9.169727325439451,0.0337457135796921,0.0975168923946901,0.0485944562146897,0.2620953695541924,0.561211109161377,0.1366949613515013,4.60719727145301,6.935810565948486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,40005,5,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40005/generated_crystals.extxyz,66d679a1923d3ea8f42d2e3c4560c97ba31a8a0ca19ee4c9ebe02f0430cbe366,9.0,124.91367307983651,13.879297008870724,9.695918358160132,2.564595107375171,55.333333333333336,25.342103744997612,27.0,78.0,3.751877954772455,6.068427077529187,6.066654682159424,84.44721598594789,72.00134601769324,71.9676400662413,2.018363450368068,-6.540759086608887,0.0672285592887817,0.1531478230260248,0.1061087873346915,1.6096257313990718,2.8769986629486084,0.0556158408327831,0.7719087733162774,1.671273708343506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,40006,6,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40006/generated_crystals.extxyz,851732bd338147f7f1a1ad1e1ced5502b327f8a64be4b5c910bd1479cfeacd0d,9.0,96.01471643309908,10.668301825899896,3.800605340060178,1.689348475842667,17.444444444444443,25.45196395439461,1.0,63.0,5.1355790517199935,5.139153288659141,5.141059875488281,60.02546461960071,60.0364141408051,60.03541674325741,1.9989734375002528,-6.075759410858154,0.0264237720529794,0.0706374094659827,0.0411120576933871,0.1806531111062224,0.3355360627174377,0.1658960767896,1.7698294189241195,6.780511379241943,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,40007,7,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40007/generated_crystals.extxyz,7e90160f34d7a6b322d7a8b30ae25889bab15e44b244c51ed6b464973f7e4251,3.0,37.42132652534979,12.47377550844993,4.731793777541531,2.576885653528756,27.33333333333333,1.8856180831641267,26.0,30.0,2.545680843722877,3.790770752971367,4.499942302703857,114.79799462379796,106.5566405642085,90.06475222286433,2.185661510114413,-6.000446319580078,0.0675977479346883,0.1459924359004146,0.0973341149984332,1.0378801206346246,2.051444292068481,0.1386722796372103,1.729766885439555,2.5850303173065186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,40008,8,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40008/generated_crystals.extxyz,a7853ae9349ea568a57934aa58e6b20502dff524d614c13a3bb25703d93d4927,4.0,46.78522465158775,11.696306162896937,5.120964787156776,2.4749015044121165,27.25,2.48746859276655,24.0,31.0,2.6220845206278134,2.6230794453902595,6.80222749710083,89.95358453825742,89.96065378483964,89.93047117962846,2.5953646045015413,-6.757991790771484,0.0149049048945001,0.0371196388438935,0.0191008901026183,1.1533178109957458,2.506743669509888,0.0285311088527432,0.3337085843086242,0.6400852203369141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,40009,9,formal256_independent,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40009/generated_crystals.extxyz,1187292069bc2036a221987131d7e39394e9b4e58361613d4e2cc2609d30555c,9.0,122.20846672307634,13.57871852478626,6.038104558435332,2.610872954681076,36.55555555555556,9.441175904999112,26.0,45.0,3.7689734699982087,6.039250707599313,5.951542854309082,107.047013936917,108.46067118787676,89.98905415250891,2.018236413429783,-7.817968368530273,0.0870710373095135,0.2502423641350736,0.1360901220692697,0.5471485293965715,1.1319189071655271,0.1032125788191936,1.4014945560031469,3.121212244033813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
