attempt,candidate_index,elapsed_seconds,error,gpu,output_dir,pool_id,return_code,seed,slot,status
1,0,301.74729816499166,,0,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40000,0,0,40000,0,success
1,0,264.7196316369809,,1,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40001,1,0,40001,0,success
1,0,214.71660245000385,,2,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40002,2,0,40002,0,success
1,0,225.37220194202382,,3,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40003,3,0,40003,0,success
1,0,242.7663073730655,,4,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40004,4,0,40004,0,success
1,0,213.84807038097642,,5,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40005,5,0,40005,0,success
1,0,227.75117085094098,,6,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40006,6,0,40006,0,success
1,0,211.95530359598342,,7,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40007,7,0,40007,0,success
1,0,301.5350999740185,,0,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40008,8,0,40008,1,success
1,0,274.8355943009956,,1,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40009,9,0,40009,1,success
1,0,216.26296168693807,,2,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40010,10,0,40010,1,success
1,0,228.64738514495548,,3,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40011,11,0,40011,1,success
1,0,243.51806850091089,,4,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40012,12,0,40012,1,success
1,0,214.8654345870018,,5,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40013,13,0,40013,1,success
1,0,224.28500815306325,,6,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40014,14,0,40014,1,success
1,0,209.94522301398683,,7,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40015,15,0,40015,1,success
1,0,290.52513047796674,,0,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40016,16,0,40016,2,success
1,0,269.62091173499357,,1,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40017,17,0,40017,2,success
1,0,215.79263160796836,,2,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40018,18,0,40018,2,success
1,0,229.26503472297918,,3,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40019,19,0,40019,2,success
1,0,234.40983778098598,,4,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40020,20,0,40020,2,success
1,0,216.32361552200746,,5,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40021,21,0,40021,2,success
1,0,224.39884064602666,,6,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40022,22,0,40022,2,success
