attempt,elapsed_seconds,error,evaluation_index,gpu,input_hash,input_path,method,output_dir,pre_relax_max_force_ev_ang,seed,slot,status,task_id
1,0.5221399260917678,,0,4,2830b2e216236792653f5ec35f20c07c685a0308072dcdcf4f3c72edba6f2794,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40000/generated_crystals.extxyz,C0,/data/dxl/results/q3_e3_pcr/formal256/relaxed/C0/00,0.0435168295016891,40000,1,success,C0_40000
1,0.4644842400448397,,0,6,9960e2057856ee1ea93d664a2d1d5f7a0589603de7d108c81a502cd492abab43,/data/dxl/results/q3_e3_pcr/formal256/refined/ALWAYS_ON/00/refined_structure.extxyz,ALWAYS_ON,/data/dxl/results/q3_e3_pcr/formal256/relaxed/ALWAYS_ON/00,0.05450738345039203,40000,1,success,ALWAYS_ON_40000
1,0.34796620602719486,,0,4,2830b2e216236792653f5ec35f20c07c685a0308072dcdcf4f3c72edba6f2794,/data/dxl/results/q3_e3_pcr/formal256/refined/Q3_E3_PCR/00/refined_structure.extxyz,Q3_E3_PCR,/data/dxl/results/q3_e3_pcr/formal256/relaxed/Q3_E3_PCR/00,0.043516871550808627,40000,1,success,Q3_E3_PCR_40000
1,2.9466874399222434,,1,4,5a92f8893f7803a12ef6e0d22cf7de6bd68dd89894d3d2e06f9c4cf1bbcd5d38,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40001/generated_crystals.extxyz,C0,/data/dxl/results/q3_e3_pcr/formal256/relaxed/C0/01,0.3633457287587006,40001,1,success,C0_40001
1,2.603776619071141,,1,6,ada79e69b513aed27636f76b23dd781a69c980b9e040a445cc4ba62c6a3ab012,/data/dxl/results/q3_e3_pcr/formal256/refined/ALWAYS_ON/01/refined_structure.extxyz,ALWAYS_ON,/data/dxl/results/q3_e3_pcr/formal256/relaxed/ALWAYS_ON/01,0.34666018390748604,40001,1,success,ALWAYS_ON_40001
1,3.0688129770569503,,1,3,bcb9211a7bd809807742e27422a0ac372b645a64f8c372b891e1b7f892fbd5e2,/data/dxl/results/q3_e3_pcr/formal256/refined/Q3_E3_PCR/01/refined_structure.extxyz,Q3_E3_PCR,/data/dxl/results/q3_e3_pcr/formal256/relaxed/Q3_E3_PCR/01,0.3466608312713276,40001,0,success,Q3_E3_PCR_40001
1,0.7305076590273529,,2,5,f32204ab4b07b78b201ba7d705d5fd168b2d230b0f2415ce318f517ab91b2763,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40002/generated_crystals.extxyz,C0,/data/dxl/results/q3_e3_pcr/formal256/relaxed/C0/02,0.027700100290310493,40002,0,success,C0_40002
1,0.6987598040141165,,2,5,fc89fa73a9b37845879d45233a561e01e682d8bcb275e6abc10256ac17fc77a8,/data/dxl/results/q3_e3_pcr/formal256/refined/ALWAYS_ON/02/refined_structure.extxyz,ALWAYS_ON,/data/dxl/results/q3_e3_pcr/formal256/relaxed/ALWAYS_ON/02,0.023440779902344312,40002,1,success,ALWAYS_ON_40002
1,0.7947260809596628,,2,6,8bb616be26e1c99a78ba56764bf051851b670c2f2209715cfcbc54981ba26be0,/data/dxl/results/q3_e3_pcr/formal256/refined/Q3_E3_PCR/02/refined_structure.extxyz,Q3_E3_PCR,/data/dxl/results/q3_e3_pcr/formal256/relaxed/Q3_E3_PCR/02,0.023440721540773146,40002,0,success,Q3_E3_PCR_40002
1,2.5472525409422815,,3,4,5a802559b3fcbd531bde4d3e025b04f2e4b80e00a7000694e29779e5a95999f8,/data/dxl/results/q3_e3_pcr/formal256/generation/C0/40003/generated_crystals.extxyz,C0,/data/dxl/results/q3_e3_pcr/formal256/relaxed/C0/03,0.3152022898947454,40003,0,success,C0_40003
