method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
C0,0,0,32000,-90.17662048339844,-7.514718373616536,0.049840401858091354,0.2607433351129138,True,1.2120684100082144,41,Fe3Ge,Fe-Ge,0.1091087087828786,0.017584944712471476,False,False,True,True,True,False,False,True,True,False,True,0.1091087087828786,0.03841254615855583
C0,1,1,32001,-126.83148193359375,-8.45543212890625,0.04832020401954651,2.3513511325314034,False,14.69418718200177,500,Eu2Mn2P2O9,Eu-Mn-O-P,0.1799349629350342,0.4051513691229223,False,False,True,True,True,True,True,True,True,True,False,0.1799349629350342,0.1799349629350342
C0,2,2,32002,-97.25923156738281,-6.483948771158854,0.04806363955140114,1.6688086126716712,True,4.4357918329769745,128,Li2AlCr3Fe2O6F,Al-Cr-F-Fe-Li-O,0.5289582775739881,0.15693693482655613,False,False,True,True,True,True,True,True,True,True,False,0.5289582775739881,0.5289582775739881
C0,3,3,32003,-103.17393493652344,-6.448370933532715,0.03837157413363457,0.8616686810877698,True,5.511799587053247,168,Mn2Fe3H2O9,Fe-H-Mn-O,0.2974742192494233,0.16038390184653672,False,False,True,True,True,True,True,True,True,True,False,0.2974742192494233,0.2974742192494233
C0,4,4,32004,-29.073043823242188,-7.268260955810547,0.0443820059299469,0.026341025939594986,True,0.3183428500778973,6,Fe2HIr,Fe-H-Ir,0.07343538230858115,0.0011771672524530097,False,True,False,False,True,False,False,True,True,False,True,0.07343538230858115,0.07343538230858115
C0,5,5,32005,-59.35675811767578,-5.935675811767578,0.04338003322482109,0.36385311944490384,True,2.0624861799879,53,ZnFe3GeO5,Fe-Ge-O-Zn,0.3742899912887747,0.07029845131289252,False,False,True,True,True,True,True,True,True,True,True,0.3742899912887747,0.3742899912887747
C0,6,6,32006,-32.611202239990234,-8.152800559997559,0.044922348111867905,0.3396002635284425,True,0.6153769069351256,18,MnAsRu2,As-Mn-Ru,0.10777799371270369,0.021811584862706394,False,False,False,False,True,False,False,True,True,False,True,0.10777799371270369,0.10037860379925512
C0,7,7,32007,-22.45966339111328,-7.486554463704427,0.01844528131186962,0.018443497348128265,True,0.17820759094320238,2,CaEu2,Ca-Eu,0.051705377282162956,0.0029275500156775015,False,True,True,True,True,False,False,True,True,False,True,0.051705377282162956,0.051705377282162956
C0,8,8,32008,-33.1500129699707,-6.63000259399414,0.004263826180249453,0.007128645132876329,True,0.4461247830186039,7,NaEu3Zn,Eu-Na-Zn,0.19728143062662973,0.001266882671670993,False,False,True,True,True,True,True,True,True,True,True,0.19728143062662973,0.19728143062662973
C0,9,9,32009,-107.12113952636719,-8.926761627197266,0.04985244572162628,0.1371891389793334,True,1.2151153209852055,33,TaFe7(CoMo)2,Co-Fe-Mo-Ta,0.08700554915735026,0.016197113109741427,True,True,True,True,True,True,True,True,True,True,False,0.08700554915735026,0.08700554915735026
C0,10,10,32010,-30.632892608642578,-5.10548210144043,0.0116611048579216,0.09861074501133066,True,0.235619060928002,8,Be4FeNi,Be-Fe-Ni,0.0883039720123362,0.0009993867905009643,False,True,True,True,True,False,False,True,True,False,True,0.0883039720123362,0.0883039720123362
C0,11,11,32011,-131.9295196533203,-6.596475982666016,0.04394954442977905,0.10821435549914679,True,0.9522743860725313,30,Fe5Ni3H2,Fe-H-Ni,0.10205782386205442,0.03341112076729837,False,False,False,False,True,True,True,True,True,True,True,0.10205782386205442,0.10205782386205442
C0,12,12,32012,-83.88577270507812,-8.388577270507813,0.04519543796777725,0.16732170434547555,True,0.9675179469631985,32,GdMn2FeO6,Fe-Gd-Mn-O,0.24370423762653814,0.02124002323839833,False,False,True,True,True,True,True,True,True,True,False,0.24370423762653814,0.24370423762653814
C0,13,13,32013,-107.12306213378906,-7.141537475585937,0.049487415701150894,0.27517395610380235,True,1.4687283809762448,48,Mn6Pt7Au2,Au-Mn-Pt,0.1078192956074524,0.024196822407240005,False,False,True,True,True,True,True,True,True,True,True,0.1078192956074524,0.1078192956074524
C0,14,14,32014,-197.25193786621094,-9.862596893310547,0.047062601894140244,3.9433598159908314,True,8.418466781964526,278,Eu4Gd3NiHO11,Eu-Gd-H-Ni-O,0.18491020036157835,0.21453033961139797,False,False,True,True,True,True,True,True,True,True,False,0.18491020036157835,0.18491020036157835
C0,15,15,32015,-67.337158203125,-9.619594029017858,0.017563872039318085,0.018603362867996718,True,0.4978525150800124,18,Eu3O4,Eu-O,0.533746763142501,0.0013523876412278556,False,False,False,False,True,True,True,True,True,True,True,0.533746763142501,0.0
C0,16,16,32016,-56.739986419677734,-7.092498302459717,0.017742661759257317,0.07977120389624251,True,0.3608954850351438,13,NaEu(FeO2)2,Eu-Fe-Na-O,0.23816502102963355,0.0020477115877228277,False,False,True,True,True,True,True,True,True,True,True,0.23816502102963355,0.23816502102963355
C0,17,17,32017,-77.94886779785156,-9.743608474731445,0.01284988783299923,0.015310872046898547,True,0.16399606899358332,6,Eu7Y,Eu-Y,0.08502017168422427,0.002175366753035062,True,True,True,True,True,True,True,True,True,True,True,0.08502017168422427,0.08502017168422427
C0,18,18,32018,-110.74819946289062,-6.921762466430664,0.03991826996207237,0.3911752367142153,True,1.6060817239340395,53,Li3Mn5O8,Li-Mn-O,0.11912477803107535,0.043658077821391875,False,False,True,True,True,True,True,True,True,True,True,0.11912477803107535,0.055031090615443645
C0,19,19,32019,-102.3525619506836,-8.529380162556967,0.04826870933175087,0.08434508160118133,True,1.4385199159150943,50,Eu2Au,Au-Eu,0.02588692198243514,0.08667860826014276,True,True,True,True,True,True,True,True,True,True,True,0.02588692198243514,0.0
C0,20,20,32020,-151.2909393310547,-7.564546966552735,0.04991999641060829,0.6817933129055382,True,6.720028847106732,229,Ti3Co13BC3,B-C-Co-Ti,0.27214697748490124,0.11773600707361558,False,False,False,False,True,True,True,True,True,True,False,0.27214697748490124,0.27214697748490124
C0,21,21,32021,-82.12261962890625,-7.465692693536932,0.048334356397390366,0.3050291876946588,True,1.3227211420889944,45,Fe8Ge3,Fe-Ge,0.06829004989501897,0.025988450397153775,True,True,True,True,True,True,True,True,True,True,True,0.06829004989501897,0.0
C0,22,22,32022,-35.70827865600586,-8.927069664001465,0.0358445905148983,0.07441868776470975,True,1.305668305954896,47,Eu3Au,Au-Eu,0.06908895099804369,0.32127370150588663,True,True,True,True,True,True,True,True,True,True,True,0.06908895099804369,0.049673759511216886
C0,23,23,32023,-83.21504211425781,-6.934586842854817,0.03872496634721756,0.09697124418244342,True,0.32319756399374455,10,Fe5Ni7,Fe-Ni,0.045749775733528786,0.004726949649123797,False,True,True,True,True,False,False,True,True,False,True,0.045749775733528786,0.0
C0,24,24,32024,-102.46422576904297,-7.318873269217355,0.054633140563964844,0.5469662482435418,True,11.359541181009263,376,MgMn5O8,Mg-Mn-O,0.2203741523300291,1.1517191425542777,False,False,False,False,True,True,True,True,True,True,True,0.2203741523300291,0.20353377246556725
C0,25,25,32025,-97.46849060058594,-8.122374216715494,0.040351927280426025,0.21227226883068645,True,0.6354884430766106,23,Eu2GePt3,Eu-Ge-Pt,0.06300302669589719,0.004355685257761045,True,True,True,True,True,True,True,True,True,True,True,0.06300302669589719,0.0
C0,26,26,32026,-109.8234634399414,-6.863966464996338,0.047932058572769165,1.0458451712109,True,3.903099615010433,127,Li3Mn4BO8,B-Li-Mn-O,0.28788225084780805,0.09595701943080426,False,False,True,True,True,True,True,True,True,True,True,0.28788225084780805,0.27920619257780643
C0,27,27,32027,-118.30094146728516,-7.886729431152344,0.048585209995508194,0.5279707734910554,True,1.6578199119539931,55,Fe9B2(PRh)2,B-Fe-P-Rh,0.1728723121212017,0.05967859241225995,False,False,False,False,True,True,True,True,True,True,False,0.1728723121212017,0.1728723121212017
C0,28,28,32028,-29.747949600219727,-7.436987400054932,0.002093376126140356,0.007727221011730929,True,0.5342256890144199,19,Fe2CoNi,Co-Fe-Ni,0.10545975848913614,0.0009102994845759846,False,False,True,True,True,False,False,True,True,False,True,0.10545975848913614,0.10545975848913614
C0,29,29,32029,-48.1754264831543,-8.029237747192383,0.0340309776365757,0.039485615397420445,True,0.19780138006899506,7,GdCo4Ni,Co-Gd-Ni,0.19673833992402479,0.0009878118680958674,False,False,True,True,True,True,True,True,True,True,True,0.19673833992402479,0.19673833992402479
C0,30,30,32030,-77.17111206054688,-9.64638900756836,0.02811053954064846,0.17506740035101062,True,0.4907517309766263,18,Eu2NF,Eu-F-N,0.07386517492925826,0.0057852591466034005,True,True,True,True,True,True,True,True,True,True,True,0.07386517492925826,0.07386517492925826
C0,31,31,32031,-94.44800567626953,-8.58618233420632,0.04020848125219345,0.42043296733431335,True,1.000636217999272,35,Eu3(Mn3Ge)2,Eu-Ge-Mn,0.38349289740071413,0.0591887092796354,False,False,True,True,True,True,True,True,True,True,True,0.38349289740071413,0.38349289740071413
C0,32,32,32032,-27.10173797607422,-6.775434494018555,0.007503943517804146,0.009136787462954437,True,0.3539407199714333,12,Eu2CdPb,Cd-Eu-Pb,0.04655882311744186,0.0016950861375305873,False,True,True,True,True,False,False,True,True,False,True,0.04655882311744186,0.0
C0,33,33,32033,-63.7348747253418,-9.104982103620257,0.014298046939074993,0.09912732745113477,True,0.495785602950491,17,Eu4Ge2O,Eu-Ge-O,0.07455066623447237,0.016542245928584814,True,True,True,True,True,True,True,True,True,True,True,0.07455066623447237,0.07455066623447237
C0,34,34,32034,-101.45668029785156,-7.804360022911658,0.04945788532495499,0.3103622819509912,True,1.442896623048,49,TbDyFe11,Dy-Fe-Tb,0.12373241083542297,0.05115251138468244,False,False,True,True,True,True,True,True,True,True,True,0.12373241083542297,0.12373241083542297
