method,seed,evaluation_index,split,input_path,input_hash,num_atoms,volume_ang3,volume_per_atom,mass_density_amu_ang3,minimum_distance_angstrom,atomic_number_mean,atomic_number_std,atomic_number_min,atomic_number_max,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,cell_condition,chgnet_energy_per_atom_ev,chgnet_force_rms_ev_ang,chgnet_max_force_ev_ang,chgnet_force_mean_ev_ang,chgnet_stress_rms_gpa,chgnet_stress_max_abs_gpa,chgnet_mag_density,chgnet_magmom_abs_mean,chgnet_magmom_abs_max,element_fraction_z001,element_fraction_z002,element_fraction_z003,element_fraction_z004,element_fraction_z005,element_fraction_z006,element_fraction_z007,element_fraction_z008,element_fraction_z009,element_fraction_z010,element_fraction_z011,element_fraction_z012,element_fraction_z013,element_fraction_z014,element_fraction_z015,element_fraction_z016,element_fraction_z017,element_fraction_z018,element_fraction_z019,element_fraction_z020,element_fraction_z021,element_fraction_z022,element_fraction_z023,element_fraction_z024,element_fraction_z025,element_fraction_z026,element_fraction_z027,element_fraction_z028,element_fraction_z029,element_fraction_z030,element_fraction_z031,element_fraction_z032,element_fraction_z033,element_fraction_z034,element_fraction_z035,element_fraction_z036,element_fraction_z037,element_fraction_z038,element_fraction_z039,element_fraction_z040,element_fraction_z041,element_fraction_z042,element_fraction_z043,element_fraction_z044,element_fraction_z045,element_fraction_z046,element_fraction_z047,element_fraction_z048,element_fraction_z049,element_fraction_z050,element_fraction_z051,element_fraction_z052,element_fraction_z053,element_fraction_z054,element_fraction_z055,element_fraction_z056,element_fraction_z057,element_fraction_z058,element_fraction_z059,element_fraction_z060,element_fraction_z061,element_fraction_z062,element_fraction_z063,element_fraction_z064,element_fraction_z065,element_fraction_z066,element_fraction_z067,element_fraction_z068,element_fraction_z069,element_fraction_z070,element_fraction_z071,element_fraction_z072,element_fraction_z073,element_fraction_z074,element_fraction_z075,element_fraction_z076,element_fraction_z077,element_fraction_z078,element_fraction_z079,element_fraction_z080,element_fraction_z081,element_fraction_z082,element_fraction_z083,element_fraction_z084,element_fraction_z085,element_fraction_z086,element_fraction_z087,element_fraction_z088,element_fraction_z089,element_fraction_z090,element_fraction_z091,element_fraction_z092,element_fraction_z093,element_fraction_z094
C0,32000,0,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32000/generated_crystals.extxyz,5740e60ab8f034437e0179b5e4979f80869733bf9b2e570a2bc4a8d6e361a3bd,12.0,144.5720666323654,12.047672219363783,4.983639072077168,2.432727846078183,27.5,2.598076211353316,26.0,32.0,4.040716737755908,4.043346863181251,10.21969223022461,90.0272754488368,89.93075804955777,120.01899159877465,3.5766635991325124,-7.498052597045898,0.1164196505794851,0.37079449363607847,0.17870350237820276,0.2210750384755224,0.4320407509803772,0.14187143931374432,1.7092205981413524,2.7072842121124268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,32001,1,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32001/generated_crystals.extxyz,e30cbaff56f5bc7cc63f7686dd99b4480ead20b6f291cf5a5ed9e6b8b5177aae,15.0,247.70063534093276,16.513375689395517,2.5019823269447508,1.5248164868943368,18.533333333333335,18.369781949954902,8.0,63.0,5.267777906261996,6.5385219625024344,7.610441207885742,109.09863089713564,89.86432763900046,90.12347867013428,1.5688299927134548,-8.978657722473145,0.5807077482902564,2.613370338932567,0.7249784159804638,1.8795508676643282,3.678755760192871,0.09213739202450734,1.521499369541804,6.681443691253662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,32002,2,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32002/generated_crystals.extxyz,64f00b031ecf7e222bc98d565ca674cc1bc5c32e0e4af3e68c01ed5c178a302e,15.0,176.9810240526826,11.798734936845507,2.393094084125796,1.8283966139509886,13.333333333333334,8.427468316298924,3.0,26.0,2.998625342320036,5.826216434015382,10.265924453735352,95.2815825275789,97.57007199925181,90.69250164779649,3.4676263243059764,-7.551291465759277,0.23494783601426839,0.7523547064062244,0.36988737533838195,1.47939252206272,3.338757038116455,0.09596774836875716,1.1322980254888535,3.659040927886963,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.4,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,32003,3,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32003/generated_crystals.extxyz,13984d7e70a5d4490fc38eb601d929bae9dc5d571ac9260f0452bd0f636a94d3,16.0,179.06715123982616,11.191696952489135,2.3645771157263376,1.0024635907721762,12.625,9.033790732577327,1.0,26.0,2.9531827971661206,7.738455440298404,8.442808151245117,72.2798073409241,80.0439432048348,79.03955060372961,3.2464075958928404,-7.465636730194092,0.23836265984528385,0.8428386176845023,0.3617837909309935,0.8398154244438859,2.0887999534606934,0.12463200299850145,1.3948436081409454,4.409836769104004,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,32004,4,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32004/generated_crystals.extxyz,b2e175f660c57d38de6b3442e66708b7e142ffa64bd039949bff7019a9f0f803,4.0,39.44135403036313,9.860338507590782,7.730845136940973,1.8685921749262044,32.5,27.64507189355817,1.0,77.0,2.6517678270127565,2.6515778457010213,6.632512092590332,78.68554772705839,78.70440639058559,60.26561430619348,3.5509280525679032,-7.237188816070557,0.019602169563098838,0.04554910150720729,0.031059240837365516,2.0555412748928683,5.438771724700928,0.11963721919080318,1.1796634793281555,2.3184149265289307,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,32005,5,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32005/generated_crystals.extxyz,fc645ade37720181db60f0afb6c327935d9e93643b374387d732080c61895f4d,10.0,136.9739553334218,13.69739553334218,2.814695677448454,1.9340407419370302,18.0,10.158740079360236,8.0,32.0,5.530412826782725,5.416153802044372,5.741423606872559,107.27316876955334,101.52566015252913,115.57268627514077,1.9579252821404196,-6.986297130584717,0.1298838604641874,0.34204135118699314,0.19965010628539995,0.6005024403739108,0.8771776556968689,0.0835653626004627,1.1446278244256973,3.747220039367676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,32006,6,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32006/generated_crystals.extxyz,0a79f53968a5187f2865a34521b542c77ca410d46d0fa92a37d9be83686a6092,4.0,56.053353670326864,14.013338417581716,5.922921953120383,2.5993960952191077,36.5,8.0156097709407,25.0,44.0,3.0525958861796574,3.052634605372765,6.015305519104004,89.94672020161771,90.02413356318246,89.99860914603785,1.9705699526308782,-8.188433647155762,0.049056957943710705,0.12692520765873916,0.06350266726489888,1.4462258650538289,3.8263471126556396,0.05330154448635542,0.7469325810670853,2.9467597007751465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,32007,7,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32007/generated_crystals.extxyz,243e6d354cb77948f136d1dd3b19afc0d6849eb0cd612f9e261750e4e37af758,3.0,128.74357193787267,42.91452397929089,2.6720246674995605,3.8165736067048894,48.666666666666664,20.27039439401436,20.0,63.0,4.394552021426343,4.395946031223288,7.352114677429199,107.37683497772079,107.37866616592501,89.97787969806717,2.006196821094582,-7.483709812164307,0.02249466829223662,0.04940043505811575,0.03293819287193315,0.009942773940638451,0.024563459679484367,0.10938028299237797,4.694002777338028,7.026093482971191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,32008,8,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32008/generated_crystals.extxyz,177ba5f5ffffa6c2e8dc49acd15cf4d42e602a80dd6e64c43e1792aca6a73724,5.0,208.03933664682518,41.607867329365035,2.6161483594997117,2.95990955675004,46.0,21.67025611293046,11.0,63.0,5.923063460864917,5.928266149862745,5.925654888153076,90.63486860327674,90.50859886142403,90.56044005394418,1.0159565821431171,-6.57359504699707,0.001970704987140363,0.004781442197174696,0.0030020314045811386,0.20518282624084122,0.361996054649353,0.10074156899650069,4.191641837358475,6.978703022003174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,32009,9,frozen64_independent,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32009/generated_crystals.extxyz,c3b5dfc019c48150837896535fa287cc8b7b76f24bfd051a5ae1b4877a4c3b28,12.0,150.00235032807615,12.500195860673012,5.87743636064204,2.351587629058949,32.75,13.466780115033684,26.0,73.0,4.7143845114783485,4.714880702250496,8.263068199157715,73.32482366135812,73.3554648748249,59.93553815189166,2.589223318624715,-8.941757202148438,0.0464580707053322,0.11653303051602187,0.06736995320194407,1.73059347151925,3.0498194694519043,0.09163545911871437,1.1454611867666245,2.7517027854919434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
