attempt,candidate_index,elapsed_seconds,error,gpu,output_dir,pool_id,return_code,seed,slot,status
1,0,218.78184747800697,,0,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32000,0,0,32000,0,success
1,0,219.53866150602698,,1,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32001,1,0,32001,0,success
1,0,231.44666295300703,,2,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32002,2,0,32002,0,success
1,0,253.96925980900414,,3,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32003,3,0,32003,0,success
1,0,217.06914120400324,,4,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32004,4,0,32004,0,success
1,0,218.90873544896021,,5,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32005,5,0,32005,0,success
1,0,217.96368391998112,,6,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32006,6,0,32006,0,success
1,0,204.1725038839504,,7,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32007,7,0,32007,0,success
1,0,216.7495042020455,,0,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32008,8,0,32008,1,success
1,0,217.33946436503902,,1,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32009,9,0,32009,1,success
1,0,233.7720810950268,,2,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32010,10,0,32010,1,success
1,0,243.43430257902946,,3,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32011,11,0,32011,1,success
1,0,216.12342240300495,,4,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32012,12,0,32012,1,success
1,0,217.24267973995302,,5,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32013,13,0,32013,1,success
1,0,211.9763755009044,,6,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32014,14,0,32014,1,success
1,0,203.5257801640546,,7,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32015,15,0,32015,1,success
1,0,219.01887021400034,,0,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32016,16,0,32016,2,success
1,0,220.5270399620058,,1,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32017,17,0,32017,2,success
1,0,227.3365845279768,,2,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32018,18,0,32018,2,success
1,0,254.93338290404063,,3,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32019,19,0,32019,2,success
1,0,214.34190223296173,,4,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32020,20,0,32020,2,success
1,0,219.3288674330106,,5,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32021,21,0,32021,2,success
1,0,214.0785711929202,,6,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32022,22,0,32022,2,success
1,0,202.57475474197417,,7,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32023,23,0,32023,2,success
1,0,217.0751257740194,,0,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32024,24,0,32024,3,success
1,0,220.62235093698837,,1,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32025,25,0,32025,3,success
1,0,226.28324571601115,,2,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32026,26,0,32026,3,success
1,0,256.00417382095475,,3,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32027,27,0,32027,3,success
1,0,219.39535449899267,,4,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32028,28,0,32028,3,success
1,0,217.79746861197054,,5,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32029,29,0,32029,3,success
1,0,215.20819116698112,,6,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32030,30,0,32030,3,success
1,0,205.35013264999725,,7,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32031,31,0,32031,3,success
1,0,181.33134521904867,,0,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32032,32,0,32032,0,success
1,0,173.5842739449581,,1,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32033,33,0,32033,0,success
1,0,216.3997103139991,,2,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32034,34,0,32034,0,success
1,0,235.93825325602666,,3,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32035,35,0,32035,0,success
1,0,191.36644695093855,,4,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32036,36,0,32036,0,success
1,0,178.40865100803785,,5,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32037,37,0,32037,0,success
1,0,202.6475083710393,,6,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32038,38,0,32038,0,success
1,0,171.6298231689725,,7,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32039,39,0,32039,0,success
1,0,190.0410530079389,,0,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32040,40,0,32040,1,success
1,0,185.10161156207323,,1,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32041,41,0,32041,1,success
1,0,227.00577289110515,,2,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32042,42,0,32042,1,success
1,0,227.73283179604914,,3,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32043,43,0,32043,1,success
1,0,208.77750020998064,,4,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32044,44,0,32044,1,success
1,0,187.44337113306392,,5,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32045,45,0,32045,1,success
1,0,217.77253927802667,,6,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32046,46,0,32046,1,success
1,0,179.56625263602473,,7,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32047,47,0,32047,1,success
1,0,191.48871702409815,,0,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32048,48,0,32048,2,success
1,0,186.3040623710258,,1,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32049,49,0,32049,2,success
1,0,223.2590371730039,,2,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32050,50,0,32050,2,success
1,0,229.1037005370017,,3,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32051,51,0,32051,2,success
1,0,209.06236622098368,,4,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32052,52,0,32052,2,success
1,0,190.27142877294682,,5,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32053,53,0,32053,2,success
1,0,217.90049635397736,,6,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32054,54,0,32054,2,success
1,0,182.59660428599454,,7,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32055,55,0,32055,2,success
1,0,188.13047908595763,,0,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32056,56,0,32056,3,success
1,0,180.9566577509977,,1,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32057,57,0,32057,3,success
1,0,218.00007361895405,,2,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32058,58,0,32058,3,success
1,0,217.3729948840337,,3,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32059,59,0,32059,3,success
1,0,195.9643353120191,,4,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32060,60,0,32060,3,success
1,0,173.0209913799772,,5,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32061,61,0,32061,3,success
1,0,198.31969270505942,,6,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32062,62,0,32062,3,success
1,0,162.8567231579218,,7,/data/dxl/results/q3_e3_pcr/frozen64/generation/C0/32063,63,0,32063,3,success
