config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
A0,14000,A0_seed_14000,-176.52464294433594,-8.826232147216796,0.099846251308918,False,13.704564939020202,500,Sr3Eu6O11,Eu-O-Sr,6f65588ef540d3e612f3640b5ab7d74da22b05640dafecc523da850dc7901a94,0f5a06610134db5b46996ba081e8e64ddecac0a3933d525ffc4c216e87295a89,0.07803457211979925,0.6569539993858049,True,True,False,False,True,True,True,True,True,True,True,0.07803457211979925,0.07803457211979925
A0,14001,A0_seed_14001,-54.182308197021484,-6.7727885246276855,0.048718392848968506,True,1.19930697302334,26,Fe2CoH,Co-Fe-H,8570c233a67dc03f29b481c675fc3546db565351cace6183a271ee1a1c02ad2b,24f9afd65f2ef7e35fbda006e795609ae84a3aa1e45628fd2ea1322f24667fd9,0.14944127188752443,0.004967306976853162,False,False,True,True,True,True,True,True,True,True,True,0.14944127188752443,0.14944127188752443
A0,14002,A0_seed_14002,-53.05512237548828,-6.631890296936035,0.04836146533489227,True,1.7154722639825195,30,Eu3Sn2H3,Eu-H-Sn,a8587bab53cb94b564c5e91b91b8d08460725d671b48b33887960193423e6a77,62090604af6b9102cdb468578639faab133fe781f359c6d30982dad37dd9d82c,0.1333308825436239,0.06028575050904627,False,False,False,False,True,True,True,True,True,True,True,0.1333308825436239,0.1333308825436239
A0,14003,A0_seed_14003,-90.70349884033203,-9.070349884033202,0.036669887602329254,True,1.212138373986818,26,EuCO3,C-Eu-O,0aa14c925abd7a31b9e692dbb2ef31d458070ca2d1ee0818da5694ab7d4c495d,7cbc39da553c2c4cff82e3ad34f59f96fd183f41ec4fbfdde6d119a472990958,0.061821222113211505,0.005583705891855302,True,True,True,True,True,True,True,True,True,True,True,0.061821222113211505,0.0
A0,14004,A0_seed_14004,-47.895877838134766,-9.579175567626953,0.008952762931585312,True,0.6387597020366229,3,Eu3SiO,Eu-O-Si,9e6823b5ede63c84ae48b0dcb2673a078cd7e6aa9a0deda4ecda538d83fd2f20,72b0e90feeba49327ce66416fef976321e12514969c85ab159106b8f99b53f8f,0.0735080317746668,0.0017887309706298119,True,True,True,True,True,True,True,True,True,True,True,0.0735080317746668,0.0735080317746668
A0,14005,A0_seed_14005,-29.323686599731445,-7.330921649932861,0.007941611111164093,True,0.8341004690155387,5,Fe2SiNi,Fe-Ni-Si,7f6ddd20086f9e23707d7473422784eff50e5a7a6099678085dbf08e16bd2482,ee12eb46f7b055c54ad3034f6d2a96b9bc7437b50497abfb583b4074d82bdbc4,0.07964672395341843,0.0008897352424504005,False,True,False,False,True,False,False,True,True,False,True,0.07964672395341843,0.07964672395341843
A0,14006,A0_seed_14006,-45.49583435058594,-7.582639058430989,0.04960983619093895,True,1.055544873001054,23,FeCoRh,Co-Fe-Rh,870b7cdb92ae7511d240daa8ed33d23cc0abe8d7afb32ab1a25984a3ba711b4d,5c4b2c5c80601dae585d8456936de7f85c2d8947c8c2d3f0cb24fbc9a365f2aa,0.12209305905846435,0.01590719524482558,False,False,True,True,True,True,True,True,True,True,True,0.12209305905846435,0.12209305905846435
A0,14007,A0_seed_14007,-86.57189178466797,-9.61909908718533,0.040603891015052795,True,1.287424732989166,21,Eu2Pt,Eu-Pt,cd813515367caeb78a2d7855690b5ffc742becdb22106e897032595210ca6693,a27611e24055cba2d8076b03eb79875c188e7215187b75cca0d45f7245e847ec,0.02430272923198551,0.00411578612440886,True,True,True,True,True,True,True,True,True,True,True,0.02430272923198551,0.0
A0,14008,A0_seed_14008,-151.508544921875,-8.41714138454861,0.04882944002747536,True,2.9116870560101233,88,Eu5Pd2O11,Eu-O-Pd,dacde25bb3f281afa23d92700aa677bbb1d37c800c831e87208dbd9503dca2b0,80e71d33c8ec139cf51ea4371f58d3d2059acca9bf98d9e2172bcb762793dd7d,0.15813610882939777,0.049819068678947684,False,False,True,True,True,True,True,True,True,True,True,0.15813610882939777,0.15813610882939777
A0,14009,A0_seed_14009,-71.94393920898438,-8.992992401123047,0.0507243312895298,True,5.328788117971271,143,EuCO2,C-Eu-O,cb817025e734805aec514662c21978b5c5bfaf3959a7b56286531fcb58440f0a,fb3dd834442ffafd033f1dd55d8248ee579d313d9d7e38d748325716d7fbd5f6,0.5427430027731592,1.2389980990728071,False,False,True,True,True,True,True,True,True,True,True,0.5427430027731592,0.5129100706948755
