config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
G2,14000,G2_seed_14000,-186.41326904296875,-9.320663452148438,0.04913409799337387,True,2.187343224999495,76,SrEu6B2O11,B-Eu-O-Sr,30858e0bb4d19afd0624c34a38d5050ee0ebba8ec6af9ee6cb407404f36dc601,ae0feb27043bb869bf0d138529c37a2c23d2544e82908e0ebfb377ab75b5ecd6,0.1141582179088676,0.0485286173969238,False,False,True,True,True,True,True,True,True,True,True,0.1141582179088676,0.1141582179088676
G2,14001,G2_seed_14001,-54.15792465209961,-6.769740581512451,0.044132184237241745,True,0.8340193670010194,27,Fe3Co2Ni2H,Co-Fe-H-Ni,135d7eeeaa8041adef1b9ce10518b3dadd51fa6faf0bb82e5904835531177bc9,f74ba320eb9a0d88acd74b1c6d993ab45ff173678852321084e466ed457a51a3,0.13281194759504,0.07330126000451008,False,False,False,False,True,True,True,True,True,True,True,0.13281194759504,0.13281194759504
G2,14002,G2_seed_14002,-73.33778381347656,-9.16722297668457,0.049654770642519,True,0.44946306198835373,16,Eu3Sn,Eu-Sn,15a7612f2588efc2ddee0c86c2a989ce1049c26bc6e5c0b86b5b28cf4214c938,e2d1800324f10d3883b5f07189e4c231e614a837c5774f86284e626de790c96f,0.04480129186599591,0.0038920031028167484,False,True,True,True,True,False,False,True,True,False,True,0.04480129186599591,0.0
G2,14003,G2_seed_14003,-95.7891616821289,-9.57891616821289,0.0440719909965992,True,1.0434736909810454,35,Eu4SO5,Eu-O-S,6c70eb22ccd652d878a939b668b26bade49dee3ee163dc97f62ccac9ad8c072c,646adaf995eb6d598b24ee41151be799dfc43a2d649b93beb1ba2656fd2bb335,0.1476115992187843,0.029379089329090412,False,False,True,True,True,True,True,True,True,True,True,0.1476115992187843,0.108587946903409
G2,14004,G2_seed_14004,-40.33709716796875,-8.06741943359375,0.014103654772043228,True,0.17136023798957467,6,LiEu3P,Eu-Li-P,b8c4c4766583b708c17af53f7e29ed621fcf00b067d00fd249949ec93747ad78,917e523e81d35a0df133e958f3a4e92f83c919a5a859a34695012a96e5341b38,0.20822143783012592,0.0016123401645070882,False,False,False,False,True,True,True,True,True,True,True,0.20822143783012592,0.08633449805679305
G2,14005,G2_seed_14005,-28.412975311279297,-7.103243827819824,0.027369720861315727,True,0.26424406096339226,9,FeNi,Fe-Ni,854774a9dcbed0c5d6286b2bc448ff8a63c5974fec510e1133dfa37cf7953baf,c6b4b2b1aea1ef3d0709095173f32ef8fd62b5dd29aabaecf6107259753ec195,0.09883011221563365,0.0021372767413001237,False,True,True,True,True,False,False,True,True,False,True,0.09883011221563365,0.024193309835634835
G2,14006,G2_seed_14006,-43.43429183959961,-7.2390486399332685,0.04924307018518448,True,0.11420396104222164,4,EuCo4Pd,Co-Eu-Pd,33df6c60d85754e4e57e6078e637582e62e8d79845b75b5f906fce7ec398fea0,c90f81a69d14ecfc14f7ade0ad3023856246a64af2f15d1df6e5d1ca303e6632,0.35224802788393994,0.0020458726255537184,False,False,True,True,True,True,True,True,True,True,False,0.35224802788393994,0.35224802788393994
G2,14007,G2_seed_14007,-76.66946411132812,-8.518829345703125,0.04932618886232376,True,2.6455965449567884,89,Eu4As2Pt3,As-Eu-Pt,92665aea9194efbf143b0fb91e3dd75745fad24f74c4223ee0bed1ccc0d96bd6,0a4f36772a58b4385b1ffa32899c0798d7d39b1bc185d13cb8bf563fc0c9abee,0.25970458162626997,0.2702446369253895,False,False,False,False,True,True,True,True,True,True,True,0.25970458162626997,0.24955084026426988
G2,14008,G2_seed_14008,-126.18238067626953,-7.010132259792751,0.040373485535383224,True,5.265770938014612,202,Eu2B2Pd5,B-Eu-Pd,3794b875318d2ff83b8d8fb131a0bf9c7eee0fc9a9d34e81868e9f59247354ee,6868a53b9262a8b9c97326da886f44f25d7fd74a2130495a694e3ecbe662c8d1,0.2572716565131117,0.21560787641103865,False,False,False,False,True,True,True,True,True,True,True,0.2572716565131117,0.23498285590994783
G2,14009,G2_seed_14009,-61.10468673706055,-7.638085842132568,0.034192223101854324,True,1.3180494830012321,44,Mn4CO3,C-Mn-O,f97c1b0fe3d2eb3678c0ff49fad8e75e16a2a64deac85780890201af267e510e,65b20ca62bfc6e68c9f19b26be72465e74399b578dfd4ab269b2669e0b9e8d27,0.43982505220532175,0.0344197199886018,False,False,True,True,True,True,True,True,True,True,True,0.43982505220532175,0.43982505220532175
