metric,comparison,paired_sample_count,paired_mean_difference,paired_median_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,effect_size_paired_cohens_d,wilcoxon_statistic,wilcoxon_p_value,ties,lower_is_better,G1_wins,G1_losses,exact_discordant_binomial_p_value,G2_wins,G2_losses
generation_elapsed_seconds,G1-A0,32,-27.028360074491502,-26.93278670599102,-29.681947702693787,-24.681673643189743,-3.6604026345991145,0.0,4.656612873077393e-10,0,True,32.0,0.0,,,
physical_model_forward_count,G1-A0,32,-252.5625,-269.0,-260.375,-244.125,-10.520528789705802,0.0,5.392884578092229e-07,0,True,32.0,0.0,,,
energy_above_hull_per_atom,G1-A0,32,-0.0038350372220015416,0.00605516994328692,-0.06615732040549072,0.04706588902318563,-0.023254808850766282,238.0,0.637883335351944,0,True,14.0,18.0,,,
stable,G1-A0,32,-0.03125,0.0,-0.28125,0.21875,,,,17,False,7.0,8.0,1.0,,
composition_valid,G1-A0,32,-0.125,0.0,-0.28125,0.03125,,,,24,False,2.0,6.0,0.2890625,,
novel,G1-A0,32,-0.09375,0.0,-0.3125,0.125,,,,19,False,5.0,8.0,0.5810546875,,
unique,G1-A0,32,0.0,0.0,0.0,0.0,,,,32,False,0.0,0.0,1.0,,
novel_unique_stable,G1-A0,32,-0.0625,0.0,-0.21875,0.09375,,,,26,False,2.0,4.0,0.6875,,
relax_converged,G1-A0,32,0.0,0.0,-0.09375,0.09375,,,,30,False,1.0,1.0,1.0,,
generation_elapsed_seconds,G2-A0,32,-39.87706833862285,-37.953327938506845,-41.948655540060415,-38.172081210507216,-7.096866852565778,0.0,4.656612873077393e-10,0,True,,,,32.0,0.0
physical_model_forward_count,G2-A0,32,-416.625,-420.0,-419.5,-412.6875,-40.34666039968678,0.0,7.235109687048902e-08,0,True,,,,32.0,0.0
energy_above_hull_per_atom,G2-A0,32,0.022292273539887247,0.01849065528172389,-0.03657657272395155,0.08519437801328397,0.12606913331898356,221.0,0.4319446589797735,0,True,,,,14.0,18.0
stable,G2-A0,32,-0.03125,0.0,-0.25,0.1875,,,,19,False,,,1.0,6.0,7.0
composition_valid,G2-A0,32,-0.09375,0.0,-0.28125,0.09375,,,,21,False,,,0.548828125,4.0,7.0
novel,G2-A0,32,0.09375,0.0,-0.09375,0.28125,,,,23,False,,,0.5078125,6.0,3.0
unique,G2-A0,32,0.0,0.0,0.0,0.0,,,,32,False,,,1.0,0.0,0.0
novel_unique_stable,G2-A0,32,0.0,0.0,-0.21875,0.21875,,,,20,False,,,1.0,6.0,6.0
relax_converged,G2-A0,32,0.03125,0.0,0.0,0.09375,,,,31,False,,,1.0,1.0,0.0
generation_elapsed_seconds,G2-G1,32,-12.848708264131346,-15.396443027508212,-16.198394400190363,-9.426545427014254,-1.2752317829246678,28.0,6.905756890773773e-07,0,True,,,,29.0,3.0
physical_model_forward_count,G2-G1,32,-164.0625,-151.0,-173.34453125,-154.9375,-6.012493634878808,0.0,6.474971238205604e-07,0,True,,,,32.0,0.0
energy_above_hull_per_atom,G2-G1,32,0.02612731076188879,0.013233670474382286,-0.016885415987823674,0.06920025841312034,0.20646475463756608,195.0,0.20317862927913666,0,True,,,,11.0,21.0
stable,G2-G1,32,0.0,0.0,-0.21875,0.21875,,,,20,False,,,1.0,6.0,6.0
composition_valid,G2-G1,32,0.03125,0.0,-0.1875,0.25,,,,19,False,,,1.0,7.0,6.0
novel,G2-G1,32,0.1875,0.0,0.0,0.375,,,,22,False,,,0.109375,8.0,2.0
unique,G2-G1,32,0.0,0.0,0.0,0.0,,,,32,False,,,1.0,0.0,0.0
novel_unique_stable,G2-G1,32,0.0625,0.0,-0.09375,0.25,,,,24,False,,,0.7265625,5.0,3.0
relax_converged,G2-G1,32,0.03125,0.0,0.0,0.09375,,,,31,False,,,1.0,1.0,0.0
