seed,phase_8_seed,phase_32_seed,phase_64_seed,intersects_prior_ranges,future_formal_seed
14000,True,True,True,False,False
14001,True,True,True,False,False
14002,True,True,True,False,False
14003,True,True,True,False,False
14004,True,True,True,False,False
14005,True,True,True,False,False
14006,True,True,True,False,False
14007,True,True,True,False,False
14008,False,True,True,False,False
14009,False,True,True,False,False
14010,False,True,True,False,False
14011,False,True,True,False,False
14012,False,True,True,False,False
14013,False,True,True,False,False
14014,False,True,True,False,False
14015,False,True,True,False,False
14016,False,True,True,False,False
14017,False,True,True,False,False
14018,False,True,True,False,False
14019,False,True,True,False,False
14020,False,True,True,False,False
14021,False,True,True,False,False
14022,False,True,True,False,False
14023,False,True,True,False,False
14024,False,True,True,False,False
14025,False,True,True,False,False
14026,False,True,True,False,False
14027,False,True,True,False,False
14028,False,True,True,False,False
14029,False,True,True,False,False
14030,False,True,True,False,False
14031,False,True,True,False,False
14032,False,False,True,False,False
14033,False,False,True,False,False
14034,False,False,True,False,False
14035,False,False,True,False,False
14036,False,False,True,False,False
14037,False,False,True,False,False
14038,False,False,True,False,False
14039,False,False,True,False,False
14040,False,False,True,False,False
14041,False,False,True,False,False
14042,False,False,True,False,False
14043,False,False,True,False,False
14044,False,False,True,False,False
14045,False,False,True,False,False
14046,False,False,True,False,False
14047,False,False,True,False,False
14048,False,False,True,False,False
14049,False,False,True,False,False
14050,False,False,True,False,False
14051,False,False,True,False,False
14052,False,False,True,False,False
14053,False,False,True,False,False
14054,False,False,True,False,False
14055,False,False,True,False,False
14056,False,False,True,False,False
14057,False,False,True,False,False
14058,False,False,True,False,False
14059,False,False,True,False,False
14060,False,False,True,False,False
14061,False,False,True,False,False
14062,False,False,True,False,False
14063,False,False,True,False,False
