task_id,config_id,seed,repeat_index,gpu,elapsed_seconds,basic_structure_valid,composition_valid,rng_state_hash,initial_atomic_numbers_hash,initial_pos_hash,initial_cell_hash,initial_state_hash,final_structure_hash,extxyz_sha256,physical_model_forward_count,predictor_forward_count,corrector_forward_count,corrector_skipped_count,corrector_skip_rate,physical_forward_reduction,corrector_calibration_count,corrector_fallback_count,corrector_rescue_count,corrector_atomic_veto_count,corrector_skip_budget,corrector_budget_used,budget_exhausted,calibration_interval_mean,cell_stable_rate,pos_stable_rate,atomic_stable_rate,all_fields_stable_rate
eight_seed_smoke_A0_seed14000_rep1,A0,14000,1,0,82.37395421002293,True,False,cea11bf8abdde40fdb61d5b8a53d6579350f2f1aa73301fb246e833fbf6560a2,00fd9cb7d9a57eff57e9aa81525286d4585e3b355310c90678a446d552829406,110e02b754567a4b1c59e752a3998a27be43c2c39a61dc201752afc7cf58e1f7,74b8fbf4ea050bf94f23c5fb5c18fcbf719017fc5748534ed9817ca1e26e4c57,bb3d31a430cd324ba6b89648ea82a660004398ce810248650c4c11bee6580e0c,6f65588ef540d3e612f3640b5ab7d74da22b05640dafecc523da850dc7901a94,c89e18bf57c51d4dd664f68ea1cdb435471b0933f46a1d133df69cea3cada67f,2000,1000,1000,0,0.0,0.0,0,0,0,0,,0,False,,0.0,0.0,0.0,0.0
eight_seed_smoke_A0_seed14001_rep1,A0,14001,1,1,70.57761171500897,True,True,b69d8f688ca28651a11d5aa02a0f4f185cbaacd690b9fc4fe9c97c6f56daba1f,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,2a95ae971137db2dd1efab0b33c5679b121296081ee4b0c0c4e4a2a3fdccbf05,203306fd116613d14a692ab90833ee2b479db8a09ad30c74b41e6b1016139bcd,9f005f0990d9c42d915e53aab7bee53f49dd4ec99a71d0f5539dec40bc4d2058,8570c233a67dc03f29b481c675fc3546db565351cace6183a271ee1a1c02ad2b,94f52a53c5ac443d5f83b9c4322bcd2fe4752ecf05285128a503fdf4e6ee53ad,2000,1000,1000,0,0.0,0.0,0,0,0,0,,0,False,,0.0,0.0,0.0,0.0
eight_seed_smoke_A0_seed14002_rep1,A0,14002,1,2,73.1542861610069,True,False,014357f4d5dfc5bf2e4f09d0bdb882dcd08a1fbe410637d1e32383adec209208,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,fb8968fa67ed9b4a5248f5f263ec0915d8d28d1c9e688ab71d1425b8e4f2b060,a4929aee26e81576dd812e5cba0a7f01ae80bbb03e10ba86f3e67f0370031100,fe506af84c7ef875b0b6da503995166e535f927c89b9de35bb11112cf8ce0d00,a8587bab53cb94b564c5e91b91b8d08460725d671b48b33887960193423e6a77,0d5291fc5c67a990fd501ac3d6b4b22e0273733dac3200d94f4d0b8f10f0db8f,2000,1000,1000,0,0.0,0.0,0,0,0,0,,0,False,,0.0,0.0,0.0,0.0
eight_seed_smoke_A0_seed14003_rep1,A0,14003,1,3,71.96535587700782,True,True,62f7acbf025c95ea0b46b2c4c8ce6b2756123fc144cb45619eeb5c8c6e71c523,7981046bc6b3af77d05fc4d8201cf2204670bf96d1007bc31ce6d6db5b0ff9c1,499746405671768129f4970a9ebf6a488b02b4f6fad9395d1e4a7baf7a5a3aa4,de98249f5d0c046d248bce11d141ff6a89dce514ed03200aa1a844474e361a7f,87aac982e7419e326fcc806ae59b9dadb031dd94d6358e1f8e824ccf7f59c8e1,0aa14c925abd7a31b9e692dbb2ef31d458070ca2d1ee0818da5694ab7d4c495d,7243092f8671ab20392b6a4e98deb9b54ee67e4972563f6c061c620b690d1fd3,2000,1000,1000,0,0.0,0.0,0,0,0,0,,0,False,,0.0,0.0,0.0,0.0
eight_seed_smoke_A0_seed14004_rep1,A0,14004,1,4,72.4155475620064,True,True,c6ab3e58a7988609fbb902a8e4a1352eddf9206bc63b347b38eebf343818c4ad,8ba2d47dfbceefc5fca1108e069ae02e1d2b0c48e961933c36c82de166d7efc6,b3776ea93aff9ae024192b00cfbde4be52109a083051485298880289a15cac24,1b1193ac0d64974afdf4408b08baf642e5d35757dbeb17a85bca0d6eda561201,d4655b6ad684dc27e571fe672fe1ec72cee5f2f9f1140cdbca66bd4fcf7b63c3,9e6823b5ede63c84ae48b0dcb2673a078cd7e6aa9a0deda4ecda538d83fd2f20,685fdf005b863fb2dea3efff5080f639643bcc8a5a7bf0ed00dc79888ebb4320,2000,1000,1000,0,0.0,0.0,0,0,0,0,,0,False,,0.0,0.0,0.0,0.0
eight_seed_smoke_A0_seed14005_rep1,A0,14005,1,5,74.22464863600908,True,False,53c990771bbee9c54e89a6a2db344d4598e8fd93e6e1410fe9420c67d22237b5,7c0f3c0de6f9593cb69375415525ac4e9f79587073810bc408d46c083409a9eb,c436294a03d66cdb4ac0ca6e8b78eada3b508748a02243f2d46078ceb99943ff,731abfb87b701632f3917a8ce876d1e4df7f265bf8cca0fe9537fd9e4a672e90,546cd564abd587ef7d39ec42d495214b30006ef9203f13377121f2565757cfe4,7f6ddd20086f9e23707d7473422784eff50e5a7a6099678085dbf08e16bd2482,ec724b83eb9109a612e0f1b861f527135adab2378874bf57fdf8d9ab6a02e766,2000,1000,1000,0,0.0,0.0,0,0,0,0,,0,False,,0.0,0.0,0.0,0.0
eight_seed_smoke_A0_seed14006_rep1,A0,14006,1,6,73.5441055429983,True,True,35169bf3bc226398d71054ce18b943468ecdb32fc883c38c51f57617cdd2dd2c,be5a7f6dd478753b2a6278d5088493dbf753bcec38573252b4deaf4701c8fc39,301dbcac4ffaadb45c9996be054b0215c30bcdafcd5896f8acfa4f47d32f464e,fe898660b8d891e78bcbc35bb4030a7658aec6a69c5f84dfdc1ed585f62e64fe,fdaf0dffb85c90744f3e943bb487022cadecfa4c61c8a00245fcf5a80e5d5998,870b7cdb92ae7511d240daa8ed33d23cc0abe8d7afb32ab1a25984a3ba711b4d,fe0c37d259142f948e2fbee9687e30519774c9e8835db89c37d30413d7212009,2000,1000,1000,0,0.0,0.0,0,0,0,0,,0,False,,0.0,0.0,0.0,0.0
eight_seed_smoke_A0_seed14007_rep1,A0,14007,1,7,73.70955536299152,True,True,9071a25b798e27c8cbcb4c5ba886dc2dc3e932ff6da779d423cf68e6ac42ee3f,9b7553cb6795635870fd4f2ed15dc2bea66777572b8c01d0796f038a562df413,e471be3ccf401b262c277d25f287fd81ccad2054b9f0e11a59c37810f1bbff3b,3b908d77f82072948907a1bf4b0209cee8455152afc21a9b9d873f795a9b00a3,2ff77d205f0e44c66cfdbdc4317dc695ef930b20d0fb71a6c3b7d17b6ef3b381,cd813515367caeb78a2d7855690b5ffc742becdb22106e897032595210ca6693,29dffcc578e413efa019eef8c337aa9db3e8eb1aa52f9d557c65df37b224614a,2000,1000,1000,0,0.0,0.0,0,0,0,0,,0,False,,0.0,0.0,0.0,0.0
eight_seed_smoke_G1_seed14000_rep1,G1,14000,1,0,69.59188375499798,True,False,cea11bf8abdde40fdb61d5b8a53d6579350f2f1aa73301fb246e833fbf6560a2,00fd9cb7d9a57eff57e9aa81525286d4585e3b355310c90678a446d552829406,110e02b754567a4b1c59e752a3998a27be43c2c39a61dc201752afc7cf58e1f7,74b8fbf4ea050bf94f23c5fb5c18fcbf719017fc5748534ed9817ca1e26e4c57,bb3d31a430cd324ba6b89648ea82a660004398ce810248650c4c11bee6580e0c,fd2da93dbde0ca0f42b7af1d4dd816a9d4b5d393b23c4b84856d13e737bfa2c8,e399fdb0cae9925facebc51dfbc1a7395e4644c2e9c362387bd4306b18bcebc5,1730,1000,730,270,0.27,0.135,50,1,0,101,270,270,True,6.56,0.94,0.981,0.999,0.933
eight_seed_smoke_G1_seed14001_rep1,G1,14001,1,1,62.90410826099105,True,True,b69d8f688ca28651a11d5aa02a0f4f185cbaacd690b9fc4fe9c97c6f56daba1f,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,2a95ae971137db2dd1efab0b33c5679b121296081ee4b0c0c4e4a2a3fdccbf05,203306fd116613d14a692ab90833ee2b479db8a09ad30c74b41e6b1016139bcd,9f005f0990d9c42d915e53aab7bee53f49dd4ec99a71d0f5539dec40bc4d2058,3d0a4a2b81135376faeea22e0031bf9571dd73bc51ea857a9d0e697aff62e831,987a9f02cf8a1691e1c42d8034d85ed9abfdee3e3f2be073db2f2287f45b8ee0,1730,1000,730,270,0.27,0.135,54,8,0,80,270,270,True,6.296296296296297,0.91,0.961,0.999,0.89
