task_id,config,seed,output_dir,physical_gpu,gpu_slot,workers_per_gpu,start_time_unix,finish_time_unix,elapsed_seconds,model_load_seconds,sampling_seconds,predictor_forward_count,corrector_forward_count,corrector_skipped_count,corrector_calibration_count,corrector_fallback_count,corrector_rescue_count,physical_model_forward_count,corrector_skip_rate,calibration_rate,fallback_rate,rescue_rate,gpu_utilization_mean,gpu_utilization_max,gpu_power_mean,gpu_power_max,peak_gpu_memory_bytes,cpu_utilization,composition_valid,basic_structure_valid,rng_state_hash,initial_atomic_numbers_hash,initial_pos_hash,initial_cell_hash,initial_state_hash,final_structure_hash,extxyz_sha256
A0_seed_14000,A0,14000,/data/dxl/results/budget_aware_gating/development/generation/A0/14000,0,0,4,1784886672.0589616,1784886925.3337555,252.9613047200255,2.3135042283684015e-05,253.27477000193903,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,88.97727272727273,93,161.57090909090908,168.67,740294656,98.38828144899952,False,True,cea11bf8abdde40fdb61d5b8a53d6579350f2f1aa73301fb246e833fbf6560a2,00fd9cb7d9a57eff57e9aa81525286d4585e3b355310c90678a446d552829406,110e02b754567a4b1c59e752a3998a27be43c2c39a61dc201752afc7cf58e1f7,74b8fbf4ea050bf94f23c5fb5c18fcbf719017fc5748534ed9817ca1e26e4c57,bb3d31a430cd324ba6b89648ea82a660004398ce810248650c4c11bee6580e0c,6f65588ef540d3e612f3640b5ab7d74da22b05640dafecc523da850dc7901a94,c89e18bf57c51d4dd664f68ea1cdb435471b0933f46a1d133df69cea3cada67f
A0_seed_14001,A0,14001,/data/dxl/results/budget_aware_gating/development/generation/A0/14001,1,0,4,1784886673.984785,1784886867.0169082,188.6947987669846,2.5218003429472446e-05,193.03209805197548,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,84.93181818181819,92,128.9143181818182,136.85,566231040,97.65369883806292,True,True,b69d8f688ca28651a11d5aa02a0f4f185cbaacd690b9fc4fe9c97c6f56daba1f,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,2a95ae971137db2dd1efab0b33c5679b121296081ee4b0c0c4e4a2a3fdccbf05,203306fd116613d14a692ab90833ee2b479db8a09ad30c74b41e6b1016139bcd,9f005f0990d9c42d915e53aab7bee53f49dd4ec99a71d0f5539dec40bc4d2058,8570c233a67dc03f29b481c675fc3546db565351cace6183a271ee1a1c02ad2b,94f52a53c5ac443d5f83b9c4322bcd2fe4752ecf05285128a503fdf4e6ee53ad
A0_seed_14002,A0,14002,/data/dxl/results/budget_aware_gating/development/generation/A0/14002,2,0,4,1784886672.168936,1784886878.0347588,205.27855840098346,2.5307992473244667e-05,205.865797881037,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,85.56,91,131.21220000000002,141.38,566231040,97.9981034887452,False,True,014357f4d5dfc5bf2e4f09d0bdb882dcd08a1fbe410637d1e32383adec209208,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,fb8968fa67ed9b4a5248f5f263ec0915d8d28d1c9e688ab71d1425b8e4f2b060,a4929aee26e81576dd812e5cba0a7f01ae80bbb03e10ba86f3e67f0370031100,fe506af84c7ef875b0b6da503995166e535f927c89b9de35bb11112cf8ce0d00,a8587bab53cb94b564c5e91b91b8d08460725d671b48b33887960193423e6a77,0d5291fc5c67a990fd501ac3d6b4b22e0273733dac3200d94f4d0b8f10f0db8f
A0_seed_14003,A0,14003,/data/dxl/results/budget_aware_gating/development/generation/A0/14003,3,0,4,1784886674.0716755,1784886881.3054829,206.92527245898964,2.5849032681435347e-05,207.2337811239413,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,86.3529411764706,91,131.83588235294118,138.35,589299712,97.76716770837872,True,True,62f7acbf025c95ea0b46b2c4c8ce6b2756123fc144cb45619eeb5c8c6e71c523,7981046bc6b3af77d05fc4d8201cf2204670bf96d1007bc31ce6d6db5b0ff9c1,499746405671768129f4970a9ebf6a488b02b4f6fad9395d1e4a7baf7a5a3aa4,de98249f5d0c046d248bce11d141ff6a89dce514ed03200aa1a844474e361a7f,87aac982e7419e326fcc806ae59b9dadb031dd94d6358e1f8e824ccf7f59c8e1,0aa14c925abd7a31b9e692dbb2ef31d458070ca2d1ee0818da5694ab7d4c495d,7243092f8671ab20392b6a4e98deb9b54ee67e4972563f6c061c620b690d1fd3
A0_seed_14004,A0,14004,/data/dxl/results/budget_aware_gating/development/generation/A0/14004,4,0,4,1784886673.3106375,1784886864.0817974,187.61676223797258,2.362497616559267e-05,190.77113608003128,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,86.22727272727273,91,118.87363636363635,126.47,551550976,97.51626395350435,True,True,c6ab3e58a7988609fbb902a8e4a1352eddf9206bc63b347b38eebf343818c4ad,8ba2d47dfbceefc5fca1108e069ae02e1d2b0c48e961933c36c82de166d7efc6,b3776ea93aff9ae024192b00cfbde4be52109a083051485298880289a15cac24,1b1193ac0d64974afdf4408b08baf642e5d35757dbeb17a85bca0d6eda561201,d4655b6ad684dc27e571fe672fe1ec72cee5f2f9f1140cdbca66bd4fcf7b63c3,9e6823b5ede63c84ae48b0dcb2673a078cd7e6aa9a0deda4ecda538d83fd2f20,685fdf005b863fb2dea3efff5080f639643bcc8a5a7bf0ed00dc79888ebb4320
A0_seed_14005,A0,14005,/data/dxl/results/budget_aware_gating/development/generation/A0/14005,5,0,4,1784886673.6154811,1784886876.830339,202.90546951402212,2.2032996639609337e-05,203.21483570500277,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,86.0204081632653,92,121.47040816326529,130.8,551550976,97.80845275897563,False,True,53c990771bbee9c54e89a6a2db344d4598e8fd93e6e1410fe9420c67d22237b5,7c0f3c0de6f9593cb69375415525ac4e9f79587073810bc408d46c083409a9eb,c436294a03d66cdb4ac0ca6e8b78eada3b508748a02243f2d46078ceb99943ff,731abfb87b701632f3917a8ce876d1e4df7f265bf8cca0fe9537fd9e4a672e90,546cd564abd587ef7d39ec42d495214b30006ef9203f13377121f2565757cfe4,7f6ddd20086f9e23707d7473422784eff50e5a7a6099678085dbf08e16bd2482,ec724b83eb9109a612e0f1b861f527135adab2378874bf57fdf8d9ab6a02e766
A0_seed_14006,A0,14006,/data/dxl/results/budget_aware_gating/development/generation/A0/14006,6,0,4,1784886673.0653803,1784886867.8694282,191.99294499401003,2.2594002075493336e-05,194.80402512999717,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,84.84444444444445,91,110.06799999999998,117.89,551550976,97.69559988824169,True,True,35169bf3bc226398d71054ce18b943468ecdb32fc883c38c51f57617cdd2dd2c,be5a7f6dd478753b2a6278d5088493dbf753bcec38573252b4deaf4701c8fc39,301dbcac4ffaadb45c9996be054b0215c30bcdafcd5896f8acfa4f47d32f464e,fe898660b8d891e78bcbc35bb4030a7658aec6a69c5f84dfdc1ed585f62e64fe,fdaf0dffb85c90744f3e943bb487022cadecfa4c61c8a00245fcf5a80e5d5998,870b7cdb92ae7511d240daa8ed33d23cc0abe8d7afb32ab1a25984a3ba711b4d,fe0c37d259142f948e2fbee9687e30519774c9e8835db89c37d30413d7212009
A0_seed_14007,A0,14007,/data/dxl/results/budget_aware_gating/development/generation/A0/14007,7,0,4,1784886673.5248682,1784886877.34647,203.51172443496762,2.3415021132677794e-05,203.8215776470024,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,87.28571428571429,92,129.9781632653061,138.54,566231040,97.85190146803332,True,True,9071a25b798e27c8cbcb4c5ba886dc2dc3e932ff6da779d423cf68e6ac42ee3f,9b7553cb6795635870fd4f2ed15dc2bea66777572b8c01d0796f038a562df413,e471be3ccf401b262c277d25f287fd81ccad2054b9f0e11a59c37810f1bbff3b,3b908d77f82072948907a1bf4b0209cee8455152afc21a9b9d873f795a9b00a3,2ff77d205f0e44c66cfdbdc4317dc695ef930b20d0fb71a6c3b7d17b6ef3b381,cd813515367caeb78a2d7855690b5ffc742becdb22106e897032595210ca6693,29dffcc578e413efa019eef8c337aa9db3e8eb1aa52f9d557c65df37b224614a
A0_seed_14008,A0,14008,/data/dxl/results/budget_aware_gating/development/generation/A0/14008,0,1,4,1784886673.2480185,1784886931.6746833,258.11362124199513,2.2473977878689766e-05,258.42664198600687,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,89.80645161290323,93,162.93677419354833,168.67,889192448,98.01034937626159,True,True,8c32982ae9a56c646702005bbd100079eb3802a1ed2f7a7b51999a77c11c025e,a6e265b21ff0808f721d6dc405155023d5c15521580308c6a248a07db58b7c07,78a2bccfe5b7937760d7c7189c6e9203568f2a49c61f2958060e868f7cd137fc,12d63640b8195cd4fcd916eb803804f35c47f9b3fa9b7f87e2d909aa63701f75,406f8473f0e34ac16f01f487deac87f72357d7f3770ac2598940eaddd2eb3349,dacde25bb3f281afa23d92700aa677bbb1d37c800c831e87208dbd9503dca2b0,74e81f1e652dc80ec99542f7108014a0e41407eed251f0aa76e32e672bf80c48
A0_seed_14009,A0,14009,/data/dxl/results/budget_aware_gating/development/generation/A0/14009,1,1,4,1784886673.4236152,1784886863.2702568,187.82388372102287,2.2963969968259335e-05,189.84661817998858,1000,1000,0,0,0,0,2000,0.0,0.0,0.0,0.0,85.79545454545455,92,128.28613636363636,136.77,566231040,97.3622741491271,True,True,6f02c78c30874abbd7f44b4af40dbec9d665d967cc473983851291dcdcee688b,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,3899eca4f5a6ca2987cacc3e57009bae2ae971d97220a0590f1094b6e47a2b89,83b7d567cf1d76ba0dfa7a9e8e10952484baafc4e1157eb77172153b71b6b6a6,726ceb8d5edea149cac0dddcf4bcbd3eaba522ea3228007d0af6c653947fd13e,cb817025e734805aec514662c21978b5c5bfaf3959a7b56286531fcb58440f0a,a6bffecb7c0fc01eb2d21107c5560363ecd038dd1e07c8086791127dba534831
