seed,role,generated,formal
14000,development_screen,True,False
14001,development_screen,True,False
14002,development_screen,True,False
14003,development_screen,True,False
14004,development_screen,True,False
14005,development_screen,True,False
14006,development_screen,True,False
14007,development_screen,True,False
14008,development_screen,True,False
14009,development_screen,True,False
14010,development_screen,True,False
14011,development_screen,True,False
14012,development_screen,True,False
14013,development_screen,True,False
14014,development_screen,True,False
14015,development_screen,True,False
14016,development_screen,True,False
14017,development_screen,True,False
14018,development_screen,True,False
14019,development_screen,True,False
14020,development_screen,True,False
14021,development_screen,True,False
14022,development_screen,True,False
14023,development_screen,True,False
14024,development_screen,True,False
14025,development_screen,True,False
14026,development_screen,True,False
14027,development_screen,True,False
14028,development_screen,True,False
14029,development_screen,True,False
14030,development_screen,True,False
14031,development_screen,True,False
14032,planned_extension_not_started_due_to_32_seed_no_go,False,False
14033,planned_extension_not_started_due_to_32_seed_no_go,False,False
14034,planned_extension_not_started_due_to_32_seed_no_go,False,False
14035,planned_extension_not_started_due_to_32_seed_no_go,False,False
14036,planned_extension_not_started_due_to_32_seed_no_go,False,False
14037,planned_extension_not_started_due_to_32_seed_no_go,False,False
14038,planned_extension_not_started_due_to_32_seed_no_go,False,False
14039,planned_extension_not_started_due_to_32_seed_no_go,False,False
14040,planned_extension_not_started_due_to_32_seed_no_go,False,False
14041,planned_extension_not_started_due_to_32_seed_no_go,False,False
14042,planned_extension_not_started_due_to_32_seed_no_go,False,False
14043,planned_extension_not_started_due_to_32_seed_no_go,False,False
14044,planned_extension_not_started_due_to_32_seed_no_go,False,False
14045,planned_extension_not_started_due_to_32_seed_no_go,False,False
14046,planned_extension_not_started_due_to_32_seed_no_go,False,False
14047,planned_extension_not_started_due_to_32_seed_no_go,False,False
14048,planned_extension_not_started_due_to_32_seed_no_go,False,False
14049,planned_extension_not_started_due_to_32_seed_no_go,False,False
14050,planned_extension_not_started_due_to_32_seed_no_go,False,False
14051,planned_extension_not_started_due_to_32_seed_no_go,False,False
14052,planned_extension_not_started_due_to_32_seed_no_go,False,False
14053,planned_extension_not_started_due_to_32_seed_no_go,False,False
14054,planned_extension_not_started_due_to_32_seed_no_go,False,False
14055,planned_extension_not_started_due_to_32_seed_no_go,False,False
14056,planned_extension_not_started_due_to_32_seed_no_go,False,False
14057,planned_extension_not_started_due_to_32_seed_no_go,False,False
14058,planned_extension_not_started_due_to_32_seed_no_go,False,False
14059,planned_extension_not_started_due_to_32_seed_no_go,False,False
14060,planned_extension_not_started_due_to_32_seed_no_go,False,False
14061,planned_extension_not_started_due_to_32_seed_no_go,False,False
14062,planned_extension_not_started_due_to_32_seed_no_go,False,False
14063,planned_extension_not_started_due_to_32_seed_no_go,False,False
