seed,split,used_in_development
20000,formal_independent,False
20001,formal_independent,False
20002,formal_independent,False
20003,formal_independent,False
20004,formal_independent,False
20005,formal_independent,False
20006,formal_independent,False
20007,formal_independent,False
20008,formal_independent,False
20009,formal_independent,False
20010,formal_independent,False
20011,formal_independent,False
20012,formal_independent,False
20013,formal_independent,False
20014,formal_independent,False
20015,formal_independent,False
20016,formal_independent,False
20017,formal_independent,False
20018,formal_independent,False
20019,formal_independent,False
20020,formal_independent,False
20021,formal_independent,False
20022,formal_independent,False
20023,formal_independent,False
20024,formal_independent,False
20025,formal_independent,False
20026,formal_independent,False
20027,formal_independent,False
20028,formal_independent,False
20029,formal_independent,False
20030,formal_independent,False
20031,formal_independent,False
20032,formal_independent,False
20033,formal_independent,False
20034,formal_independent,False
20035,formal_independent,False
20036,formal_independent,False
20037,formal_independent,False
20038,formal_independent,False
20039,formal_independent,False
20040,formal_independent,False
20041,formal_independent,False
20042,formal_independent,False
20043,formal_independent,False
20044,formal_independent,False
20045,formal_independent,False
20046,formal_independent,False
20047,formal_independent,False
20048,formal_independent,False
20049,formal_independent,False
20050,formal_independent,False
20051,formal_independent,False
20052,formal_independent,False
20053,formal_independent,False
20054,formal_independent,False
20055,formal_independent,False
20056,formal_independent,False
20057,formal_independent,False
20058,formal_independent,False
20059,formal_independent,False
20060,formal_independent,False
20061,formal_independent,False
20062,formal_independent,False
20063,formal_independent,False
20064,formal_independent,False
20065,formal_independent,False
20066,formal_independent,False
20067,formal_independent,False
20068,formal_independent,False
20069,formal_independent,False
20070,formal_independent,False
20071,formal_independent,False
20072,formal_independent,False
20073,formal_independent,False
20074,formal_independent,False
20075,formal_independent,False
20076,formal_independent,False
20077,formal_independent,False
20078,formal_independent,False
20079,formal_independent,False
20080,formal_independent,False
20081,formal_independent,False
20082,formal_independent,False
20083,formal_independent,False
20084,formal_independent,False
20085,formal_independent,False
20086,formal_independent,False
20087,formal_independent,False
20088,formal_independent,False
20089,formal_independent,False
20090,formal_independent,False
20091,formal_independent,False
20092,formal_independent,False
20093,formal_independent,False
20094,formal_independent,False
20095,formal_independent,False
20096,formal_independent,False
20097,formal_independent,False
20098,formal_independent,False
20099,formal_independent,False
20100,formal_independent,False
20101,formal_independent,False
20102,formal_independent,False
20103,formal_independent,False
20104,formal_independent,False
20105,formal_independent,False
20106,formal_independent,False
20107,formal_independent,False
20108,formal_independent,False
20109,formal_independent,False
20110,formal_independent,False
20111,formal_independent,False
20112,formal_independent,False
20113,formal_independent,False
20114,formal_independent,False
20115,formal_independent,False
20116,formal_independent,False
20117,formal_independent,False
20118,formal_independent,False
20119,formal_independent,False
20120,formal_independent,False
20121,formal_independent,False
20122,formal_independent,False
20123,formal_independent,False
20124,formal_independent,False
20125,formal_independent,False
20126,formal_independent,False
20127,formal_independent,False
20128,formal_independent,False
20129,formal_independent,False
20130,formal_independent,False
20131,formal_independent,False
20132,formal_independent,False
20133,formal_independent,False
20134,formal_independent,False
20135,formal_independent,False
20136,formal_independent,False
20137,formal_independent,False
20138,formal_independent,False
20139,formal_independent,False
20140,formal_independent,False
20141,formal_independent,False
20142,formal_independent,False
20143,formal_independent,False
20144,formal_independent,False
20145,formal_independent,False
20146,formal_independent,False
20147,formal_independent,False
20148,formal_independent,False
20149,formal_independent,False
20150,formal_independent,False
20151,formal_independent,False
20152,formal_independent,False
20153,formal_independent,False
20154,formal_independent,False
20155,formal_independent,False
20156,formal_independent,False
20157,formal_independent,False
20158,formal_independent,False
20159,formal_independent,False
20160,formal_independent,False
20161,formal_independent,False
20162,formal_independent,False
20163,formal_independent,False
20164,formal_independent,False
20165,formal_independent,False
20166,formal_independent,False
20167,formal_independent,False
20168,formal_independent,False
20169,formal_independent,False
20170,formal_independent,False
20171,formal_independent,False
20172,formal_independent,False
20173,formal_independent,False
20174,formal_independent,False
20175,formal_independent,False
20176,formal_independent,False
20177,formal_independent,False
20178,formal_independent,False
20179,formal_independent,False
20180,formal_independent,False
20181,formal_independent,False
20182,formal_independent,False
20183,formal_independent,False
20184,formal_independent,False
20185,formal_independent,False
20186,formal_independent,False
20187,formal_independent,False
20188,formal_independent,False
20189,formal_independent,False
20190,formal_independent,False
20191,formal_independent,False
20192,formal_independent,False
20193,formal_independent,False
20194,formal_independent,False
20195,formal_independent,False
20196,formal_independent,False
20197,formal_independent,False
20198,formal_independent,False
20199,formal_independent,False
20200,formal_independent,False
20201,formal_independent,False
20202,formal_independent,False
20203,formal_independent,False
20204,formal_independent,False
20205,formal_independent,False
20206,formal_independent,False
20207,formal_independent,False
20208,formal_independent,False
20209,formal_independent,False
20210,formal_independent,False
20211,formal_independent,False
20212,formal_independent,False
20213,formal_independent,False
20214,formal_independent,False
20215,formal_independent,False
20216,formal_independent,False
20217,formal_independent,False
20218,formal_independent,False
20219,formal_independent,False
20220,formal_independent,False
20221,formal_independent,False
20222,formal_independent,False
20223,formal_independent,False
20224,formal_independent,False
20225,formal_independent,False
20226,formal_independent,False
20227,formal_independent,False
20228,formal_independent,False
