metric,comparison,paired_sample_count,paired_mean_difference,paired_median_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,effect_size_paired_cohens_d,wilcoxon_statistic,wilcoxon_p_value,ties,lower_is_better,R1_wins,R1_losses,exact_discordant_binomial_p_value
energy_above_hull_per_atom,R1-U0,59,0.0922353590893691,0.009588907897604193,-0.05682830143849321,0.34533845424360177,0.10427430265117123,873.0,0.9278297318416311,0,True,27,32,
rmsd_from_relaxation,R1-U0,64,0.03329019856726874,-0.0076224127661019495,-0.08980155073074009,0.15791032535992763,0.06573712013865911,1033.0,0.9626626401635391,0,True,37,27,
maximum_force_ev_ang,R1-U0,64,0.00043966233533865144,0.0007004849612712513,-0.004439849184564084,0.004992050677537904,0.023140024168145732,1004.0,0.8097487528554239,0,True,30,34,
generation_seconds,R1-U0,64,-20.144537399552064,-9.427390279539395,-27.07597674676206,-13.510860347852109,-0.7212760588816789,260.0,1.8257810125542237e-07,0,True,49,15,
metastable_paper,R1-U0,64,-0.0625,0.0,-0.15625,0.03125,,,,54,False,3,7,0.34375
stable_paper,R1-U0,64,0.0,0.0,0.0,0.0,,,,64,False,0,0,1.0
msun_paper,R1-U0,64,0.015625,0.0,-0.0625,0.09375,,,,57,False,4,3,1.0
sun_paper,R1-U0,64,0.0,0.0,0.0,0.0,,,,64,False,0,0,1.0
comp_validity,R1-U0,64,-0.03125,0.0,-0.15625,0.09375,,,,48,False,7,9,0.803619384765625
structure_validity,R1-U0,64,0.0,0.0,0.0,0.0,,,,64,False,0,0,1.0
converged,R1-U0,64,0.0,0.0,-0.046875,0.046875,,,,62,False,1,1,1.0
