config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
P1,15000,P1_seed_15000,-25.80404281616211,-6.451010704040527,0.001150169875472784,True,0.09602409397484735,3,LiEu2Ag,Ag-Eu-Li,b7d03842511fed1f3515f875c6507c6fd59ca2fc1287a389180694a3966d5745,9c9ea63d93eba6c09512b3036feb537d8307be7a2e37cbeb226d3890dbd06a1f,0.07164438813976215,0.00038400707565688366,False,True,True,True,True,False,False,True,True,False,True,0.07164438813976215,0.07164438813976215
P1,15001,P1_seed_15001,-107.71659088134766,-5.9842550489637585,0.04094153642654419,True,3.3918005360173993,107,Mn5O2F11,F-Mn-O,2db2c94f4e14a41382bac7e4e066113a3aea28ad9b1e42a7f0e77f3c4d24bc59,e00bd1a78ed28b8c442c93fbab596b5629c41fd88923273da88b32b076eab0a8,0.22297815238149088,0.09524196102357882,False,False,True,True,True,True,True,True,True,True,True,0.22297815238149088,0.22297815238149088
P1,15002,P1_seed_15002,-44.42756652832031,-6.346795218331473,0.04465226083993912,True,1.3146138780284673,42,Mn3Se4,Mn-Se,2d47a71e41f2a1a00b54971430e488badbdaff8d357f56cd2c6b81f57bb68980,c266c4471ccd426f7d510b2ee640a84f36155f1613c1b828bfecae7526653e50,0.03364452498074666,0.07873892507970304,True,True,False,False,True,True,True,True,True,True,True,0.03364452498074666,0.0
P1,15003,P1_seed_15003,-89.32572937011719,-8.932572937011718,0.0426296703517437,True,0.630027548992075,22,Gd2AlGe2,Al-Gd-Ge,c7fcb91451a1e0b7d0c20254405c83a99611a65f804e8b066be9b05896a1a2ca,55dc6a696c36efd95546104724982835beef207e27d1a044f34cc9941b7943a6,-0.0012983596891746885,0.002772059548516619,True,True,True,True,True,True,True,True,True,True,True,-0.0012983596891746885,0.0
P1,15004,P1_seed_15004,-129.12989807128906,-8.070618629455566,0.04897497966885567,True,7.983099809964187,249,LiEu2Mn5O8,Eu-Li-Mn-O,3163c0c09bfa1d2ed7940922d06e67d9567f67ad87ee75daecbb2b8854441718,b123e925fa4567eddaa7f432a2a1145a16f5caa04fe9078240b898c6fd06ac25,0.2653757683372948,0.3182401431307969,False,False,False,False,True,True,True,True,True,True,False,0.2653757683372948,0.2653757683372948
P1,15005,P1_seed_15005,-61.78131103515625,-7.722663879394531,0.048263486474752426,True,0.21714734594570473,8,Co5Ir3,Co-Ir,7c085b7293dd6fd78ef18282d9acf1a174920f0d28d9c487ce2052bb1ffa2329,24f18980a0f0483754777a875d8c788ef5da6881b20be02951b84026a46ddd96,0.04418490725148416,0.0029736359977804135,True,True,True,True,True,True,True,True,True,True,True,0.04418490725148416,0.03816789645835961
P1,15006,P1_seed_15006,-78.82746887207031,-9.853433609008789,0.04877709224820137,True,1.4517838670290075,44,Gd2FeO5,Fe-Gd-O,ff92cfb5c8865cfca643476e7243529107a993b4a79151be8b511c93bd4e2773,cc549eb5b7a18cb84aedb865881a7048840de36988bc2788aacee9b6e806635c,0.20243572384076103,0.035779318245327534,False,False,True,True,True,True,True,True,True,True,True,0.20243572384076103,0.20243572384076103
P1,15007,P1_seed_15007,-23.227325439453125,-5.806831359863281,0.007238729856908321,True,0.21052645199233666,7,LiEuInPt,Eu-In-Li-Pt,3efeac541181ad5c41f1199e520ba61d352f7280d4287300520bcd430e938abc,b88b61e054c1d08f694fd35a3f0c2c1984fe889ffed5697d5ad20890516f6a7f,0.1346646089839849,0.0010271665300110222,False,False,True,True,True,True,True,True,True,True,False,0.1346646089839849,0.1346646089839849
P1,15008,P1_seed_15008,-48.80112838745117,-8.13352139790853,0.0358528196811676,True,0.21407182200346142,8,Fe2Rh,Fe-Rh,b5d210946bee3bfe64f6d0ae9312e223ff73d01af18ba1502abb6d1ca9722374,3ea1831974173c9bc3b79de777aca8798a4610998110a274a9d9cd16b5f06edf,0.01467329617734947,0.003933635467101043,False,True,True,True,True,False,False,True,True,False,True,0.01467329617734947,0.0
P1,15009,P1_seed_15009,-90.02012634277344,-9.002012634277344,0.049569278955459595,True,1.8476278689922765,60,Eu2ScMnO6,Eu-Mn-O-Sc,6be87d1fb9fdb303b83c48d80c199e11ba1f147136d473b505edb92e91780f40,82d07305cb89e66c1c46e97a254327ea592e0686d02e5d3a7a767e4fd4812ca8,0.21254921706978536,0.047223251124260235,False,False,True,True,True,True,True,True,True,True,False,0.21254921706978536,0.21254921706978536
