metric,comparison,paired_sample_count,paired_mean_difference,paired_median_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,effect_size_paired_cohens_d,wilcoxon_statistic,wilcoxon_p_value,ties,lower_is_better,P1_wins,P1_losses,exact_discordant_binomial_p_value
energy_above_hull_per_atom,P1-A0,32,0.0037863940615582015,0.012103934241392889,-0.041367107902557695,0.051822595395584696,0.027601895310403465,262.0,0.9779350669123232,0,True,14,18,
rmsd_from_relaxation,P1-A0,32,-0.024910282838100806,-0.001123441551768664,-0.10711180297817678,0.03530191635615478,-0.11698852310317104,252.0,0.8320396803319454,0,True,18,14,
relax_elapsed_seconds,P1-A0,32,0.010354390811698977,-0.34776315197814256,-1.2696387626295746,1.2549173798143776,0.0028096164821153754,225.0,0.4767507752403617,0,True,19,13,
maximum_force_ev_ang,P1-A0,32,0.0013993888860568404,-0.00011268444359302521,-0.003956928557818174,0.006898599624400955,0.08723200299572666,247.0,0.7608502637594938,0,True,17,15,
generation_seconds,P1-A0,32,-1.1970354149125342,-0.9991294824867509,-2.1783770780510165,-0.2557204703768101,-0.42448623377030675,145.0,0.025270413141697645,0,True,22,10,
stable,P1-A0,32,-0.0625,0.0,-0.25,0.125,,,,22,False,4,6,0.75390625
novel_unique_stable,P1-A0,32,0.0625,0.0,-0.09375,0.25,,,,24,False,5,3,0.7265625
comp_validity,P1-A0,32,-0.0625,0.0,-0.1875,0.0625,,,,28,False,1,3,0.625
structure_validity,P1-A0,32,0.0,0.0,0.0,0.0,,,,32,False,0,0,1.0
converged,P1-A0,32,0.0,0.0,-0.09375,0.09375,,,,30,False,1,1,1.0
