Generating SQLite file /data/dxl/logs/gemnet_fused_fastgate/nsys_c0_b1.sqlite from /data/dxl/logs/gemnet_fused_fastgate/nsys_c0_b1.nsys-rep
Processing [/data/dxl/logs/gemnet_fused_fastgate/nsys_c0_b1.sqlite] with [/usr/local/cuda-13.0/nsight-systems-2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
15.1,8728793,174,50165.5,43694.5,1408,133564,38538.6,"void <unnamed>::indexing_backward_kernel_stride_1<float>(const long *, const long *, const T1 *, T1 *, long, long, long, long, bool)"
6.5,3728093,352,10591.2,10143.0,9983,25215,2430.8,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x64_16x6_tn_align4>(T1::Params)
6.4,3708349,244,15198.2,17439.0,3776,45566,8174.0,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_tn_align4>(T1::Params)
6.1,3504625,924,3792.9,3200.0,1856,6720,1262.5,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(T1::Params)
6.0,3480259,278,12518.9,10336.0,7392,22943,4540.7,"void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::DeviceRadixSortPolicy<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy900, (bool)0, long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long, int, int, at_cuda_detail::cub::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
5.9,3391659,3638,932.3,832.0,736,5632,518.2,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
4.7,2712175,2160,1255.6,992.0,896,2368,410.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
3.8,2213864,486,4555.3,2048.0,1504,24607,4750.4,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::MaxNanFunctor<long>>, unsigned int, long, (int)4, (int)4>>(T3)"
3.7,2148014,1280,1678.1,1344.0,1248,4223,494.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
2.6,1491126,340,4385.7,3072.0,1312,31519,5056.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &)::[lambda(int) (instance 1)]>(long, T3)"
2.4,1373217,326,4212.3,2608.0,1567,11296,3096.9,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::MinNanFunctor<long>>, unsigned int, long, (int)4, (int)4>>(T3)"
2.1,1233587,1144,1078.3,800.0,735,9568,1199.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
2.1,1228317,880,1395.8,1024.0,959,5056,646.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.9,1100834,620,1775.5,1760.0,1695,2111,57.9,"void at::native::_assert_async_cuda_kernel<bool>(const T1 *, at::native::Msg)"
