atomic_numbers_unchanged,converged,elapsed_seconds,finished_at,frozen_a0_relax_reused,initial_energy_ev,initial_energy_per_atom_ev,initial_max_force_ev_ang,initial_stress_frobenius_ev_ang3,input_hash,input_path,method,output_dir,output_path,pid,rank,relax_steps,relaxed_energy_ev,relaxed_energy_per_atom_ev,relaxed_max_force_ev_ang,seed,started_at,status,task_id,energy_above_hull_per_atom,rmsd_from_relaxation,stable,comp_validity,structure_validity,novel,unique,minimum_distance_angstrom,chgnet_energy_per_atom_ev
True,True,0.47163323499262333,2026-07-26T23:39:54+08:00,True,-68.94632720947266,-8.618290901184082,0.20644831935153587,0.008157892864978583,5eb1ea18872aa42e1559c5ab25782a712f1dc7f7593f13527a5ea8959cf8903b,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20000.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20000,/data/dxl/results/formal_256/relaxed/A0/20000/relaxed_structure.extxyz,901755,0,24,-68.97451782226562,-8.621814727783203,0.03805519640445709,20000,2026-07-26T23:39:54+08:00,success,baseline_20000,0.0641999533062112,0.0302130227891821,True,True,True,True,True,2.493478825720934,-8.710586547851562
True,True,0.8057618599850684,2026-07-26T23:39:54+08:00,True,-106.64382934570312,-8.886985778808594,0.2996441952418464,0.015108155198897775,408cdcf3c12f0b0fee0b4f3727ef66916a81425445ea6e76dead4c5a3ea06dc0,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20001.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20001,/data/dxl/results/formal_256/relaxed/A0/20001/relaxed_structure.extxyz,901756,1,40,-106.71736145019531,-8.893113454182943,0.03982974961400032,20001,2026-07-26T23:39:53+08:00,success,baseline_20001,0.1584389557747414,0.0405218533907063,False,False,True,True,True,2.371011476099727,-8.965983390808105
True,True,0.645435227022972,2026-07-26T23:39:53+08:00,True,-24.128841400146484,-6.032210350036621,0.03949464464378361,0.001615614982152759,e074a13a65e7661445792e6624f32005f36370cc80b20d5c02ae11164835a3f6,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20002.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20002,/data/dxl/results/formal_256/relaxed/A0/20002/relaxed_structure.extxyz,901757,2,3,-24.12936782836914,-6.032341957092285,0.033185504376888275,20002,2026-07-26T23:39:52+08:00,success,baseline_20002,0.0111244541042472,0.0017613425766861,True,True,True,False,True,3.2606462128987785,-6.004004001617432
True,True,0.5190134239965118,2026-07-26T23:39:54+08:00,True,-57.870155334472656,-6.430017259385851,0.23954218587995205,0.0251046703660484,afeaae1001ea1b297f9dec5a31ef33490ac00c8210ca7afaadcea9bcb634e852,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20003.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20003,/data/dxl/results/formal_256/relaxed/A0/20003/relaxed_structure.extxyz,901758,3,75,-57.96381378173828,-6.440423753526476,0.027924077585339546,20003,2026-07-26T23:39:54+08:00,success,baseline_20003,0.1496501024843315,0.100934627364461,False,True,True,True,True,2.3539546657418926,-6.465799331665039
True,True,0.4270983060123399,2026-07-26T23:39:54+08:00,True,-28.74407196044922,-7.186017990112305,0.17287208464653483,0.025731932807649065,4af94d93870f1f9851147ca076fdf13667e78c4c893249b4b416b67aa807f5b1,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20004.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20004,/data/dxl/results/formal_256/relaxed/A0/20004/relaxed_structure.extxyz,901759,4,47,-28.96548080444336,-7.24137020111084,0.014010501094162464,20004,2026-07-26T23:39:54+08:00,success,baseline_20004,0.0781356248516917,1.1709011932808655,True,True,True,False,True,2.342150579536477,-7.15811824798584
True,True,0.44383391604060307,2026-07-26T23:39:54+08:00,True,-61.873287200927734,-6.87480968899197,0.07512009128435188,0.011737617961793364,0c93e8b5d2337b043fb8ec5e204947e16b2830bcb288e0884194acc9649f2cc0,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20005.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20005,/data/dxl/results/formal_256/relaxed/A0/20005/relaxed_structure.extxyz,901760,5,21,-61.89351272583008,-6.8770569695366754,0.03136562183499336,20005,2026-07-26T23:39:54+08:00,success,baseline_20005,0.0359248765666961,0.0109399652339117,True,True,True,False,True,2.747919465844824,-6.879772186279297
True,True,0.4464603859814815,2026-07-26T23:39:54+08:00,True,-95.91139221191406,-6.850813729422433,0.055764331424415337,0.004852803711569486,fbe381824d9c3196276cc10a7db38c9c7c8121a68e18e64efaf8759f0a609176,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20006.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20006,/data/dxl/results/formal_256/relaxed/A0/20006/relaxed_structure.extxyz,901761,6,6,-95.9123306274414,-6.8508807591029575,0.04684499651193619,20006,2026-07-26T23:39:54+08:00,success,baseline_20006,0.1771744495867864,0.0004770018200444,False,True,True,True,True,2.13696396628346,-7.828362464904785
True,True,0.4353952039964497,2026-07-26T23:39:54+08:00,True,-101.35761260986328,-8.446467717488607,0.5143055533189819,0.02254023491515359,870a50dd2f818d17644ab383e0b5bee05c927ed5a084fd7ea5f4f5cce4317551,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20007.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20007,/data/dxl/results/formal_256/relaxed/A0/20007/relaxed_structure.extxyz,901762,7,44,-101.42142486572266,-8.451785405476889,0.04973292723298073,20007,2026-07-26T23:39:54+08:00,success,baseline_20007,0.0857616923582789,0.0346474528665057,True,True,True,True,True,2.173524623041919,-8.788543701171875
True,True,0.43472501897485927,2026-07-26T23:39:54+08:00,True,-26.363656997680664,-6.590914249420166,0.032463257777153094,0.003689519813657587,b74b5962997628626f02500a6bb8be404856f61b8a05ffee5e819d81e53eca1b,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20008.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20008,/data/dxl/results/formal_256/relaxed/A0/20008/relaxed_structure.extxyz,901763,8,15,-26.37723159790039,-6.594307899475098,0.01889488287270069,20008,2026-07-26T23:39:54+08:00,success,baseline_20008,0.1560061582065914,0.0014311729655378,False,True,True,True,True,3.094320416183657,-6.672791004180908
True,True,0.4389919710229151,2026-07-26T23:39:54+08:00,True,-34.01340866088867,-8.503352165222168,0.0373444657267943,0.003307141322355456,cc5e99f5306be77bdeb54d87cd4a5f0a89875db54487ba913213ca94907c637f,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20009.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20009,/data/dxl/results/formal_256/relaxed/A0/20009/relaxed_structure.extxyz,901764,9,12,-34.02534484863281,-8.506336212158203,0.005822708364576101,20009,2026-07-26T23:39:54+08:00,success,baseline_20009,0.0460779337887125,0.0065655296884261,True,True,True,True,True,3.363039609591131,-8.49551773071289
