method,seed,path,n_atoms,volume,minimum_distance_angstrom,chgnet_energy_per_atom_ev,chgnet_max_force_ev_ang,accepted_steps,fallback_count,backtracking_count
baseline,20000,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20000.extxyz,8,188.93106729494525,2.493478825720934,-8.710586547851562,0.26752379793529046,0,0,0
baseline,20001,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20001.extxyz,12,328.2728840419052,2.371011476099727,-8.965983390808105,0.32589315525699086,0,0,0
baseline,20002,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20002.extxyz,4,118.43141281718864,3.2606462128987785,-6.004004001617432,0.03716210468413494,0,0,0
baseline,20003,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20003.extxyz,9,117.67316483550748,2.3539546657418926,-6.465799331665039,0.3601899570068621,0,0,0
baseline,20004,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20004.extxyz,4,50.240353733840585,2.342150579536477,-7.15811824798584,0.2115540610118506,0,0,0
baseline,20005,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20005.extxyz,9,198.8443526786746,2.747919465844824,-6.879772186279297,0.09414462023918374,0,0,0
baseline,20006,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20006.extxyz,14,149.8854365234124,2.13696396628346,-7.828362464904785,0.10366507843268846,0,0,0
baseline,20007,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20007.extxyz,12,171.7652984869858,2.173524623041919,-8.788543701171875,0.402014234230431,0,0,0
baseline,20008,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20008.extxyz,4,132.76815677727487,3.094320416183657,-6.672791004180908,0.15108100032497324,0,0,0
baseline,20009,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20009.extxyz,4,147.72211866516574,3.363039609591131,-8.49551773071289,0.1743029327619093,0,0,0
baseline,20010,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20010.extxyz,10,131.16645009830756,1.3213170728002213,-7.372988700866699,0.9651566560895306,0,0,0
baseline,20011,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20011.extxyz,5,133.06900736428835,2.5515139799715896,-8.624490737915039,0.009817758247065603,0,0,0
baseline,20012,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20012.extxyz,8,257.833685518408,2.889450439283141,-7.883596897125244,0.16570402686636987,0,0,0
baseline,20013,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20013.extxyz,4,58.1445750770552,2.661096962961221,-8.160247802734375,0.007084034128725155,0,0,0
baseline,20014,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20014.extxyz,18,225.26275179675693,1.8841873097576254,-7.44553279876709,0.2604809652012269,0,0,0
baseline,20015,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20015.extxyz,20,261.04065038639925,2.1038328137616684,-9.387959480285645,0.7500509260743615,0,0,0
baseline,20016,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20016.extxyz,8,82.1612092564704,2.319244759135515,-7.413801670074463,0.2613773143567207,0,0,0
baseline,20017,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20017.extxyz,18,238.12185034056068,1.865294127618859,-7.43381404876709,0.287884065940447,0,0,0
baseline,20018,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20018.extxyz,16,171.48749445254074,1.9930089418900216,-8.135124206542969,0.5346329829024424,0,0,0
baseline,20019,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20019.extxyz,12,136.37057168500684,2.4180064580359133,-7.485598564147949,0.2288068660876021,0,0,0
baseline,20020,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20020.extxyz,16,286.92009175390115,2.507883289263376,-6.629461288452148,0.3572530365022621,0,0,0
baseline,20021,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20021.extxyz,10,106.96216008749546,1.8844891911639317,-8.518268585205078,0.10592524131224244,0,0,0
baseline,20022,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20022.extxyz,8,332.04912830774845,3.846437166072661,-8.833799362182617,0.044829741884102325,0,0,0
baseline,20023,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20023.extxyz,15,205.20272803073664,1.6646663418965204,-8.29165267944336,0.7156283442158233,0,0,0
baseline,20024,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20024.extxyz,4,52.13841223081877,2.5698559646772066,-7.192534446716309,0.20944195346293795,0,0,0
baseline,20025,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20025.extxyz,20,202.12274207332754,1.9916584465758862,-7.929100513458252,0.6172089467925419,0,0,0
baseline,20026,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20026.extxyz,14,179.84816637994174,1.6294023253370504,-7.2263102531433105,1.1303559692497887,0,0,0
baseline,20027,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20027.extxyz,9,254.47018054147634,2.9906535887667633,-6.314568996429443,0.060520617317287424,0,0,0
baseline,20028,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20028.extxyz,20,246.24488026528934,1.8314170542869952,-9.576762199401855,0.48456616800954444,0,0,0
baseline,20029,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20029.extxyz,5,161.40139293894228,2.7163746622102725,-9.058762550354004,0.037943984684918754,0,0,0
baseline,20030,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20030.extxyz,12,147.89579036656687,2.442531736603225,-6.601753234863281,0.217463843092734,0,0,0
baseline,20031,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20031.extxyz,5,142.97115528345984,2.404207063508211,-7.898810386657715,0.2884966105656102,0,0,0
baseline,20032,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20032.extxyz,9,184.16307714430738,2.5055542889414606,-7.970449447631836,0.46060445189392624,0,0,0
baseline,20033,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20033.extxyz,7,286.4671014455628,3.2932647298323103,-6.992893218994141,0.005367096851870427,0,0,0
baseline,20034,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20034.extxyz,12,180.8041758532416,2.4633739447949567,-7.545897483825684,0.17928496306574962,0,0,0
baseline,20035,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20035.extxyz,9,123.17480299794826,2.5812675955331223,-6.949779987335205,0.2321284374147969,0,0,0
baseline,20036,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20036.extxyz,4,60.33089657607327,2.466702948402198,-12.86407470703125,0.008953867067489794,0,0,0
baseline,20037,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20037.extxyz,12,186.79316697960553,2.4165540607615448,-7.584244728088379,0.0693762704214623,0,0,0
baseline,20038,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20038.extxyz,18,232.98756827311166,1.9378185807403974,-7.381859302520752,0.23114050821641885,0,0,0
baseline,20039,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20039.extxyz,16,152.7427001964983,0.9724983666375782,-6.629873752593994,0.7300571784956689,0,0,0
baseline,20040,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20040.extxyz,4,114.49519829691127,3.3330603967185164,-5.927597522735596,0.0025059378991293254,0,0,0
baseline,20041,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20041.extxyz,6,67.27764342442387,2.4533894118408988,-7.051737308502197,0.06355197687935611,0,0,0
baseline,20042,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20042.extxyz,9,262.29848291740564,3.0767251740612216,-9.013957977294922,0.06135456187635241,0,0,0
baseline,20043,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20043.extxyz,6,113.02367515657481,2.827514015328335,-8.3191556930542,0.1796328333771812,0,0,0
baseline,20044,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20044.extxyz,4,44.37272913994606,2.466183448270133,-5.990960597991943,0.06218343700162956,0,0,0
baseline,20045,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20045.extxyz,12,153.18012657857523,2.335649605578955,-7.174835205078125,0.3504803424182717,0,0,0
baseline,20046,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20046.extxyz,10,144.41936883379006,2.0505222963779053,-9.609681129455566,0.18177207223832248,0,0,0
baseline,20047,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20047.extxyz,4,142.7104440067786,3.5144044968952146,-6.701991558074951,0.012620412358072205,0,0,0
baseline,20048,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20048.extxyz,10,144.74377204499692,1.935490169206666,-9.052530288696289,0.39540295497601996,0,0,0
baseline,20049,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20049.extxyz,12,151.44120875407714,2.0396788602827276,-7.6880106925964355,0.021880934606147023,0,0,0
baseline,20050,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20050.extxyz,10,129.82346497596907,1.9261023356660998,-7.940832138061523,0.3582374804287061,0,0,0
baseline,20051,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20051.extxyz,7,159.65217016650917,2.2760086913665023,-8.753477096557617,0.15390533146790228,0,0,0
baseline,20052,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20052.extxyz,14,145.77852594741128,1.9057215304970287,-6.553918361663818,0.2780379472083997,0,0,0
baseline,20053,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20053.extxyz,4,125.27662390316473,3.4370188123750505,-6.929214000701904,0.004002429590734599,0,0,0
baseline,20054,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20054.extxyz,6,110.67583180734225,2.678903760102195,-7.381281852722168,0.04164851305972635,0,0,0
baseline,20055,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20055.extxyz,12,137.89160228608742,2.432413609418228,-8.550387382507324,0.16861581687806126,0,0,0
baseline,20056,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20056.extxyz,4,63.94251284198911,2.191053226349217,-10.716299057006836,0.051328368978174214,0,0,0
baseline,20057,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20057.extxyz,8,92.08744780141822,2.4439782789963704,-7.711635112762451,0.13718484401197376,0,0,0
baseline,20058,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20058.extxyz,3,39.08451259073366,2.3303318580934804,-9.842395782470703,0.005349234913368815,0,0,0
baseline,20059,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20059.extxyz,10,154.94014546769506,2.09879678465457,-10.342486381530762,0.13368276529443374,0,0,0
baseline,20060,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20060.extxyz,8,140.8800607129959,1.8994487617927576,-7.659646034240723,0.3217546434445427,0,0,0
baseline,20061,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20061.extxyz,10,127.47265441825735,1.6326087531350482,-7.707394599914551,0.5760124323717329,0,0,0
baseline,20062,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20062.extxyz,10,125.95463197465645,2.0729007066084346,-7.663308620452881,0.048407422309584225,0,0,0
baseline,20063,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20063.extxyz,8,186.82029157042214,2.753262815778138,-4.513543605804443,0.023174105658096623,0,0,0
pos_1,20000,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20000.extxyz,8,188.93106729494525,2.492173589160297,-8.710855484008789,0.25826481403004076,1,0,0
pos_1,20001,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20001.extxyz,12,328.2728840419052,2.367054865944181,-8.966410636901855,0.30193916402235726,1,0,0
pos_1,20002,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20002.extxyz,4,118.43141281718864,3.2608565122447684,-6.0040106773376465,0.03619658284523203,1,0,0
pos_1,20003,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20003.extxyz,9,117.67316483550748,2.3572194622158387,-6.466129302978516,0.317717976069803,1,0,0
pos_1,20004,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20004.extxyz,4,50.240353733840585,2.344026761051553,-7.158281326293945,0.19260188926980312,1,0,0
pos_1,20005,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20005.extxyz,9,198.8443526786746,2.7473575092691163,-6.8798041343688965,0.09164893830545537,1,0,0
pos_1,20006,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20006.extxyz,14,149.8854365234124,2.1367002102370685,-7.828383445739746,0.09875330636831695,1,0,0
pos_1,20007,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/pos_1/20007.extxyz,12,171.7652984869858,2.178219812798033,-8.788973808288574,0.349710418694454,1,0,0
