atomic_numbers_unchanged,batch_size,config,converged,elapsed_seconds,family,finished_at,generation_summary,initial_energy_ev,initial_energy_per_atom_ev,initial_max_force_ev_ang,initial_stress_frobenius_ev_ang3,input_hash,input_path,method,output_dir,output_hash,output_path,pid,precision,rank,relax_steps,relaxed_energy_ev,relaxed_energy_per_atom_ev,relaxed_max_force_ev_ang,seed,started_at,status,task_id,generation_success,generation_elapsed_seconds,generation_composition_valid,generation_structure_valid,initial_state_hash,minimum_distance_angstrom,energy_above_hull_per_atom,rmsd_from_relaxation,stable,comp_validity,structure_validity,novel,unique,chgnet_mag_density,target_error,hit_0.01,hit_0.02,hit_0.05,metastable_le_0_2,nus,msun_le_0_2
True,4,C0_B4,True,4.335649168991949,quality,2026-07-27T14:29:40+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24064/summary.json,-53.51430130004883,-3.822450092860631,0.7022065216673303,0.0056987049595731,c404900e2c45b2ae8377a4f84c2e5651f88fdf888f98998454f110bb206f1b18,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24064/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24064,ad1aef2ba7036d83caf9a9ad3e9c3f41ae50d54f05fc07861bdb6cd7c4f79523,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24064/relaxed_structure.extxyz,1455378,FP32,0,142,-53.70790863037109,-3.8362791878836497,0.0458641909062862,24064,2026-07-27T14:29:36+08:00,success,quality_C0_B4_24064,True,21.485462551994715,True,True,058ca6e033e19070f7f3d4fdb56791bb3e269af0618db2abf778a5c0b3fa61d9,2.3732990587500487,0.0871283686474591,0.1580067373447127,True,True,True,True,True,0.000230029761061,0.099769970238939,False,False,False,True,True,True
True,4,C0_B4,True,1.4881992140435614,quality,2026-07-27T14:29:37+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24065/summary.json,-85.12408447265625,-4.729115804036458,0.4756624384988484,0.0031877160425131,48c14cb8efa23f6ed2fc0d467ffdc8b5d62285c412219d69f13055245a95b1e6,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24065/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24065,1de4cd5d73ea178116cdaafb6639b06a49bd54bd3a2e9c20628bce175c132ea1,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24065/relaxed_structure.extxyz,1455379,FP32,1,45,-85.18376159667969,-4.732431199815538,0.0391534008085727,24065,2026-07-27T14:29:36+08:00,success,quality_C0_B4_24065,True,22.035952090242063,True,True,fc44869ed0a5739076a4e79700302449cbe1a6d4aca40b638434e2b977f80a02,2.8147786668048864,0.1185041707138276,0.0273452872634538,False,True,True,True,True,0.0004098228847121,0.0995901771152878,False,False,False,True,False,True
True,4,C0_B4,True,0.2331347040017135,quality,2026-07-27T14:29:33+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24066/summary.json,-8.241283416748047,-0.9156981574164496,0.1308684323744791,0.0018005420120368,8180dfdc796c8355ac4f9d7c53eb9d77958cedb419805b5c5b4cffa1ea214aab,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24066/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24066,6899338622edde8ff636b00bfd340ccc9882f273b999bbff9e8e27683dc89f29,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24066/relaxed_structure.extxyz,1455380,FP32,2,7,-8.322736740112305,-0.924748526679145,0.023777212947607,24066,2026-07-27T14:29:33+08:00,success,quality_C0_B4_24066,True,21.358680862002075,True,True,d5c6b2d2be7ac577012fbf766d6fa45d14fd8ba9ce1f5c62df398386371fa4da,3.5815892067697046,0.0346790057976511,0.0051989683553668,True,True,True,True,True,0.0001417139282014,0.0998582860717985,False,False,False,True,True,True
True,4,C0_B4,True,1.6874662130139768,quality,2026-07-27T14:29:34+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24067/summary.json,-45.59099578857422,-3.799249649047852,0.4345299383657435,0.007418721739791,095d15ad66fa0683780b50d8752e38b003dd16b3f1d1070a33b8ea9d2c50c78a,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24067/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24067,77cd2873b39a838b6f63bbcd4c54841a8726daa5889f8895ed94a4cb714ff8b9,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24067/relaxed_structure.extxyz,1455381,FP32,3,51,-45.654178619384766,-3.8045148849487305,0.0485116802155971,24067,2026-07-27T14:29:33+08:00,success,quality_C0_B4_24067,True,21.31228040800488,False,True,106a5c4cfbef61f46605be75011c0ad359082ed3cc207b50a9c829bb56e621af,2.368631622340569,0.0771664356913923,0.041808869484463,True,False,True,True,True,0.000378243843452,0.0996217561565479,False,False,False,True,True,True
True,4,C0_B4,True,0.8255155880469829,quality,2026-07-27T14:29:40+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24068/summary.json,-36.17120361328125,-7.23424072265625,0.3080725944976711,0.0102821414391579,ec2f00327567a4c536ea553d1ccc7984e9a584e37bdcf2a0384c94e9bb6ebb69,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24068/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24068,857c858fa9fa4a6c68918c5591861aa39df9e8fa9b1bec8b42b483d838699b98,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24068/relaxed_structure.extxyz,1455382,FP32,4,27,-36.1767807006836,-7.235356140136719,0.0206403825432062,24068,2026-07-27T14:29:39+08:00,success,quality_C0_B4_24068,True,21.1686644450092,False,True,f7201367bee1e78aac01a465f14a41a72fa70e9c1ea9d0647c32f34270989562,2.437352508219779,0.0097115162505172,0.0085944043727112,True,False,True,False,True,0.000504568930396,0.099495431069604,False,False,False,True,False,False
True,4,C0_B4,True,0.9209041080321184,quality,2026-07-27T14:29:37+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24069/summary.json,-94.27528381347656,-5.892205238342285,0.0658052599970023,0.0028941718811493,8eebb52297c062ffd790ab303ec9b99f841cb3a2ff08ca9f5da7e6b12f56145a,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24069/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24069,4344936b4b7aa1f138a4a85983c20684ea272f59fc4a439adf791948b2af1046,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24069/relaxed_structure.extxyz,1455383,FP32,5,32,-94.2772216796875,-5.892326354980469,0.0486176945269107,24069,2026-07-27T14:29:36+08:00,success,quality_C0_B4_24069,True,21.642425708501836,True,True,fc700f0a30bc7ce6253285c8e96b6bf1bb37151aea2c9b5fc15f841d7626038b,2.841932534755525,0.0001160773228905,0.0023011624703352,True,True,True,True,True,0.0007733595992244,0.0992266404007755,False,False,False,True,True,True
True,4,C0_B4,True,1.4513051490066573,quality,2026-07-27T14:29:40+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24070/summary.json,-35.87405776977539,-3.986006418863932,0.1234055240558305,0.0029517636493001,6c622a450e9aced0115992f00d9b1602971638ce7522f0b287f64d6ed5e96ee0,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24070/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24070,280d219aa9ef662a4f7389a17ca5587ff88c2ec8f1dc8f554d8441ff92c3d533,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24070/relaxed_structure.extxyz,1455384,FP32,6,50,-35.89447021484375,-3.988274468315972,0.048720832914114,24070,2026-07-27T14:29:38+08:00,success,quality_C0_B4_24070,True,20.812544006752432,True,True,20809b65de265d21292aae325b3488b8294733aeaa01af85ccb1fd0515d95656,2.856823545638847,0.0660450536959036,0.0246110846359356,True,True,True,False,True,0.0003617398669054,0.0996382601330945,False,False,False,True,False,False
True,4,C0_B4,True,0.1977696020039729,quality,2026-07-27T14:29:39+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24071/summary.json,-9.083284378051758,-2.2708210945129395,0.008969252635974,0.0056239533890714,37187b3ad3a3e804683a210152d0ca941caf95c0f5fb01e8f7d82fb8cb45a0f9,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24071/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24071,65dbcf0b86897d2111b9a00e9e9f4ad2727a3740ac2a1cc10c4fa5c4034badd6,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24071/relaxed_structure.extxyz,1455385,FP32,7,6,-9.084489822387695,-2.271122455596924,0.0064375773072242,24071,2026-07-27T14:29:39+08:00,success,quality_C0_B4_24071,True,20.561470630491385,True,True,67078552246419914801440b7f0dfcecfd5206a0114b2f72f3748c8af8eb8744,2.8482709780167474,0.0282691650886088,0.0006442837400263,True,True,True,False,True,0.0002547220631833,0.0997452779368166,False,False,False,True,False,False
True,4,C0_B4,True,0.3261798879830166,quality,2026-07-27T14:29:35+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24072/summary.json,-6.385955810546875,-1.5964889526367188,0.0366250211075817,0.0029996778300818,4ad2d3f29f6cbe489241b8635f708c3ba868b1ae6ce60dbe44658b23842d6b71,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24072/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24072,b2bb0bc70a1edda1b27944c9178b63e76039a7876ee6ecfc62255b869f49c998,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24072/relaxed_structure.extxyz,1455386,FP32,8,10,-6.397658348083496,-1.599414587020874,0.0129945687949657,24072,2026-07-27T14:29:35+08:00,success,quality_C0_B4_24072,True,21.485462551994715,True,True,10dfa665a663d6a663d113e09b5d25d492fb5e5a50debb46c5fa2d4d9b4fe9f3,3.179593303882471,0.0480338678742049,0.0130497702083334,True,True,True,False,True,9.352523177705838e-05,0.0999064747682229,False,False,False,True,False,False
True,4,C0_B4,True,1.874312064959668,quality,2026-07-27T14:29:49+08:00,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24073/summary.json,-51.43241500854492,-5.143241500854492,0.5289118857393432,0.0101689444656169,f8e51d1c4e0da7d0c9c048a0231de6be2133baa51068b01652d5ec76d6e3c23f,/data/dxl/results/spg_fastgate/quality_generation/C0/B4/seed_24073/generated_crystals.extxyz,C0,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24073,81c364e1195189f4c7a136b9fe2e6393efd798c302ec849bfbde55730570e196,/data/dxl/results/spg_fastgate/relaxed/quality/C0_B4/seed_24073/relaxed_structure.extxyz,1455387,FP32,9,57,-51.685577392578125,-5.168557739257812,0.0462532602250576,24073,2026-07-27T14:29:48+08:00,success,quality_C0_B4_24073,True,22.035952090242063,False,True,b0bd38c7a878f657a11baa5862db194ddb2c8d4f42849d543de17bab2c300c7e,0.9205101710507768,0.3020282069046516,0.1064562919016502,False,False,True,True,True,0.0017792539034745,0.0982207460965254,False,False,False,False,False,False
