config,seed,chgnet_mag_density,target_error,hit_0.01,hit_0.02,hit_0.05
C0_B1,24064,0.14242235212175866,0.042422352121758655,False,False,True
C0_B1,24065,0.17939721751902998,0.07939721751902998,False,False,False
C0_B1,24066,0.11916150336092535,0.01916150336092534,False,True,True
C0_B1,24067,0.10705204960763019,0.007052049607630187,True,True,True
C0_B1,24068,0.09691328787584244,0.0030867121241575646,True,True,True
C0_B1,24069,0.12745809073029216,0.02745809073029215,False,False,True
C0_B1,24070,0.15858603722021444,0.05858603722021444,False,False,False
C0_B1,24071,0.11415318531478481,0.014153185314784808,False,True,True
C0_B1,24072,0.11907975454661966,0.019079754546619657,False,True,True
C0_B1,24073,0.18143273813406896,0.08143273813406895,False,False,False
C0_B1,24074,0.1567295979825587,0.056729597982558694,False,False,False
C0_B1,24075,0.06648161139530935,0.033518388604690655,False,False,True
C0_B1,24076,0.10688482147525692,0.0068848214752569165,True,True,True
C0_B1,24077,0.12916206711553407,0.02916206711553407,False,False,True
C0_B1,24078,0.1639090270860462,0.0639090270860462,False,False,False
C0_B1,24079,0.024293970300402534,0.07570602969959747,False,False,False
C0_B1,24080,0.14115512643388617,0.04115512643388616,False,False,True
C0_B1,24081,0.10244563968976496,0.002445639689764953,True,True,True
C0_B1,24082,0.13199403313825553,0.03199403313825552,False,False,True
C0_B1,24083,0.15339837897929184,0.05339837897929184,False,False,False
C0_B1,24084,0.07929516583835385,0.02070483416164616,False,False,True
C0_B1,24085,0.1512118893781421,0.051211889378142084,False,False,False
C0_B1,24086,0.17421757195680898,0.07421757195680898,False,False,False
C0_B1,24087,0.08425145513213508,0.015748544867864922,False,True,True
C0_B1,24088,0.1980735297825213,0.09807352978252129,False,False,False
C0_B1,24089,0.17685030712732935,0.07685030712732935,False,False,False
C0_B1,24090,0.08729317490030072,0.012706825099699282,False,True,True
C0_B1,24091,0.12240451194334687,0.02240451194334686,False,False,True
C0_B1,24092,0.09165339487689289,0.008346605123107115,True,True,True
C0_B1,24093,0.11562761539804167,0.015627615398041667,False,True,True
C0_B1,24094,0.06335920490432762,0.03664079509567239,False,False,True
C0_B1,24095,0.13741134377824216,0.03741134377824215,False,False,True
C0_B1,24096,0.13565760412881783,0.03565760412881783,False,False,True
C0_B1,24097,0.12449935954424982,0.02449935954424981,False,False,True
C0_B1,24098,0.18801322568353074,0.08801322568353073,False,False,False
C0_B1,24099,0.14189274835431273,0.041892748354312725,False,False,True
C0_B1,24100,0.11238874892338861,0.012388748923388607,False,True,True
C0_B1,24101,0.10633554451342722,0.006335544513427216,True,True,True
C0_B1,24102,0.1345436297461284,0.0345436297461284,False,False,True
C0_B1,24103,0.13904540534507662,0.03904540534507661,False,False,True
C0_B1,24104,0.19688531419806807,0.09688531419806806,False,False,False
C0_B1,24105,0.11347766311458837,0.013477663114588367,False,True,True
C0_B1,24106,0.147352538491568,0.04735253849156801,False,False,True
C0_B1,24107,0.19685922986478527,0.09685922986478526,False,False,False
C0_B1,24108,0.09975653597353763,0.00024346402646237275,True,True,True
C0_B1,24109,0.14276985492424105,0.04276985492424104,False,False,True
C0_B1,24110,0.18631231489299596,0.08631231489299596,False,False,False
C0_B1,24111,0.0903399281059444,0.0096600718940556,True,True,True
C0_B1,24112,0.10320891615191374,0.0032089161519137377,True,True,True
C0_B1,24113,0.1474125058739848,0.047412505873984795,False,False,True
C0_B1,24114,0.12709531363467333,0.027095313634673324,False,False,True
C0_B1,24115,0.18226350626071777,0.08226350626071777,False,False,False
C0_B1,24116,0.08951383201165353,0.010486167988346479,False,True,True
C0_B1,24117,0.17167513713745067,0.07167513713745066,False,False,False
C0_B1,24118,0.08064739598539428,0.01935260401460573,False,True,True
C0_B1,24119,0.049157018225137385,0.05084298177486262,False,False,False
C0_B1,24120,0.10666602322419301,0.0066660232241930045,True,True,True
C0_B1,24121,0.11388173729502675,0.013881737295026744,False,True,True
C0_B1,24122,0.11569317954914778,0.01569317954914777,False,True,True
C0_B1,24123,0.12310408383083919,0.023104083830839187,False,False,True
C0_B1,24124,0.13696233946004502,0.03696233946004501,False,False,True
C0_B1,24125,0.11777988922893276,0.017779889228932755,False,True,True
C0_B1,24126,0.13984745649423136,0.039847456494231354,False,False,True
C0_B1,24127,0.1692187068553453,0.06921870685534529,False,False,False
C0_B4,24064,0.00023002976106100851,0.099769970238939,False,False,False
C0_B4,24065,0.00040982288471213375,0.09959017711528788,False,False,False
C0_B4,24066,0.00014171392820146135,0.09985828607179854,False,False,False
C0_B4,24067,0.00037824384345204107,0.09962175615654796,False,False,False
C0_B4,24068,0.0005045689303960122,0.099495431069604,False,False,False
C0_B4,24069,0.0007733595992244385,0.09922664040077557,False,False,False
C0_B4,24070,0.0003617398669054932,0.09963826013309451,False,False,False
C0_B4,24071,0.00025472206318338016,0.09974527793681663,False,False,False
C0_B4,24072,9.352523177705838e-05,0.09990647476822295,False,False,False
C0_B4,24073,0.0017792539034745675,0.09822074609652544,False,False,False
C0_B4,24074,0.008036740764122672,0.09196325923587734,False,False,False
C0_B4,24075,0.021049276939351172,0.07895072306064883,False,False,False
C0_B4,24076,0.0007828293626578241,0.09921717063734219,False,False,False
C0_B4,24077,0.0004491465367564576,0.09955085346324355,False,False,False
C0_B4,24078,0.0006674916288283157,0.09933250837117169,False,False,False
C0_B4,24079,0.00041381578181846494,0.09958618421818154,False,False,False
C0_B4,24080,0.00029628907293862626,0.09970371092706137,False,False,False
C0_B4,24081,0.0004425802504663717,0.09955741974953364,False,False,False
C0_B4,24082,0.00011859055046321294,0.09988140944953679,False,False,False
C0_B4,24083,0.00041644076934669027,0.09958355923065332,False,False,False
C0_B4,24084,0.0002704080518237176,0.0997295919481763,False,False,False
C0_B4,24085,0.0003616792544636766,0.09963832074553633,False,False,False
C0_B4,24086,0.00044095546766940096,0.09955904453233061,False,False,False
C0_B4,24087,0.0003099695228662549,0.09969003047713375,False,False,False
C0_B4,24088,0.0812406815837535,0.018759318416246507,False,True,True
C0_B4,24089,0.0017664253705660618,0.09823357462943394,False,False,False
C0_B4,24090,0.00020355713446863663,0.09979644286553137,False,False,False
C0_B4,24091,0.004543935642375092,0.09545606435762491,False,False,False
C0_B4,24092,0.0005374482770392132,0.0994625517229608,False,False,False
C0_B4,24093,0.0009109634290476639,0.09908903657095235,False,False,False
C0_B4,24094,0.0004986380820205412,0.09950136191797947,False,False,False
C0_B4,24095,0.0002538012828026858,0.09974619871719732,False,False,False
C0_B4,24096,0.0002401822307933081,0.0997598177692067,False,False,False
C0_B4,24097,0.0020186179263343377,0.09798138207366566,False,False,False
C0_B4,24098,0.00017216354452017678,0.09982783645547982,False,False,False
C0_B4,24099,0.1239126019252292,0.02391260192522919,False,False,True
C0_B4,24100,0.0006405497442769926,0.09935945025572301,False,False,False
C0_B4,24101,0.05458584850979241,0.0454141514902076,False,False,True
C0_B4,24102,0.0030077011653169665,0.09699229883468304,False,False,False
C0_B4,24103,0.021628202455874015,0.07837179754412599,False,False,False
C0_B4,24104,0.0014483500847274511,0.09855164991527256,False,False,False
C0_B4,24105,0.0036366234990796204,0.09636337650092039,False,False,False
C0_B4,24106,0.004464325450728687,0.09553567454927132,False,False,False
C0_B4,24107,0.03081905411576395,0.06918094588423605,False,False,False
C0_B4,24108,0.005346358222739862,0.09465364177726014,False,False,False
