metric,count,p50,p75,p90,p95,p99,max
num_atoms,64000,10.0,12.0,15.0,16.0,18.0,18.0
candidate_periodic_images,64000,125.0,225.0,405.0,693.0,1331.0,1331.0
candidate_pair_images,64000,12500.0,24500.0,40500.0,68607.0,161051.0,431244.0
raw_edge_count,64000,500.0,600.0,750.0,800.0,900.0,900.0
edge_count,64000,500.0,594.0,754.0,804.0,902.0,930.0
max_neighbors,64000,52.0,53.0,55.0,56.0,58.0,69.0
mean_neighbors,64000,50.0,50.3636360168457,50.66666793823242,50.90909194946289,51.33333587646485,55.0
triplet_count,64000,24348.0,28822.0,37204.0,39622.09999999999,44342.0,47250.0
cell_volume,64000,128.75401306152344,189.4039306640625,266.1500274658203,326.3624725341796,444.5444247436533,788.7257080078125
cell_condition_number,64000,2.6740341186523438,3.751816153526306,5.724431324005127,8.178438472747793,25.70336198806783,16768.748046875
