experiment,artifact,original_path,size_bytes,file_count,sha256,hash_scheme,type,reason_not_in_git,recommended_storage,needed_for_reproduction
Adaptive CFG V1,complete later audit tree,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/final_innovation1_audit,21632213,259,f68542bf03e87c52b503ae44e16f06bd694ae51305377fe737444ca6668e94b2,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Robust Adaptive CFG V2,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_robust_adaptive_cfg/experiments/robust_adaptive_cfg_v2,327946919,901,04f72b4532364caae41c61728c95fb922dd9c77a48b480edec6ce6c9bd740a21,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Counterfactual Oracle V3,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_cfg_oracle/experiments/counterfactual_adaptive_cfg_v3,8229992,324,9179a1d486bcb5ab8fc6991d94f72e374ed5d51dce5db0b2e6e1e0de620a0323,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Risk-Calibrated CFG V4,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_risk_cfg/experiments/risk_calibrated_adaptive_cfg,13498583,664,154d8e042bc6ff2b426f476bd40860dd00a833b7d75ad06542ca94e0f9363284,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Safe-Selection CFG V5,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_safe_cfg/experiments/calibrated_safe_selection_cfg,4365429,733,c3eae0fdc795bb93019270163443589721d9ef0a3a49d7c04c172f3d8f4a3ae1,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Stage-Calibrated CFG,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_stage_cfg/experiments/stage_calibrated_bounded_cfg,7700071,494,1b704aad5aea675ff10400759d2f39ba3092bdac127e76e2a3ad2be2e1325fff,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Field-Decoupled CFG,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_field_cfg/experiments/field_decoupled_adaptive_cfg,5204516,304,ffe3db2352752bf98f8c8f9090e1191641e98b2f937a220941691a7ab0037f3f,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Adaptive Neighborhood P0,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_adaptive_neighbor/experiments/adaptive_neighborhood_p0,3441698,583,489af1c06cd495e7a5a870bc16d7b1b85cfef6331de9cef488de8dd079b7fe1f,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Field Async Freeze,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_async_freeze/experiments/field_async_freeze_p0,3930,8,399e7462d3dd6ef4cca75caa3d67de5d33916daef60d0b9ab1955f3bc4584823,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Shared Field Dynamics,complete diagnostic tree,/mnt/datasets-livsyn/dxl/mattergen_v1_async_freeze/experiments/shared_field_dynamics,2911350,307,c0ef5467b27135345afd49171d92d4346506dedfea9d45abd4259196f7687249,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Site-Level Convergence,complete diagnostic tree,/mnt/datasets-livsyn/dxl/mattergen_v1_async_freeze/experiments/site_level_convergence_diagnostic,9581788,286,4778c76f4c7d2a5b709f26cd331e15e31e0e9aeea9030758d2b714e162d3270a,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Cell-Atom Fusion P0,complete experiment tree including checkpoint,/mnt/datasets-livsyn/dxl/mattergen_v1_cell_atom_fusion/experiments/cell_atom_fusion_p0,3618177,190,d64e1f8eff5ca6638e2a5a85ef0917d150b23dea06f651cfc874d9d5251f375c,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Field-Time Schedule P0,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_field_schedule/experiments/field_time_schedule_p0,3334,9,7664b89b1637984b722ac7851331fde0dce7ce031c9bee1e99d8ed19cb913b0a,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
FP-PC P0,complete diagnostic tree including proposal trace,/mnt/datasets-livsyn/dxl/mattergen_v1_fppc/experiments/fp_pc_p0,74378296,346,6a5f5d7756f071ed714579ebb77671a5a7e5d6b159abafa04a51903138f543c8,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Multifield Self-Conditioning P0,complete experiment tree including checkpoint,/mnt/datasets-livsyn/dxl/mattergen_v1_self_condition/experiments/multifield_self_conditioning_p0,108517282,399,b7963a0b3c3ddaaa707a74baf15fdca86b67844f76622dcfe81651449b4800f0,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Self-Correcting Search P0,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_self_correcting_search/experiments/self_correcting_search_p0,8957485,825,c6c9822fdff5f5ce426ed58fe3c0240b97d2f77169414a3c527ab15d3cff1027,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Reference-Preserved Budgeted CFG,complete offline and Phase B tree,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/reference_preserved_budgeted_cfg,45126278,652,06f0dc45436065dfa0890d255f4352a1807c3fd2d4d0eb5886bcbb62312f65b9,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Frozen C1 Confirmation,complete confirmatory tree,/mnt/datasets-livsyn/dxl/mattergen_v1_linear_k2_confirm/experiments/frozen_linear_k2_confirmation,167523797,7298,01acc6f288a1285ab0d20e97518409cbc5e906594a838544ddc302c957c0a51c,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Early Closed-Loop Force Guidance,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_closed_loop_guidance/experiments/closed_loop_force_guidance_p0,1123507,223,05bc4fb4f348f10896f939e1ff7ec09b3feba2558351a5357b93cacead487e9f,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
RC-NFGD P0,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance/experiments/mattersim_late_force_guidance_p0,1705863,522,2690cbd212ab83aa285ba0b349ea8e010daaa2d07c5e1c6060265cf41dd316bb,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
RC-NFGD Formal32,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance/experiments/mattersim_late_force_guidance_formal32,1773211,318,099eca85617bc68474bc952fca1580b64352491a72c0f0439a7dcc50ff52f463,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
RC-NFGD Formal256,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance/experiments/mattersim_late_force_guidance_formal256,10930964,2365,e87878eaf46aeccaf3689e41dea44a5831343c6ab59af1525bb885532d693fb4,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Force-Direction Ablation,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance/experiments/mattersim_force_direction_ablation,4917320,769,2fd97ca8902ce57a887ab9e030c627ed8be665a5890006b2adabf4c93df3baa9,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Trust-Region Ablation,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance/experiments/mattersim_trust_region_ablation,2322505,456,c984497098bf7b01fb20e894d4e0aa57a2b19a604aab7cc724307ea360c816c7,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Equal-Budget Post-Generation,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance/experiments/mattersim_equal_budget_post_generation,2060433,424,a1665807f009ab0fe24c7a30363cb6afb58220debbcde2f2ba377931046c19de,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Adaptive-CFG Compatibility,complete experiment tree,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance/experiments/adaptive_cfg_force_guidance_compatibility,71475876,1173,bf0702b968f51c080afbeb5621835b87e48d59f488581ecc552e54081ab8dcaf,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Innovation 2 Finalization,complete finalization tree,/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance/experiments/innovation2_finalization,1847473,101,ecdfaf024994bd0d2b96a6c110d6995d37912c494cb42f1de1119b5040804ddc,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
Independent CHGNet Validation,complete metric tree,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/final_independent_mlip_validation,188272,4,8c6f05024eb8c7b2efb8e88b51507f941d90e2456411dda1317da4574a8fec58,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Bounded-Correction Ablation,complete metric tree,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/final_bounded_correction_audit,56533,4,4ccc896a3067b0d6c6b2c57b092f83f0752ab60464aeec6698c769077f187bd9,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,yes
Final Interaction Audit,complete metric tree,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/final_interaction_analysis,126312,4,15b54e149d2552dbb7982b369757e8a60ded1d72646449ed7df2f07a17eb1833,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,partial
ALM-GEN P0,residual generated structures,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/alm_gen_p0,4258368,32,b71c8c7d5b6c74009cca6fd26b56c036dd4de1483208270a98efe01cf6d0fca2,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,unknown
Composable Property Adapter,adapter weights and logs,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/composable_property_adapter_p0,11648536,16,283ce5e8f69376caef1ce20d9a638f34cb16a3619f36af3c86a864cbaaef50bc,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,unknown
MatterGen LoRA P0,generation logs and bytecode remnants,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/mattergen_lora_p0,113064,19,f3c9e8e7fcb6ca225f261976daf42a2b8ac365207f00462e90dad0119aed83cb,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,unknown
MatterGen RL P0,training logs,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/mattergen_rl_p0,242178,8,19dfdacc1e78121ca76ff0d29d8e6825e3463d090986a080c8f1435b51983a5b,tree-sha256-v1,directory_tree,"raw structures, trajectories, checkpoints, large traces or bulk logs are excluded from ordinary Git",immutable object storage or read-only server snapshot; retain this manifest beside it,unknown
Final Thesis Build Source,duplicate generated source package,/mnt/datasets-livsyn/dxl/mattergen_v1/experiments/final_thesis_results,4530092,126,890c0dee8f129d085e7366b07e8908da3b22ae7bb25b6c685b173126d78d529e,tree-sha256-v1,directory_tree,duplicate final-build sources and logs are excluded; curated content is already in release/thesis-final-2026,immutable object storage or read-only server snapshot; retain this manifest beside it,no
