method,seed,formula,num_atoms,maxF_ev_per_a,atomic_force_mean_ev_per_a,rmsd_a,e_hull_ev_per_atom,stable,nus,novel,unique,mag_density_a3,mag_absolute_error_a3,mag_hit,valid,minimum_periodic_distance_a,generation_seconds,end_to_end_generation_seconds,mattergen_score_calls,guidance_calls,guidance_accepted,guidance_fallbacks,guidance_seconds,relaxation_steps,surrogate_property_eval,dft_verified
C0,746000,Fe2Co5Pt,8,0.22857920918985808,0.16330422963901312,0.28003347968940884,0.08022479184326325,True,True,True,True,0.15237365910893005,0.05237365910893005,False,True,2.481008600903184,91.29072110704146,91.29072110704146,2000,0,0,0,0.0,108,True,False
C0,746001,EuHO2,8,0.33910587325657576,0.2138021206544235,0.07704022650609701,0.006136558459472141,True,False,False,True,0.13180082333106444,0.03180082333106443,False,True,0.9708360596508208,92.78898494801251,92.78898494801251,2000,0,0,0,0.0,64,True,False
C0,746002,FeNi,16,0.12478523545766061,0.0565782298854503,0.00849604810675214,0.0518142494885252,True,False,False,True,0.1204312652982991,0.020431265298299098,False,True,2.4723703042452128,98.23261150001781,98.23261150001781,2000,0,0,0,0.0,30,True,False
C0,746003,Eu2TlIn,4,0.006356074428528979,0.0036845471339047382,0.0005613315229048623,0.0227350100305177,True,False,False,True,0.11297938619181395,0.01297938619181395,False,True,3.4047204880955273,84.52534529397963,84.52534529397963,2000,0,0,0,0.0,7,True,False
C0,746004,Fe2CoIr,4,0.005659293840347928,0.0046290892737619075,0.0012882313371849032,0.07867931462321032,True,False,False,True,0.147562870698348,0.047562870698348,False,True,2.546911905428058,85.25652898399858,85.25652898399858,2000,0,0,0,0.0,11,True,False
C0,746005,NaEu2Rh,4,0.06275378892076956,0.03139922334085029,0.00119274064451533,0.059566413012948516,True,False,False,True,0.11291809790844717,0.012918097908447168,False,True,3.027181316129826,83.50964961003046,83.50964961003046,2000,0,0,0,0.0,6,True,False
C0,746006,Eu8Cd2CuP4,15,0.3066315663621037,0.10874738945881646,0.06345405759549563,0.009886619207030378,True,True,True,True,0.1134272389411259,0.013427238941125894,False,True,2.544773329124847,84.3814424740267,84.3814424740267,2000,0,0,0,0.0,103,True,False
C0,746007,Mn3Co,8,0.070708733411899,0.04756176660721255,0.002814781042942879,0.03792598242852563,True,False,False,True,0.041045160333277105,0.0589548396667229,False,True,2.445557581580492,83.60079265496461,83.60079265496461,2000,0,0,0,0.0,14,True,False
A0,746000,Co3Pt,8,0.025296301091234662,0.01706667407910041,0.002026414759450385,0.1369388949621584,False,False,True,True,0.10951808913962348,0.009518089139623473,True,True,2.3300436068925015,83.4319375869818,83.4319375869818,2000,0,0,0,0.0,7,True,False
A0,746001,Eu2IrO5,8,0.20822847976740694,0.10496151504460839,0.006314327616144097,0.07055543099771988,True,True,True,True,0.1138089357618635,0.013808935761863497,False,True,1.8818746982991723,84.93594738194952,84.93594738194952,2000,0,0,0,0.0,26,True,False
