target,field,shapley_mean,positive_share
property_benefit,A,0.001323742172261353,0.4024472261853818
property_benefit,P,0.00196548952355257,0.5975527738146181
property_benefit,C,-0.001090227373843038,0.0
stable_harm,A,-0.020833333333333332,0.0
stable_harm,P,0.03125,0.25
stable_harm,C,0.09375,0.75
nus_harm,A,0.013888888888888886,0.08333333333333334
nus_harm,P,0.11805555555555554,0.7083333333333334
nus_harm,C,0.034722222222222224,0.2083333333333334
evaluation_valid_harm,A,0.0,0.0
evaluation_valid_harm,P,0.0,0.0
evaluation_valid_harm,C,0.0,0.0
e_hull_harm,A,0.00021631926366229488,0.003978538894392563
e_hull_harm,P,0.037156880519812266,0.6833884871814017
e_hull_harm,C,0.016998334441609888,0.31263297392420575
quality_harm_aggregate,A,,0.02910395740924197
quality_harm_aggregate,P,,0.547240606838245
quality_harm_aggregate,C,,0.423655435752513
