policy_id,n,property_harm_rate,e_hull_harm_rate,stable_loss_rate,nus_loss_rate,validity_loss_rate,p75_positive_degradation,p90_positive_degradation,worst_quartile_mean_degradation
A19,48,0.08333333333333333,0.0625,0.041666666666666664,0.0625,0.0,3.4903389657670036e-09,9.108756730130692e-09,0.006647318226791034
AC19,48,0.5,0.4166666666666667,0.2916666666666667,0.1875,0.0,0.023845420371392,0.04837341538250463,0.044582320958730416
AP19,48,0.4583333333333333,0.375,0.22916666666666666,0.2708333333333333,0.0,0.015922645728087177,0.03314278163011769,0.036113653353906636
APulse,48,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,3.333678926225464e-09,1.0484622369952295e-08,0.0021655379019530087
C0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C19,48,0.5,0.4166666666666667,0.2916666666666667,0.1875,0.0,0.025792476354321074,0.047387484852727375,0.045522654431927156
CPulse,48,0.3333333333333333,0.3541666666666667,0.16666666666666666,0.125,0.0,0.004432043647856629,0.022112815084459697,0.028729222994452214
G19,48,0.3541666666666667,0.4583333333333333,0.22916666666666666,0.22916666666666666,0.0,0.01223124109489725,0.0324740513251449,0.034839047123058846
GPulse,48,0.375,0.3541666666666667,0.25,0.14583333333333334,0.0,0.008210209077298527,0.01677898541161942,0.020569666985506725
P19,48,0.4791666666666667,0.3541666666666667,0.22916666666666666,0.25,0.0,0.0207465215149791,0.04783522954485155,0.042376346918561215
PC19,48,0.3541666666666667,0.4791666666666667,0.2708333333333333,0.22916666666666666,0.0,0.011592679509306475,0.04015060427499569,0.03894039871501331
PPulse,48,0.2916666666666667,0.2916666666666667,0.16666666666666666,0.14583333333333334,0.0,0.006217516059139599,0.0450989286075135,0.032911977273191666
