policy_id,policy_kind,safe_a_rate,safe_b_rate,mean_property_gain,mean_safe_a_gain,estimated_branch_increment
A19,constant,0.020833333333333332,0.020833333333333332,0.0013964550696229986,0.0506297924091862,1.0
AC19,constant,0.2916666666666667,0.25,-0.0036995795127707336,0.01650312587475709,1.0
AP19,constant,0.20833333333333334,0.16666666666666666,1.0208378467906586e-05,0.0222133076033882,1.0
APulse,pulse,0.0,0.0,-0.0004556888254138418,0.0,0.6
C19,constant,0.3125,0.2708333333333333,-0.004414396928274367,0.01905077713204056,1.0
CPulse,pulse,0.2916666666666667,0.20833333333333334,0.0007546529798561257,0.014480135558646703,0.6
G19,constant,0.1875,0.16666666666666666,0.0021990043219708853,0.02256519407057248,1.0
GPulse,pulse,0.2916666666666667,0.25,0.0035103495474541253,0.01576620945354467,0.6
P19,constant,0.22916666666666666,0.20833333333333334,-0.002012751024721791,0.02248489911370332,1.0
PC19,constant,0.20833333333333334,0.1875,0.0009931212841564896,0.01687312977044841,1.0
PPulse,pulse,0.3125,0.2708333333333333,-0.0013746106484040204,0.015746002141278376,0.6
