method,seed,ehull_delta_vs_C0,stable_delta_vs_C0,nus_delta_vs_C0,property_error_delta_vs_C0,harm_ehull,harm_stable,harm_property
A_OLD,813000,0.0016352412955740192,0,0,0.015559184627735992,False,False,True
A_OLD,813001,-0.003948140956216761,0,0,-0.010989328396040637,False,False,False
A_OLD,813002,-0.17358304145182402,1,1,-0.01913196155083413,False,False,False
A_OLD,813003,-0.03145662943522165,1,1,-0.005313491896623973,False,False,False
A_OLD,813004,0.01974081358771329,0,0,-0.0018931689823088044,False,False,False
A_OLD,813005,-0.037949201031494795,0,0,-0.0029996405467548476,False,False,False
A_OLD,813006,0.1776857317214411,0,0,0.001137482257395267,True,False,True
A_OLD,813007,0.0022391346788204203,0,0,0.006664681591358898,False,False,True
A_OLD,813008,-0.02490752301204413,0,0,0.06096237156361337,False,False,True
A_OLD,813009,-0.0023662297851565484,0,-1,-0.03357704515525363,False,False,False
A_OLD,813010,-0.06336684800130143,0,0,-0.015511398007871033,False,False,False
A_OLD,813011,-0.08117276114908734,1,1,-0.0033870302296483412,False,False,False
A_OLD,813012,0.011016434173583889,0,0,0.03138279733586524,False,False,True
A_OLD,813013,0.05066520136699282,0,0,-0.003132566717899493,True,False,False
A_OLD,813014,0.05689100381086565,0,0,-0.004957297158468668,True,False,False
A_OLD,813015,0.026982025193684755,0,-1,0.040320676702904595,True,False,True
A_OLD,813016,0.08251533695312485,-1,-1,-0.02094327300735202,True,True,False
A_OLD,813017,0.06913290292765062,-1,-1,0.001144558215539354,True,True,False
A_OLD,813018,0.03511902485220553,-1,0,0.01173805570708783,True,True,True
A_OLD,813019,-0.006327516924461207,0,1,0.04386002457236135,False,False,True
A_OLD,813020,0.04323844261501364,0,0,-0.030862015425076314,True,False,False
A_OLD,813021,0.03700238063964978,0,0,0.05118772614289027,True,False,True
A_OLD,813022,0.15065611529687395,-1,0,0.022090498524294178,True,True,True
A_OLD,813023,-0.011710215815429414,0,-1,0.03013835917957658,False,False,True
A_OLD,813024,-0.31157936403776443,1,1,0.03376249216184313,False,False,True
A_OLD,813025,-0.013202197818604766,0,0,0.014358909771843675,False,False,True
A_OLD,813026,0.2570362355855522,-1,0,0.04867179966427333,True,True,True
A_OLD,813027,-0.035842090099629687,0,0,0.03852166397362705,False,False,True
A_OLD,813028,0.03460540512802979,0,1,0.004822740925596897,True,False,True
A_OLD,813029,-0.03379975764369192,0,0,-0.013471431843493767,False,False,False
A_OLD,813030,0.19291842259819525,-1,-1,0.01938996854713232,True,True,True
A_OLD,813031,0.042257124174803984,0,1,-0.03117955106538528,True,False,False
A_NORM,813000,0.000374637936200628,0,1,0.017027761429524765,False,False,True
A_NORM,813001,-0.003946233607583949,0,0,-0.01083062639551878,False,False,False
A_NORM,813002,-0.06854006921407851,0,0,-0.010849462435966212,False,False,False
A_NORM,813003,-0.023471546824542777,1,0,-0.04214149478427258,False,False,False
A_NORM,813004,-0.051994874891635234,0,0,-0.004888034571518152,False,False,False
A_NORM,813005,0.07258548464477421,-1,0,-0.0032061128832667346,True,True,False
A_NORM,813006,-0.06089832730608613,1,1,0.06204414505995329,False,False,True
A_NORM,813007,0.019559277489149096,0,0,-0.006416228676197525,False,False,False
A_NORM,813008,0.009308834142903955,-1,-1,0.021688535887943214,False,True,True
A_NORM,813009,0.04215686239794891,0,0,-0.033789981152828635,True,False,False
A_NORM,813010,-0.04942463007893849,0,0,-0.020923527203157613,False,False,False
A_NORM,813011,-0.11805495705349145,1,0,-0.012701973187210835,False,False,False
A_NORM,813012,0.007632797698974514,0,0,0.026028615678609618,False,False,True
A_NORM,813013,0.06009838256958222,-1,-1,-0.007864283470273098,True,True,False
A_NORM,813014,-0.02087394330322212,1,0,0.03166491605528782,False,False,True
A_NORM,813015,0.025624063381712858,0,-1,-0.030991350062221187,True,False,False
A_NORM,813016,0.005618645545245826,0,-1,-0.015061811538744876,False,False,False
A_NORM,813017,0.1278903120463033,-1,-1,0.01604877280580351,True,True,True
A_NORM,813018,-0.03086460574218819,0,0,0.05498596150398341,False,False,True
A_NORM,813019,0.1577120178203124,-1,0,0.01670673512598897,True,True,True
A_NORM,813020,-0.02813770843231289,1,1,-0.03460742767078312,False,False,False
A_NORM,813021,0.005691329160700143,0,-1,0.03258583241454224,False,False,True
A_NORM,813022,0.05768421586349781,0,0,0.01656087794588798,True,False,True
A_NORM,813023,0.025915120011800852,0,0,0.008533857897190106,True,False,True
A_NORM,813024,-0.09787152011848477,0,0,-0.01674672629033866,False,False,False
A_NORM,813025,-0.011201073129636363,0,0,0.023276805631486763,False,False,True
A_NORM,813026,-0.0321937099183538,0,0,0.04266867107053339,False,False,True
A_NORM,813027,-0.07360447170508078,1,1,0.08061398120304036,False,False,True
A_NORM,813028,0.12990451259548141,-1,0,-0.008960370283618568,True,True,False
A_NORM,813029,0.059860331334717465,0,0,-0.016390329378464796,True,False,False
A_NORM,813030,-0.037321144631622616,0,0,0.005064412195301571,False,False,True
A_NORM,813031,0.14877949411106073,-1,0,-0.03041137076196332,True,True,False
A_ROBUST,813000,0.1380690767531485,-1,0,-0.00243134211478907,True,True,False
A_ROBUST,813001,-0.0039414652360019176,0,0,-0.011079879091728306,False,False,False
A_ROBUST,813002,-0.056293968469741884,0,0,-0.010191856018682471,False,False,False
A_ROBUST,813003,-0.0664312872064885,1,0,-0.007013895040388546,False,False,False
A_ROBUST,813004,-0.12506853195637468,1,1,0.025762505179250203,False,False,True
A_ROBUST,813005,0.021083889521889887,0,1,0.023094671847035134,True,False,True
A_ROBUST,813006,-0.06113825069057022,1,1,0.04590734698921506,False,False,True
A_ROBUST,813007,-0.007580887199447162,0,0,0.008510790049309727,False,False,True
A_ROBUST,813008,-0.08376078098242168,0,0,0.026334383953895313,False,False,True
A_ROBUST,813009,0.042128252168456726,0,0,-0.03388701456573054,True,False,False
A_ROBUST,813010,-0.03597339330891991,0,0,-0.02574814358193521,False,False,False
A_ROBUST,813011,-0.1076958947325295,1,0,-0.0016783724992676108,False,False,False
A_ROBUST,813012,0.005531853179931545,0,0,0.02492495834928088,False,False,True
A_ROBUST,813013,0.020445549142503516,0,0,-0.00906504865049805,True,False,False
A_ROBUST,813014,0.13940624352644182,0,0,-0.006351680340561855,True,False,False
A_ROBUST,813015,-0.0014555001253278022,0,0,-0.04750505434436715,False,False,False
A_ROBUST,813016,0.04191996281900945,0,-1,-0.022755177358770765,True,False,False
A_ROBUST,813017,0.06870088422892096,-1,-1,0.012620712106136522,True,True,True
A_ROBUST,813018,0.10162677076367466,-1,0,0.02739365052505427,True,True,True
A_ROBUST,813019,0.042913064566407755,0,1,0.013396873272740972,True,False,True
A_ROBUST,813020,0.13817248755329192,0,0,-0.031465518440297185,True,False,False
A_ROBUST,813021,0.09559295172526205,-1,-1,0.04476513591202319,True,True,True
A_ROBUST,813022,7.629394529473643e-07,0,0,1.7812797298150107e-05,False,False,False
A_ROBUST,813023,0.05974162715087861,-1,-1,-0.0275537681953808,True,True,False
A_ROBUST,813024,-0.1158991251289141,0,0,0.042991677758008884,False,False,True
A_ROBUST,813025,-0.004937593891601644,0,0,0.020998734137502195,False,False,True
A_ROBUST,813026,0.01672843302500393,0,0,0.044088785882383644,False,False,True
A_ROBUST,813027,-0.09040326060058579,1,1,0.03018702463084688,False,False,True
A_ROBUST,813028,0.027350785350467532,0,1,0.002904375357253186,True,False,True
A_ROBUST,813029,-0.09876124112181284,1,0,0.057164012151935395,False,False,True
A_ROBUST,813030,-0.03272478837022952,0,-1,0.035035013425899986,False,False,True
A_ROBUST,813031,0.12946565624999984,-1,0,-0.036248721221703376,True,True,False
