phase,field,time_bin,progress_low,progress_high,mu_log_residual,sigma_log_residual,sigma_before_floor,sample_count
corrector,atomic,0,0.0,0.05,1.203090178913709,0.2970087751469025,0.2970087751469025,3200
corrector,position,0,0.0,0.05,-7.126144424396627,0.36165383010663843,0.36165383010663843,3200
corrector,cell,0,0.0,0.05,-4.347858911236552,0.5649361866115054,0.5649361866115054,3200
corrector,atomic,1,0.05,0.1,1.0665284088707927,0.27583342971762864,0.27583342971762864,3200
corrector,position,1,0.05,0.1,-7.012444019548646,0.387533397490543,0.387533397490543,3200
corrector,cell,1,0.05,0.1,-4.297306295266517,0.5727907148579108,0.5727907148579108,3200
corrector,atomic,2,0.1,0.15,0.9398612288179089,0.30824815909735676,0.30824815909735676,3200
corrector,position,2,0.1,0.15,-6.861399668349854,0.4125750379837276,0.4125750379837276,3200
corrector,cell,2,0.1,0.15,-4.24093549486906,0.5836590693896585,0.5836590693896585,3200
corrector,atomic,3,0.15,0.2,0.8336384819950444,0.2970027719179731,0.2970027719179731,3200
corrector,position,3,0.15,0.2,-6.58599557009269,0.4642034546918865,0.4642034546918865,3200
corrector,cell,3,0.15,0.2,-4.054341425012371,0.5663670432532948,0.5663670432532948,3200
corrector,atomic,4,0.2,0.25,0.78683312835035,0.2939050692971541,0.2939050692971541,3200
corrector,position,4,0.2,0.25,-6.114533761132907,0.5827009119730704,0.5827009119730704,3200
corrector,cell,4,0.2,0.25,-3.945416624537653,0.6281022408251434,0.6281022408251434,3200
corrector,atomic,5,0.25,0.3,0.7232725686838464,0.2778025292091033,0.2778025292091033,3200
corrector,position,5,0.25,0.3,-5.336030073722169,0.8039131854155226,0.8039131854155226,3200
corrector,cell,5,0.25,0.3,-3.791697755720276,0.6021588907614711,0.6021588907614711,3200
corrector,atomic,6,0.3,0.35,0.6737610446055041,0.2646436079966216,0.2646436079966216,3200
corrector,position,6,0.3,0.35,-3.994852703332006,0.9823511166094226,0.9823511166094226,3200
corrector,cell,6,0.3,0.35,-3.6670656502268315,0.578265449459907,0.578265449459907,3200
corrector,atomic,7,0.35,0.4,0.6264915598949117,0.2536453652889551,0.2536453652889551,3200
corrector,position,7,0.35,0.4,-2.4970459716923705,0.8506492636279432,0.8506492636279432,3200
corrector,cell,7,0.35,0.4,-3.5039580494400218,0.6044038329575065,0.6044038329575065,3200
corrector,atomic,8,0.4,0.45,0.5769802843583882,0.21195939021043858,0.21195939021043858,3200
corrector,position,8,0.4,0.45,-1.2207985609579577,0.7095099851412957,0.7095099851412957,3200
corrector,cell,8,0.4,0.45,-3.394868595607635,0.594901965322838,0.594901965322838,3200
corrector,atomic,9,0.45,0.5,0.5447155387955986,0.19545758401453547,0.19545758401453547,3200
corrector,position,9,0.45,0.5,-0.2684087867284831,0.6296596934975115,0.6296596934975115,3200
corrector,cell,9,0.45,0.5,-3.315722092197522,0.6156595612098734,0.6156595612098734,3200
corrector,atomic,10,0.5,0.55,0.5066154019745689,0.19066578588251684,0.19066578588251684,3200
corrector,position,10,0.5,0.55,0.26209847012609316,0.677651632903885,0.677651632903885,3200
corrector,cell,10,0.5,0.55,-3.2486281179512564,0.647456358729102,0.647456358729102,3200
corrector,atomic,11,0.55,0.6,0.4641613424699543,0.1800879531198472,0.1800879531198472,3200
corrector,position,11,0.55,0.6,0.27729702316410143,0.8034549873010084,0.8034549873010084,3200
corrector,cell,11,0.55,0.6,-3.3419882820872613,0.7281972851800256,0.7281972851800256,3200
corrector,atomic,12,0.6,0.65,0.42815384871481865,0.1692433539867299,0.1692433539867299,3200
corrector,position,12,0.6,0.65,0.3308949038638764,0.800948687765447,0.800948687765447,3200
corrector,cell,12,0.6,0.65,-3.2181238583849368,0.8059296856751085,0.8059296856751085,3200
corrector,atomic,13,0.65,0.7,0.3816692828426261,0.15292092486690104,0.15292092486690104,3200
corrector,position,13,0.65,0.7,0.5124878260939814,0.8311806119857185,0.8311806119857185,3200
corrector,cell,13,0.65,0.7,-3.130242213828791,0.8350728526697854,0.8350728526697854,3200
corrector,atomic,14,0.7,0.75,0.33586978231354664,0.13717994104798173,0.13717994104798173,3200
corrector,position,14,0.7,0.75,0.7137883267005286,0.8117202776080681,0.8117202776080681,3200
corrector,cell,14,0.7,0.75,-3.0579430282160853,0.9184718383077749,0.9184718383077749,3200
corrector,atomic,15,0.75,0.8,0.2865345128582467,0.1277813158267791,0.1277813158267791,3200
corrector,position,15,0.75,0.8,0.9435768545265077,0.8103126648287051,0.8103126648287051,3200
corrector,cell,15,0.75,0.8,-2.978727267427276,0.980361809352922,0.980361809352922,3200
corrector,atomic,16,0.8,0.85,0.24490752808389524,0.12284506140558836,0.12284506140558836,3200
corrector,position,16,0.8,0.85,1.298895843005993,0.8473477235981633,0.8473477235981633,3200
corrector,cell,16,0.8,0.85,-2.8877567213822397,0.9509775191104136,0.9509775191104136,3200
corrector,atomic,17,0.85,0.9,0.21366787241581442,0.10876840457078803,0.10876840457078803,3200
corrector,position,17,0.85,0.9,1.5845435262093424,0.8924984487013281,0.8924984487013281,3200
corrector,cell,17,0.85,0.9,-2.7622801689160066,0.7921048334726402,0.7921048334726402,3200
corrector,atomic,18,0.9,0.95,0.19171225058043043,0.09672065055812924,0.09672065055812924,3200
corrector,position,18,0.9,0.95,1.9000883253445104,0.8586395643733095,0.8586395643733095,3200
corrector,cell,18,0.9,0.95,-2.1647119657466867,0.7003880453017559,0.7003880453017559,3200
corrector,atomic,19,0.95,1.0,0.16603876219562205,0.08731613231308755,0.08731613231308755,3200
corrector,position,19,0.95,1.0,2.213448534359024,0.8755656541576416,0.8755656541576416,3200
corrector,cell,19,0.95,1.0,-0.6556278526202898,1.115831065666887,1.115831065666887,3200
predictor,atomic,0,0.0,0.05,1.202765605746117,0.2977818676688359,0.2977818676688359,3200
predictor,position,0,0.0,0.05,-7.129503608514227,0.36304567334718474,0.36304567334718474,3200
predictor,cell,0,0.0,0.05,-4.335253822608052,0.5733444709617008,0.5733444709617008,3200
predictor,atomic,1,0.05,0.1,1.0655845732620841,0.27831085916471643,0.27831085916471643,3200
predictor,position,1,0.05,0.1,-7.010890484731183,0.39137494531203026,0.39137494531203026,3200
predictor,cell,1,0.05,0.1,-4.302663775525726,0.581768518005287,0.581768518005287,3200
predictor,atomic,2,0.1,0.15,0.9393626397199055,0.3081460993408746,0.3081460993408746,3200
predictor,position,2,0.1,0.15,-6.874156987217143,0.4168174813227746,0.4168174813227746,3200
predictor,cell,2,0.1,0.15,-4.24135352219297,0.5818391585417407,0.5818391585417407,3200
predictor,atomic,3,0.15,0.2,0.8350320535085103,0.2936655094661525,0.2936655094661525,3200
predictor,position,3,0.15,0.2,-6.576612858365326,0.47439500114056543,0.47439500114056543,3200
predictor,cell,3,0.15,0.2,-4.050940105590189,0.5675373343733474,0.5675373343733474,3200
predictor,atomic,4,0.2,0.25,0.7881339113818617,0.29074682029224097,0.29074682029224097,3200
predictor,position,4,0.2,0.25,-6.1136977803883426,0.5843834368800803,0.5843834368800803,3200
predictor,cell,4,0.2,0.25,-3.9453294581722305,0.6187727040461786,0.6187727040461786,3200
predictor,atomic,5,0.25,0.3,0.7233460230433495,0.2788019695508378,0.2788019695508378,3200
predictor,position,5,0.25,0.3,-5.341531620001184,0.7910828730575364,0.7910828730575364,3200
predictor,cell,5,0.25,0.3,-3.7979610304062605,0.6042161307846949,0.6042161307846949,3200
predictor,atomic,6,0.3,0.35,0.6747030273828548,0.2639994381207729,0.2639994381207729,3200
predictor,position,6,0.3,0.35,-3.9939920427519655,0.9796413664269809,0.9796413664269809,3200
predictor,cell,6,0.3,0.35,-3.670195864830788,0.5765510112245087,0.5765510112245087,3200
predictor,atomic,7,0.35,0.4,0.6263493828401433,0.2535098799649216,0.2535098799649216,3200
predictor,position,7,0.35,0.4,-2.489639653602431,0.8558308237156298,0.8558308237156298,3200
predictor,cell,7,0.35,0.4,-3.5056338447765767,0.6076827064833508,0.6076827064833508,3200
predictor,atomic,8,0.4,0.45,0.5786475353222258,0.21175099096681957,0.21175099096681957,3200
predictor,position,8,0.4,0.45,-1.2281600746962802,0.705739840188834,0.705739840188834,3200
predictor,cell,8,0.4,0.45,-3.385456945212287,0.6002473833724579,0.6002473833724579,3200
predictor,atomic,9,0.45,0.5,0.5451812765261843,0.19502034802370746,0.19502034802370746,3200
predictor,position,9,0.45,0.5,-0.267584564119363,0.6330798310703498,0.6330798310703498,3200
predictor,cell,9,0.45,0.5,-3.303215972327382,0.6141077895188736,0.6141077895188736,3200
predictor,atomic,10,0.5,0.55,0.5063797202375266,0.19136212616896145,0.19136212616896145,3200
predictor,position,10,0.5,0.55,0.25863116388385343,0.6812598644953513,0.6812598644953513,3200
predictor,cell,10,0.5,0.55,-3.2538941970070163,0.6560606620458043,0.6560606620458043,3200
predictor,atomic,11,0.55,0.6,0.4622273114486837,0.17913031118653183,0.17913031118653183,3200
predictor,position,11,0.55,0.6,0.2759755290363467,0.7965588622937441,0.7965588622937441,3200
predictor,cell,11,0.55,0.6,-3.3374091261694754,0.7246723381035067,0.7246723381035067,3200
predictor,atomic,12,0.6,0.65,0.4294384812262222,0.16887555741575264,0.16887555741575264,3200
predictor,position,12,0.6,0.65,0.33578413191143797,0.7922718734647575,0.7922718734647575,3200
predictor,cell,12,0.6,0.65,-3.218125913430104,0.7964812280676832,0.7964812280676832,3200
predictor,atomic,13,0.65,0.7,0.381934442065496,0.15305938616223086,0.15305938616223086,3200
predictor,position,13,0.65,0.7,0.5155083960628485,0.8317032708140003,0.8317032708140003,3200
predictor,cell,13,0.65,0.7,-3.1251096341079956,0.835231947005114,0.835231947005114,3200
predictor,atomic,14,0.7,0.75,0.336869975471014,0.13870730648855942,0.13870730648855942,3200
predictor,position,14,0.7,0.75,0.7191925587411069,0.8141741220195052,0.8141741220195052,3200
predictor,cell,14,0.7,0.75,-3.056582147280516,0.9135043282131333,0.9135043282131333,3200
predictor,atomic,15,0.75,0.8,0.2867872878269687,0.12743179404134442,0.12743179404134442,3200
predictor,position,15,0.75,0.8,0.9430063026952559,0.8092612573709346,0.8092612573709346,3200
predictor,cell,15,0.75,0.8,-2.9831334487061167,0.9676117362921083,0.9676117362921083,3200
predictor,atomic,16,0.8,0.85,0.24488657615386564,0.12362328643372122,0.12362328643372122,3200
predictor,position,16,0.8,0.85,1.3038922423131332,0.8476003669177453,0.8476003669177453,3200
predictor,cell,16,0.8,0.85,-2.8826541083965846,0.9530603806566774,0.9530603806566774,3200
predictor,atomic,17,0.85,0.9,0.21413721033429806,0.10963913899693575,0.10963913899693575,3200
predictor,position,17,0.85,0.9,1.585364413802569,0.8919733296845442,0.8919733296845442,3200
predictor,cell,17,0.85,0.9,-2.75347989994241,0.8049668943401129,0.8049668943401129,3200
predictor,atomic,18,0.9,0.95,0.19170677967315286,0.0964696583217859,0.0964696583217859,3200
predictor,position,18,0.9,0.95,1.899947252127663,0.8587622182055724,0.8587622182055724,3200
predictor,cell,18,0.9,0.95,-2.1632568275951187,0.7017982686804094,0.7017982686804094,3200
predictor,atomic,19,0.95,1.0,0.1659800302612166,0.08731066703695928,0.08731066703695928,3200
predictor,position,19,0.95,1.0,2.216489631924176,0.8749830167226971,0.8749830167226971,3200
predictor,cell,19,0.95,1.0,-0.6544915188492465,1.1161169175301955,1.1161169175301955,3200
