branch_id,seed,schedule_id,schedule_kind,active_cfg,delta_g,start,duration,formula,num_atoms,geometric_valid,minimum_periodic_distance_angstrom,validity_reason,chgnet_success,chgnet_mag_density,target_mag_density,property_absolute_error,structure_valid,surrogate_property_eval,dft_verified,e_hull,stable,nus,novel,unique,quality_success,evaluation_valid,c0_property_absolute_error,property_delta_vs_c0,property_gain_vs_c0,property_harm_vs_c0,positive_property_degradation,e_hull_delta_vs_c0,e_hull_harm_vs_c0,stable_loss_vs_c0,validity_loss_vs_c0,nus_loss_vs_c0
914997388:C_G190,914997388,C_G190,constant,1.9,-0.1,-1,1000,Eu2PrZn,4,True,3.5306862943032504,,True,0.1074158094857519,0.1,0.0074158094857519,True,True,False,0.1883904456140133,False,False,True,True,True,True,0.0253942693543246,-0.017978459868572702,0.017978459868572702,False,0.0,0.1299955756713862,True,True,False,False
914997388:P_T400_DM10,914997388,P_T400_DM10,permanent,1.9,-0.1,400,600,Eu3Zn,4,True,3.2711044872959314,,True,0.1466983201385494,0.1,0.0466983201385493,True,True,False,0.024078395485840787,True,True,True,True,True,True,0.0253942693543246,0.021304050784224697,-0.021304050784224697,True,0.021304050784224697,-0.03431647445678632,False,False,False,False
914997388:S_T400_DM10_K100,914997388,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,Eu3Zn,4,True,3.27030180946029,,True,0.1466004929719559,0.1,0.0466004929719559,True,True,False,0.02407458078857516,True,True,True,True,True,True,0.0253942693543246,0.021206223617631297,-0.021206223617631297,True,0.021206223617631297,-0.03432028915405194,False,False,False,False
914997388:C0,914997388,C0,c0,2.0,0.0,-1,1000,AlEu2Zn,4,True,3.2704082401819283,,True,0.1253942693543246,0.1,0.0253942693543246,True,True,False,0.0583948699426271,True,False,False,True,True,True,0.0253942693543246,0.0,-0.0,False,0.0,0.0,False,False,False,False
1407529845:C_G190,1407529845,C_G190,constant,1.9,-0.1,-1,1000,DyEu3,4,True,3.664473250326106,,True,0.1376399631757988,0.1,0.0376399631757988,True,True,False,0.08050731004638578,True,True,True,True,True,True,0.0316034762774629,0.006036486898335899,-0.006036486898335899,True,0.006036486898335899,-0.04242042848632899,False,False,False,False
1407529845:P_T400_DM10,1407529845,P_T400_DM10,permanent,1.9,-0.1,400,600,Eu2KPt,4,True,2.9459356493240216,,True,0.0731732393802327,0.1,0.0268267606197672,True,True,False,0.09165433847656068,True,True,True,True,True,True,0.0316034762774629,-0.004776715657695697,0.004776715657695697,False,0.0,-0.03127340005615409,False,False,False,False
1407529845:S_T400_DM10_K100,1407529845,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,Eu2KPt,4,True,2.945613807901424,,True,0.0731824297656908,0.1,0.0268175702343091,True,True,False,0.09165529215087709,True,True,True,True,True,True,0.0316034762774629,-0.0047859060431537995,0.0047859060431537995,False,0.0,-0.03127244638183768,False,False,False,False
1407529845:C0,1407529845,C0,c0,2.0,0.0,-1,1000,Eu3Pt,4,True,2.953399608311326,,True,0.1316034762774629,0.1,0.0316034762774629,True,True,False,0.12292773853271477,False,False,True,True,True,True,0.0316034762774629,0.0,-0.0,False,0.0,0.0,False,False,False,False
877979436:C_G190,877979436,C_G190,constant,1.9,-0.1,-1,1000,H2Cr2Mn6,10,True,1.8003625240438206,,True,0.0490497392396683,0.1,0.0509502607603316,True,True,False,0.08432681317746393,True,True,True,True,True,True,0.0683728092705568,-0.017422548510225205,0.017422548510225205,False,0.0,0.024542765683321477,True,False,False,False
877979436:P_T400_DM10,877979436,P_T400_DM10,permanent,1.9,-0.1,400,600,EuMn2O6Yb,10,True,1.9455941672533856,,True,0.12149578817887,0.1,0.02149578817887,True,True,False,0.027402601570313934,True,True,True,True,True,True,0.0683728092705568,-0.0468770210916868,0.0468770210916868,False,0.0,-0.03238144592382852,False,False,False,False
