Cohort,Method,Metric,n,units,mean,median,p90,p95,max
A4,T0,MaxF,32,eV/Angstrom,0.27713843906089319,0.084026607873265755,0.39757059034870501,0.6126747595236246,4.3735218959375297
A4,T0,Atomic Force,32,eV/Angstrom,0.10001593945263723,0.042031400533039311,0.23243324699134216,0.3396629878892729,0.77157514178541864
A4,T0,RMSD,32,Angstrom,0.014602136647696443,0.001883816377594859,0.047792666739139449,0.079357254584532355,0.14341072241701869
A4,T0,E-hull,32,eV/atom,0.076891254730029279,0.061649576294148467,0.14880136399313584,0.21344331328818347,0.43102705712434997
A4,T0,Stable,32,fraction,0.75,1,1,1,1
A4,T0,Novel,32,fraction,0.375,0,1,1,1
A4,T0,Unique,32,fraction,0.71875,1,1,1,1
A4,T0,NUS,32,fraction,0.125,0,0.90000000000000213,1,1
A4,T0,Property MAE,32,mu_B/Angstrom^3,0.0092076509876415497,0.0072360089242834297,0.015894932024431686,0.018596677196094261,0.064711101710774571
A4,T0,Hit,32,fraction,0.625,1,1,1,1
A4,T0,Validity,32,fraction,1,1,1,1,1
A4,T0,Runtime,32,seconds,84.49223986574907,84.445442257507239,85.696412929100916,86.085092651133891,87.732767866982613
A4,T0,Independent MaxF,32,eV/Angstrom,0.14767950664294283,0.090395680990280891,0.43994490913323053,0.5190880028968865,0.69375023748842624
A4,T0,Independent mean force,32,eV/Angstrom,0.074182661916655873,0.050655387127695781,0.20208605776851368,0.24881174935550771,0.29788073599501574
A4,T1,MaxF,32,eV/Angstrom,0.23150218242651582,0.035327301924017174,0.36969503964766348,0.56443098397161462,4.1341795284800291
A4,T1,Atomic Force,32,eV/Angstrom,0.076908140550440707,0.020765730604217436,0.18694289704336184,0.29828084870014737,0.74252267647322123
A4,T1,RMSD,32,Angstrom,0.012924186782502338,0.00089132041906628463,0.042912104503536136,0.076487885818838516,0.14061408081227808
A4,T1,E-hull,32,eV/atom,0.076869462975619113,0.061634476450805664,0.148788380398514,0.21342149321982501,0.43081648583528676
A4,T1,Stable,32,fraction,0.75,1,1,1,1
A4,T1,Novel,32,fraction,0.375,0,1,1,1
A4,T1,Unique,32,fraction,0.71875,1,1,1,1
A4,T1,NUS,32,fraction,0.125,0,0.90000000000000213,1,1
A4,T1,Property MAE,32,mu_B/Angstrom^3,0.0092338856035860863,0.0071925540213026579,0.015869125656996708,0.018742300596348297,0.064799034340210337
A4,T1,Hit,32,fraction,0.625,1,1,1,1
A4,T1,Validity,32,fraction,1,1,1,1,1
A4,T1,Runtime,32,seconds,85.311040136255542,85.284895549004432,86.281147197127581,87.62601455424155,87.802379816013854
A4,T1,Independent MaxF,32,eV/Angstrom,0.14133435435776392,0.08713343550987146,0.41572518794901614,0.51038640386294487,0.69500149050063109
A4,T1,Independent mean force,32,eV/Angstrom,0.071595916356890346,0.048428945055704713,0.20059278078887746,0.24147348910527217,0.28821591842147687
A4,T2,MaxF,32,eV/Angstrom,0.060834261185700983,0.029369957271993079,0.09389009727011137,0.30188096919181828,0.35478658008110864
A4,T2,Atomic Force,32,eV/Angstrom,0.030281546928468066,0.017271331627917032,0.056229195526171706,0.12673645493425054,0.14933024702911368
A4,T2,RMSD,32,Angstrom,0.0051759449857109174,0.00080113851873397468,0.0088080091276215074,0.033400756147148949,0.056640473944237379
A4,T2,E-hull,32,eV/atom,0.076860212601153249,0.061634317505085967,0.14878805342446261,0.21343854491660144,0.4306020998489597
A4,T2,Stable,32,fraction,0.75,1,1,1,1
A4,T2,Novel,32,fraction,0.375,0,1,1,1
A4,T2,Unique,32,fraction,0.71875,1,1,1,1
A4,T2,NUS,32,fraction,0.125,0,0.90000000000000213,1,1
A4,T2,Property MAE,32,mu_B/Angstrom^3,0.0094256331729123469,0.0073963627922184472,0.015877167931094283,0.019283077663535916,0.064902716618599116
A4,T2,Hit,32,fraction,0.625,1,1,1,1
A4,T2,Validity,32,fraction,1,1,1,1,1
A4,T2,Runtime,32,seconds,84.714288316125021,84.562310299952514,86.543398668669397,86.643275951955005,87.173024127958342
A4,T2,Independent MaxF,32,eV/Angstrom,0.14896963113050141,0.080824809518066629,0.2879125967066144,0.64938899112528858,0.84663883239210747
A4,T2,Independent mean force,32,eV/Angstrom,0.073926257687572952,0.044128148004494612,0.17579888415023162,0.26860390440434684,0.35297529345898571
