cohort,baseline,method,metric,units,n,baseline_mean,method_mean,baseline_median,method_median,delta_method_minus_baseline,paired_median_delta,delta_ci95_low,delta_ci95_high,relative_improvement,relative_ci95_low,relative_ci95_high,wins,ties,losses,tie_tolerance,bootstrap_resamples,bootstrap_seed,evidence
A4,T0,T1,MaxF,eV/Angstrom,32,0.27713843906089319,0.23150218242651582,0.084026607873265755,0.035327301924017174,-0.045636256634377391,-0.045870537216703464,-0.061253532718185864,-0.034195606410041372,0.16466953046650501,0.10129894658544734,0.36885593328142241,32,0,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,Atomic Force,eV/Angstrom,32,0.10001593945263723,0.076908140550440707,0.042031400533039311,0.020765730604217436,-0.023107798902196521,-0.022582454267846989,-0.027683507696752416,-0.018748078907630285,0.23104116232532385,0.15076478755164055,0.3800678368154396,32,0,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,RMSD,Angstrom,32,0.014602136647696443,0.012924186782502338,0.001883816377594859,0.00089132041906628463,-0.0016779498651941058,-0.00082477760965692158,-0.0022562724581832358,-0.001118700197304698,0.11491125618652599,0.064114752819926027,0.27439885510948803,26,5,1,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,E-hull,eV/atom,32,0.076891254730029279,0.076869462975619113,0.061649576294148467,0.061634476450805664,-2.1791754410166453e-05,-1.6053517659209149e-05,-3.7192600649244703e-05,-1.0554601275703652e-05,0.00028341005081369613,0.00015179493901259833,0.00043064264670094417,26,2,4,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,Stable,fraction,32,0.75,0.75,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,Novel,fraction,32,0.375,0.375,0,0,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,Unique,fraction,32,0.71875,0.71875,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,NUS,fraction,32,0.125,0.125,0,0,0,0,0,0,NA,NA,NA,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,Property MAE,mu_B/Angstrom^3,32,0.0092076509876415497,0.0092338856035860863,0.0072360089242834297,0.0071925540213026579,2.6234615944536674e-05,2.8937498133818629e-07,2.5504997290430125e-06,5.1091364936187032e-05,-0.0028492191960521321,-0.0059705766411987824,-0.00030680840329590627,16,0,16,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,Hit,fraction,32,0.625,0.625,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T0,T1,Validity,fraction,32,1,1,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
