seed,G0_formula,G0_num_atoms,G0_maxF_ev_per_a,G0_atomic_force_mean_ev_per_a,G0_rmsd_a,G0_e_hull_ev_per_atom,G0_stable,G0_nus,G0_novel,G0_unique,G0_mag_density_a3,G0_mag_absolute_error_a3,G0_mag_hit,G0_valid,G0_minimum_periodic_distance_a,G0_generation_seconds,G0_end_to_end_generation_seconds,G0_mattergen_score_calls,G0_guidance_calls,G0_guidance_accepted,G0_guidance_fallbacks,G0_guidance_seconds,G0_relaxation_steps,G0_surrogate_property_eval,G0_dft_verified,G0_actual_mattersim_calls,G0_failed_mattersim_calls,G0_peak_allocated_bytes,G0_initial_mattersim_calls,G0_candidate_mattersim_calls,G0_retry_mattersim_calls,G0_failed_candidate_calls,G1_formula,G1_num_atoms,G1_maxF_ev_per_a,G1_atomic_force_mean_ev_per_a,G1_rmsd_a,G1_e_hull_ev_per_atom,G1_stable,G1_nus,G1_novel,G1_unique,G1_mag_density_a3,G1_mag_absolute_error_a3,G1_mag_hit,G1_valid,G1_minimum_periodic_distance_a,G1_generation_seconds,G1_end_to_end_generation_seconds,G1_mattergen_score_calls,G1_guidance_calls,G1_guidance_accepted,G1_guidance_fallbacks,G1_guidance_seconds,G1_relaxation_steps,G1_surrogate_property_eval,G1_dft_verified,G1_actual_mattersim_calls,G1_failed_mattersim_calls,G1_peak_allocated_bytes,G1_initial_mattersim_calls,G1_candidate_mattersim_calls,G1_retry_mattersim_calls,G1_failed_candidate_calls,G2_formula,G2_num_atoms,G2_maxF_ev_per_a,G2_atomic_force_mean_ev_per_a,G2_rmsd_a,G2_e_hull_ev_per_atom,G2_stable,G2_nus,G2_novel,G2_unique,G2_mag_density_a3,G2_mag_absolute_error_a3,G2_mag_hit,G2_valid,G2_minimum_periodic_distance_a,G2_generation_seconds,G2_end_to_end_generation_seconds,G2_mattergen_score_calls,G2_guidance_calls,G2_guidance_accepted,G2_guidance_fallbacks,G2_guidance_seconds,G2_relaxation_steps,G2_surrogate_property_eval,G2_dft_verified,G2_actual_mattersim_calls,G2_failed_mattersim_calls,G2_peak_allocated_bytes,G2_initial_mattersim_calls,G2_candidate_mattersim_calls,G2_retry_mattersim_calls,G2_failed_candidate_calls,G3_formula,G3_num_atoms,G3_maxF_ev_per_a,G3_atomic_force_mean_ev_per_a,G3_rmsd_a,G3_e_hull_ev_per_atom,G3_stable,G3_nus,G3_novel,G3_unique,G3_mag_density_a3,G3_mag_absolute_error_a3,G3_mag_hit,G3_valid,G3_minimum_periodic_distance_a,G3_generation_seconds,G3_end_to_end_generation_seconds,G3_mattergen_score_calls,G3_guidance_calls,G3_guidance_accepted,G3_guidance_fallbacks,G3_guidance_seconds,G3_relaxation_steps,G3_surrogate_property_eval,G3_dft_verified,G3_actual_mattersim_calls,G3_failed_mattersim_calls,G3_peak_allocated_bytes,G3_initial_mattersim_calls,G3_candidate_mattersim_calls,G3_retry_mattersim_calls,G3_failed_candidate_calls,G4_formula,G4_num_atoms,G4_maxF_ev_per_a,G4_atomic_force_mean_ev_per_a,G4_rmsd_a,G4_e_hull_ev_per_atom,G4_stable,G4_nus,G4_novel,G4_unique,G4_mag_density_a3,G4_mag_absolute_error_a3,G4_mag_hit,G4_valid,G4_minimum_periodic_distance_a,G4_generation_seconds,G4_end_to_end_generation_seconds,G4_mattergen_score_calls,G4_guidance_calls,G4_guidance_accepted,G4_guidance_fallbacks,G4_guidance_seconds,G4_relaxation_steps,G4_surrogate_property_eval,G4_dft_verified,G4_actual_mattersim_calls,G4_failed_mattersim_calls,G4_peak_allocated_bytes,G4_initial_mattersim_calls,G4_candidate_mattersim_calls,G4_retry_mattersim_calls,G4_failed_candidate_calls
741000,CoFe4Gd,6,0.08534533867695471,0.05807401546829472,0.002626461938446367,0.20841232071614613,False,False,True,True,0.19219720044055202,0.007802799559447987,True,True,2.478407765601027,85.5726169119589,85.5726169119589,2000,0,0,0,0.0,14,True,False,0,0,274488832,0,0,0,0,CoFe4Gd,6,0.012061810957671323,0.008453598890729035,0.0011441209362565074,0.20840405553873786,False,False,True,True,0.19215323761698602,0.007846762383013989,True,True,2.4692075458280596,85.80415988102322,86.0843692360213,2000,20,20,0,0.9625334639567882,8,True,False,20,0,342634496,20,0,0,0,CoFe4Gd,6,0.10069717535346362,0.059885391890443895,0.003362796537236612,0.20844538142578095,False,False,True,True,0.19218816359341223,0.00781183640658778,True,True,2.4754790583385873,86.03561281599104,86.18110387399793,2000,20,20,0,0.7230924321338534,13,True,False,20,0,380848640,20,0,0,0,CoFe4Gd,6,0.12567774868511808,0.08547708023433137,0.0055157503168990285,0.20845873286621064,False,False,True,True,0.19218556579165394,0.007814434208346072,True,True,2.479700459200525,85.89863628399326,86.04787617299007,2000,20,20,0,0.7021980300196446,13,True,False,20,0,417251328,20,0,0,0,CoFe4Gd,6,0.17702998071676193,0.11838333458404643,0.005422262682086662,0.20844792455729255,False,False,True,True,0.19214657300903779,0.007853426990962226,True,True,2.4769586394087395,85.7360526509583,85.88257099094335,2000,20,20,0,0.7010382860898972,14,True,False,20,0,453654016,20,0,0,0
741001,Gd8N3,11,0.261935838228014,0.14287636484452174,0.04269917427044245,0.15179611052201736,False,False,True,True,0.21543176532328498,0.015431765323284968,False,True,2.3389229801949196,85.94231586100068,85.94231586100068,2000,0,0,0,0.0,31,True,False,0,0,309216256,0,0,0,0,Gd8N3,11,0.23441013649041673,0.12570072043760777,0.03882065455082771,0.15180859498579657,False,False,True,True,0.21549850608598037,0.015498506085980357,False,True,2.338962572332144,86.52802904398413,86.799025271961,2000,20,20,0,0.9152648868621327,25,True,False,20,0,376404992,20,0,0,0,Gd8N3,11,0.2680915090355987,0.13957931782683175,0.04257558244644527,0.15180720782315404,False,False,True,True,0.21541876256449388,0.01541876256449387,False,True,2.3356735300653493,86.4316906069871,86.57734155701473,2000,20,20,0,0.699205597047694,31,True,False,20,0,415576064,20,0,0,0,Gd8N3,11,0.259531381344831,0.1435615689756413,0.042471876066442954,0.15177807740767157,False,False,True,True,0.21541341812065853,0.015413418120658523,False,True,2.339424652668923,86.07315707602538,86.22331416298402,2000,20,20,0,0.696258595911786,31,True,False,20,0,451978752,20,0,0,0,Gd8N3,11,0.2872215828799796,0.15941997272967282,0.0471774039701386,0.15175726996804073,False,False,True,True,0.21533683702259707,0.015336837022597055,False,True,2.338514399393139,85.99971285602078,86.15510621498106,2000,20,20,0,0.6899990409729071,35,True,False,20,0,488381440,20,0,0,0
741002,Co4Fe8,12,0.1770836700946866,0.07303400556392965,0.005747130020116326,0.03356916841959645,True,False,False,True,0.19811658940375126,0.0018834105962487468,True,True,2.4518473266308383,87.04973882000195,87.04973882000195,2000,0,0,0,0.0,26,True,False,0,0,315739648,0,0,0,0,Co4Fe8,12,0.11901751310611855,0.04479462995037708,0.0034344617430041233,0.033564717939453814,True,False,False,True,0.19802153873743805,0.001978461262561959,True,True,2.452247458832162,86.41947009798605,86.70095622795634,2000,20,20,0,0.9305165918776765,26,True,False,20,0,410014720,20,0,0,0,Co4Fe8,12,0.2206345599961792,0.0776334047495748,0.006899094372592431,0.03356598950520784,True,False,False,True,0.19814053257844763,0.0018594674215523799,True,True,2.451821589717732,86.17735314497259,86.30650252697524,2000,20,20,0,0.7047159312060103,28,True,False,20,0,446417408,20,0,0,0,Co4Fe8,12,0.17896632487787698,0.08084549240887925,0.006859004914575479,0.033564717939453814,True,False,False,True,0.19811001197930664,0.0018899880206933728,True,True,2.4532581639050175,86.44217133603524,86.57185588305583,2000,20,20,0,0.6956252197851427,28,True,False,20,0,482820096,20,0,0,0,Co4Fe8,12,0.2351350438061834,0.10188929290492615,0.0083044904909032,0.033571711551106276,True,False,False,True,0.1982041371331913,0.0017958628668087173,True,True,2.449612815715915,86.08097577403532,86.2107727600378,2000,20,20,0,0.7022588100517169,26,True,False,20,0,519222784,20,0,0,0
741003,CoFe3,4,0.027896591331171627,0.021284947609013925,0.0013521283831172428,0.032741789187012316,True,False,False,True,0.20056270522799544,0.0005627052279954248,True,True,2.4682260257295097,86.16708744200878,86.16708744200878,2000,0,0,0,0.0,5,True,False,0,0,258193920,0,0,0,0,CoFe3,4,0.01896555335511991,0.012430133097805057,0.0005026167195203277,0.032734159792481066,True,False,False,True,0.20056400534998434,0.0005640053499843256,True,True,2.468496119232219,86.3959355399711,86.63648572994862,2000,20,20,0,0.9262135080061853,5,True,False,20,0,337225728,20,0,0,0,CoFe3,4,0.043339915524192016,0.026359929103164887,0.002045798194806119,0.03274274286132872,True,False,False,True,0.2005606932559192,0.0005606932559191757,True,True,2.465741264585786,86.30151288997149,86.44829684396973,2000,20,20,0,0.7091792600695044,5,True,False,20,0,373628416,20,0,0,0,CoFe3,4,0.037196570560839345,0.03164814627202689,0.001525973205251518,0.0327541869531256,True,False,False,True,0.20055851501986446,0.0005585150198644528,True,True,2.4675445844038304,86.06598732195562,86.2147934169625,2000,20,20,0,0.6921732418704778,5,True,False,20,0,410031104,20,0,0,0,CoFe3,4,0.04394586827714979,0.03368262824148754,0.002123836423230955,0.032757047976074816,True,False,False,True,0.2005654342976233,0.0005654342976232907,True,True,2.4662869017412286,86.29232905001845,86.44405266700778,2000,20,20,0,0.6942648119293153,5,True,False,20,0,446433792,20,0,0,0
741004,Co5Fe6,11,0.20698602902883736,0.13010861906005283,0.01101457005791754,0.03960540833274173,True,True,True,True,0.19276179165328908,0.007238208346710934,True,True,2.439136204347644,84.6048243259429,84.6048243259429,2000,0,0,0,0.0,26,True,False,0,0,308124672,0,0,0,0,Co5Fe6,11,0.1474244205500354,0.08480162077508302,0.008163258827619039,0.03958113298650545,True,True,True,True,0.19247672656308804,0.007523273436911976,True,True,2.441414713361607,85.12893097702181,85.44351782702142,2000,20,20,0,1.320464783872012,27,True,False,20,0,404194816,20,0,0,0,Co5Fe6,11,0.2176900597962769,0.13428349976901835,0.01130755754577365,0.03959569819424669,True,True,True,True,0.19277394573367052,0.007226054266329496,True,True,2.4404601984508587,84.87735556898406,85.00786721002078,2000,20,20,0,0.7346271458663978,27,True,False,20,0,440597504,20,0,0,0,Co5Fe6,11,0.2330427360521855,0.12977863161805328,0.01076956594144072,0.03959084312499961,True,True,True,True,0.192771845231618,0.007228154768382011,True,True,2.435682822761812,85.35529912199127,85.79557475802721,2000,20,20,0,0.7803247291594744,27,True,False,20,0,477000192,20,0,0,0,Co5Fe6,11,0.2655557254380862,0.17288727446501165,0.017358194657025237,0.03959084312499961,True,True,True,True,0.1930168530876352,0.006983146912364818,True,True,2.4356894058767367,85.30149351101136,85.47619969100924,2000,20,20,0,0.7020171089097857,28,True,False,20,0,513402880,20,0,0,0
741005,Co5Fe9Ni,15,0.323014656941367,0.13115951958280656,0.03570715003816151,0.1899591893463537,False,False,True,True,0.17808322578137611,0.021916774218623897,False,True,2.395820053780764,85.86488636903232,85.86488636903232,2000,0,0,0,0.0,57,True,False,0,0,338424832,0,0,0,0,Co5Fe9Ni,15,0.2778648063133509,0.11182960166533355,0.03097000195602809,0.1899591893463537,False,False,True,True,0.17806459688295473,0.021935403117045282,False,True,2.398145662511778,93.04810551396804,93.28622998599894,2000,20,20,0,1.2664426662377082,54,True,False,20,0,436249088,20,0,0,0,Co5Fe9Ni,15,0.28461311012711504,0.12751781660052308,0.032766778922908746,0.18995868072005173,False,False,True,True,0.17805699060128127,0.021943009398718738,False,True,2.3967913757637307,86.13737022300484,86.34858114703093,2000,20,20,0,0.7158593969070353,56,True,False,20,0,472651776,20,0,0,0,Co5Fe9Ni,15,0.3427833625216425,0.12562306356645198,0.036153013180563916,0.18996020659895851,False,False,True,True,0.17807345687058168,0.02192654312941833,False,True,2.3996137256854393,117.48566345596919,117.63174886093475,2000,20,20,0,0.7337599219172262,57,True,False,20,0,509054464,20,0,0,0,Co5Fe9Ni,15,0.3503318060164806,0.15184083754576866,0.03949187790733249,0.18995562896223905,False,False,True,True,0.17805303291707847,0.021946967082921542,False,True,2.3931214256903113,139.9075598139898,140.0539673579624,2000,20,20,0,0.8972005940158851,59,True,False,20,0,545457152,20,0,0,0
741006,HFe15,16,0.4418245261017116,0.15912861769899922,0.022346107279260088,0.05782106519042962,True,True,True,True,0.20910676666118322,0.009106766661183208,True,True,1.6496532045502583,196.53136915998766,196.53136915998766,2000,0,0,0,0.0,49,True,False,0,0,346042880,0,0,0,0,HFe15,16,0.3380321179626723,0.1258463481907524,0.01825287217181202,0.057800084355468684,True,True,True,True,0.20930152511693134,0.00930152511693133,True,True,1.648644198808287,263.52129978500307,263.76439796498744,2000,20,20,0,1.8658479059813544,52,True,False,20,0,454028288,20,0,0,0,HFe15,16,0.4964106394650192,0.15964217451161533,0.02271754287586571,0.05781438947021478,True,True,True,True,0.2091053340292323,0.009105334029232276,True,True,1.647804342514473,265.9494698459748,267.00920564797707,2000,20,20,0,1.2301100211916491,52,True,False,20,0,490430976,20,0,0,0,HFe15,16,0.44046550908309384,0.1628430676833739,0.022329009829064415,0.05781057477294915,True,True,True,True,0.2090785372918891,0.009078537291889094,True,True,1.6494932976527334,192.37525992799783,192.5092064519995,2000,20,20,0,0.709615289059002,52,True,False,20,0,526833664,20,0,0,0,HFe15,16,0.5476230930144501,0.19215984874985254,0.024474806249902524,0.057748585942382746,True,True,True,True,0.20891623798890246,0.008916237988902453,True,True,1.651263478289802,85.68478209304158,85.81183343403973,2000,20,20,0,0.7314179940149188,65,True,False,20,0,563236352,20,0,0,0
741007,CoFe19,20,0.2596172300542666,0.1636268245205365,0.01636805676962442,0.13928600102929778,False,False,True,True,0.20091021560636121,0.0009102156063612032,True,True,2.3141799707974036,84.34284589299932,84.34284589299932,2000,0,0,0,0.0,38,True,False,0,0,373771776,0,0,0,0,CoFe19,20,0.18368536076402414,0.1025556095758349,0.011355624158951215,0.13932643682031376,False,False,True,True,0.20091329961806703,0.0009132996180670205,True,True,2.3155395065152997,85.18007491796743,85.59973066893872,2000,20,20,0,1.0715530551970005,31,True,False,20,0,460943872,20,0,0,0,CoFe19,20,0.27786630438001386,0.16569320914367602,0.014526066787399672,0.13933101445703322,False,False,True,True,0.20090216306508718,0.0009021630650871693,True,True,2.3134056035857777,84.47345941502135,84.62004678003723,2000,20,20,0,0.7192023420357145,37,True,False,20,0,496734208,20,0,0,0,CoFe19,20,0.23837024038779864,0.17107268739187598,0.018995514958045173,0.13929286748437697,False,False,True,True,0.20090499164629078,0.0009049916462907648,True,True,2.3117969626792534,84.52438681595959,84.67564041091828,2000,20,20,0,0.7063289779471233,42,True,False,20,0,533136896,20,0,0,0,CoFe19,20,0.338482616012718,0.22695798170625442,0.015447774858898646,0.13936916142968947,False,False,True,True,0.2008680996713299,0.0008680996713298916,True,True,2.3125871514021186,84.64587091404246,84.79542385402601,2000,20,20,0,0.709871455852408,39,True,False,20,0,569539584,20,0,0,0
741008,Eu6,6,0.0031704114834040075,0.002411265924980165,0.0,0.04112307708007812,True,False,False,True,0.1651651067111107,0.03483489328888931,False,True,3.8103212420426287,82.09581359196454,82.09581359196454,2000,0,0,0,0.0,8,True,False,0,0,274257408,0,0,0,0,Eu6,6,0.00323876813751772,0.00231968976107141,0.0,0.04112307708007812,True,False,False,True,0.16516610616159152,0.034833893838408486,False,True,3.8101180631371148,82.76054371002829,83.00090183503926,2000,20,20,0,0.8791573488269933,8,True,False,20,0,316994048,20,0,0,0,Eu6,6,0.0031961403699462265,0.0024889462716175493,0.0,0.04112307708007812,True,False,False,True,0.16515958421045931,0.034840415789540696,False,True,3.810452828985787,82.49099510599626,82.63390934403287,2000,20,20,0,0.6706765308626927,8,True,False,20,0,380617216,20,0,0,0,Eu6,6,0.003346502682637502,0.002433074133685071,0.0,0.04112307708007812,True,False,False,True,0.1651593700524153,0.03484062994758472,False,True,3.810339815037065,82.38606852298835,82.53618096996797,2000,20,20,0,0.665883969864808,8,True,False,20,0,417019904,20,0,0,0,Eu6,6,0.003174731748053684,0.002522427916949924,0.0,0.04112307708007812,True,False,False,True,0.1651599454826381,0.03484005451736191,False,True,3.8104933397558174,82.29093972902047,82.50405493401922,2000,20,20,0,0.6655272471252829,8,True,False,20,0,453422592,20,0,0,0
741009,Co2Fe13,15,0.0961816657493116,0.05036900097538767,0.004383037416445296,0.009815002483854585,True,False,False,True,0.20476911076103754,0.004769110761037532,True,True,2.4440568048959777,84.0601670879987,84.0601670879987,2000,0,0,0,0.0,35,True,False,0,0,338297856,0,0,0,0,Co2Fe13,15,0.028315748250508938,0.01675529159228345,0.0016883129954447078,0.00980482995781351,True,False,False,True,0.20475476748299012,0.004754767482990113,True,True,2.4399193772769006,85.03195454698289,85.28391328896396,2000,20,20,0,1.332884625182487,22,True,False,20,0,444496384,20,0,0,0,Co2Fe13,15,0.1343770262844293,0.06516621494170267,0.007125454083155276,0.009787536663541374,True,False,False,True,0.20477021801462883,0.004770218014628819,True,True,2.4417999268924047,84.68695096101146,84.82774011499714,2000,20,20,0,0.7254734839661978,42,True,False,20,0,481063424,20,0,0,0,Co2Fe13,15,0.10598390591692732,0.066673525206482,0.0032242941244527215,0.009845520061979585,True,False,False,True,0.20475607226906123,0.004756072269061218,True,True,2.442023862735,85.41407540498767,85.5630969569902,2000,20,20,0,0.699777226021979,34,True,False,20,0,517301760,20,0,0,0,Co2Fe13,15,0.16540560253135986,0.08750125194994132,0.005828246285247063,0.009819071494270304,True,False,False,True,0.20477174830762032,0.0047717483076203104,True,True,2.440078359382223,85.01964347698959,85.16913186898455,2000,20,20,0,0.7071366549353115,37,True,False,20,0,554130944,20,0,0,0
