seed,F0_formula,F0_num_atoms,F0_maxF_ev_per_a,F0_atomic_force_mean_ev_per_a,F0_rmsd_a,F0_e_hull_ev_per_atom,F0_stable,F0_nus,F0_novel,F0_unique,F0_mag_density_a3,F0_mag_absolute_error_a3,F0_mag_hit,F0_valid,F0_minimum_periodic_distance_a,F0_generation_seconds,F0_end_to_end_generation_seconds,F0_mattergen_score_calls,F0_guidance_calls,F0_guidance_accepted,F0_guidance_fallbacks,F0_guidance_seconds,F0_relaxation_steps,F0_surrogate_property_eval,F0_dft_verified,F0_actual_mattersim_calls,F0_failed_mattersim_calls,F0_peak_allocated_bytes,F0_initial_mattersim_calls,F0_candidate_mattersim_calls,F0_retry_mattersim_calls,F0_failed_candidate_calls,F1_formula,F1_num_atoms,F1_maxF_ev_per_a,F1_atomic_force_mean_ev_per_a,F1_rmsd_a,F1_e_hull_ev_per_atom,F1_stable,F1_nus,F1_novel,F1_unique,F1_mag_density_a3,F1_mag_absolute_error_a3,F1_mag_hit,F1_valid,F1_minimum_periodic_distance_a,F1_generation_seconds,F1_end_to_end_generation_seconds,F1_mattergen_score_calls,F1_guidance_calls,F1_guidance_accepted,F1_guidance_fallbacks,F1_guidance_seconds,F1_relaxation_steps,F1_surrogate_property_eval,F1_dft_verified,F1_actual_mattersim_calls,F1_failed_mattersim_calls,F1_peak_allocated_bytes,F1_initial_mattersim_calls,F1_candidate_mattersim_calls,F1_retry_mattersim_calls,F1_failed_candidate_calls
743000,Co4Fe16,20,0.03558668136015636,0.020538510679508758,0.0005608159303758402,0.015764338014845336,True,False,False,True,0.2017323335673386,0.0017323335673385953,True,True,2.42255241057307,86.88007058796939,87.27957612398313,2000,20,20,0,1.6235070860711858,29,True,False,20,0,493682688,20,0,0,0,Co4Fe16,20,0.03558151500430947,0.020537758193474434,0.0005607793129537179,0.015764338014845336,True,False,False,True,0.20173266845835275,0.0017326684583527374,True,True,2.4225553664443575,86.14610730297863,86.31368694402045,2000,20,20,0,1.3411752440733835,29,True,False,40,0,530480128,20,20,0,0
743001,Co2Fe8,10,0.07838101149725041,0.03040532288570001,0.003186089478272378,0.022458368776563375,True,False,False,False,0.20320564695079715,0.003205646950797142,True,True,2.462623289483757,86.21231086098123,86.42477268195944,2000,20,20,0,0.9154920081491582,32,True,False,20,0,391991296,20,0,0,0,Co2Fe8,10,0.07838133596450497,0.030397563854159,0.003185621318644195,0.022458368776563375,True,False,False,False,0.20320571679228164,0.0032057167922816265,True,True,2.4626246741807654,85.73232507600915,85.88169088005088,2000,20,20,0,1.2942195177893154,32,True,False,40,0,428393984,20,20,0,0
743002,CoFe9,10,0.06779376863640049,0.03496429132922881,0.0015794222021124316,0.0017003587089856609,True,True,True,True,0.2070455198959295,0.007045519895929497,True,True,2.4532544388725768,88.36792123701889,88.57902697997633,2000,20,20,0,1.3457111198804341,19,True,False,20,0,393149952,20,0,0,0,CoFe9,10,0.06780145082921529,0.03496494048479736,0.0015795253674099838,0.0017003587089856609,True,True,True,True,0.20704535610261063,0.007045356102610617,True,True,2.4532508688506973,88.48929162899731,88.6370174610056,2000,20,20,0,1.3621927662170492,19,True,False,40,0,429552640,20,20,0,0
743003,Fe3Si,4,0.16128317678184106,0.08336075110623481,0.00299287415591684,0.08929312094970765,True,False,False,True,0.13158430913534616,0.06841569086465385,False,True,2.4220868597114444,85.44197172601707,85.64321145403665,2000,20,20,0,0.9216681740945205,23,True,False,20,0,337299456,20,0,0,0,Fe3Si,4,0.1612836687855401,0.0833609605202862,0.0029928573173039342,0.08929312094970765,True,False,False,True,0.13158432648175392,0.0684156735182461,False,True,2.4220868597114444,85.4035635360051,85.52941050601657,2000,20,20,0,1.2920262078405358,23,True,False,40,0,373857792,20,20,0,0
743004,Co4Fe8,12,0.035250116033696974,0.018312057602398915,0.0033245394114899815,0.01740184562500069,True,False,False,True,0.19818568475200699,0.0018143152479930258,True,True,2.4562588283553066,85.52282842999557,85.7241839239723,2000,20,20,0,0.9462760609458201,13,True,False,20,0,410014720,20,0,0,0,Co4Fe8,12,0.03517721351794938,0.01828469297668532,0.00331632283014174,0.01740184562500069,True,False,False,True,0.198185869954998,0.0018141300450019993,True,True,2.4562709065442863,85.1911650269758,85.32280435599387,2000,20,20,0,1.3042959309532307,13,True,False,40,0,446417408,20,20,0,0
743005,Fe3Gd2,5,0.04668981305835995,0.025722879109585223,0.0032307958336977288,0.08654006688671956,True,True,True,True,0.20857490197332484,0.008574901973324833,True,True,2.3707228229744284,85.02233616600279,85.22117352398345,2000,20,20,0,1.0427527280990034,18,True,False,20,0,335759360,20,0,0,0,Fe3Gd2,5,0.04668984338197869,0.02572296936907712,0.0032307348665953513,0.08654006688671956,True,True,True,True,0.2085749137611275,0.008574913761127484,True,True,2.3707228229744284,84.65278800297529,84.7953056449769,2000,20,20,0,1.2759743919596076,18,True,False,40,0,372162048,20,20,0,0
743006,Fe10,10,0.025591358143471007,0.013315445168084531,0.0,-0.007853545859374478,True,False,False,True,0.21264028736406873,0.01264028736406872,False,True,2.477913139010326,85.20884609001223,85.4080993050593,2000,20,20,0,0.9103069908451289,12,True,False,20,0,392835072,20,0,0,0,Fe10,10,0.025585087423733773,0.013318530768345865,0.0,-0.007852782919920642,True,False,False,True,0.2126403272546878,0.012640327254687778,False,True,2.4779144706881056,84.96795736398781,85.11328317102743,2000,20,20,0,1.2873095700633712,12,True,False,40,0,429237760,20,20,0,0
743007,Co4Fe4,8,0.08537751367418765,0.042683940287975466,0.0017465049259618084,0.07339453119262718,True,False,False,True,0.19098677827326424,0.00901322172673577,True,True,2.4393935249542764,84.99122992297634,85.1915584980161,2000,20,20,0,1.3282429439714178,23,True,False,20,0,375209984,20,0,0,0,Co4Fe4,8,0.0853927184190672,0.04267299276087085,0.0016561175501215739,0.07339453119262718,True,False,False,True,0.190986790351089,0.009013209648911003,True,True,2.4393926988875347,84.74379713297822,84.86676884099143,2000,20,20,0,1.3086910119163804,23,True,False,40,0,411612672,20,20,0,0
743008,Gd4N,5,0.10941768304969447,0.044802976275436286,0.0017846074540360847,0.10577972144921866,False,False,True,True,0.2123450632654061,0.012345063265406075,False,True,2.44760650262788,85.07922517298721,85.27739025000483,2000,20,20,0,1.0310562419472262,12,True,False,20,0,332314624,20,0,0,0,Gd4N,5,0.10941321447840795,0.04480118020761897,0.0017852052104363595,0.10578124732812455,False,False,True,True,0.21234660610369313,0.01234660610369312,False,True,2.447599279591622,85.19421505299397,85.33979309396818,2000,20,20,0,1.2727113270084374,12,True,False,40,0,372028928,20,20,0,0
743009,Gd9,9,0.01248964397330044,0.00756780990056939,0.0,0.016082295881076902,True,False,False,True,0.22082244865489034,0.02082244865489033,False,True,3.5327867028087376,85.33659397001611,85.53690401400672,2000,20,20,0,0.8974772712099366,28,True,False,20,0,351767552,20,0,0,0,Gd9,9,0.012564991868278308,0.007622588108461071,0.0,0.016083143591579585,True,False,False,True,0.22081972886999315,0.020819728869993143,False,True,3.532841454321318,85.26635375496699,85.39232853992144,2000,20,20,0,1.2746399848838337,28,True,False,40,0,401198592,20,20,0,0
