seed,C0_formula,C0_num_atoms,C0_maxF_ev_per_a,C0_atomic_force_mean_ev_per_a,C0_rmsd_a,C0_e_hull_ev_per_atom,C0_stable,C0_nus,C0_novel,C0_unique,C0_mag_density_a3,C0_mag_absolute_error_a3,C0_mag_hit,C0_valid,C0_minimum_periodic_distance_a,C0_generation_seconds,C0_end_to_end_generation_seconds,C0_mattergen_score_calls,C0_guidance_calls,C0_guidance_accepted,C0_guidance_fallbacks,C0_guidance_seconds,C0_relaxation_steps,C0_surrogate_property_eval,C0_dft_verified,C0_actual_mattersim_calls,C0_failed_mattersim_calls,C0_peak_allocated_bytes,C0_initial_mattersim_calls,C0_candidate_mattersim_calls,C0_retry_mattersim_calls,C0_failed_candidate_calls,F0_formula,F0_num_atoms,F0_maxF_ev_per_a,F0_atomic_force_mean_ev_per_a,F0_rmsd_a,F0_e_hull_ev_per_atom,F0_stable,F0_nus,F0_novel,F0_unique,F0_mag_density_a3,F0_mag_absolute_error_a3,F0_mag_hit,F0_valid,F0_minimum_periodic_distance_a,F0_generation_seconds,F0_end_to_end_generation_seconds,F0_mattergen_score_calls,F0_guidance_calls,F0_guidance_accepted,F0_guidance_fallbacks,F0_guidance_seconds,F0_relaxation_steps,F0_surrogate_property_eval,F0_dft_verified,F0_actual_mattersim_calls,F0_failed_mattersim_calls,F0_peak_allocated_bytes,F0_initial_mattersim_calls,F0_candidate_mattersim_calls,F0_retry_mattersim_calls,F0_failed_candidate_calls,POST_formula,POST_num_atoms,POST_maxF_ev_per_a,POST_atomic_force_mean_ev_per_a,POST_rmsd_a,POST_e_hull_ev_per_atom,POST_stable,POST_nus,POST_novel,POST_unique,POST_mag_density_a3,POST_mag_absolute_error_a3,POST_mag_hit,POST_valid,POST_minimum_periodic_distance_a,POST_generation_seconds,POST_end_to_end_generation_seconds,POST_mattergen_score_calls,POST_guidance_calls,POST_guidance_accepted,POST_guidance_fallbacks,POST_guidance_seconds,POST_relaxation_steps,POST_surrogate_property_eval,POST_dft_verified,POST_actual_mattersim_calls,POST_failed_mattersim_calls,POST_peak_allocated_bytes,POST_initial_mattersim_calls,POST_candidate_mattersim_calls,POST_retry_mattersim_calls,POST_failed_candidate_calls
745000,Co2Fe3,5,0.10062397076026666,0.06461519249131334,0.006510396459574291,0.06092600109960955,True,False,False,True,0.19675593915128203,0.003244060848717978,True,True,2.4465635528963374,84.4601391319884,84.4601391319884,2000,0,0,0,0.0,8,True,False,0,0,265806848,0,0,0,0,Co2Fe3,5,0.02541403021647885,0.016156768773583716,0.0024005615800247954,0.0609183717050783,True,False,False,True,0.19646327938447983,0.0035367206155201836,True,True,2.4421458221011867,83.98891217599157,84.21368779800832,2000,20,20,0,0.907327507098671,4,True,False,20,0,346464768,20,0,0,0,Co2Fe3,5,8.097437866387119e-06,5.695358815408125e-06,5.754985325865478e-05,0.06091074231054705,True,False,False,True,0.19634901429483437,0.0036509857051656436,True,True,2.440303915373726,85.0742831339594,85.22731217095861,2000,0,0,0,0.6141440019709989,4,True,False,20,0,382839808,20,0,0,0
745001,Fe11Mn,12,0.19653800543392264,0.1138204199190187,0.012212982960425578,0.15771070402169762,False,False,True,True,0.1992426971273457,0.0007573028726542974,True,True,2.2729837457556448,83.60663984098937,83.60663984098937,2000,0,0,0,0.0,33,True,False,0,0,316747264,0,0,0,0,Fe11Mn,12,0.1191583211904045,0.05957116471769581,0.005889182420244307,0.157737406902557,False,False,True,True,0.19869208490669624,0.0013079150933037742,True,True,2.2810651642914963,84.70982065802673,84.94153518800158,2000,20,20,0,1.0486832730239257,41,True,False,20,0,383486464,20,0,0,0,Fe11Mn,12,0.00013813772656302116,9.787519520668955e-05,0.0007096996008239184,0.15771642606759606,False,False,True,True,0.19838780511436158,0.001612194885638435,True,True,2.280546898118357,84.23011429701,84.37760704301763,2000,0,0,0,0.6234744560206309,15,True,False,20,0,419481088,20,0,0,0
745002,Gd6,6,0.006109766510505946,0.004414736951639654,0.0001471337783218653,0.016050930592447443,True,False,False,True,0.2197250634712172,0.01972506347121719,False,True,3.5226406555389937,83.29922721796902,83.29922721796902,2000,0,0,0,0.0,12,True,False,0,0,276304384,0,0,0,0,Gd6,6,0.005725874004734998,0.004112166221073605,0.00042611598861138223,0.01604965902669342,True,False,False,True,0.2197228498425882,0.01972284984258818,False,True,3.5234243097502485,83.28087624401087,83.53847090201452,2000,20,20,0,0.8936028491007164,12,True,False,20,0,340249600,20,0,0,0,Gd6,6,0.001998363414547014,0.0012463835165912082,0.0009331012161836332,0.016035671803384943,True,False,False,True,0.21972555378458586,0.019725553784585848,False,True,3.531308930155351,83.91171252494678,84.06565743190004,2000,0,0,0,0.61248530697776,12,True,False,20,0,348500992,20,0,0,0
745003,Co4Fe4,8,0.06787855506647884,0.02887551180624716,0.0023423052914518746,0.07292246240600608,True,False,False,True,0.19247609099616422,0.007523909003835788,True,True,2.4371216380900598,83.89061985298758,83.89061985298758,2000,0,0,0,0.0,12,True,False,0,0,286675456,0,0,0,0,Co4Fe4,8,0.025282995275360473,0.010487451254050432,0.001421547528814501,0.07289909738525413,True,False,False,True,0.19250295406211315,0.007497045937886859,True,True,2.435760308903102,83.92534563399386,84.17482250602916,2000,20,20,0,0.9196716450387612,7,True,False,20,0,374582272,20,0,0,0,Co4Fe4,8,3.073257880490995e-05,2.0830671733434524e-05,0.0002179715442785843,0.07289194482788108,True,False,False,True,0.19249744773396515,0.0075025522660348565,True,True,2.435184810657315,84.51207737298682,84.65795977698872,2000,0,0,0,0.6214575199992396,7,True,False,20,0,410954240,20,0,0,0
745004,CGd14,15,0.04533646643939291,0.026734849729557204,0.0007308636271783975,0.061320048739585076,True,True,True,True,0.2053984654752019,0.005398465475201897,True,True,2.4827229439200034,84.44034370000008,84.44034370000008,2000,0,0,0,0.0,4,True,False,0,0,338179072,0,0,0,0,CGd14,15,0.03558015240961455,0.021014216126433602,0.0006237622162374315,0.06128444489843865,True,True,True,True,0.205489391349443,0.005489391349442985,True,True,2.4842717645660928,84.10324038297404,84.36021197400987,2000,20,20,0,0.8914305060170591,4,True,False,20,0,398813696,20,0,0,0,CGd14,15,0.004110082235199194,0.001924461554935015,0.0015169515442110123,0.061242737541668646,True,True,True,True,0.20539757554561314,0.005397575545613126,True,True,2.4876894843288055,85.04888810694683,85.17118795297574,2000,0,0,0,0.6085444069467485,17,True,False,20,0,371885568,20,0,0,0
745005,Fe4Gd6,10,0.9362372130882756,0.46138045419477713,0.11767566406108863,0.09093234643359338,True,True,True,True,0.20042959563928794,0.000429595639287933,True,True,2.206198735456611,84.50826708500972,84.50826708500972,2000,0,0,0,0.0,60,True,False,0,0,301518848,0,0,0,0,Fe4Gd6,10,0.8645561211046402,0.42265074066037556,0.11101976414436217,0.0908056984843757,True,True,True,True,0.20072512040591894,0.0007251204059189331,True,True,2.2166039443498344,84.45764679298736,84.70241606497439,2000,20,20,0,0.8975158492103219,75,True,False,20,0,368658432,20,0,0,0,Fe4Gd6,10,0.22649814752608663,0.11673868975362918,0.06916930215883715,0.09091327294726526,True,True,True,True,0.20424735720901882,0.004247357209018809,True,True,2.3416330057977928,85.12083409301704,85.2456863510306,2000,0,0,0,0.6125670080073178,54,True,False,20,0,368057856,20,0,0,0
745006,Co4Fe11,15,0.083499555255197,0.05383595073701391,0.0025824230950456445,0.03791227500260419,True,True,True,True,0.20099484524465075,0.0009948452446507383,True,True,2.4462365544799853,86.82642771996325,86.82642771996325,2000,0,0,0,0.0,13,True,False,0,0,336828928,0,0,0,0,Co4Fe11,15,0.03789060712863942,0.022206900439717587,0.0009022478153510654,0.0378787056666674,True,True,True,True,0.2009871484977087,0.0009871484977087008,True,True,2.444350308194593,85.76697224797681,86.02847122499952,2000,20,20,0,1.3247027961187996,13,True,False,20,0,438675456,20,0,0,0,Co4Fe11,15,2.0759462902493408e-05,9.698713842125121e-06,2.0752951328066278e-05,0.037850731220052225,True,True,True,True,0.20099321883128599,0.0009932188312859747,True,True,2.444489284673649,87.46074200392468,87.58094763790723,2000,0,0,0,0.6343142839614302,10,True,False,20,0,473935872,20,0,0,0
745007,Gd4,4,0.00299509667505074,0.00236048745755363,0.0,0.01602549927734387,True,False,False,True,0.21395985157361155,0.013959851573611542,False,True,3.593669868238494,84.02826166304294,84.02826166304294,2000,0,0,0,0.0,6,True,False,0,0,258520576,0,0,0,0,Gd4,4,0.002767026481279137,0.0021631332192913674,0.0,0.016024545603027462,True,False,False,True,0.21395883841064167,0.01395883841064166,False,True,3.5939620491857953,84.05361186200753,84.31019989296328,2000,20,20,0,0.8898544878466055,6,True,False,20,0,320964608,20,0,0,0,Gd4,4,0.0007599562582806987,0.0005656467434110883,0.0,0.016021684580078244,True,False,False,True,0.21395988414182868,0.013959884141828666,False,True,3.596676703215618,84.63835427205777,84.77546690200688,2000,0,0,0,0.6100926090148278,6,True,False,20,0,344372736,20,0,0,0
745008,CoFe19,20,0.296689947153158,0.16196848807119896,0.01468905392668356,0.13367076665429778,False,False,True,True,0.20217802622621514,0.0021780262262151295,True,True,2.2808472311539183,86.20853964600246,86.20853964600246,2000,0,0,0,0.0,53,True,False,0,0,374434816,0,0,0,0,CoFe19,20,0.22218765599891502,0.11672846086790527,0.01898789289853075,0.13362117558984465,False,False,True,True,0.20211038828754815,0.0021103882875481428,True,True,2.2867027055826203,88.0210014959448,88.32475665892707,2000,20,20,0,1.0374670781893656,46,True,False,20,0,458017280,20,0,0,0,CoFe19,20,0.00506371999067879,0.0018212961130990434,0.001472882913330033,0.13365169316796965,False,False,True,True,0.2019582811248867,0.0019582811248866905,True,True,2.30633734699861,86.88465655397158,87.0608028859715,2000,0,0,0,0.6761169079691172,20,True,False,20,0,493550592,20,0,0,0
745009,Co4Fe8,12,0.09398080467990205,0.04482068373230646,0.002763086278603707,0.045824519168293776,True,False,False,True,0.19756831024411253,0.0024316897558874784,True,True,2.435858774687741,84.83613532799063,84.83613532799063,2000,0,0,0,0.0,14,True,False,0,0,318091776,0,0,0,0,Co4Fe8,12,0.033136715619001826,0.017067934225993845,0.0002919808412461429,0.045816253990885514,True,False,False,True,0.1975467842616209,0.0024532157383791164,True,True,2.439111506372414,85.2081068159896,85.46036540903151,2000,20,20,0,0.9093388531473465,5,True,False,20,0,410342400,20,0,0,0,Co4Fe8,12,1.0996985950704858e-05,8.72549227750059e-06,7.21532924470381e-05,0.04579590893880159,True,False,False,True,0.1975376802567603,0.0024623197432397104,True,True,2.438116370168099,85.87707126099849,86.01633645599941,2000,0,0,0,1.0409359330078587,5,True,False,20,0,446439424,20,0,0,0
