seed,C0_formula,F0_formula,maxF_pair_outcome_for_F0,C0_maxF_ev_per_a,F0_maxF_ev_per_a,delta_F0_minus_C0_maxF_ev_per_a,C0_atomic_force_mean_ev_per_a,F0_atomic_force_mean_ev_per_a,delta_F0_minus_C0_atomic_force_mean_ev_per_a,C0_rmsd_a,F0_rmsd_a,delta_F0_minus_C0_rmsd_a,C0_e_hull_ev_per_atom,F0_e_hull_ev_per_atom,delta_F0_minus_C0_e_hull_ev_per_atom,C0_stable,F0_stable,delta_F0_minus_C0_stable,C0_nus,F0_nus,delta_F0_minus_C0_nus,C0_novel,F0_novel,delta_F0_minus_C0_novel,C0_unique,F0_unique,delta_F0_minus_C0_unique,C0_mag_density_a3,F0_mag_density_a3,delta_F0_minus_C0_mag_density_a3,C0_mag_absolute_error_a3,F0_mag_absolute_error_a3,delta_F0_minus_C0_mag_absolute_error_a3,C0_mag_hit,F0_mag_hit,delta_F0_minus_C0_mag_hit,C0_valid,F0_valid,delta_F0_minus_C0_valid,C0_end_to_end_generation_seconds,F0_end_to_end_generation_seconds,delta_F0_minus_C0_end_to_end_generation_seconds,C0_peak_allocated_bytes,F0_peak_allocated_bytes,delta_F0_minus_C0_peak_allocated_bytes
730000,Co3Fe13,Co3Fe13,win,0.07586974341798844,0.029541043147407645,-0.046328700270580794,0.03645036017141262,0.01434381823876616,-0.02210654193264646,0.003215898449040243,0.001338667898523351,-0.001877230550516892,0.01898700670068365,0.018950767076660213,-3.62396240234375e-05,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.20327162304088336,0.20329852703378715,2.690399290378176e-05,0.0032716230408833535,0.0032985270337871353,2.690399290378176e-05,True,True,0.0,True,True,0.0,95.21699863194954,89.55039572896203,-5.666602902987506,342984704,447144448,104159744.0
730001,Co3Fe6,Co3Fe6,win,0.08681327961531289,0.038239572259324506,-0.048573707355988385,0.049564579522076144,0.022270986468432712,-0.02729359305364343,0.003989686141381933,0.0011037279336852622,-0.0028859582076966707,0.029782657528212297,0.02978435294921944,1.6954210071418174e-06,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.19746512749489814,0.19731114899243726,-0.00015397850246087752,0.0025348725051018706,0.002688851007562748,0.00015397850246087752,True,True,0.0,True,True,0.0,90.90471181401517,91.08368648699252,0.17897467297734693,299436032,383112192,83676160.0
730002,CoFe3,CoFe3,win,0.05162505009375972,0.007745282505745029,-0.04387976758801469,0.03271900466211401,0.005718172495022851,-0.027000832167091163,0.0010028337666210748,0.0002680061680537516,-0.0007348275985673233,0.00799870904785216,0.007963423098145128,-3.528594970703125e-05,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.20232397989656475,0.20225786269995458,-6.611719661017701e-05,0.002323979896564743,0.002257862699954566,-6.611719661017701e-05,True,True,0.0,True,True,0.0,85.28187737404369,85.61194199998863,0.33006462594494224,258778624,336445440,77666816.0
730003,Gd3,Gd3,win,0.007673021797323399,0.007001175721934138,-0.0006718460753892611,0.005173773484533079,0.00476130794599408,-0.00041246553853899887,0.0,0.0,0.0,0.016066189381509943,0.01606364625000012,-2.5431315098245477e-06,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.21478353170794892,0.2147707805099193,-1.2751198029625765e-05,0.01478353170794891,0.014770780509919285,-1.2751198029625765e-05,False,False,0.0,True,True,0.0,84.25700752000557,84.44251231604721,0.18550479604164138,251890688,317615616,65724928.0
730004,CoFe7,CoFe7,win,0.04278923768099754,0.020278185172352085,-0.022511052508645452,0.02766879528807839,0.012004209308007354,-0.015664585980071036,0.001893071526754891,0.001081525458702144,-0.000811546068052747,0.005572685945313793,0.005547890413087231,-2.47955322265625e-05,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.20557317394663532,0.20556126087087553,-1.1913075759789615e-05,0.0055731739466353125,0.005561260870875523,-1.1913075759789615e-05,True,True,0.0,True,True,0.0,85.42190789699089,86.00038040598156,0.5784725089906715,286317056,374302720,87985664.0
730005,Fe4Gd4O10,Fe4Gd4O10,win,2.8319158797469175,2.6984628927255967,-0.1334529870213208,0.7197447447214009,0.684568099155311,-0.035176645566089904,1.1805079281338764,1.1444383195304224,-0.036069608603453984,0.14930443440104213,0.15534098089626802,0.006036546495225892,False,False,0.0,False,False,0.0,True,True,0.0,True,True,0.0,0.18017339740883045,0.1802041185304282,3.0721121597743206e-05,0.019826602591169556,0.019795881469571813,-3.0721121597743206e-05,False,False,0.0,True,True,0.0,85.13360756303882,86.08596585597843,0.952358292939607,360732160,420057088,59324928.0
730006,Fe20,Fe20,win,0.09076864546156288,0.028878982134159438,-0.06188966332740344,0.030607873991510492,0.010999576750684931,-0.01960829724082556,0.0,0.0,0.0,-0.007851257041014748,-0.007859649374999833,-8.392333985085543e-06,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.21138882839366333,0.21140670432580785,1.787593214452876e-05,0.011388828393663314,0.011406704325807843,1.787593214452876e-05,False,False,0.0,True,True,0.0,94.66251987597207,95.99312715500128,1.3306072790292092,374424064,491517952,117093888.0
730007,Co4Fe4,Co4Fe4,win,0.09284590545487938,0.04720758925745415,-0.04563831619742523,0.048819809380455575,0.02882721377330388,-0.019992595607151695,0.00399061941804509,0.0017064384382815703,-0.0022841809797635197,0.07900928873046897,0.07897877115234397,-3.0517578125e-05,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.1928515009522066,0.19274710664113084,-0.00010439431107575614,0.007148499047793411,0.007252893358869167,0.00010439431107575614,True,True,0.0,True,True,0.0,84.0600868879701,84.42552052007522,0.36543363210512325,286491136,376749568,90258432.0
730008,Fe10Pd2,Fe10Pd2,win,0.14939722544172665,0.10599178959717258,-0.04340543584455407,0.08858558730195282,0.06167738396442746,-0.02690820333752536,0.0131524294223333,0.005318519027503117,-0.007833910394830184,0.05677237146484426,0.05683086348958444,5.849202474017545e-05,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.1768873217330047,0.17711890402501626,0.00023158229201156177,0.023112678266995312,0.02288109597498375,-0.00023158229201156177,False,False,0.0,True,True,0.0,84.7970218550181,84.82742882100865,0.030406965990550816,314425344,398575104,84149760.0
730009,Co3Fe2,Co3Fe2,win,0.08460976918276873,0.06223588176515297,-0.022373887417615763,0.06357258439435623,0.03162654920911004,-0.03194603518524619,0.0054099088866232815,0.001460340712048004,-0.0039495681745752775,0.06726921386132823,0.0672264892519534,-4.2724609374822364e-05,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.18764890926803748,0.1875031028273689,-0.00014580644066858328,0.012351090731962527,0.01249689717263111,0.00014580644066858328,False,False,0.0,True,True,0.0,85.24415097298333,85.19239326700335,-0.05175770597998053,269819904,346842112,77022208.0
730010,Co6Fe6,Co6Fe6,win,0.1356668227978403,0.08951516072446332,-0.04615166207337697,0.07323828706028622,0.04293605792204428,-0.03030222913824194,0.00750907376586761,0.00310849543753181,-0.0044005783283358,0.061775122267253124,0.061789745273437724,1.4623006184599774e-05,True,True,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.1910599102622606,0.19093734275364893,-0.00012256750861167065,0.00894008973773941,0.00906265724635108,0.00012256750861167065,True,True,0.0,True,True,0.0,85.12442298000678,85.52305085101398,0.3986278710071929,314836480,412502016,97665536.0
730011,Co2Fe4,Co2Fe4,win,0.09924053132030784,0.058030312262048876,-0.041210219058258966,0.058465716288919854,0.03465503318830453,-0.02381068310061532,0.003039810632762538,0.001046190849228816,-0.001993619783533722,0.015042455366211627,0.01503673332031319,-5.7220458984375e-06,True,True,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.19836358995655853,0.1983610816531561,-2.5083034024264705e-06,0.0016364100434414774,0.001638918346843904,2.5083034024264705e-06,True,True,0.0,True,True,0.0,84.20087366102962,84.45513016398763,0.2542565029580146,274500608,356826624,82326016.0
730012,Co2Fe8,Co2Fe8,win,0.08764252626437351,0.026942823170401052,-0.060699703093972456,0.05679985791843837,0.01750805017877907,-0.039291807739659304,0.001849435972932063,0.0003899208147665956,-0.0014595151581654675,0.010403162477736316,0.010361200807814441,-4.1961669921875e-05,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.2027909727323195,0.20271751577469282,-7.345695762667193e-05,0.0027909727323194855,0.0027175157746928136,-7.345695762667193e-05,True,True,0.0,True,True,0.0,86.13238813600037,86.99456114694476,0.8621730109443888,301762560,392193536,90430976.0
730013,Co2Fe6,Co2Fe6,win,0.08686680414343963,0.02020860845278071,-0.06665819569065892,0.04440916939265335,0.011312508605812215,-0.033096660786841134,0.0021404939103615924,0.0005081580342452354,-0.001632335876116357,0.02317834314209044,0.02315831598144591,-2.002716064453125e-05,True,True,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.20137432522302234,0.20129006874341962,-8.425647960272342e-05,0.0013743252230223324,0.001290068743419609,-8.425647960272342e-05,True,True,0.0,True,True,0.0,84.41459255095106,84.66256499500014,0.2479724440490827,287411712,374302720,86891008.0
730014,CoFe11,CoFe11,win,0.07190829518169722,0.05659339235502057,-0.015314902826676656,0.03457427285808191,0.030147323521490594,-0.004426949336591313,0.0015686782410839807,0.002157760048621454,0.0005890818075374733,0.0005168496712251169,0.0005282937630219919,1.1444091796875e-05,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.20812583813802227,0.2081211236359703,-4.714502051972325e-06,0.008125838138022257,0.008121123635970284,-4.714502051972325e-06,True,True,0.0,True,True,0.0,84.79888093698537,85.32701968599577,0.5281387490103953,316035072,410014720,93979648.0
730015,Co3Fe6,Co3Fe6,win,0.05829936015716983,0.017750264392411175,-0.04054909576475865,0.029971923139456586,0.011081665338040244,-0.018890257801416344,0.0010230359168907329,0.0003895967699678757,-0.0006334391469228572,0.035930254099392656,0.03590397507378462,-2.6279025608033635e-05,True,True,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.1972294692101263,0.19722342485330946,-6.044356816836682e-06,0.0027705307898737153,0.002776575146690552,6.044356816836682e-06,True,True,0.0,True,True,0.0,84.74917669902788,85.58749389607692,0.8383171970490366,297059328,383250432,86191104.0
730016,Co2Fe6,Co2Fe6,win,0.08597781459463481,0.020849164130969374,-0.06512865046366544,0.04635114294465907,0.014575729499531773,-0.0317754134451273,0.003861942975979697,0.002019252351244594,-0.0018426906247351028,0.015586141909180284,0.01554894861084044,-3.719329833984375e-05,True,True,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.20122889588901047,0.2011208638585036,-0.00010803203050685495,0.0012288958890104562,0.0011208638585036013,-0.00010803203050685495,True,True,0.0,True,True,0.0,85.37593564699637,86.01904572505737,0.6431100780609995,287344640,374511616,87166976.0
730017,Co3Fe17,Co3Fe17,win,0.09828765572189063,0.03245464027145733,-0.0658330154504333,0.04783301782662867,0.01448957468296535,-0.03334344314366332,0.003982609050266063,0.0005627081306790608,-0.003419900919587002,0.002417524965235174,0.0024236284808587527,6.1035156235789145e-06,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.20531571877387314,0.20534895232083855,3.323354696541103e-05,0.005315718773873129,0.00534895232083854,3.323354696541103e-05,True,True,0.0,True,True,0.0,88.59936418902362,89.01819778297795,0.4188335939543322,379649536,489587200,109937664.0
730018,Co4Fe6,Co4Fe6,win,0.18469512113742853,0.12991924785780629,-0.054775873279622245,0.0911731185085761,0.06190171086053631,-0.029271407648039788,0.00644485574783195,0.00370586153729154,-0.00273899421054041,0.037568609742187675,0.037573187378907136,4.577636719460543e-06,True,True,0.0,False,False,0.0,False,False,0.0,True,True,0.0,0.19456185006330204,0.19440826151441284,-0.00015358854888919415,0.005438149936697972,0.005591738485587167,0.00015358854888919415,True,True,0.0,True,True,0.0,85.6059454199858,85.90602329705143,0.3000778770656325,303199744,392053248,88853504.0
730019,Co4Fe8,Co4Fe8,win,0.10961466515798605,0.051052517949675115,-0.05856214720831094,0.055167291173846715,0.023285904344442113,-0.0318813868294046,0.0031637900111684417,0.002046384261118773,-0.0011174057500496688,0.0297926181266277,0.02977672355468819,-1.5894571939512048e-05,True,True,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.1977988491789816,0.19763100726971447,-0.00016784190926713571,0.002201150821018405,0.0023689927302855407,0.00016784190926713571,True,True,0.0,True,True,0.0,85.52725799800828,86.16849208902568,0.6412340910173953,314648064,411158528,96510464.0
730020,Co2Fe18,Co2Fe18,win,0.29159328310535443,0.20869676651284708,-0.08289651659250735,0.1693064037638918,0.12412896531141082,-0.045177438452480984,0.3856733946715567,0.3817222389896125,-0.003951155681944207,0.1932561448417971,0.19326453717578218,8.392333985085543e-06,False,False,0.0,False,False,0.0,True,True,0.0,True,True,0.0,0.1978302283440433,0.19785597850886263,2.5750164819343668e-05,0.0021697716559567204,0.0021440214911373767,-2.5750164819343668e-05,True,True,0.0,True,True,0.0,86.32017883099616,86.8237272950355,0.5035484640393406,381308928,459420160,78111232.0
730021,Co7Fe11,Co7Fe11,win,0.15329621667303403,0.07650196856398273,-0.0767942481090513,0.07797565584255965,0.03885431618266431,-0.039121339659895345,0.005424238679278664,0.0020527733485659187,-0.0033714653307127455,0.05171195253472227,0.05172297277126692,1.1020236544645456e-05,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.1956821602374689,0.19556445182739254,-0.00011770841007635591,0.004317839762531112,0.0044355481726074675,0.00011770841007635591,True,True,0.0,True,True,0.0,84.70166271500057,85.49089483299758,0.7892321179970168,357121024,474802688,117681664.0
730022,Co2Fe4,Co2Fe4,win,0.11261114788877431,0.050270781436839634,-0.06234036645193468,0.046897910447026375,0.025025806413516635,-0.02187210403350974,0.004417987878668265,0.0012911702427997975,-0.0031268176358684673,0.04135115084147145,0.04134924349283864,-1.9073486328125e-06,True,True,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.19780649654421373,0.19764358826497044,-0.00016290827924328455,0.002193503455786283,0.0023564117350295677,0.00016290827924328455,True,True,0.0,True,True,0.0,85.12662787502632,85.85885594395222,0.732228068925906,273717760,356826624,83108864.0
730023,Gd9,Gd9,win,0.010157553758607434,0.008857125409533276,-0.0013004283490741578,0.00633845108264688,0.00554454031386042,-0.0007939107687864599,0.0,0.0,0.0,0.016039062645399227,0.016035671803384943,-3.390842014283635e-06,True,True,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.20867958381542023,0.20864290906516555,-3.667475025467826e-05,0.008679583815420222,0.008642909065165544,-3.667475025467826e-05,True,True,0.0,True,True,0.0,84.66854225902352,85.399206098984,0.7306638399604708,297960960,346270720,48309760.0
730024,Co3Fe7,Co3Fe7,win,0.11584800853223504,0.06220741113464697,-0.053640597397588065,0.059169225194943595,0.03129626229451945,-0.027872962900424146,0.0036497476798108726,0.0009360653963928667,-0.002713682283418006,0.0373733485625003,0.0373733485625003,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.19918101553433484,0.19916494746168967,-1.6068072645175624e-05,0.0008189844656651679,0.0008350525383103435,1.6068072645175624e-05,True,True,0.0,True,True,0.0,84.55465917399852,85.08502899302403,0.5303698190255091,302215168,391991296,89776128.0
