method,seed,formula,num_atoms,maxF_ev_per_a,atomic_force_mean_ev_per_a,rmsd_a,relaxation_steps,minimum_periodic_distance_a,surrogate_property_eval,dft_verified
C0,730000,Co3Fe13,16,0.07586974341798844,0.03645036017141262,0.003215898449040243,20,2.4633164811276216,True,False
C0,730001,Co3Fe6,9,0.08681327961531289,0.049564579522076144,0.003989686141381933,26,2.452769231642047,True,False
C0,730002,CoFe3,4,0.05162505009375972,0.03271900466211401,0.0010028337666210748,4,2.4674502577265,True,False
C0,730003,Gd3,3,0.007673021797323399,0.005173773484533079,0.0,7,3.5716984494681534,True,False
C0,730004,CoFe7,8,0.04278923768099754,0.02766879528807839,0.001893071526754891,7,2.456687794581258,True,False
C0,730005,Fe4Gd4O10,18,2.8319158797469175,0.7197447447214009,1.1805079281338764,1439,1.9499858976507074,True,False
C0,730006,Fe20,20,0.09076864546156288,0.030607873991510492,0.0,31,2.442721741076662,True,False
C0,730007,Co4Fe4,8,0.09284590545487938,0.048819809380455575,0.00399061941804509,26,2.428679928951461,True,False
C0,730008,Fe10Pd2,12,0.14939722544172665,0.08858558730195282,0.0131524294223333,19,2.40865963687441,True,False
C0,730009,Co3Fe2,5,0.08460976918276873,0.06357258439435623,0.0054099088866232815,28,2.437946835986151,True,False
C0,730010,Co6Fe6,12,0.1356668227978403,0.07323828706028622,0.00750907376586761,27,2.437953332595166,True,False
C0,730011,Co2Fe4,6,0.09924053132030784,0.058465716288919854,0.003039810632762538,26,2.4474879443807303,True,False
C0,730012,Co2Fe8,10,0.08764252626437351,0.05679985791843837,0.001849435972932063,19,2.4496004344169005,True,False
C0,730013,Co2Fe6,8,0.08686680414343963,0.04440916939265335,0.0021404939103615924,7,2.4559344595232417,True,False
C0,730014,CoFe11,12,0.07190829518169722,0.03457427285808191,0.0015686782410839807,20,2.4612953391447108,True,False
C0,730015,Co3Fe6,9,0.05829936015716983,0.029971923139456586,0.0010230359168907329,14,2.4483372850947736,True,False
C0,730016,Co2Fe6,8,0.08597781459463481,0.04635114294465907,0.003861942975979697,18,2.4568974800625067,True,False
C0,730017,Co3Fe17,20,0.09828765572189063,0.04783301782662867,0.003982609050266063,20,2.457069821539681,True,False
C0,730018,Co4Fe6,10,0.18469512113742853,0.0911731185085761,0.00644485574783195,40,2.444897702646821,True,False
C0,730019,Co4Fe8,12,0.10961466515798605,0.055167291173846715,0.0031637900111684417,36,2.45194109532271,True,False
