comparison,metric,preferred_direction,unit,n_pairs,F0_mean,B0_mean,mean_delta_F0_minus_B0,median_paired_delta,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_resamples,bootstrap_seed,F0_favorable_pairs,B0_favorable_pairs,ties
F0-B0,maxF,lower,eV/angstrom,16,0.25339196873973335,0.3040278919209802,-0.05063592318124681,-0.04408881336922742,-0.07240312425044959,-0.030483715949645593,20000,20260913,15,1,0
F0-B0,atomic_force_mean,lower,eV/angstrom,16,0.12300703754078407,0.14846897873045153,-0.025461941189667464,-0.017746545551858988,-0.0354908901664669,-0.01595549448392137,20000,20260913,15,1,0
F0-B0,rmsd,lower,angstrom,16,0.11445332600548308,0.1162991787726576,-0.001845852767174499,-0.0014414084860600222,-0.0035667796448582492,-7.843094769933095e-05,20000,20260913,12,2,2
F0-B0,e_hull,lower,eV/atom,16,0.09283012691788889,0.09202097199282488,0.000809154925064004,-2.4583604600891817e-06,-2.4454834485732045e-05,0.002452606863273382,20000,20260913,9,6,1
F0-B0,stable,higher,percentage_points,16,75.0,75.0,0.0,0.0,0.0,0.0,20000,20260913,0,0,16
F0-B0,nus,higher,percentage_points,16,31.25,31.25,0.0,0.0,0.0,0.0,20000,20260913,0,0,16
F0-B0,novel,higher,percentage_points,16,56.25,56.25,0.0,0.0,0.0,0.0,20000,20260913,0,0,16
F0-B0,unique,higher,percentage_points,16,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260913,0,0,16
F0-B0,mag_absolute_error,lower,angstrom^-3,16,0.00988884871935787,0.009940478768842183,-5.1630049484312907e-05,2.9188534435564684e-06,-0.00018321872352229022,4.245794048532651e-05,20000,20260913,6,10,0
F0-B0,mag_hit,higher,percentage_points,16,50.0,50.0,0.0,0.0,0.0,0.0,20000,20260913,0,0,16
F0-B0,validity,higher,percentage_points,16,100.0,100.0,0.0,0.0,0.0,0.0,20000,20260913,0,0,16
F0-B0,end_to_end_runtime,lower,seconds,16,150.25152837080168,150.28391521199592,-0.032386841194238514,0.48501388446311466,-1.0074640556287704,0.7320277784089729,20000,20260913,4,12,0
