seed,T0_formula,T0_num_atoms,T0_maxF_ev_per_a,T0_atomic_force_mean_ev_per_a,T0_rmsd_a,T0_e_hull_ev_per_atom,T0_stable,T0_nus,T0_novel,T0_unique,T0_mag_density_a3,T0_mag_absolute_error_a3,T0_mag_hit,T0_valid,T0_minimum_periodic_distance_a,T0_generation_seconds,T0_end_to_end_generation_seconds,T0_mattergen_score_calls,T0_guidance_calls,T0_guidance_accepted,T0_guidance_fallbacks,T0_guidance_seconds,T0_relaxation_steps,T0_surrogate_property_eval,T0_dft_verified,T0_actual_mattersim_calls,T0_failed_mattersim_calls,T0_peak_allocated_bytes,T0_initial_mattersim_calls,T0_candidate_mattersim_calls,T0_retry_mattersim_calls,T0_failed_candidate_calls,T1_formula,T1_num_atoms,T1_maxF_ev_per_a,T1_atomic_force_mean_ev_per_a,T1_rmsd_a,T1_e_hull_ev_per_atom,T1_stable,T1_nus,T1_novel,T1_unique,T1_mag_density_a3,T1_mag_absolute_error_a3,T1_mag_hit,T1_valid,T1_minimum_periodic_distance_a,T1_generation_seconds,T1_end_to_end_generation_seconds,T1_mattergen_score_calls,T1_guidance_calls,T1_guidance_accepted,T1_guidance_fallbacks,T1_guidance_seconds,T1_relaxation_steps,T1_surrogate_property_eval,T1_dft_verified,T1_actual_mattersim_calls,T1_failed_mattersim_calls,T1_peak_allocated_bytes,T1_initial_mattersim_calls,T1_candidate_mattersim_calls,T1_retry_mattersim_calls,T1_failed_candidate_calls,T2_formula,T2_num_atoms,T2_maxF_ev_per_a,T2_atomic_force_mean_ev_per_a,T2_rmsd_a,T2_e_hull_ev_per_atom,T2_stable,T2_nus,T2_novel,T2_unique,T2_mag_density_a3,T2_mag_absolute_error_a3,T2_mag_hit,T2_valid,T2_minimum_periodic_distance_a,T2_generation_seconds,T2_end_to_end_generation_seconds,T2_mattergen_score_calls,T2_guidance_calls,T2_guidance_accepted,T2_guidance_fallbacks,T2_guidance_seconds,T2_relaxation_steps,T2_surrogate_property_eval,T2_dft_verified,T2_actual_mattersim_calls,T2_failed_mattersim_calls,T2_peak_allocated_bytes,T2_initial_mattersim_calls,T2_candidate_mattersim_calls,T2_retry_mattersim_calls,T2_failed_candidate_calls
742000,Fe4,4,0.07994035804274459,0.05265026727275164,0.0,-0.007821120932616665,True,False,False,True,0.21163366767263903,0.011633667672639014,False,True,2.4561398625630004,83.62405407399638,83.62405407399638,2000,0,0,0,0.0,5,True,False,0,0,258518528,0,0,0,0,Fe4,4,0.021611800965828834,0.01159205022609051,0.0,-0.007862128928222134,True,False,False,True,0.21164155387914546,0.01164155387914545,False,True,2.458074631501516,84.21010323398514,84.46364582201932,2000,20,20,0,0.8912198020843789,5,True,False,20,0,336850432,20,0,0,0,Fe4,4,0.01671852923372747,0.008745914624338505,0.0,-0.00786308260253854,True,False,False,True,0.21164174477555944,0.011641744775559432,False,True,2.4583077286210204,83.797410122992,83.9485148449894,2000,20,20,0,0.8158353440812789,5,True,False,20,0,373253120,20,0,0,0
742001,Co2Fe4,6,0.11333540103346174,0.06974250702521623,0.002699562834373289,0.022189290693360064,True,False,False,True,0.19797014658916487,0.002029853410835142,True,True,2.4526630915393626,83.2049797050422,83.2049797050422,2000,0,0,0,0.0,14,True,False,0,0,272959488,0,0,0,0,Co2Fe4,6,0.04599141644386483,0.029386406972693107,0.00031644228091054206,0.022182297081705826,True,False,False,True,0.19781289210870592,0.0021871078912940878,True,True,2.4576602036323956,84.11535542999627,84.35935313103255,2000,20,20,0,0.8933903511497192,8,True,False,20,0,355663360,20,0,0,0,Co2Fe4,6,0.017001398262404772,0.012004100562286922,0.0004525899832389484,0.022179118167317213,True,False,False,True,0.19768181797136525,0.002318182028634763,True,True,2.4588849782500604,83.90611495298799,84.05408635403728,2000,20,20,0,0.8139561651041731,8,True,False,20,0,392221696,20,0,0,0
742002,Co7Fe9,16,0.0536869334172534,0.03202162848155514,0.001581175006875828,0.06243566933959954,True,False,False,True,0.1927770005736329,0.007222999426367116,True,True,2.4261199930415924,85.72953410400078,85.72953410400078,2000,0,0,0,0.0,36,True,False,0,0,343952384,0,0,0,0,Co7Fe9,16,0.02105648252634091,0.014676309275146293,0.0007930043053797585,0.06240038338989251,True,False,False,True,0.19279442286923398,0.007205577130766028,True,True,2.4223076745210945,85.63012319302652,85.87711779406527,2000,20,20,0,1.3241820249822922,11,True,False,20,0,455124992,20,0,0,0,Co7Fe9,16,0.021028079637139954,0.014660579590116301,0.0007924204491624991,0.06240133706420892,True,False,False,True,0.19279460839743578,0.007205391602564226,True,True,2.42230627461725,83.99396809504833,84.12328529305523,2000,20,20,0,0.7026344640762545,11,True,False,20,0,491527680,20,0,0,0
742003,Co6Fe,7,0.05095584838896807,0.027844665685333097,0.0009830476101311777,0.09623060075613843,True,False,False,True,0.18127685157764728,0.01872314842235273,False,True,2.379968033328518,83.91645172500284,83.91645172500284,2000,0,0,0,0.0,14,True,False,0,0,281575936,0,0,0,0,Co6Fe,7,0.016447652574379728,0.010096907345163266,0.0006393117373170639,0.09619953822126082,True,False,False,True,0.18112407164274177,0.018875928357258237,False,True,2.379059897863772,85.040373241005,85.28634505800437,2000,20,20,0,1.345987603883259,14,True,False,20,0,370743296,20,0,0,0,Co6Fe,7,0.016258121614322486,0.010095605870348986,0.0006347341478013421,0.09619899326450909,True,False,False,True,0.18112503547578146,0.01887496452421855,False,True,2.3790689647387504,86.23521997901844,86.3736629409832,2000,20,20,0,0.7324687369982712,14,True,False,20,0,407145984,20,0,0,0
742004,Fe4Gd12O4,20,0.8100015260475614,0.3717067709788184,0.1434107224170187,0.43102705712434997,False,False,True,True,0.21422039380198188,0.014220393801981868,False,True,2.316388729639567,85.39832235500216,85.39832235500216,2000,0,0,0,0.0,122,True,False,0,0,375750144,0,0,0,0,Fe4Gd12O4,20,0.7599553924452582,0.3536067850569034,0.14061408081227808,0.43081648583528676,False,False,True,True,0.21428180540553535,0.014281805405535336,False,True,2.316445625033742,85.57211601000745,85.92429296299815,2000,20,20,0,1.3222764920792542,132,True,False,20,0,435582976,20,0,0,0,Fe4Gd12O4,20,0.26394327524214173,0.14933024702911368,0.05664047394423738,0.4306020998489597,False,False,True,True,0.2146466200865625,0.014646620086562478,False,True,2.3110167303620828,85.10456568596419,85.22890451195417,2000,20,20,0,0.693466197932139,87,True,False,20,0,482109952,20,0,0,0
742005,Gd2O2,4,0.02828520587574713,0.023052549724336232,0.0015480163560312272,0.1495890264778641,False,False,True,True,0.2005212547239944,0.000521254723994391,True,True,2.33915308251892,82.72177346004173,82.72177346004173,2000,0,0,0,0.0,4,True,False,0,0,258874368,0,0,0,0,Gd2O2,4,0.01366486866213137,0.009460381901302354,0.0009367060551963674,0.149574721363118,False,False,True,True,0.20051242292089755,0.0005124229208975373,True,True,2.341751272101795,83.32073056895752,83.57936756295385,2000,20,20,0,0.8936728159314953,4,True,False,20,0,327846400,20,0,0,0,Gd2O2,4,0.013662054852740857,0.009462445255018912,0.000937868549588813,0.149574721363118,False,False,True,True,0.20051059009247219,0.000510590092472174,True,True,2.341795322600842,83.06232372601517,83.1922759830486,2000,20,20,0,0.6662378429318778,4,True,False,20,0,365234176,20,0,0,0
742006,Fe10N4,14,0.3994805153071571,0.23868843822377814,0.07761809775333046,0.10176833828822573,False,False,True,True,0.13528889828922544,0.06471110171077457,False,True,1.7901261317483905,84.91723863297375,84.91723863297375,2000,0,0,0,0.0,104,True,False,0,0,330524160,0,0,0,0,Fe10N4,14,0.37650218937695445,0.19138667629285305,0.07302814846277338,0.10174708497488893,False,False,True,True,0.13520096565978967,0.06479903434021034,False,True,1.7945045694498962,85.41773852898041,85.65698994096601,2000,20,20,0,1.3312917309813201,117,True,False,20,0,428481536,20,0,0,0,Fe10N4,14,0.35478658008110864,0.1118521300361259,0.05534148201942741,0.10158741264648441,False,False,True,True,0.1350972833814009,0.06490271661859912,False,True,1.7940430197243795,85.1855682770256,85.3149695340544,2000,20,20,0,0.7039883488905616,117,True,False,20,0,464914944,20,0,0,0
742007,Gd3,3,0.003994331721890409,0.0028890952426318135,0.0008663489234174454,0.07541143474283807,True,True,True,True,0.21060307395298988,0.010603073952989872,False,True,3.299327589994068,84.26972774905153,84.26972774905153,2000,0,0,0,0.0,14,True,False,0,0,251208192,0,0,0,0,Gd3,3,0.003690120939454424,0.002679640960241661,0.0009823858955868327,0.07541143474283807,True,True,True,True,0.21060219530331548,0.010602195303315465,False,True,3.299129537149807,84.50514254398877,84.79322679998586,2000,20,20,0,0.8926328931120224,14,True,False,20,0,320891904,20,0,0,0,Gd3,3,0.00369450682850905,0.0026850826541605145,0.0009844958547380483,0.07541143474283807,True,True,True,True,0.21060227400275133,0.010602274002751322,False,True,3.2991118395939383,84.42043399898103,84.61678985494655,2000,20,20,0,0.6574771458399482,14,True,False,20,0,357568000,20,0,0,0
742008,Co2Fe8,10,0.10395813018477487,0.04234460111735059,0.005871217742526082,0.022860437868359895,True,False,False,True,0.20339678979861722,0.0033967897986172113,True,True,2.461530791589384,84.54192413098644,84.54192413098644,2000,0,0,0,0.0,24,True,False,0,0,301636096,0,0,0,0,Co2Fe8,10,0.05257212521547327,0.022029161584890537,0.0024599414406955024,0.02285814905000194,True,False,False,True,0.2033385868296127,0.0033385868296126886,True,True,2.461956278609061,85.02264857396949,85.25576917699073,2000,20,20,0,0.9096507328795269,7,True,False,20,0,391991296,20,0,0,0,Co2Fe8,10,0.0355514378962694,0.01715168218965577,0.0017456053822305978,0.022847467897657125,True,False,False,True,0.2033171413371516,0.00331714133715158,True,True,2.462076857615394,84.96175561303971,85.10899868700653,2000,20,20,0,0.6815127830486745,7,True,False,20,0,428393984,20,0,0,0
742009,Gd4,4,0.002345226159947053,0.0021428504241457333,0.0,0.07007975953125012,True,False,False,True,0.21476345863544977,0.014763458635449755,False,True,3.476798825902046,84.00849974196171,84.00849974196171,2000,0,0,0,0.0,6,True,False,0,0,258487296,0,0,0,0,Gd4,4,0.002183691724946541,0.0019874191344920046,0.0,0.07007880585693371,True,False,False,True,0.21477719829534392,0.014777198295343907,False,True,3.4769005218937674,84.6512152950163,84.91593094001291,2000,20,20,0,0.8891156169702299,6,True,False,20,0,326638592,20,0,0,0,Gd4,4,0.0021838136851847043,0.0019874291968984435,0.0,0.07007880585693371,True,False,False,True,0.21477719829534392,0.014777198295343907,False,True,3.4769005218937674,84.05111744999886,84.2006124589825,2000,20,20,0,0.6614516070112586,6,True,False,20,0,364847104,20,0,0,0
742010,Co3Fe7,10,0.09287080495303786,0.051924741640251945,0.0023782276371985688,0.04047851213671905,True,True,True,True,0.1992268367831191,0.0007731632168809233,True,True,2.4462283233087287,86.44539171498036,86.44539171498036,2000,0,0,0,0.0,35,True,False,0,0,302797312,0,0,0,0,Co3Fe7,10,0.03612784695653063,0.022192756750321445,0.0005280765116647157,0.0404556239531253,True,True,True,True,0.19918068373833867,0.0008193162616613459,True,True,2.4479461717548596,87.43909303605324,87.67465730005642,2000,20,20,0,0.9237341728294268,7,True,False,20,0,392835072,20,0,0,0,Co3Fe7,10,0.02600823586920689,0.019525380445399736,0.0004574406660395655,0.04044952043750172,True,True,True,True,0.19917167823240234,0.0008283217675976728,True,True,2.4482327324695237,86.48475731397048,86.67025400197599,2000,20,20,0,0.7102130429120734,7,True,False,20,0,429237760,20,0,0,0
742011,Gd4,4,0.00555047094840609,0.0032832903333083847,0.0008142926019150151,0.016076997690429806,True,False,False,True,0.21602065128987413,0.01602065128987412,False,True,3.547874991607333,82.61729480500799,82.61729480500799,2000,0,0,0,0.0,14,True,False,0,0,258194944,0,0,0,0,Gd4,4,0.0052223169325501485,0.003081241482814654,0.00031972252897378176,0.016075090341796994,True,False,False,True,0.21599045091940258,0.01599045091940257,False,True,3.548203236858832,82.16195226297714,82.55103230598615,2000,20,20,0,0.8802465629996732,14,True,False,20,0,326209536,20,0,0,0,Gd4,4,0.005221558382379727,0.0030825952761785675,0.00031979566194445373,0.016075090341796994,True,False,False,True,0.215999386779511,0.015999386779510988,False,True,3.5481344034994264,81.31225514400285,81.43395249202149,2000,20,20,0,0.6576777368900366,14,True,False,20,0,364554752,20,0,0,0
742012,Fe4,4,0.08811285770378692,0.05579096478050584,0.0,-0.007813491538085415,True,False,False,False,0.21275877412647104,0.012758774126471029,False,True,2.483001709679102,83.66940910398262,83.66940910398262,2000,0,0,0,0.0,22,True,False,0,0,261680128,0,0,0,0,Fe4,4,0.034526756891503724,0.025459238837966056,0.0,-0.007844962790526822,True,False,False,False,0.21276795406825494,0.012767954068254928,False,True,2.485575694175228,84.20671472599497,84.45249334297841,2000,20,20,0,0.8834052191232331,20,True,False,20,0,337225728,20,0,0,0,Fe4,4,0.024935414244221007,0.019408964607624028,0.0,-0.007846870139159634,True,False,False,False,0.21276648315568938,0.012766483155689373,False,True,2.4857761239053304,83.45447047997732,83.58722531900275,2000,20,20,0,0.6569989281124435,19,True,False,20,0,373628416,20,0,0,0
742013,Co5Fe14,19,0.23684405821412158,0.14786362979823336,0.01949995727097886,0.13364177214226913,False,False,True,True,0.19275098157780027,0.007249018422199743,True,True,2.421482150761219,84.97368458803976,84.97368458803976,2000,0,0,0,0.0,31,True,False,0,0,366293504,0,0,0,0,Co5Fe14,19,0.1846566174998478,0.11547688162939966,0.014216092454949696,0.13363374120065785,False,False,True,True,0.19282046908816072,0.007179530911839288,True,True,2.4226618836149836,85.0256567960023,85.33786486997269,2000,20,20,0,1.3187014051363803,26,True,False,20,0,473601536,20,0,0,0,Co5Fe14,19,0.09423795543266206,0.05651601503255958,0.009151827149621379,0.1336072390933385,False,False,True,True,0.19297021370209244,0.00702978629790757,True,True,2.426331874416852,83.83721210900694,83.96612847299548,2000,20,20,0,0.6869958150200546,33,True,False,20,0,509924864,20,0,0,0
742014,CFGd8,10,0.1975768716470483,0.1181900841853589,0.01672450740885213,0.15069728517968706,False,False,True,True,0.21211172308692935,0.012111723086929344,False,True,2.4643541299437413,84.9425513309543,84.9425513309543,2000,0,0,0,0.0,15,True,False,0,0,303002112,0,0,0,0,CFGd8,10,0.15106433009695538,0.09108096321872294,0.012403786177590652,0.15068507814843812,False,False,True,True,0.21228127106992697,0.012281271069926963,False,True,2.470500677605281,85.75535413698526,85.99400011397665,2000,20,20,0,0.9176330211339518,15,True,False,20,0,366709248,20,0,0,0,CFGd8,10,0.08681259975804721,0.05364781996868075,0.0033189035146287287,0.1507354321523433,False,False,True,True,0.2125844499232667,0.012584449923266683,False,True,2.477906685997463,83.92844272899674,84.09377165802289,2000,20,20,0,0.6683236068929546,16,True,False,20,0,409361920,20,0,0,0
742015,CoFe3,4,0.06638406326156074,0.03508801410285435,0.0015235320383551036,0.03995061334472716,True,False,False,True,0.20202746690443077,0.002027466904430758,True,True,2.440064083488901,85.00218798901187,85.00218798901187,2000,0,0,0,0.0,6,True,False,0,0,260114944,0,0,0,0,CoFe3,4,0.020191833775747067,0.01182168736856483,0.000883323303171965,0.03990292962890685,True,False,False,True,0.20198394778675965,0.0019839477867596433,True,True,2.443095855477484,85.53826300398214,85.77873424900463,2000,20,20,0,0.9144873580662534,4,True,False,20,0,337364992,20,0,0,0,CoFe3,4,0.019282847780517275,0.01170090546953536,0.0008098565883054503,0.03990292962890685,True,False,False,True,0.20198263773326522,0.001982637733265208,True,True,2.4435375816793123,86.17821862199344,86.3259248349932,2000,20,20,0,0.6983042099163868,4,True,False,20,0,373767680,20,0,0,0
742016,Co2Fe6,8,0.05248876604115779,0.031097120296178633,0.0009271114854081492,0.007992033327637316,True,False,False,False,0.2025570582952721,0.0025570582952720855,True,True,2.470669723665688,83.88086514500901,83.88086514500901,2000,0,0,0,0.0,15,True,False,0,0,287675904,0,0,0,0,Co2Fe6,8,0.009686142883356615,0.0054467535022422586,0.000499007466351084,0.007964376772461534,True,False,False,False,0.2024872580546704,0.0024872580546703993,True,True,2.472340456062411,84.11068972700741,84.46012362203328,2000,20,20,0,0.9123837280785665,15,True,False,20,0,374302720,20,0,0,0,Co2Fe6,8,0.009692807064215195,0.005443558099915537,0.0004983781640465297,0.007964376772461534,True,False,False,False,0.2024872868089142,0.002487286808914191,True,True,2.47234164525385,84.06515619100537,84.22409503202653,2000,20,20,0,0.6734677323256619,15,True,False,20,0,410705408,20,0,0,0
742017,Co6Fe13Gd,20,4.37352189593753,0.7715751417854186,0.0814828907115569,0.2901329031985682,False,False,True,True,0.19421304556651472,0.005786954433485286,True,True,2.2333633703133757,84.64534321601968,84.64534321601968,2000,0,0,0,0.0,72,True,False,0,0,372400128,0,0,0,0,Co6Fe13Gd,20,4.134179528480029,0.7425226764732212,0.0807164536984737,0.2900993338626314,False,False,True,True,0.19419119581070235,0.005808804189297662,True,True,2.2325848321874435,84.98533034097636,85.34329225600231,2000,20,20,0,0.9227908469038084,67,True,False,20,0,439421440,20,0,0,0,Co6Fe13Gd,20,0.3482492617969787,0.14492840758751405,0.015449253160739352,0.29007568273958384,False,False,True,True,0.19012272235833524,0.009877277641664767,True,True,2.192660548837978,85.10883384704357,85.2386418300448,2000,20,20,0,1.135874752944801,64,True,False,20,0,478497792,20,0,0,0
742018,Co5Fe7,12,0.15024054082122873,0.07015139032157056,0.005930827642146182,0.06086348324869739,True,True,True,True,0.1950156668758188,0.0049843331241812006,True,True,2.44496971176124,84.55768593301764,84.55768593301764,2000,0,0,0,0.0,26,True,False,0,0,317162496,0,0,0,0,Co5Fe7,12,0.10279352721859923,0.04303300175550564,0.0029788346831567066,0.06086856951171882,True,True,True,True,0.1948782284305757,0.0051217715694243104,True,True,2.441918958746512,85.11912809201749,85.43315869802609,2000,20,20,0,1.309924579167273,24,True,False,20,0,411615232,20,0,0,0,Co5Fe7,12,0.053103428014923855,0.0212382658345619,0.0006041462073277372,0.06086729794596302,True,True,True,True,0.19472587812761413,0.0052741218723858785,True,True,2.439809294589068,84.57135276199551,84.7145739000407,2000,20,20,0,0.6842177869402803,12,True,False,20,0,448017920,20,0,0,0
742019,C2Fe10,12,0.45122558691313125,0.3134453471796449,0.05093630112449055,0.12342420402343812,False,False,True,True,0.1815067992617536,0.018493200738246424,False,True,2.044514638598255,84.34896038402803,84.34896038402803,2000,0,0,0,0.0,48,True,False,0,0,315485696,0,0,0,0,C2Fe10,12,0.4044564679477248,0.2530141734991653,0.046025245092968785,0.1234064021028658,False,False,True,True,0.18136703120803258,0.018632968791967436,False,True,2.043240338146954,85.01865842100233,85.25031062599737,2000,20,20,0,1.351701605017297,48,True,False,20,0,417068544,20,0,0,0,C2Fe10,12,0.09075937380715504,0.05062361407798444,0.005713646929622595,0.12344582064127607,False,False,True,True,0.18021811738840954,0.019781882611590473,False,True,2.017343630966746,84.7463484290056,84.87468035903294,2000,20,20,0,0.711161998915486,25,True,False,20,0,453471232,20,0,0,0
742020,CoFe5,6,0.10569810047793905,0.04171819994872803,0.005301773825612864,0.005807884157228216,True,False,False,True,0.2041626012129131,0.004162601212913092,True,True,2.465987118684883,85.79030250798678,85.79030250798678,2000,0,0,0,0.0,10,True,False,0,0,274284032,0,0,0,0,CoFe5,6,0.0525124296010059,0.02136692439942504,0.0011182470117915364,0.005831408123698978,True,False,False,True,0.20416035363121268,0.004160353631212671,True,True,2.4648588718688504,85.93565938802203,86.30777456302894,2000,20,20,0,0.9316843571141362,4,True,False,20,0,356630528,20,0,0,0,CoFe5,6,0.036517500267511466,0.01844939090632378,0.0009333523659892151,0.005816149334636478,True,False,False,True,0.20415858640454226,0.004158586404542253,True,True,2.464155483271352,86.46312635898357,86.62120300193783,2000,20,20,0,0.6999976469087414,4,True,False,20,0,393033216,20,0,0,0
742021,Co4Fe4,8,0.07025407753367914,0.04171333199297882,0.00218645774831389,0.04362987894042991,True,False,False,True,0.19071863059238459,0.009281369407615425,True,True,2.4325529612258894,84.945853326004,84.945853326004,2000,0,0,0,0.0,19,True,False,0,0,288074240,0,0,0,0,Co4Fe4,8,0.02470523258608589,0.017230769056232657,0.0011319722489840254,0.04359268564209007,True,False,False,True,0.19073599546949346,0.009264004530506548,True,True,2.4320730281732206,87.49797667999519,87.80237981601385,2000,20,20,0,1.3409778600907885,15,True,False,20,0,374745600,20,0,0,0,Co4Fe4,8,0.024941282755273436,0.01739098106617829,0.0011680111193539606,0.04359411615356468,True,False,False,True,0.19073853140092836,0.009261468599071648,True,True,2.4321062187966667,86.41353272896959,86.56225819396786,2000,20,20,0,0.6910201308201067,15,True,False,20,0,411148288,20,0,0,0
742022,Co2Fe2,4,0.02068345961106604,0.015451693147086592,0.0004338235881208881,0.06705259698852561,True,False,False,False,0.19237530621396276,0.007624693786037251,True,True,2.4449725779165847,83.57830090197967,83.57830090197967,2000,0,0,0,0.0,4,True,False,0,0,258485760,0,0,0,0,Co2Fe2,4,0.0032393977254421844,0.00267621063265192,0.00022243352649705279,0.06704544443115257,True,False,False,False,0.19241066213525063,0.007589337864749385,True,True,2.4469113732271937,84.24883413902717,84.48566639702767,2000,20,20,0,1.299181621929165,4,True,False,20,0,339146240,20,0,0,0,Co2Fe2,4,0.0030437132052971087,0.0027330953026476505,0.0002234093445622784,0.06704544443115257,True,False,False,False,0.19241266601812734,0.007587333981872668,True,True,2.446925879938849,83.46552887401776,83.59510025999043,2000,20,20,0,0.6607225219486281,4,True,False,20,0,375548928,20,0,0,0
742023,Co3Fe9,12,0.07800944024991206,0.03827588182090121,0.0013405972034920297,0.02795847670735796,True,False,False,False,0.20001669482330756,1.6694823307544793e-05,True,True,2.4416965572724294,83.82213344896445,83.82213344896445,2000,0,0,0,0.0,18,True,False,0,0,317120512,0,0,0,0,Co3Fe9,12,0.03401917371980983,0.016377300019496752,0.00047921268567425605,0.02792032973470171,True,False,False,False,0.2000073373349639,7.337334963886111e-06,True,True,2.441157125774082,84.39864756900351,84.6471776420367,2000,20,20,0,1.3135199471726082,6,True,False,20,0,411463168,20,0,0,0,Co3Fe9,12,0.03393343295921738,0.016217642155722006,0.000481407394241527,0.027920965517578722,True,False,False,False,0.20007252530543937,7.25253054393582e-05,True,True,2.4417535922914477,83.36729210900376,83.49190973700024,2000,20,20,0,0.6779320099740289,6,True,False,20,0,447525376,20,0,0,0
742024,Co2Fe6,8,0.026701663802368197,0.013043653450441384,0.00041598871336571687,0.03272557672363341,True,False,False,False,0.19976650266294235,0.00023349733705765874,True,True,2.453987072472724,84.34072734997608,84.34072734997608,2000,0,0,0,0.0,15,True,False,0,0,290876416,0,0,0,0,Co2Fe6,8,0.008518196161946497,0.004254775775452357,0.00023662652668923862,0.03272080835205138,True,False,False,False,0.19976504526330527,0.00023495473669474243,True,True,2.455063722363681,84.64325751899742,84.88732661301037,2000,20,20,0,0.9087284250417724,15,True,False,20,0,374007808,20,0,0,0,Co2Fe6,8,0.00847286557328747,0.00429890802395125,0.00023003841939880717,0.03272080835205138,True,False,False,False,0.19976508987608552,0.00023491012391449462,True,True,2.455058895689713,84.49160374398343,84.63364600896602,2000,20,20,0,0.6742658348521218,15,True,False,20,0,410410496,20,0,0,0
