ref,full_ref,commit,commit_date,subject,experiment_ids,archive_disposition
analysis/tcl-formal256-root-cause,refs/heads/analysis/tcl-formal256-root-cause,eaf269258ae73f3d24f10b1416a0f50652b6169a,2026-09-07T12:52:47+00:00,analyze TCL Formal256 geometry degradation,O-16,represented-in-experiment-index
archive/thesis-exploration-2026,refs/heads/archive/thesis-exploration-2026,5b572c61c70c4287147616beae7f72d28955cf98,2026-09-18T12:46:41+08:00,docs: finalize thesis release README and audits,,current-exploration-archive
experiment/adaptive-neighborhood-p0,refs/heads/experiment/adaptive-neighborhood-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,2026-09-08T07:22:20+00:00,experiment: complete frozen GBSA prospective32,I1-08,represented-in-experiment-index
experiment/alm-gen-p0,refs/heads/experiment/alm-gen-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,2026-09-08T07:22:20+00:00,experiment: complete frozen GBSA prospective32,X-01,represented-in-experiment-index
experiment/calibrated-safe-selection-cfg,refs/heads/experiment/calibrated-safe-selection-cfg,7c9d9261d5064a37b8c4cd03a0ecf022621145a7,2026-09-15T16:42:25+08:00,experiment: preregister calibrated safe-selection CFG,I1-05,represented-in-experiment-index
experiment/cell-atom-fusion-p0,refs/heads/experiment/cell-atom-fusion-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,2026-09-08T07:22:20+00:00,experiment: complete frozen GBSA prospective32,I1-12,represented-in-experiment-index
experiment/closed-loop-force-guidance-p0,refs/heads/experiment/closed-loop-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,2026-09-08T07:22:20+00:00,experiment: complete frozen GBSA prospective32,I2-04,represented-in-experiment-index
experiment/composable-property-adapter-p0,refs/heads/experiment/composable-property-adapter-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,2026-09-08T07:22:20+00:00,experiment: complete frozen GBSA prospective32,X-02,represented-in-experiment-index
experiment/corrector-residual-distillation-formal256,refs/heads/experiment/corrector-residual-distillation-formal256,0a1a8e2631ec2be8d1bdc092948c2cd2e905be2f,2026-09-05T14:05:38+00:00,docs: finalize formal256 scientific report,O-04,represented-in-experiment-index
experiment/corrector-residual-distillation-v1,refs/heads/experiment/corrector-residual-distillation-v1,d2736e01bf7ef9f1072e2760622c603403516403,2026-09-04T19:51:34+00:00,results: publish Stage-C speed-quality screen,O-01,represented-in-experiment-index
experiment/corrector-residual-distillation-v2,refs/heads/experiment/corrector-residual-distillation-v2,1b8b62284f694b08d778895da345c708204ec2db,2026-09-05T07:49:37+00:00,docs: report v2 independent evaluation,O-02,represented-in-experiment-index
experiment/corrector-residual-distillation-v3-anchor,refs/heads/experiment/corrector-residual-distillation-v3-anchor,f983e1285de0913d5bb2c2cdef4b5488057f58ad,2026-09-05T20:55:19+00:00,experiment: complete V3 independent64 and record failed tail validation,O-03,represented-in-experiment-index
experiment/counterfactual-adaptive-cfg-v3,refs/heads/experiment/counterfactual-adaptive-cfg-v3,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,2026-09-08T07:22:20+00:00,experiment: complete frozen GBSA prospective32,I1-03,represented-in-experiment-index
experiment/cross-field-interaction-p0,refs/heads/experiment/cross-field-interaction-p0,7bc228247c255e69ee24fe19e261c37a60ad09bb,2026-09-06T10:31:12+00:00,experiment: evaluate cross-field interaction P0,O-05,represented-in-experiment-index
