worktree,branch,HEAD,tracked_change_count,untracked_file_count,inventory_scope
/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,0,935,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_adaptive_neighbor,experiment/adaptive-neighborhood-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,5,361,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_async_freeze,experiment/field-async-freeze-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,0,579,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_cell_atom_fusion,experiment/cell-atom-fusion-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,1,144,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_cfg_oracle,experiment/counterfactual-adaptive-cfg-v3,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,0,289,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_closed_loop_guidance,experiment/closed-loop-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,0,195,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_field_cfg,experiment/field-decoupled-adaptive-cfg,fca6b8d90e869c8c9535d7e5910e606efd722fdf,1,254,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_field_schedule,experiment/field-time-schedule-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,0,9,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_fppc,experiment/fp-pc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,0,276,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_linear_k2_confirm,experiment/frozen-linear-k2-confirmation,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,0,1155,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_matersim_guidance,experiment/mattersim-late-force-guidance-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,0,5504,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_risk_cfg,experiment/risk-calibrated-adaptive-cfg,a4fda8a573ee0e372d3b53064e235ae87f0e670c,0,599,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_robust_adaptive_cfg,experiment/robust-adaptive-cfg-v2,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,2,872,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_safe_cfg,experiment/calibrated-safe-selection-cfg,7c9d9261d5064a37b8c4cd03a0ecf022621145a7,1,691,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_self_condition,experiment/multifield-self-conditioning-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,3,349,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_self_correcting_search,experiment/self-correcting-search-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,0,795,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_stage_cfg,experiment/stage-calibrated-bounded-cfg,f281462d8f690493f3bc3b78faffaea6abdeb2ae,1,420,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_exploration,archive/thesis-exploration-2026,5b572c61c70c4287147616beae7f72d28955cf98,0,375,mattergen_v1*
/mnt/datasets-livsyn/dxl/mattergen_v1_thesis_final,release/thesis-final-2026,5b572c61c70c4287147616beae7f72d28955cf98,0,0,mattergen_v1*
