innovation,experiment,cohort,n,comparison,metric,baseline_value,method_value,absolute_delta,relative_delta,ci_low,ci_high,ci_type,wins,ties,losses,status,source_file,used_in_chapter
1,C1 Fixed-K2,C1-128,128,Fixed-K2 vs C0,Property MAE,0.03479644444407384,0.026332355926007578,0.008464088518066255,0.24324578712833883,0.005816517956931217,0.011390991283968139,absolute,53,75,0,SUPPORTED,thesis_release/innovation1/results/fixed_vs_c0_bootstrap_20k.json,3;5
1,C1 Fixed-K2,C1-128,128,Fixed-K2 vs C0,e_hull,0.10429629864376536,0.08113499937799824,0.023161299265767113,0.22207211154133946,,,,,,,SUPPORTED_GUARDRAIL,thesis_release/innovation1/results/c1_metrics.csv,3;5
1,C1 Fixed-K2,C1-128,128,Fixed-K2 vs C0,stable,0.5859375,0.703125,0.1171875,0.2,,,,,,,SUPPORTED_GUARDRAIL,thesis_release/innovation1/results/c1_metrics.csv,3;5
1,C1 Fixed-K2,C1-128,128,Fixed-K2 vs C0,nus,0.328125,0.375,0.046875,0.14285714285714285,,,,,,,SUPPORTED_GUARDRAIL,thesis_release/innovation1/results/c1_metrics.csv,3;5
1,C1 Fixed-K2,C1-128,128,Fixed-K2 vs C0,validity,1.0,1.0,0.0,0.0,,,,,,,SUPPORTED_GUARDRAIL,thesis_release/innovation1/results/c1_metrics.csv,3;5
1,C1 Fixed-K2,C1-128,128,Fixed-K2 vs C0,Novel,0.7109375,0.65625,-0.0546875,-0.07692307692307693,,,,,,,OBSERVED_NEGATIVE,thesis_release/innovation1/results/c1_metrics.csv,5
1,C1 Fixed-K2,C1-128,128,Fixed-K2 vs C0,Unique,0.9921875,1.0,0.0078125,0.007874015748031496,,,,,,,OBSERVED,thesis_release/innovation1/results/c1_metrics.csv,5
1,C1 Fixed-K2,C1-128,128,Fixed-K2 vs C0,MaxF,0.385926957560514,0.35897579733682505,0.02695116022368893,,,,,,,,OBSERVED,thesis_release/innovation1/results/c1_metrics.csv,5
1,C1 Fixed-K2,C1-128,128,Fixed-K2 vs C0,RMSD,0.07598284891697532,0.06729433041475377,0.00868851850222155,,,,,,,,OBSERVED,thesis_release/innovation1/results/c1_metrics.csv,5
1,C1 Linear-K2,C1-128,128,Linear-K2 vs Fixed-K2,Property MAE vs Fixed-K2,0.026332355926007578,0.027522408495227565,-0.0011900525692199837,-0.04519354715407781,-0.003147703066264953,0.0007398602378228189,absolute,31,62,35,NOT_SUPPORTED,thesis_release/innovation1/results/c1_linear_bootstrap_20k.json,3;5
1,C1 Random-K2,C1-128,128,Random-K2 descriptive,Property MAE,,0.02853336177875556,,,,,,,,,OBSERVED,thesis_release/innovation1/results/c1_metrics.csv,3;5
1,Branch-Compatible Oracle,historical test,12,Oracle-All vs C0,Property MAE,0.028798733911880692,0.02004106811907561,0.008757665792805083,0.3040989864207946,,,,,,,SUPPORTED_MECHANISM,thesis_release/innovation1/results/branch_oracle_metrics.csv,3;5
1,Branch-Compatible Oracle,historical test,12,Fixed-K2 Phase A descriptive,Property MAE,,0.02244455,,,,,,,,,DIRECTIONAL_ONLY,thesis_release/innovation1/results/branch_oracle_report.md,3
1,Phase B Linear-K2,held-out test,16,Linear-K2 vs Fixed-K2,Property MAE,0.0245974057577073,0.0236342880178783,0.0009631177398289687,0.039155256831392406,-0.002618151676227706,0.005213791196704975,absolute,,,,NOT_SUPPORTED,thesis_release/innovation1/negative_results/phase_b_allocator_bootstrap_20k.json,3;5
1,Counterfactual Oracle V3,historical mechanism,32,full oracle vs C0,Property MAE,,,,0.2722216574274152,,,,,,,SUPPORTED_MECHANISM,thesis_release/innovation1/negative_results/historical_status/oracle_v3.json,3
1,C1 compute,C1-128,128,Fixed-K2 vs C0,MatterGen score calls,2000,4400,2400,1.2,,,,,,,VERIFIED,thesis_release/combined_summary/compute_summary.csv,3;5
1,C1 compute,C1-128,128,Fixed-K2 deployment,compute multiplier,1.0,2.2,1.2,1.2,,,,,,,VERIFIED,thesis_release/combined_summary/compute_summary.csv,3;5
1,C1 compute,C1-128,128,Fixed-K2 selection,fallback rate,0.0,0.5859375,0.5859375,,,,,,,,VERIFIED,thesis_release/combined_summary/compute_summary.csv,3;5
1,Phase B acquisition,Phase B,64,full candidate acquisition vs C0,compute multiplier,1.0,3.4,2.4,2.4,,,,,,,VERIFIED,thesis_release/combined_summary/compute_summary.csv,3;5
2,stage reliability,diagnostic,32,predicted clean vs final MaxF,Spearman rho,,0.9255865102639295,,,,,,,,,SUPPORTED,thesis_release/innovation2/configs/p0_guidance_config.yaml,4;5
2,RC-NFGD P0,P0,16,RC-NFGD vs C0,MaxF,0.3040278919209802,0.25339196873973335,,0.16655025583773608,0.10170663138060133,0.3124142183105426,relative,15,0,1,PASS,thesis_release/innovation2/results/mattersim_late_force_guidance_p0/decision_summary.json,4;5
2,RC-NFGD Formal32,Formal32,32,RC-NFGD vs C0,MaxF,0.18347236755422827,0.1347278349827812,0.04874453257144705,0.26567778691273397,0.1427416747473922,0.5286057084634727,relative,32,0,0,PASS,thesis_release/innovation2/results/mattersim_late_force_guidance_formal32/decision_summary.json,4;5
2,RC-NFGD Formal256,Formal256,256,RC-NFGD vs C0,MaxF,0.22640836794160712,0.15891148914495132,0.0674968787966558,0.2981200713131941,0.21416622087171452,0.4087580889652716,relative,254,0,2,SUPPORTED,thesis_release/innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json,4;5
2,RC-NFGD Formal256,Formal256,256,RC-NFGD vs C0,Mean Force,0.09870230579787798,0.06937279273450948,0.029329513063368496,0.2971512451130504,0.24012089456435182,0.3696274300736683,relative,255,0,1,SUPPORTED,thesis_release/innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json,4;5
2,RC-NFGD Formal256,Formal256,256,RC-NFGD vs C0,RMSD,0.051136946776399364,0.04389322435605705,0.007243722420342312,0.141653400857429,0.045381773461353796,0.2595297363793719,relative,216,21,19,SUPPORTED,thesis_release/innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json,4;5
2,RC-NFGD Formal256,Formal256,256,RC-NFGD vs C0,Property MAE,0.009756888912291078,0.009868169159730763,-0.00011128024743968447,-0.011405300238634642,-0.024596998473795702,-0.0022457392314144055,relative,95,0,161,NOT_SUPPORTED_PROPERTY_IMPROVEMENT,thesis_release/innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json,4;5
2,RC-NFGD Formal256,Formal256,256,RC-NFGD vs C0,Stable,0.80859375,0.80859375,0.0,0.0,0.0,0.0,relative,0,256,0,SUPPORTED_GUARDRAIL,thesis_release/innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json,4;5
2,RC-NFGD Formal256,Formal256,256,RC-NFGD vs C0,Validity,1.0,1.0,0.0,0.0,0.0,0.0,relative,0,256,0,SUPPORTED_GUARDRAIL,thesis_release/innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json,4;5
2,CHGNet Formal256,CHGNet Formal256,256,RC-NFGD vs C0,MaxF,0.1938906372800398,0.16605730423045764,0.027833333049582146,0.14355171265635666,0.0070520603370439645,0.06486799915701037,absolute,172,0,84,SUPPORTED_INDEPENDENT_SURROGATE,thesis_release/innovation2/results/chgnet_formal256/independent_per_structure.csv,4;5
2,CHGNet Formal256,CHGNet Formal256,256,RC-NFGD vs C0,Mean Force,0.08797635632875886,0.07954108790621507,0.00843526842254379,0.0958810841292635,0.002384405082153867,0.01914775942388884,absolute,169,0,87,SUPPORTED_INDEPENDENT_SURROGATE,thesis_release/innovation2/results/chgnet_formal256/independent_per_structure.csv,4;5
