seed,a0_max_force,a0_e3g_max_force,gate_on,exact_fallback,algorithmic_outcome
50000,0.2103677988880729,0.1905247522995178,True,False,Gate-on
50001,0.8999377034318461,0.3965650335849646,True,False,Gate-on
50002,0.3505557030834962,0.3505551793287306,False,True,Gate-off exact tie
50003,0.4979297175280707,0.4979294562723071,False,True,Gate-off exact tie
50004,1.3541243768727764,0.5342180870769849,True,False,Gate-on
50005,0.0354609641103109,0.0354610062981934,False,True,Gate-off exact tie
50006,0.2604116277065593,0.2455294636711439,True,False,Gate-on
50007,0.7279523035366718,0.4515733605227567,True,False,Gate-on
50008,0.0063900582423646,0.005568907149763,True,False,Gate-on
50009,0.0230181047080465,0.0230178175075421,False,True,Gate-off exact tie
50010,0.014192645086937,0.0114947344567887,True,False,Gate-on
50011,0.1846816338585061,0.171295518277107,True,False,Gate-on
50012,0.1929621181017037,0.1929615489519289,False,True,Gate-off exact tie
50013,0.1195621730959973,0.1434897818603194,True,False,Gate-on
50014,0.4573920425733139,0.4083586257778008,True,False,Gate-on
50015,0.2607150182911787,0.2607150784768496,False,True,Gate-off exact tie
50016,0.0129806718018648,0.0099333841775822,True,False,Gate-on
50017,0.3117351287494329,0.2344035593577672,True,False,Gate-on
50018,0.2084736209202426,0.2084740849740803,False,True,Gate-off exact tie
50019,0.0612357635385052,0.0612353988731016,False,True,Gate-off exact tie
50020,0.0556651343116166,0.0797774841922304,True,False,Gate-on
50021,0.0353861006631755,0.0337102489331945,True,False,Gate-on
50022,0.0514274422939617,0.0694075056012555,True,False,Gate-on
50023,0.2226228980899803,0.4356607199073112,True,False,Gate-on
50024,0.4124637233104996,0.1833021376900871,True,False,Gate-on
50025,0.0053471116475843,0.0050438354686331,True,False,Gate-on
50026,0.0280405551122484,0.0249734908609359,True,False,Gate-on
50027,0.0153738905521683,0.0127330188266847,True,False,Gate-on
50028,0.1504387764162734,0.1504387558710673,False,True,Gate-off exact tie
50029,0.2975912483546271,0.2122520086001316,True,False,Gate-on
50030,0.1318529587826954,0.131852701593093,False,True,Gate-off exact tie
50031,0.0566586739563292,0.0607496332606987,True,False,Gate-on
50032,0.125720797422,0.1257208641759693,False,True,Gate-off exact tie
50033,0.2754468204334614,0.2280908303510264,True,False,Gate-on
50034,0.0249507457929279,0.0219202097138712,True,False,Gate-on
50035,0.1784446491322867,0.1536273435268225,True,False,Gate-on
50036,0.115157088496656,0.0896533583139082,True,False,Gate-on
50037,0.2226788319726996,0.1634747020193453,True,False,Gate-on
50038,0.5698003167253273,0.4457026080396072,True,False,Gate-on
50039,0.2008507981308959,0.0896459037882081,True,False,Gate-on
50040,0.1711646158708892,0.1446241802380599,True,False,Gate-on
50041,0.0283558679760487,0.0283557584141339,False,True,Gate-off exact tie
50042,0.2705726426483631,0.310593801630646,True,False,Gate-on
50043,0.0390486646253139,0.0390487752759707,False,True,Gate-off exact tie
50044,0.0676950314185882,0.0850906083449948,True,False,Gate-on
50045,0.0056678247182837,0.0052277467743656,True,False,Gate-on
50046,0.0245043283108711,0.0146731575637248,True,False,Gate-on
50047,0.0484393115745025,0.0202909751014872,True,False,Gate-on
50048,0.0065965048204331,0.0058705660492069,True,False,Gate-on
50049,0.199603715265977,0.1717272494312642,True,False,Gate-on
50050,1.870943072011391,2.030541600969094,True,False,Gate-on
50051,0.1615657101335652,0.1615658970602717,False,True,Gate-off exact tie
50052,0.0086041531699506,0.008603811947419,False,True,Gate-off exact tie
50053,0.4826983478396613,0.4517404259582193,True,False,Gate-on
50054,1.9489339075297407,0.8061561878146015,True,False,Gate-on
50055,0.2611402701138716,0.2201882810394745,True,False,Gate-on
50056,0.0224748973340865,0.020643357799511,True,False,Gate-on
50057,0.5380634982690026,0.5721991261410106,True,False,Gate-on
50058,0.0899860776759175,0.1087458765486342,True,False,Gate-on
50059,0.860966149534087,0.8609658402097207,False,True,Gate-off exact tie
50060,0.0620514984968382,0.0236485714377374,True,False,Gate-on
50061,0.0223468586019611,0.0223469359008647,False,True,Gate-off exact tie
50062,0.2388594232382168,0.2388593751051214,False,True,Gate-off exact tie
50063,0.1816323387993613,0.2463684838145848,True,False,Gate-on
