relative_path,size_bytes,sha256,category,experiment,required_for_laptop_analysis,source_path,generated_or_original,notes
ARCHIVE_VALIDATION.json,469,,documentation,archive_wide,False,,generated,excluded from recursive checksum metadata
ARCHIVE_VALIDATION.md,211,,documentation,archive_wide,False,,generated,excluded from recursive checksum metadata
ARTIFACTS_NOT_IN_GITHUB.md,2793,8abf340c279ec587451437cbc01ad3627c5f6402ba48f9602190d940fea35f37,documentation,archive_wide,False,,generated,
CHECKSUMS.sha256,19836,,documentation,archive_wide,False,,generated,excluded from recursive checksum metadata
CLAIM_EVIDENCE_MATRIX.md,565,2c83c0302f41902240e8aafda5ff5cef0e2b1216e459d78de37250f050bcb58b,documentation,archive_wide,False,,generated,
DATA_DICTIONARY.md,684,1bcc425d60b08d316ddf4f26fd5f03b99a956eb85e4a3279988f431bd841c5c8,documentation,archive_wide,False,,generated,
EXPERIMENT_LINEAGE.md,348,7097c004ab94263d50c45e8619a6c31a7b4a487886a381d747f4af8e6d4cb450,documentation,archive_wide,False,,generated,
FILE_INVENTORY.csv,29547,,documentation,archive_wide,False,,generated,excluded from recursive checksum metadata
FINAL_EXPERIMENT_MANIFEST.json,5436,fb2f6be2371276274faf0c9560fa6a462ba002d3c99d3a3022c748c51304a6b1,documentation,archive_wide,False,,generated,
FINAL_EXPERIMENT_MANIFEST.md,1420,07e8b91c9ee5a7bad871c51a4c60a3001d004c5a2fac43ddcb0ef167f31b3b92,documentation,archive_wide,False,,generated,
LIMITATIONS.md,301,116a6716649cb1f18fbcae2b9ad4a77dfc05caad9fe0cb5f7c95265368dca4ec,documentation,archive_wide,False,,generated,
README.md,1207,33a61c2651095e10a63aaca922e89d856f5e960bc16bd9c3ed1c6cb0204a0c32,documentation,archive_wide,True,,generated,
README_FOR_LAPTOP.md,1175,bb870d3c928b6d7fb4c65c6c540430da41251c8fc121cdd2f13e24275017ae07,documentation,archive_wide,True,,generated,
analysis/README.md,211,0e995f12180a959ca79a4c45937b70f7ee7608ef841042e57070ea303f05ddd5,analysis_code,archive_wide,True,,generated,
analysis/build_inventory.py,1867,ec7a51e2bf47f157e3470294492e8fa08e3fd2d32806733ebe581a3447399874,analysis_code,archive_wide,True,,generated,
analysis/build_result_tables.py,2539,2be727faa00630eef2d8cbd16f6ba5fd2f8f125710a29a3687316593e15eb859,analysis_code,archive_wide,True,,generated,
analysis/common/__init__.py,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,analysis_code,archive_wide,True,,generated,
analysis/common/archive_utils.py,1758,7bfbccd41f60db2c63602fbf7c8e0bc6cf55342c3ea621650f261cdecfbbffd3,analysis_code,archive_wide,True,,generated,
analysis/generate_figures.py,3164,4e099b6c8f8e681c3931cb1ee3c843264963c55873f01859786f2a3c58a5611c,analysis_code,archive_wide,True,,generated,
analysis/load_archive.py,240,f1d43482c5992242986dfcfaac67cceb0e938acb472172fec4bcd3ff03c6d7a3,analysis_code,archive_wide,True,,generated,
analysis/recompute_statistics.py,1663,fdce7c1c77183b3c00494ba5fd7a2880903ce7959f28aa6c39dd537ad0d310ee,analysis_code,archive_wide,True,,generated,
analysis/validate_archive.py,6632,6d23e7eaa1bef17a61d8b72b19f225f7f060e1a0884dd88e085d6daa86737382,analysis_code,archive_wide,True,,generated,
analysis_outputs/recomputed_statistics.json,1809,d8939639d9acfb82e66f3bbdac2a4f065b064a7424f955dde652708c7ddd83a0,documentation,archive_wide,False,,generated,
configs/adaptive_cfg_final.yaml,298,a5420d1a99d9ab557604a26b79cc429c6b1e6d018e11f6ce5372e3aef9b8676a,config,archive_wide,True,,generated,
configs/e3_pcr_final.yaml,437,a1b952d90069f6c6f90a8bb4970029074a4c950295bfb4ecf8e370e72a41fcc0,config,archive_wide,True,,generated,
configs/evaluation_final.yaml,342,8240819974207a850184d2175e8a65718b1eb27b80e122046d07c8948bea1274,config,archive_wide,True,,generated,
data/compatibility_1/per_seed_metrics.csv,15681,7bfd60d45e753c2ca73d68a675cc8d527390ecf112f34c8c61feaf2c2e7414ad,data,compatibility_1,True,see data/*/source_manifest.json,generated,
data/compatibility_1/per_seed_metrics.json,43575,ba9ec3ca34c4fce167fce2eb4d61e23e66704b76e46bb59c8540519d8e6fa5a0,data,compatibility_1,True,see data/*/source_manifest.json,generated,
data/compatibility_1/source/A0_E3G_official_metrics_per_structure.csv,20134,eb78abd67dcd90a628618e366934ab9d415337e04d68a7d0d9184e58058b5dda,data,compatibility_1,True,see data/*/source_manifest.json,original_copy,
data/compatibility_1/source/A0_official_metrics_per_structure.csv,19888,0f78bd71c86e9cc22652f8fd0033908109334b24a69293ca506dc0d7bb02abd8,data,compatibility_1,True,see data/*/source_manifest.json,original_copy,
data/compatibility_1/source/refinement_manifest.csv,24832,1cbdb72e96d6031da7e6a46078845737f8872cf3dab410c0363fb7c7e2f886d3,data,compatibility_1,True,see data/*/source_manifest.json,original_copy,
data/compatibility_1/source_manifest.json,1765,f974016ff2b41126873529e85b65dba287a2d41b074d6f166129fac1930cea11,data,compatibility_1,True,see data/*/source_manifest.json,generated,
