method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
A0_E3G,0,0,41000,-88.91893005371094,-7.409910837809245,0.04695653170347214,0.06611033862220259,True,1.0311592039652169,28,LiEu2,Eu-Li,3.334937220425899,False,False,0.10271972283624464,0.022895117824122426,False,False,True,True,True,True,True,True,True,True,True,0.10271972283624464,0.10271972283624464
A0_E3G,1,1,41001,-97.60541534423828,-8.133784612019857,0.03406171128153801,0.13174191518829684,True,1.0200692350044847,31,EuGeRh,Eu-Ge-Rh,2.525723913647236,False,False,-0.0020919397365339876,0.01738755698247609,False,True,True,True,True,False,False,True,True,False,True,-0.0020919397365339876,0.0
A0_E3G,2,2,41002,-91.42158508300781,-7.618465423583984,0.0371219664812088,0.0823665450977058,True,0.9269041509833187,24,SrEu3Si2,Eu-Si-Sr,3.0505254172453107,False,False,0.04938081707116737,0.021055587570496383,True,True,True,True,True,True,True,True,True,True,True,0.04938081707116737,0.04938081707116737
A0_E3G,3,3,41003,-57.15517807006836,-9.52586301167806,0.035145409405231476,0.0768172398412706,True,0.45412984397262335,10,Eu2P,Eu-P,2.9760100065711557,False,False,-0.11526993793262541,0.004653562931765766,True,True,False,False,True,True,True,True,True,True,True,-0.11526993793262541,0.0
A0_E3G,4,4,41004,-27.016464233398438,-6.754116058349609,0.01097444724291563,0.01311464848125793,True,0.27752325404435396,4,GaFeNiIr,Fe-Ga-Ir-Ni,2.5836902190093776,False,False,0.03481136982929467,0.0008661898212993618,False,True,True,True,True,False,False,True,True,False,True,0.03481136982929467,0.03481136982929467
A0_E3G,5,5,41005,-65.43070983886719,-5.452559153238933,0.033177562057971954,0.2640717475884554,True,1.129195677000098,33,LiFe3OF7,F-Fe-Li-O,1.8554800967372582,False,False,0.16141869043218282,0.011535934663673895,False,False,False,False,True,True,True,True,True,True,True,0.16141869043218282,0.16141869043218282
A0_E3G,6,6,41006,-106.4826889038086,-7.6059063502720425,0.05072662606835365,0.5336484995152467,True,12.534176436020061,429,Mn3O4,Mn-O,1.9161322015121662,False,False,0.2204952031328613,0.3931491301888588,False,False,False,False,True,True,True,True,True,True,True,0.2204952031328613,0.0
A0_E3G,7,7,41007,-102.50228881835938,-6.406393051147461,0.04995463788509369,0.31446382971341985,True,2.2467272649519145,60,Li3Fe4SiO8,Fe-Li-O-Si,1.6439822944734976,False,False,0.2285129379204882,0.031218485025707027,False,False,True,True,True,True,True,True,True,True,True,0.2285129379204882,0.2119496283942386
A0_E3G,8,8,41008,-127.97545623779297,-7.9984660148620605,0.046694837510585785,0.25065740365333766,True,7.386348358006217,243,Ba2Eu3Fe2O9,Ba-Eu-Fe-O,1.8542488020325647,False,False,0.12949367322616112,0.26635291651417,False,False,True,True,True,True,True,True,True,True,True,0.12949367322616112,0.12833116481992768
A0_E3G,9,9,41009,-86.33587646484375,-7.1946563720703125,0.04799951985478401,0.23829248487092652,True,1.292072667973116,35,HoFe9Cu2,Cu-Fe-Ho,2.389061499911468,False,False,0.324015541491093,0.01746316795047168,False,False,True,True,True,True,True,True,True,True,True,0.324015541491093,0.324015541491093
A0_E3G,10,10,41010,-25.325294494628906,-6.331323623657227,0.006449423264712095,0.006976802799923524,True,0.3876390310470015,6,EuDySn2,Dy-Eu-Sn,3.353898386140204,False,False,0.12715413688779176,0.0015958521774037115,False,False,True,True,True,False,False,True,True,False,True,0.12715413688779176,0.12715413688779176
A0_E3G,11,11,41011,-86.25372314453125,-5.750248209635417,0.04882710799574852,0.08403658053905855,True,1.136234147939831,32,Ni13Ge2,Ge-Ni,2.479841696689333,False,False,0.0335594892492912,0.0031107684948718578,True,True,True,True,True,True,True,True,True,True,True,0.0335594892492912,0.0
A0_E3G,12,12,41012,-61.17669677734375,-6.797410753038195,0.03451797366142273,0.061914455224136196,True,0.35648213303647935,8,EuMgPt,Eu-Mg-Pt,2.862358415067439,False,False,0.009723141064791108,0.002436674891542292,False,True,True,True,True,False,False,True,True,False,True,0.009723141064791108,0.0
A0_E3G,13,13,41013,-65.19745635986328,-9.313922337123326,0.04546014219522476,0.15127055881335957,True,0.8130792790325359,29,Eu2MnO4,Eu-Mn-O,1.8701200563812057,False,False,0.09872121609019224,0.01264477136526299,True,True,True,True,True,True,True,True,True,True,True,0.09872121609019224,0.06446695473685082
A0_E3G,14,14,41014,-60.47683334350586,-7.559604167938232,0.03194626793265343,0.09465113794551784,True,0.532346029067412,12,EuCo2Ge,Co-Eu-Ge,2.438532511176703,False,False,0.08543219646372613,0.007974803496856692,True,True,True,True,True,True,True,True,True,True,True,0.08543219646372613,0.08029401582943763
