method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
A0,0,0,50000,-129.7836456298828,-9.270260402134486,0.048577405512332916,0.21036779888807297,True,1.5283793599810451,50,Eu9As4P,As-Eu-P,2.9395179634403226,False,False,0.09765922395022919,0.04547124565577936,True,True,False,False,True,True,True,True,True,True,False,0.09765922395022919,0.09765922395022919
A0,1,1,50001,-93.59680938720703,-6.685486384800503,0.048152074217796326,0.8999377034318461,True,7.937313802889548,257,Mn4H3O7,H-Mn-O,0.9830266291228119,False,False,0.2104090817866524,0.31134544745893916,False,False,True,True,True,True,True,True,True,True,True,0.2104090817866524,0.2104090817866524
A0,2,2,50002,-88.32984924316406,-9.814427693684896,0.041716814041137695,0.35055570308349626,True,1.1192067610099912,43,CaEu2GdO5,Ca-Eu-Gd-O,2.203810019491873,False,False,0.09088186274157906,0.03477027948593906,True,True,True,True,True,True,True,True,True,True,False,0.09088186274157906,0.09088186274157906
A0,3,3,50003,-110.8959732055664,-11.08959732055664,0.028605282306671143,0.49792971752807075,True,4.566507729003206,149,SmGd3O6,Gd-O-Sm,2.219369413526413,False,False,0.09849487703849213,1.2709463231922489,True,True,True,True,True,True,True,True,True,True,True,0.09849487703849213,0.09849487703849213
A0,4,4,50004,-97.5443344116211,-9.75443344116211,0.03649267181754112,1.3541243768727764,True,9.175371057004668,297,Eu3TaMnO5,Eu-Mn-O-Ta,1.9339507468885155,False,False,0.3556371292201259,0.596697715363306,False,False,True,True,True,True,True,True,True,True,True,0.3556371292201259,0.3556371292201259
A0,5,5,50005,-32.150028228759766,-8.037507057189941,0.03160351142287254,0.03546096411031092,True,0.6212963290745392,14,Eu2AgRh,Ag-Eu-Rh,3.085523871822921,False,False,0.04312150998354625,0.0038337581761171834,False,True,True,True,True,False,False,True,True,False,True,0.04312150998354625,0.02131657550854449
A0,6,6,50006,-65.23287963867188,-6.523287963867188,0.043885987251996994,0.2604116277065593,True,0.959898064029403,25,LiMnV2(OF2)2,F-Li-Mn-O-V,1.9428834743977108,False,False,0.26331502555815334,0.02882057867435262,False,False,True,True,True,True,True,True,True,True,False,0.26331502555815334,0.26331502555815334
A0,7,7,50007,-126.31364440917969,-9.022403172084264,0.04178380221128464,0.7279523035366718,True,1.189926739083603,42,Eu5(OF2)3,Eu-F-O,2.2644289603828,False,False,-0.008592518954364081,0.04553264923099904,True,True,False,False,True,True,True,True,True,True,True,-0.008592518954364081,0.0
A0,8,8,50008,-26.058218002319336,-6.514554500579834,0.0050509278662502766,0.0063900582423646254,True,0.32622774003539234,12,Eu2MgIn,Eu-In-Mg,3.475877438388613,False,False,0.003110098572543407,0.002195511719877338,False,True,True,True,True,False,False,True,True,False,True,0.003110098572543407,0.003110098572543407
A0,9,9,50009,-78.2161865234375,-7.82161865234375,0.017349794507026672,0.023018104708046543,True,0.3105254709953442,11,MnO,Mn-O,2.2357754884368077,False,False,0.16602833577312737,0.000491136628083583,False,False,True,True,True,False,False,True,True,False,True,0.16602833577312737,0.0
A0,10,10,50010,-87.70553588867188,-10.963191986083984,0.011148804798722267,0.01419264508693703,True,0.3587144020712003,13,Gd4GeS3,Gd-Ge-S,2.848463451387078,False,False,-0.027858623506055835,0.0012114097305946693,True,True,True,True,True,True,True,True,True,True,True,-0.027858623506055835,0.0
A0,11,11,50011,-67.00969696044922,-5.5841414133707685,0.05031075328588486,0.18468163385850617,True,1.3116950190160424,46,Li2Eu4In5Cu,Cu-Eu-In-Li,2.7148888964409625,False,False,0.05404907095852174,0.07140384247768893,True,True,True,True,True,True,True,True,True,True,True,0.05404907095852174,0.05404907095852174
A0,12,12,50012,-29.003929138183594,-7.250982284545898,0.04244229570031166,0.19296211810170377,True,0.5714020589366555,21,EuMnTe2,Eu-Mn-Te,2.9569247548582096,False,False,0.15112603557469662,0.016590608896214495,False,False,True,True,True,True,True,True,True,True,False,0.15112603557469662,0.15112603557469662
