method,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
A0,20000,A0_seed_20000,-68.97451782226562,-8.621814727783203,0.03805519640445709,True,0.7112129789893515,24,Eu2InN,Eu-In-N,5eb1ea18872aa42e1559c5ab25782a712f1dc7f7593f13527a5ea8959cf8903b,4fd24b6bfc0b6728aca56de638ecbbecfb855fb3a481a34a93c1c6cce6cceaeb,0.0641999533062112,0.03021302278918215,True,True,True,True,True,True,True,True,True,True,True,0.0641999533062112,0.0641999533062112
A0,20001,A0_seed_20001,-106.71736145019531,-8.893113454182943,0.03982974961400032,True,1.0698109380318783,40,Eu7Au3N2,Au-Eu-N,408cdcf3c12f0b0fee0b4f3727ef66916a81425445ea6e76dead4c5a3ea06dc0,51f4bcf85fcaf83f0689719a8b8e1207e4e907ec48276505d063f1c32798d7b5,0.15843895577474143,0.0405218533907063,False,False,False,False,True,True,True,True,True,True,True,0.15843895577474143,0.15843895577474143
A0,20002,A0_seed_20002,-24.12936782836914,-6.032341957092285,0.033185504376888275,True,0.08104264602297917,3,Eu2MgZn,Eu-Mg-Zn,e074a13a65e7661445792e6624f32005f36370cc80b20d5c02ae11164835a3f6,f1ba54fa6e18b93498593363bcffab6aa561e9b5a9d8a3f04ef81ff034f6c362,0.011124454104247228,0.0017613425766861445,False,True,True,True,True,False,False,True,True,False,True,0.011124454104247228,0.011124454104247228
A0,20003,A0_seed_20003,-57.96381378173828,-6.440423753526476,0.027924077585339546,True,2.1087778760120273,75,Fe3Ni2Ge3Pt,Fe-Ge-Ni-Pt,afeaae1001ea1b297f9dec5a31ef33490ac00c8210ca7afaadcea9bcb634e852,0bf6264eeacd34f6895a547808162631bf83833b07dab3647724d20fecb637b0,0.14965010248433153,0.100934627364461,False,False,True,True,True,True,True,True,True,True,False,0.14965010248433153,0.14965010248433153
A0,20004,A0_seed_20004,-28.96548080444336,-7.24137020111084,0.014010501094162464,True,1.2642026609973982,47,FeCo2Pt,Co-Fe-Pt,4af94d93870f1f9851147ca076fdf13667e78c4c893249b4b416b67aa807f5b1,35e8deed87d3c9b5309f845435ff4dfd9cc75ec390dad9aee2dd352a1d7b1cc0,0.07813562485169179,1.1709011932808657,False,True,True,True,True,False,False,True,True,False,True,0.07813562485169179,0.07813562485169179
A0,20005,A0_seed_20005,-61.89351272583008,-6.8770569695366754,0.03136562183499336,True,0.6278000570018776,21,EuGaPd,Eu-Ga-Pd,0c93e8b5d2337b043fb8ec5e204947e16b2830bcb288e0884194acc9649f2cc0,b0557cad97e702e5488b3066680064f1d341794557ec109e43ffc8450a258730,0.035924876566696184,0.010939965233911747,False,True,True,True,True,False,False,True,True,False,True,0.035924876566696184,0.0
A0,20006,A0_seed_20006,-95.9123306274414,-6.8508807591029575,0.04684499651193619,True,0.18452135403640568,6,Mg2Mn4NiO7,Mg-Mn-Ni-O,fbe381824d9c3196276cc10a7db38c9c7c8121a68e18e64efaf8759f0a609176,24e0029e32ba36a657d2d5c38b3f4022afdf982452d4a892ef8925074ea3e914,0.1771744495867864,0.00047700182004443325,False,False,True,True,True,True,True,True,True,True,True,0.1771744495867864,0.1771744495867864
A0,20007,A0_seed_20007,-101.42142486572266,-8.451785405476889,0.04973292723298073,True,1.308803079999052,44,EuGd2F9,Eu-F-Gd,870a50dd2f818d17644ab383e0b5bee05c927ed5a084fd7ea5f4f5cce4317551,9027866659d01cfcccb4277e7d42e717cbf0833ed715553f57115fe9c9e8dfb3,0.08576169235827891,0.03464745286650574,True,True,True,True,True,True,True,True,True,True,False,0.08576169235827891,0.08576169235827535
A0,20008,A0_seed_20008,-26.37723159790039,-6.594307899475098,0.01889488287270069,True,0.43864275695523247,15,Eu2HgAu,Au-Eu-Hg,b74b5962997628626f02500a6bb8be404856f61b8a05ffee5e819d81e53eca1b,150282b9422ac250112ff75d45948abc64073352bc9916894112fe3beb27cdd2,0.15600615820659147,0.0014311729655378644,False,False,True,True,True,True,True,True,True,True,True,0.15600615820659147,0.15600615820659147
A0,20009,A0_seed_20009,-34.02534484863281,-8.506336212158203,0.005822708364576101,True,0.32422635599505156,12,Eu3Tl,Eu-Tl,cc5e99f5306be77bdeb54d87cd4a5f0a89875db54487ba913213ca94907c637f,d2e77c5f19cce2740b91941c17ec079b7741545e3524990e40399382d8f5fb33,0.0460779337887125,0.006565529688426169,True,True,True,True,True,True,True,True,True,True,True,0.0460779337887125,0.01678645520518529
