seed,elapsed_C0,physical_forward_C0,corrector_forward_C0,corrector_skip_rate_C0,energy_above_hull_C0,stable_C0,NUS_C0,composition_valid_C0,basic_structure_valid_C0,novel_C0,unique_C0,relax_converged_C0,elapsed_A0,physical_forward_A0,corrector_forward_A0,corrector_skip_rate_A0,energy_above_hull_A0,stable_A0,NUS_A0,composition_valid_A0,basic_structure_valid_A0,novel_A0,unique_A0,relax_converged_A0,elapsed_G3,physical_forward_G3,corrector_forward_G3,corrector_skip_rate_G3,energy_above_hull_G3,stable_G3,NUS_G3,composition_valid_G3,basic_structure_valid_G3,novel_G3,unique_G3,relax_converged_G3,A0_minus_C0_ehull,G3_minus_A0_ehull,A0_over_G3_speed_ratio,G3_minus_A0_elapsed
20000,190.20634076400893,2000,1000,0.0,0.0902261836684381,True,True,True,True,True,True,True,192.64122914499603,2000,1000,0.0,0.0641999533062112,True,True,True,True,True,True,True,104.74871615599841,1314,314,0.686,0.358818151482744,False,False,False,True,True,True,True,-0.0260262303622269,0.2946181981765328,1.8390796203946074,-87.89251298899762
20001,232.1235256640066,2000,1000,0.0,0.0897128441543548,True,True,True,True,True,True,True,229.25800372299273,2000,1000,0.0,0.1584389557747414,False,False,False,True,True,True,True,156.89474855101435,1280,280,0.72,0.172914716698294,False,False,False,True,True,True,True,0.0687261116203866,0.0144757609235526,1.4612216523515411,-72.36325517197838
20002,206.7631555100088,2000,1000,0.0,0.1431204313383203,False,False,True,True,True,True,True,212.35075284499908,2000,1000,0.0,0.0111244541042472,True,False,True,True,False,True,True,142.58853979798732,1304,304,0.696,0.0736636923191689,True,False,True,True,False,True,True,-0.1319959772340731,0.0625392382149217,1.4892553998087612,-69.76221304701176
20003,192.61827927199192,2000,1000,0.0,0.0752710532851193,True,True,True,True,True,True,True,203.38631592300953,2000,1000,0.0,0.1496501024843315,False,False,True,True,True,True,True,130.6631139079982,1287,287,0.713,0.0130063847419279,True,False,True,True,False,True,True,0.0743790491992122,-0.1366437177424036,1.5565702503172916,-72.72320201501134
20004,217.88497692899546,2000,1000,0.0,0.0780081954853182,True,False,True,True,False,True,True,216.0428033740027,2000,1000,0.0,0.0781356248516917,True,False,True,True,False,True,True,145.6293982329953,1309,309,0.691,0.061444140399451,True,False,True,True,False,True,True,0.00012742936637349933,-0.016691484452240703,1.4835109256466996,-70.41340514100739
20005,194.22116835601628,2000,1000,0.0,0.0189429135529426,True,True,True,True,True,True,True,196.46205211200868,2000,1000,0.0,0.0359248765666961,True,False,True,True,False,True,True,133.55678789701778,1298,298,0.702,0.2227903465191225,False,False,True,True,True,True,True,0.0169819630137535,0.1868654699524264,1.4710001281514462,-62.90526421499089
20006,221.7580832420208,2000,1000,0.0,0.2069945128914438,False,False,True,True,True,True,True,228.3167214699788,2000,1000,0.0,0.1771744495867864,False,False,True,True,True,True,True,147.83288019301835,1272,272,0.728,0.2165108939495983,False,False,True,True,False,True,True,-0.02982006330465739,0.03933644436281189,1.5444244959029176,-80.48384127696045
20007,218.83414414298022,2000,1000,0.0,0.1425497917491966,False,False,True,True,True,True,True,196.79512406198774,2000,1000,0.0,0.0857616923582789,True,True,True,True,True,True,True,149.93066377399373,1266,266,0.734,0.0959487066201614,True,True,True,True,True,True,True,-0.05678809939091771,0.01018701426188251,1.312574220031719,-46.86446028799401
20008,190.15985228400677,2000,1000,0.0,0.0960832968929175,True,True,True,True,True,True,True,193.19087026300258,2000,1000,0.0,0.1560061582065914,False,False,True,True,True,True,True,122.43030622700462,1307,307,0.693,0.0817324735522353,True,False,True,True,False,True,True,0.059922861313673886,-0.07427368465435609,1.5779660789608496,-70.76056403599796
20009,231.0591548079974,2000,1000,0.0,0.0609867317881445,True,False,True,True,False,True,True,230.85995803499827,2000,1000,0.0,0.0460779337887125,True,True,True,True,True,True,True,154.77245219098404,1279,279,0.721,0.0933842385106462,True,False,True,True,False,True,True,-0.014908797999432004,0.0473063047219337,1.4916088410237551,-76.08750584401423
20010,209.21645012698718,2000,1000,0.0,0.0691661553741376,True,False,True,True,False,True,True,208.9092129720084,2000,1000,0.0,0.1919879846777519,False,False,True,True,True,True,True,143.23794279899448,1309,309,0.691,0.1448066263003582,False,False,False,True,True,True,True,0.12282182930361431,-0.047181358377393706,1.4584767757043975,-65.67127017301391
20011,178.66376485000364,2000,1000,0.0,0.5283094275102513,False,False,True,True,True,True,True,204.17215828498593,2000,1000,0.0,0.0988846467171047,True,False,False,True,False,True,True,136.50877179499366,1306,306,0.694,0.0914867804369361,True,False,True,True,False,True,True,-0.4294247807931466,-0.0073978662801686,1.4956706122270873,-67.66338648999226
20012,216.3401194740145,2000,1000,0.0,0.0450518153146726,True,True,True,True,True,True,True,217.1177980079956,2000,1000,0.0,0.0325475734433222,True,True,True,True,True,True,True,143.34761940702447,1283,283,0.717,0.1008008050110369,False,False,True,True,False,True,True,-0.0125042418713504,0.0682532315677147,1.51462437190189,-73.77017860097112
20013,193.41256360101397,2000,1000,0.0,0.2419778693952903,False,False,True,True,True,True,True,196.54256413297844,2000,1000,0.0,0.0126198015257426,True,False,True,True,False,True,True,133.16938152498915,1290,290,0.71,0.0614670580577705,True,False,True,True,False,True,True,-0.2293580678695477,0.0488472565320279,1.4758840349205748,-63.37318260798929
20014,220.2664427740092,2000,1000,0.0,0.1723977509514984,False,False,True,True,False,True,True,226.26159965898842,2000,1000,0.0,0.1648722837318441,False,False,True,True,True,True,True,145.4329200789798,1272,272,0.728,0.2639303623745679,False,False,True,True,True,True,True,-0.007525467219654303,0.09905807864272381,1.5557798023728961,-80.82867958000861
20015,219.05412889600848,2000,1000,0.0,0.1572957255224878,False,False,True,True,True,True,True,215.82999657900655,2000,1000,0.0,0.2237940682278534,False,False,True,True,True,True,True,147.46898326501832,1271,271,0.729,0.1698385558034605,False,False,True,True,True,True,True,0.06649834270536559,-0.05395551242439289,1.4635619762234056,-68.36101331398822
20016,191.93936372100143,2000,1000,0.0,0.0743101275304258,True,False,True,True,False,True,True,190.42488918299205,2000,1000,0.0,0.0080971137355749,True,True,False,True,True,True,True,121.44806844499544,1281,281,0.719,0.0328394945212604,True,False,True,True,False,True,True,-0.06621301379485091,0.0247423807856855,1.567953213428311,-68.9768207379966
