seed,method,c0_max_force,e3a_max_force,e3g_max_force,e3a_force_change,e3g_force_change,c0_rmsd,e3a_rmsd,e3g_rmsd,c0_ehull,e3a_ehull,e3g_ehull,c0_stable,e3a_stable,e3g_stable,c0_nus,e3a_nus,e3g_nus,c0_novel,e3a_novel,e3g_novel,c0_unique,e3a_unique,e3g_unique,gate_confidence,gate_on,exact_fallback,displacement_mean,displacement_max,refinement_harm,relaxation_converged
40000,C0/E3-A/E3-G paired,0.0435168295016891,0.054507383450392,0.0435168715508086,0.0109905539487029,4.204911949884371e-08,0.0057142315518054,0.0068941804077186,0.0057142086588102,0.1123484191337009,0.1123700808921235,0.1123484191337009,False,False,False,False,False,False,False,False,False,True,True,True,0.308567377288957,False,True,,0.0,False,True
40001,C0/E3-A/E3-G paired,0.3633457287587006,0.346660183907486,0.3466608312713276,-0.0166855448512145,-0.016684897487373,0.0468323635581117,0.0429705220639895,0.0429698086872699,0.3000156200083914,0.3000236037459132,0.3000245430091492,False,False,False,False,False,False,True,True,True,True,True,True,0.5028613563253412,True,False,,0.0129121463796152,False,True
40002,C0/E3-A/E3-G paired,0.0277001002903104,0.0234407799023443,0.0234407215407731,-0.0042593203879661,-0.0042593787495372,0.0023070880755587,0.0024682176037053,0.0024682301112228,0.1309463806011628,0.1309432105877341,0.1309432105877341,False,False,False,False,False,False,False,False,False,True,True,True,0.9782834653693858,True,False,,0.0011639484714962,False,True
40003,C0/E3-A/E3-G paired,0.3152022898947454,0.2798295470863658,0.2798311324513445,-0.0353727428083796,-0.0353711574434009,0.0666023375837432,0.0574397145348064,0.0574390336087292,0.1430724176505187,0.1432183791576786,0.1432195062735655,False,False,False,False,False,False,True,True,True,True,True,True,0.9080629442526432,True,False,,0.0117114747022647,False,True
40004,C0/E3-A/E3-G paired,0.038761978993788,0.0477909324931767,0.0477916977882136,0.0090289534993887,0.0090297187944256,0.0022528965271962,0.0025972916725173,0.0025972929692093,0.0801773667314336,0.0801830023108589,0.0801820630476228,True,True,True,True,True,True,True,True,True,True,True,True,0.971784496464344,True,False,,0.004462500426857,True,True
40005,C0/E3-A/E3-G paired,0.0861209245302652,0.0852230311776422,0.0852249073726796,-0.0008978933526229,-0.0008960171575855,0.0045949379229547,0.004602124448831,0.0046021586336255,0.0313913509381098,0.0314176503087679,0.0314176503087679,True,True,True,False,False,False,False,False,False,True,True,True,0.8925125992589624,True,False,,0.0072144620842991,False,True
40006,C0/E3-A/E3-G paired,0.0806513172310036,0.0640213357780599,0.0640272255659003,-0.0166299814529437,-0.0166240916651033,0.0107385305048997,0.0079771828049561,0.0079777059117972,0.0278169546672657,0.0278136672459323,0.0278141368775521,True,True,True,False,False,False,False,False,False,True,True,True,0.931873499548729,True,False,,0.0034208840438251,False,True
40007,C0/E3-A/E3-G paired,0.0466071282154513,0.0166890764048834,0.0466063876765129,-0.0299180518105679,-7.405389383999261e-07,0.0058201417560112,0.0028252310615105,0.0058200867465357,0.0861188040930542,0.0860237036902225,0.0861188040930542,True,True,True,False,False,False,False,False,False,True,True,True,0.005783193452607,False,True,,0.0,False,True
40008,C0/E3-A/E3-G paired,0.0819497061410838,0.0727499972498026,0.072750186815931,-0.0091997088912811,-0.0091995193251527,0.0050081582994652,0.0032354009724842,0.0032354713030944,0.0734799161350885,0.073491539517656,0.0734904828465135,True,True,True,False,False,False,False,False,False,True,True,True,0.8379986904206073,True,False,,0.0016269580863685,False,True
40009,C0/E3-A/E3-G paired,0.0494847174704753,0.0386446396927565,0.049485225757156,-0.0108400777777188,5.082866806963016e-07,0.0027066979143424,0.0023214189105792,0.0027066811568981,0.0612858182815525,0.0612435514358491,0.0612858182815525,True,True,True,False,False,False,False,False,False,True,True,True,0.1119758477274674,False,True,,0.0,False,True
40010,C0/E3-A/E3-G paired,0.0377530898544384,0.0345660037241849,0.0377532528581862,-0.0031870861302535,1.6300374779815166e-07,0.0002659015119499,0.0003694052746064,0.0002657316600581,0.0760414831975406,0.0760398981908263,0.0760414831975406,True,True,True,False,False,False,False,False,False,True,True,True,0.0681481761714538,False,True,,0.0,False,True
40011,C0/E3-A/E3-G paired,0.0545215032678923,0.1610753706073854,0.1610750764536177,0.1065538673394931,0.1065535731857254,0.0098712728635163,0.0017403678844344,0.0017400231992781,0.1779513547361908,0.1779925649107525,0.1779925649107525,False,False,False,False,False,False,False,False,False,True,True,True,0.907727368125334,True,False,,0.0110142915067515,True,True
40012,C0/E3-A/E3-G paired,0.188239630297881,0.1890649802930866,0.1890655260423975,0.0008253499952056,0.0008258957445165,0.0225332314705488,0.0243808505089514,0.0243808207314945,0.1135807709590093,0.1134590424433845,0.1134590424433845,False,False,False,False,False,False,True,True,True,True,True,True,0.6413429823777773,True,False,,0.0090246024732671,True,True
40013,C0/E3-A/E3-G paired,0.1137804164117546,0.1048351012339533,0.1048350906488418,-0.0089453151778012,-0.0089453257629127,0.005678767737641,0.0027564269742806,0.0027564245880236,0.135902884238579,0.1359499061044236,0.1359499061044236,False,False,False,False,False,False,True,True,True,True,True,True,0.5021117883958977,True,False,,0.0082189365164,False,True
40014,C0/E3-A/E3-G paired,0.0052137777708655,0.0047005454500922,0.0047027732005539,-0.0005132323207733,-0.0005110045703115,0.000802823920856,0.0006794005422396,0.0006792634330913,0.0745636260286257,0.0745627806917124,0.0745627806917124,True,True,True,False,False,False,False,False,False,True,True,True,0.5948117938598857,True,False,,0.0002965850711014,False,True
40015,C0/E3-A/E3-G paired,0.2972886031665158,0.3300137111978202,0.3300139638303014,0.0327251080313044,0.0327253606637856,0.0214621391045305,0.0218395201294391,0.0218395695602363,0.398216480701655,0.398213839023799,0.398213839023799,False,False,False,False,False,False,True,True,True,True,True,True,0.8686738037918926,True,False,,0.006548996052556,True,True
40016,C0/E3-A/E3-G paired,0.4284057216906876,0.58816464170938,0.428406134369972,0.1597589200186924,4.126792844116878e-07,0.0624779268629637,0.0592550158187784,0.0624778722280822,0.1488854016396388,0.1487913579079496,0.148884873304067,False,False,False,False,False,False,True,True,True,True,True,True,0.1857618964330877,False,True,,0.0,False,True
40017,C0/E3-A/E3-G paired,0.4857422929854494,0.2477210260961627,0.2477243317186857,-0.2380212668892867,-0.2380179612667637,0.0193926005249941,0.0098330101700271,0.0098330352013831,0.0380273798096633,0.0380070917237258,0.0380087823975534,True,True,True,True,True,True,True,True,True,True,True,True,0.9827588717146994,True,False,,0.0197255389705579,False,True
40018,C0/E3-A/E3-G paired,0.112912872143033,0.1248193020633283,0.1129125505103967,0.0119064299202952,-3.216326363020272e-07,0.0279008017015929,0.0152595126370615,0.0279008927711501,0.070571460576815,0.0706538809259367,0.0705721650242434,True,True,True,False,False,False,False,False,False,True,True,True,0.2596042569999757,False,True,,0.0,False,True
40019,C0/E3-A/E3-G paired,0.0892522715874585,0.0803363834668954,0.0892521308593471,-0.0089158881205631,-1.4072811140020125e-07,0.0057732004857183,0.0054391971308915,0.005773238538061,0.0592642238414091,0.0592522482351256,0.0592656327362659,True,True,True,False,False,False,False,False,False,True,True,True,0.38621079777729,False,True,,0.0,False,True
40020,C0/E3-A/E3-G paired,0.3300862630621138,0.3449368368000605,0.3449386218373746,0.0148505737379466,0.0148523587752608,0.0315126263444724,0.0307164044315167,0.030716827417483,0.1900992916302808,0.1900063045697333,0.1900063045697333,False,False,False,False,False,False,True,True,True,True,True,True,0.95632568870993,True,False,,0.0224631465947664,True,True
40021,C0/E3-A/E3-G paired,0.1765484868627135,0.1681224189977047,0.1765484750594146,-0.0084260678650087,-1.1803298893831028e-08,0.063816905292279,0.0615371854025069,0.0638163302066772,0.0593239348504894,0.0593218215082043,0.0593239348504894,True,True,True,True,True,True,True,True,True,True,True,True,0.1231370601616929,False,True,,0.0,False,True
40022,C0/E3-A/E3-G paired,0.0772120273798153,0.0862781530946123,0.0862789817422456,0.0090661257147969,0.0090669543624302,0.0142825780146359,0.0049455887278364,0.0049455836074279,0.0307217973073123,0.0307327866871949,0.0307327866871949,True,True,True,False,False,False,False,False,False,True,True,True,0.9625970411304215,True,False,,0.0124719553715287,True,True
40023,C0/E3-A/E3-G paired,0.1001318829876671,0.0752772920275687,0.0752772378553546,-0.0248545909600984,-0.0248546451323125,0.0101562466073563,0.0089022166729004,0.0089022148318063,-0.0036834901906317,-0.0037532304860423,-0.0037532304860423,True,True,True,False,False,False,False,False,False,True,True,True,0.9885244987353776,True,False,,0.0065410957931067,False,True
40024,C0/E3-A/E3-G paired,0.0197432874797019,0.0236505832151757,0.0197437079211089,0.0039072957354737,4.204414069987339e-07,0.0031488090292132,0.0012868467482019,0.00314883392002,0.0366255690056593,0.0365727354485301,0.0366266256768028,True,True,True,False,False,False,False,False,False,True,True,True,0.4276309680226393,False,True,,0.0,False,True
40025,C0/E3-A/E3-G paired,0.1122995215082351,0.0976966509553303,0.0976969309067548,-0.0146028705529048,-0.0146025906014803,0.0078034080258056,0.0043477471252695,0.0043477302786477,0.0353073134252301,0.0353286693051639,0.0353295591334941,True,True,True,False,False,False,False,False,False,True,True,True,0.8873457971283903,True,False,,0.0033592812098123,False,True
40026,C0/E3-A/E3-G paired,0.2770941739978289,0.2896089484627536,0.289609503086031,0.0125147744649247,0.0125153290882021,0.1081934953533436,0.0960637523696663,0.0960635551292085,0.176273134947003,0.1764024714948551,0.1764033168317684,False,False,False,False,False,False,True,True,True,True,True,True,0.9718163884915998,True,False,,0.0173042261481811,True,True
40027,C0/E3-A/E3-G paired,0.2505322947937914,0.2441951238013853,0.2441960856432952,-0.0063371709924061,-0.0063362091504962,0.0283026449775706,0.0242269793530233,0.0242271850254769,0.1057416065217662,0.1057525959016487,0.1057517505647336,False,False,False,False,False,False,True,True,True,True,True,True,0.920750814265968,True,False,,0.0099530794628094,False,True
40028,C0/E3-A/E3-G paired,0.1863642389519597,0.1843448605866458,0.1843457244069295,-0.0020193783653139,-0.0020185145450301,0.0230549441548455,0.030284328266109,0.0302843112018056,0.1333967950589745,0.133293049164977,0.133293049164977,False,False,False,False,False,False,True,True,True,True,True,True,0.9451817652595488,True,False,,0.0066496572259477,False,True
40029,C0/E3-A/E3-G paired,0.0516357424684915,0.0492047328994772,0.0492053417026854,-0.0024310095690142,-0.002430400765806,0.0013844818785533,0.0013583244632479,0.0013583071280764,0.2149770832895647,0.2149658121307105,0.2149644032358537,False,False,False,False,False,False,True,True,True,True,True,True,0.7261103562884283,True,False,,0.0010809868390502,False,True
40030,C0/E3-A/E3-G paired,0.1550873186433854,0.1646939417921778,0.1646939290552837,0.0096066231487924,0.0096066104118983,0.0558243276716453,0.0574635221062779,0.0574659150945201,0.1096471895152344,0.1096598695689454,0.1096605740163738,False,False,False,False,False,False,True,True,True,True,True,True,0.9870929621313248,True,False,,0.0045964390875764,True,True
40031,C0/E3-A/E3-G paired,0.040903204425627,0.0524924369076287,0.0409028199080592,0.0115892324820017,-3.845175678002244e-07,0.0050353291781221,0.0067171944546283,0.0050353218640789,0.0521025970325279,0.0521131637439538,0.0521025970325279,True,True,True,True,True,True,True,True,True,True,True,True,0.2295618624698231,False,True,,0.0,False,True
40032,C0/E3-A/E3-G paired,0.145929161649701,0.1355051915330108,0.1459293486474428,-0.0104239701166901,1.869977418189617e-07,0.0513520717765916,0.0465452344401987,0.0513522631535158,0.0300272170409732,0.0299849501952698,0.0300272170409732,True,True,True,True,True,True,True,True,True,True,True,True,0.1107352348026178,False,True,,0.0,False,True
40033,C0/E3-A/E3-G paired,0.2365317244648334,0.201530791079137,0.2015299833222397,-0.0350009333856964,-0.0350017411425936,0.0271945878580343,0.024373806372209,0.0243739961434746,0.0465861884787202,0.0465540656759859,0.0465549110128993,True,True,True,True,True,True,True,True,True,True,True,True,0.9889462627219072,True,False,,0.0132827667419756,False,True
40034,C0/E3-A/E3-G paired,0.2137216407849771,0.2275191981427752,0.2275164394833943,0.013797557357798,0.0137947986984172,0.0250374344952862,0.0242307778094915,0.0242306791920583,0.0802028478541307,0.0801737893977101,0.0801748460688527,True,True,True,True,True,True,True,True,True,True,True,True,0.7239388429811711,True,False,,0.0070058944027874,True,True
40035,C0/E3-A/E3-G paired,0.066651085873554,0.0149398905271417,0.0149404160679575,-0.0517111953464123,-0.0517106698055965,0.0145748708875646,0.0045178808082498,0.0045178601420954,0.0903433261825856,0.0904329318954761,0.0904329318954761,True,True,True,True,True,True,True,True,True,True,True,True,0.9891490377399818,True,False,,0.0078177175867829,False,True
40036,C0/E3-A/E3-G paired,0.971332436879817,0.7843952025404147,0.7843947515454025,-0.1869372343394022,-0.1869376853344144,0.0741717289295626,0.065705348841635,0.0657054559783428,0.1879179285040209,0.1879510375331552,0.1879510375331552,False,False,False,False,False,False,True,True,True,True,True,True,0.7448965895266937,True,False,,0.015670028118044,False,True
40037,C0/E3-A/E3-G paired,0.714860454158644,0.5195900302811045,0.7148601592407987,-0.1952704238775394,-2.949178452560375e-07,0.0882330812809097,0.0824394848541187,0.0882358899391793,0.1813323698290325,0.1812731962450477,0.1813335774531932,False,False,False,False,False,False,True,True,True,True,True,True,0.4373438327415417,False,True,,0.0,False,True
40038,C0/E3-A/E3-G paired,0.0082569189652045,0.0076892473097473,0.0082568933428945,-0.0005676716554572,-2.562230999939019e-08,0.0026377793097021,0.0026249292634453,0.0026376507780964,0.0681294253323461,0.0681294253323461,0.0681288969967752,True,True,True,False,False,False,False,False,False,True,True,True,0.021802467550744,False,True,,0.0,False,True
40039,C0/E3-A/E3-G paired,0.9122853442815502,0.4484155241781373,0.4484348785680691,-0.4638698201034129,-0.4638504657134811,0.0869304498283628,0.0859035431317363,0.0859197975618419,0.0821217613159568,0.0820149414695432,0.0820149414695432,True,True,True,True,True,True,True,True,True,True,True,True,0.984687135153402,True,False,,0.026759749370063,False,True
40040,C0/E3-A/E3-G paired,0.4087847195261517,0.3043565758730768,0.4087847494757458,-0.1044281436530749,2.99495940825345e-08,0.0200771110631647,0.0152639766028508,0.0200771090071629,0.2016701378630241,0.201683346252306,0.2016696095274532,False,False,False,False,False,False,False,False,False,True,True,True,0.0615070075291418,False,True,,0.0,False,True
