experiment,metric,value
innovation1,n,256.0
innovation1,c0_ehull,0.1436665541422974
innovation1,a0_ehull,0.14023160920514416
innovation1,ehull_change,-0.0034349449371532522
innovation1,stable_change,0.05859375
innovation1,nus_change,0.03515625
innovation2_e3a,n,256.0
innovation2_e3a,baseline_mean,0.34296426286559617
innovation2_e3a,selected_mean,0.24395595983940943
innovation2_e3a,mean_difference,-0.09900830302618673
innovation2_e3a,relative_change,-0.2886840226411198
innovation2_e3a,wins,191.0
innovation2_e3a,ties,0.0
innovation2_e3a,losses,65.0
innovation2_e3a,harm_rate,0.25390625
innovation2_e3a,wilcoxon_p,1.3100015085014907e-14
innovation2_e3g,n,256.0
innovation2_e3g,baseline_mean,0.34296426286559617
innovation2_e3g,selected_mean,0.26310701792559776
innovation2_e3g,mean_difference,-0.07985724493999838
innovation2_e3g,relative_change,-0.2328442161080018
innovation2_e3g,wins,127.0
innovation2_e3g,ties,82.0
innovation2_e3g,losses,47.0
innovation2_e3g,harm_rate,0.18359375
innovation2_e3g,wilcoxon_p,4.1880173230809353e-10
compatibility_1,n,64.0
compatibility_1,baseline_mean,0.21730158680797604
compatibility_1,selected_mean,0.1584162688975449
compatibility_1,mean_difference,-0.058885317910431105
compatibility_1,relative_change,-0.2709842977928487
compatibility_1,wins,34.0
compatibility_1,ties,19.0
compatibility_1,losses,11.0
compatibility_1,harm_rate,0.171875
compatibility_1,wilcoxon_p,7.73986718896914e-05
compatibility_2,n,64.0
compatibility_2,baseline_mean,0.26527988196406616
compatibility_2,selected_mean,0.21482998015936608
compatibility_2,mean_difference,-0.05044990180470006
compatibility_2,relative_change,-0.19017613183171514
compatibility_2,wins,35.0
compatibility_2,ties,18.0
compatibility_2,losses,11.0
compatibility_2,harm_rate,0.171875
compatibility_2,wilcoxon_p,0.000587376523879349
leakage,training_overlap_n,64.0
leakage,heldout_n,192.0
leakage,training_harm_count,0.0
leakage,heldout_harm_count,31.0
leakage,training_harm_rate,0.0
leakage,heldout_harm_rate,0.16145833333333334
leakage,fisher_one_sided_p,6.865899808947675e-05
