innovation,method,cohort,n,metric,preferred_direction,baseline_value,method_value,absolute_delta,relative_delta,ci_low,ci_high,delta_definition,status,source_file
1,Fixed-K2,C1-128,128,Property MAE,lower,0.03479644444407384,0.026332355926007578,0.008464088518066255,0.24324578712833883,0.005816517956931217,0.011390991283968139,positive_is_favorable,SUPPORTED,innovation1/results/c1_paired_results.csv
1,Fixed-K2,C1-128,128,e_hull,lower,0.10429629864376536,0.08113499937799824,0.023161299265767113,0.22207211154133946,,,positive_is_favorable,SUPPORTED_GUARDRAIL,innovation1/results/c1_metrics.csv
1,Fixed-K2,C1-128,128,stable,higher,0.5859375,0.703125,0.1171875,0.2,,,positive_is_favorable,SUPPORTED_GUARDRAIL,innovation1/results/c1_metrics.csv
1,Fixed-K2,C1-128,128,nus,higher,0.328125,0.375,0.046875,0.14285714285714285,,,positive_is_favorable,SUPPORTED_GUARDRAIL,innovation1/results/c1_metrics.csv
1,Fixed-K2,C1-128,128,validity,higher,1.0,1.0,0.0,0.0,,,positive_is_favorable,SUPPORTED_GUARDRAIL,innovation1/results/c1_metrics.csv
1,Linear-K2,C1-128,128,Property MAE vs Fixed-K2,lower,0.026332355926007578,0.027522408495227565,-0.0011900525692199837,-0.04519354715407781,-0.003147703066264953,0.0007398602378228189,positive_is_favorable,NOT_SUPPORTED,innovation1/results/c1_linear_bootstrap_20k.json
1,Branchable Oracle-All,historical test,12,Property MAE,lower,0.028798733911880692,0.02004106811907561,0.008757665792805083,0.3040989864207946,,,positive_is_favorable,EXPLORATORY_UPPER_BOUND,innovation1/results/branch_oracle_metrics.csv
2,RC-NFGD,Formal256,256,MaxF,lower,0.22640836794160712,0.15891148914495132,0.0674968787966558,0.2981200713131941,0.21416622087171452,0.4087580889652716,positive_is_favorable,SUPPORTED,innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json
2,RC-NFGD,Formal256,256,Mean Force,lower,0.09870230579787798,0.06937279273450948,0.029329513063368496,0.2971512451130504,0.24012089456435182,0.3696274300736683,positive_is_favorable,SUPPORTED,innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json
2,RC-NFGD,Formal256,256,RMSD,lower,0.051136946776399364,0.04389322435605705,0.007243722420342312,0.141653400857429,0.045381773461353796,0.2595297363793719,positive_is_favorable,SUPPORTED,innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json
2,RC-NFGD,Formal256,256,Property MAE,lower,0.009756888912291078,0.009868169159730763,-0.00011128024743968447,-0.011405300238634642,-0.024596998473795702,-0.0022457392314144055,positive_is_favorable,GUARDRAIL,innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json
2,RC-NFGD,Formal256,256,Stable,higher,0.80859375,0.80859375,0.0,0.0,0.0,0.0,positive_is_favorable,GUARDRAIL,innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json
2,RC-NFGD,Formal256,256,Validity,higher,1.0,1.0,0.0,0.0,0.0,0.0,positive_is_favorable,GUARDRAIL,innovation2/results/mattersim_late_force_guidance_formal256/paired_bootstrap.json
2,RC-NFGD,CHGNet Formal256,256,MaxF,lower,0.1938906372800398,0.16605730423045764,0.027833333049582146,0.14355171265635666,0.0070520603370439645,0.06486799915701037,positive_is_favorable,SUPPORTED_INDEPENDENT_SURROGATE,innovation2/results/chgnet_formal256/independent_per_structure.csv
2,RC-NFGD,CHGNet Formal256,256,Mean Force,lower,0.08797635632875886,0.07954108790621507,0.00843526842254379,0.0958810841292635,0.002384405082153867,0.01914775942388884,positive_is_favorable,SUPPORTED_INDEPENDENT_SURROGATE,innovation2/results/chgnet_formal256/independent_per_structure.csv
