seed,c0_max_force,a0_max_force,c0_rmsd,a0_rmsd,c0_ehull,a0_ehull,c0_stable,a0_stable,c0_nus,a0_nus,c0_composition_valid,a0_composition_valid,c0_structure_valid,a0_structure_valid,c0_novel,a0_novel,c0_unique,a0_unique,c0_relaxation_converged,a0_relaxation_converged,c0_generation_elapsed_seconds,a0_generation_elapsed_seconds,c0_physical_forwards,a0_physical_forwards
20000,0.0368244536221027,0.038055196404457,1.1868150562564423,0.0302130227891821,0.0902261836684381,0.0641999533062112,True,True,True,True,True,True,True,True,True,True,True,True,True,True,190.20634076400893,192.64122914499603,2000,2000
20001,0.0501120835542678,0.0398297496140003,0.0806870655228773,0.0405218533907063,0.0897128441543548,0.1584389557747414,True,False,True,False,True,False,True,True,True,True,True,True,True,True,232.1235256640066,229.25800372299275,2000,2000
20002,0.003603541990742,0.0331855043768882,0.0017415208903415,0.0017613425766861,0.1431204313383203,0.0111244541042472,False,True,False,False,True,True,True,True,True,False,True,True,True,True,206.7631555100088,212.35075284499908,2000,2000
20003,0.0476140715181827,0.0279240775853395,0.0046570182952978,0.100934627364461,0.0752710532851193,0.1496501024843315,True,False,True,False,True,True,True,True,True,True,True,True,True,True,192.61827927199192,203.38631592300956,2000,2000
20004,0.0046148411929607,0.0140105010941624,0.0003658691656104,1.1709011932808655,0.0780081954853182,0.0781356248516917,True,True,False,False,True,True,True,True,False,False,True,True,True,True,217.88497692899543,216.0428033740027,2000,2000
20005,0.0192574933171272,0.0313656218349933,0.0236207965975595,0.0109399652339117,0.0189429135529426,0.0359248765666961,True,True,True,False,True,True,True,True,True,False,True,True,True,True,194.22116835601628,196.46205211200868,2000,2000
20006,0.054609291255474,0.0468449965119361,1.2171283714945105,0.0004770018200444,0.2069945128914438,0.1771744495867864,False,False,False,False,True,True,True,True,True,True,True,True,True,True,221.7580832420208,228.3167214699788,2000,2000
20007,0.0081614768132567,0.0497329272329807,0.0384390404278898,0.0346474528665057,0.1425497917491966,0.0857616923582789,False,True,False,True,True,True,True,True,True,True,True,True,True,True,218.83414414298025,196.7951240619877,2000,2000
20008,0.0301732551306486,0.0188948828727006,0.0492522458386781,0.0014311729655378,0.0960832968929175,0.1560061582065914,True,False,True,False,True,True,True,True,True,True,True,True,True,True,190.1598522840068,193.19087026300255,2000,2000
20009,0.0267487056553363,0.0058227083645761,0.0022982770525897,0.0065655296884261,0.0609867317881445,0.0460779337887125,True,True,False,True,True,True,True,True,False,True,True,True,True,True,231.0591548079974,230.85995803499827,2000,2000
20010,0.0190585758537054,0.0434309244155883,0.016463358804759,0.0644647451388795,0.0691661553741376,0.1919879846777519,True,False,False,False,True,True,True,True,False,True,True,True,True,True,209.2164501269872,208.9092129720084,2000,2000
20011,0.0349372960627079,0.0084939152002334,0.0626196781681936,0.0017226031839222,0.5283094275102513,0.0988846467171047,False,True,False,False,True,False,True,True,True,False,True,True,True,True,178.66376485000364,204.17215828498595,2000,2000
20012,0.0281393155455589,0.0473513528704643,0.0826087567771615,0.0607286703662664,0.0450518153146726,0.0325475734433222,True,True,True,True,True,True,True,True,True,True,True,True,True,True,216.3401194740145,217.1177980079956,2000,2000
20013,0.0102184237912297,0.00859653390944,0.0258918027164913,0.0007070240798019,0.2419778693952903,0.0126198015257426,False,True,False,False,True,True,True,True,True,False,True,True,True,True,193.412563601014,196.54256413297844,2000,2000
20014,0.0495262071490287,0.0411518178880214,0.0236514198150144,0.0159608994509953,0.1723977509514984,0.1648722837318441,False,False,False,False,True,True,True,True,False,True,True,True,True,True,220.2664427740092,226.2615996589884,2000,2000
20015,0.0501878783106803,0.0439297370612621,0.0556910538561754,0.0225474218466024,0.1572957255224878,0.2237940682278534,False,False,False,False,True,True,True,True,True,True,True,True,True,True,219.05412889600848,215.82999657900652,2000,2000
20016,0.0371292866766452,0.0462916009128093,0.0074608681935085,0.002352818292475,0.0743101275304258,0.0080971137355749,True,True,False,True,True,False,True,True,False,True,True,True,True,True,191.93936372100143,190.42488918299205,2000,2000
20017,0.0485647283494472,0.0397715270519256,0.1920225256100392,0.0547291922568365,0.2402373117335274,0.2735483266186547,False,False,False,False,False,True,True,True,True,True,True,True,True,True,227.9766713610152,228.92581354698632,2000,2000
20018,0.0447321906685829,0.0493587180972099,0.0198477885803129,0.0402790533616029,0.1833910857452103,0.2147599047053869,False,False,False,False,True,True,True,True,True,True,True,True,True,True,207.8666634859983,205.7418640120013,2000,2000
20019,0.0485203713178634,0.0379340834915638,0.0051223012420013,0.0753506535401909,0.0814157817596701,0.0986712215179697,True,True,False,False,True,True,True,True,False,False,True,True,True,True,198.34785571097743,205.0373559529835,2000,2000
20020,0.0475243963301181,0.043702382594347,0.0467175926944216,0.0058505921490491,0.2463700198596399,0.2643647606838675,False,False,False,False,True,True,True,True,True,True,True,True,True,True,209.3843307249772,214.6185821209801,2000,2000
20021,0.0491364039480686,0.0401988849043846,1.2722462813275413,0.035926511439283,0.3415829041522125,0.2841967059591219,False,False,False,False,True,True,True,True,True,True,True,True,True,True,193.29963731599852,196.19661453200388,2000,2000
20022,0.038071472197771,0.0149118974804878,0.0177590819217895,0.0021738929603437,0.0465386254768738,0.0943341089662297,True,True,True,False,True,True,True,True,True,False,True,True,True,True,224.1934382329928,226.99619332698057,2000,2000
20023,0.0453912727534771,0.0494047254323959,0.0641409642403193,0.0516638743264379,0.2834108117933258,0.2833642607797006,False,False,False,False,True,True,True,True,True,True,True,True,True,True,220.1123430939915,216.71776453001075,2000,2000
20024,0.0388487838208675,0.036014225333929,0.0360352128022122,0.0461417724296184,0.1140524158530063,0.0860560080941699,False,True,False,False,True,True,True,True,True,False,True,True,True,True,193.0693412819819,193.08370996100712,2000,2000
20025,0.0414474084973335,0.1587364673614502,0.0563009543221321,0.2485430276201355,0.2356333728898345,0.2185452559434448,False,False,False,False,True,True,True,True,True,True,True,True,True,False,227.7374420420092,223.7507333009853,2000,2000
20026,0.0525176227092742,0.0491497702896595,0.3182632512776238,0.2388735255149214,0.1799265420256981,0.3653252699582285,False,False,False,False,True,True,True,True,True,True,True,True,True,True,205.8571412129968,212.7775117309939,2000,2000
20027,0.0151343811303377,0.0495713651180267,0.0021776648589467,0.003198864421694,0.3493699732406785,0.0026293965215833,False,True,False,True,True,True,True,True,True,True,True,True,True,True,197.1377005809918,203.2289374730026,2000,2000
20028,0.0460923053324222,0.0456776320934295,0.0651672303188739,0.0286892802370222,0.1760947998455613,0.2191532244699843,False,False,False,False,True,True,True,True,True,True,True,True,True,True,207.49104717498997,211.8358654009935,2000,2000
20029,0.006236208602786,0.0432899817824363,0.0017487226333061,0.0013679541920872,0.1149553870731008,0.4983076298651152,False,False,False,False,True,True,True,True,False,True,True,True,True,True,192.94374229299137,191.1318060669873,2000,2000
20030,0.0443972274661064,0.0496450550854206,0.0446284979811628,0.0051634933254321,0.2199011484826565,0.0514883956999154,False,True,False,True,True,True,True,True,True,True,True,True,True,True,223.69445718399948,228.60996590100692,2000,2000
20031,0.0413213036954402,0.0122225722298026,0.0181060052993119,0.0028212720980405,0.0512308426533518,0.0834091571104451,True,True,False,True,True,False,True,True,False,True,True,True,True,True,209.97597890999168,217.65641515600143,2000,2000
20032,0.0455429553985595,0.0468055792152881,0.0281582815448598,0.2535149305818215,0.2287500897880274,0.3099034136475449,False,False,False,False,True,True,True,True,True,True,True,True,True,True,194.16646359598963,248.55710261399508,2000,2000
20033,0.0036019440740346,0.0034501336049288,0.0019118694710707,0.0018743274532424,0.078663251060167,0.078663251060167,True,True,True,True,False,False,True,True,True,True,True,True,True,True,195.17513749399225,175.45316750000347,2000,2000
20034,0.0486666038632392,0.0492928177118301,0.0025271629197497,0.0093679610347832,0.0714851885005352,0.0828972368403775,True,True,True,True,True,True,True,True,True,True,True,True,True,True,198.45592101098737,201.10708032298132,2000,2000
20035,0.0412741713225841,0.0490891858935356,0.0057466516013303,0.0137739363628346,0.0479301771735043,0.0734707089649688,True,True,True,True,True,True,True,True,True,True,True,True,True,True,192.70494289099588,200.2720601640176,2000,2000
20036,0.0218578614294528,0.0150512540712952,0.00198481427048,0.0011957474243784,0.0961724169687521,0.0306759164252721,True,True,True,False,True,True,True,True,True,False,True,True,True,True,190.96059067599708,195.8784462340118,2000,2000
20037,0.0492435209453105,0.0467975437641143,0.0387745847133259,0.0053059966099383,0.1026759446905991,0.1066791168111489,False,False,False,False,True,True,True,True,True,True,True,True,True,True,202.8123351649847,207.0012226949912,2000,2000
20038,0.0468461737036705,0.0428069196641445,0.0881441064138078,0.0103200930536383,0.2634726083547978,0.1495058470026418,False,False,False,False,True,True,True,True,True,False,True,True,True,True,210.1142196749861,215.82047715599765,2000,2000
20039,0.0498809814453125,0.0476965345442295,0.018012983440647,0.0699143544064806,0.1039570493890771,0.1733902559748692,False,False,False,False,True,True,True,True,True,True,True,True,True,True,196.9234306620201,201.14582502498524,2000,2000
20040,0.0053342734463512,0.0021074961405247,0.0013218739149503,0.0014671854977977,0.1121775193653968,0.0244505836674608,False,True,False,False,True,True,True,True,False,False,True,True,True,True,223.70289688801856,284.89424678700743,2000,2000
20041,0.0429291017353534,0.0228541307151317,0.0283919556794506,0.008424093202617,0.0712265791725386,0.0949399070266681,True,True,True,False,True,True,True,True,True,False,True,True,True,True,193.74439549900129,194.96583002098487,2000,2000
20042,0.0256820302456617,0.0420538261532783,0.011875548612628,0.0092556944578836,0.0520995129189749,0.0869123132050511,True,True,True,True,True,False,True,True,True,True,True,True,True,True,196.4446588159772,203.0046240950178,2000,2000
