n,property_mae,property_median,e_hull_mean,stable_rate,novel_rate,unique_rate,nus_rate,validity_rate,maxf_mean,rmsd_mean,adaptive_acceptance_rate,fallback_rate,average_candidate_count,estimated_compute_multiplier,safe_oracle_gain,oracle_headroom,recovered_oracle_headroom,relative_property_improvement_vs_c0,selector,split,method,k,policies,subset_discovery,validation_retained
24,0.02920547890214173,0.0216864515603762,0.09623049935949095,0.625,0.6666666666666666,1.0,0.3333333333333333,1.0,0.21566314671266204,0.026037541612375276,0.375,0.625,1.0,1.6,0.004563244713027763,0.007372328011637473,0.6189693005824651,0.13513228290861057,SAFE-A,offline_train,Fixed-Branchable-K1,1,GPulse,offline_train_exhaustive,True
12,0.03916787353171213,0.035331351758962654,0.08877646297794127,0.75,0.5833333333333334,1.0,0.3333333333333333,1.0,0.13145493370636055,0.010379295708096677,0.16666666666666666,0.8333333333333334,1.0,1.6,0.005066161844800861,0.013410012966070892,0.37778948145828944,0.11453085393811589,SAFE-A,offline_validation,Fixed-Branchable-K1,1,GPulse,offline_train_exhaustive,True
12,0.02459747415360165,0.0284954896836924,0.07549145162959398,0.75,0.6666666666666666,1.0,0.5,1.0,0.19738293792276332,0.11632137181912282,0.25,0.75,1.0,1.6,0.004201259758279043,0.008757665792805083,0.47972369095548434,0.1458834881816053,SAFE-A,offline_test,Fixed-Branchable-K1,1,GPulse,offline_train_exhaustive,True
24,0.02734321324858378,0.01932660152950285,0.09036226608171653,0.6666666666666666,0.625,1.0,0.3333333333333333,1.0,0.21886388827503345,0.02600701942991616,0.4583333333333333,0.5416666666666666,2.0,2.1999999999999997,0.006425510366585712,0.007372328011637473,0.8715714163074165,0.19027993002670857,SAFE-A,offline_train,Fixed-Branchable-K2,2,CPulse;GPulse,offline_train_exhaustive,True
12,0.03162697194093789,0.02046273875756645,0.0736463335705927,0.9166666666666666,0.5,1.0,0.4166666666666667,1.0,0.12238331775491434,0.1048997903125718,0.5,0.5,2.0,2.1999999999999997,0.012607063435575105,0.013410012966070892,0.9401231354117736,0.28500821433689716,SAFE-A,offline_validation,Fixed-Branchable-K2,2,CPulse;GPulse,offline_train_exhaustive,True
12,0.022444546510426988,0.02571437018568935,0.07395313403997399,0.75,0.5833333333333334,1.0,0.5,1.0,0.20711612569478646,0.02710733328122017,0.4166666666666667,0.5833333333333334,2.0,2.1999999999999997,0.006354187401453704,0.008757665792805083,0.725557192040147,0.22064120668972653,SAFE-A,offline_test,Fixed-Branchable-K2,2,CPulse;GPulse,offline_train_exhaustive,True
24,0.02639639560353202,0.0175512076490056,0.08737560307328736,0.7083333333333334,0.6666666666666666,1.0,0.4166666666666667,1.0,0.19443155122765646,0.028496695170707353,0.4583333333333333,0.5416666666666666,3.0,2.8,0.007372328011637473,0.007372328011637473,1.0,0.21831823126195082,SAFE-A,offline_train,Fixed-Branchable-K3,3,CPulse;GPulse;PPulse,offline_train_exhaustive,True
12,0.0308240224104421,0.017789062906408852,0.07683113895551465,0.8333333333333334,0.5,1.0,0.4166666666666667,1.0,0.12943291904715198,0.15438330775450185,0.6666666666666666,0.3333333333333333,3.0,2.8,0.013410012966070892,0.013410012966070892,1.0,0.3031605154702034,SAFE-A,offline_validation,Fixed-Branchable-K3,3,CPulse;GPulse;PPulse,offline_train_exhaustive,True
12,0.02004106811907561,0.01979725025741145,0.0749885458426411,0.75,0.5833333333333334,1.0,0.5,1.0,0.22802154587892196,0.02425175811694315,0.5,0.5,3.0,2.8,0.008757665792805083,0.008757665792805083,1.0,0.3040989864207946,SAFE-A,offline_test,Fixed-Branchable-K3,3,CPulse;GPulse;PPulse,offline_train_exhaustive,True
24,0.02959223243193933,0.02296239411265165,0.0971873950783722,0.5833333333333334,0.7083333333333334,1.0,0.3333333333333333,1.0,0.21197971377599364,0.02449590551295903,0.3333333333333333,0.6666666666666666,1.0,1.6,0.004176491183230161,0.0055205709950055075,0.7565324650310008,0.12367927289244683,SAFE-B,offline_train,Fixed-Branchable-K1,1,GPulse,offline_train_exhaustive,True
12,0.03916787353171213,0.035331351758962654,0.08877646297794127,0.75,0.5833333333333334,1.0,0.3333333333333333,1.0,0.13145493370636055,0.010379295708096677,0.16666666666666666,0.8333333333333334,1.0,1.6,0.005066161844800861,0.008802794483258936,0.5755174512406981,0.11453085393811589,SAFE-B,offline_validation,Fixed-Branchable-K1,1,GPulse,offline_train_exhaustive,True
12,0.027031891783491663,0.02870560169496055,0.08137402389422012,0.6666666666666666,0.75,1.0,0.5,1.0,0.19743772685372582,0.11632455420041565,0.16666666666666666,0.8333333333333334,1.0,1.6,0.0017668421283890297,0.007471843907643445,0.236466680812431,0.061351382105729754,SAFE-B,offline_test,Fixed-Branchable-K1,1,GPulse,offline_train_exhaustive,True
24,0.02825819944825811,0.019911057679878948,0.09324375687820208,0.6666666666666666,0.7083333333333334,1.0,0.4166666666666667,1.0,0.1911843985047502,0.028492576032042503,0.375,0.625,2.0,2.1999999999999997,0.005510524166911383,0.0055205709950055075,0.998180110698112,0.16318425978161522,SAFE-B,offline_train,Fixed-Branchable-K2,2,GPulse;PPulse,offline_train_exhaustive,True
12,0.03836492400121635,0.035331351758962654,0.09196126836286321,0.6666666666666666,0.5833333333333334,1.0,0.3333333333333333,1.0,0.1385045349985982,0.05986281315002671,0.3333333333333333,0.6666666666666666,2.0,2.1999999999999997,0.005869111375296644,0.008802794483258936,0.6667327502031838,0.1326831550714221,SAFE-B,offline_validation,Fixed-Branchable-K2,2,GPulse;PPulse,offline_train_exhaustive,True
12,0.022795015117495033,0.02398747174274775,0.07932507199381193,0.6666666666666666,0.75,1.0,0.5,1.0,0.2186874341374884,0.11348907479628374,0.3333333333333333,0.6666666666666666,2.0,2.1999999999999997,0.00600371879438566,0.007471843907643445,0.803512341611427,0.2084716228413386,SAFE-B,offline_test,Fixed-Branchable-K2,2,GPulse;PPulse,offline_train_exhaustive,True
24,0.028248152620163985,0.019911057679878948,0.0932424018659442,0.6666666666666666,0.7083333333333334,1.0,0.4166666666666667,1.0,0.19110746150060245,0.028451503194208166,0.4166666666666667,0.5833333333333334,3.0,2.8,0.0055205709950055075,0.0055205709950055075,1.0,0.16348177852139997,SAFE-B,offline_train,Fixed-Branchable-K3,3,CPulse;GPulse;PPulse,offline_train_exhaustive,True
12,0.03543124089325406,0.0352996187749568,0.08789958638335743,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.1297896944452077,0.15445427481490867,0.5833333333333334,0.4166666666666667,3.0,2.8,0.008802794483258936,0.008802794483258936,1.0,0.19900500617524414,SAFE-B,offline_validation,Fixed-Branchable-K3,3,CPulse;GPulse;PPulse,offline_train_exhaustive,True
12,0.021326890004237247,0.02345232272802315,0.0782669612116464,0.6666666666666666,0.75,1.0,0.5,1.0,0.22868037790370485,0.11645955615652853,0.5,0.5,3.0,2.8,0.007471843907643445,0.007471843907643445,1.0,0.2594504303732948,SAFE-B,offline_test,Fixed-Branchable-K3,3,CPulse;GPulse;PPulse,offline_train_exhaustive,True
